ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9571918,0.0803478777859275,[],20,1.4,0.5,1,22,0.01,0.01,0.32,4.25,0.07,0,3.0,0,469.0,0.0,7
2310847,0.1533713892877882,[],20,1.4,0.5,1,20,0.01,0.01,0.39,4.25,0.25,0,2.5,0,1171.0,0.015010434775405635,7
9318643,0.0005683031284246576,[],20,1.4,0.5,1,21,0.01,0.01,0.36,4.25,0.07,0,3.0,0,63072.0,0.0,7
9579224,0.11281246357552116,[],20,1.4,0.5,1,22,0.01,0.01,0.47,4.25,0.18,0,3.0,0,10045.0,0.0,7
2674794,0.81498112,[],20,1.5,0.5,1,23,0.01,0.01,0.26,4.25,0.09,0,3.0,0,155.0,0.0,7
1253767,0.31780703914999997,[],20,1.5,0.5,1,23,0.01,0.01,0.31,4.25,0.09,0,3.0,0,120.0,0.0,7
3283088,0.03089805356019058,[],20,1.5,0.5,1,21,0.01,0.01,0.43,4.25,0.14,0,3.5,0,1889.0,0.0,7
3717768,0.018852522469973706,[],20,1.5,0.5,1,18,0.01,0.01,0.37,4.25,0.18,0,3.5,0,5705.0,0.0,7
762552,0.026231114308724834,[],20,1.5,0.5,1,23,0.01,0.01,0.32,4.25,0.18,0,3.5,0,745.0,0.0,7
9817833,0.40677504574205603,[],20,1.5,0.5,1,21,0.01,0.01,0.42,4.25,0.08,0,3.0,0,428.0,0.0,7
4694975,0.0007108427001757573,[],20,1.5,0.5,1,21,0.01,0.01,0.3,4.25,0.14,0,3.5,0,67707.0,0.0,7
2934545,0.036180588363636364,[],20,1.5,0.5,1,20,0.01,0.01,0.27,4.25,0.14,0,3.0,0,3520.0,0.0,7
6800273,0.08420532755667506,[],20,1.5,0.5,1,23,0.01,0.01,0.31,4.25,0.12,0,3.0,0,397.0,0.0,7
4775599,0.10627450005096953,[],20,1.6,0.5,1,21,0.01,0.01,0.39,4.25,0.09,0,3.0,0,361.0,0.0,7
6376495,0.005040398183164651,[],20,1.6,0.5,1,21,0.01,0.01,0.46,4.25,0.17,0,3.5,0,8102.0,0.0,7
5775108,0.06100797653968255,[],20,1.6,0.5,1,23,0.01,0.01,0.32,4.25,0.19,0,3.5,0,252.0,0.0,7
8654028,0.08160415767391652,[],20,1.6,0.5,1,21,0.01,0.01,0.38,4.25,0.15,0,3.0,0,623.0,0.0,7
6581268,0.2050896551724138,[],20,1.6,0.5,1,23,0.01,0.01,0.39,4.25,0.14,0,3.0,0,435.0,0.0,7
6174983,0.059901409467724764,"[(<tree.SEQ object at 0x7f664a4b8c10>, 'A'), (<tree.SEQ object at 0x7f664a4b8c10>, 'A'), (<tree.SEQ object at 0x7f664a4b8c10>, 'A')]",20,1.6,0.5,1,22,0.01,0.01,0.38,4.25,0.19,0,3.5,0,7797.0,0.0,7
1314335,0.09977961364856232,[],20,1.6,0.5,1,22,0.01,0.01,0.29,4.25,0.09,0,3.0,0,939.0,0.0,7
9251658,0.09872559953488372,[],20,1.6,0.5,1,22,0.01,0.01,0.38,4.25,0.08,0,3.0,0,516.0,0.0,7
8713272,0.3221140676836932,[],20,1.7,0.5,1,23,0.01,0.01,0.26,4.25,0.05,0,3.0,0,1343.0,0.0,7
2315988,0.02149461994132901,[],20,1.7,0.5,1,22,0.01,0.01,0.43,4.25,0.14,0,3.5,0,1234.0,0.0,7
4270182,0.32650382222222224,[],20,1.7,0.5,1,23,0.01,0.01,0.32,4.25,0.1,0,3.0,0,90.0,0.0,7
6407496,0.1402661156416465,[],20,1.7,0.5,1,21,0.01,0.01,0.34,4.25,0.08,0,3.0,0,413.0,0.0,7
1036725,0.00349917039935041,[],20,1.7,0.5,1,21,0.01,0.01,0.42,4.25,0.13,0,3.5,0,13547.0,0.0,7
2972565,0.11523074249230769,[],20,1.7,0.5,1,22,0.01,0.01,0.31,4.25,0.11,0,3.0,0,520.0,0.0,7
3150894,0.0677559084325,[],20,1.7,0.5,1,22,0.01,0.01,0.28,4.25,0.08,0,3.0,0,480.0,0.0,7
5481168,0.3085794704299065,[],20,1.7,0.5,1,23,0.01,0.01,0.25,4.25,0.1,0,3.0,0,107.0,0.0,7
9985344,0.021478516531940536,[],20,1.8,0.5,1,22,0.01,0.01,0.39,4.25,0.09,0,3.0,0,2489.0,0.0,7
7804062,0.016823591371872303,[],20,1.8,0.5,1,22,0.01,0.01,0.3,4.25,0.14,0,3.0,0,2318.0,0.0,7
6879572,0.292329381626506,[],20,1.8,0.5,1,23,0.01,0.01,0.43,4.25,0.13,0,3.5,0,332.0,0.0,7
939363,0.3894077367088607,[],20,1.8,0.5,1,23,0.01,0.01,0.27,4.25,0.09,0,3.0,0,158.0,0.0,7
5552007,0.14073147998095237,[],20,1.8,0.5,1,21,0.01,0.01,0.31,4.25,0.17,0,3.5,0,252.0,0.0,7
9889502,0.2930381859103059,[],20,1.8,0.5,1,23,0.01,0.01,0.33,4.25,0.14,0,3.0,0,170.0,0.0,7
1627767,0.074163231104,[],20,1.8,0.5,1,23,0.01,0.01,0.39,4.25,0.07,0,3.0,0,250.0,0.0,7
1116146,0.11876315879874215,[],20,1.8,0.5,1,23,0.01,0.01,0.36,4.25,0.14,0,3.5,0,318.0,0.0,7
6901388,0.2637225211358025,[],20,1.9,0.5,1,23,0.01,0.01,0.31,4.25,0.16,0,3.5,0,324.0,0.0,7
6428602,0.12504193254193546,[],20,1.9,0.5,1,23,0.01,0.01,0.4,4.25,0.09,0,3.0,0,310.0,0.0,7
5071523,0.22373594468672567,[],20,1.9,0.5,1,23,0.01,0.01,0.43,4.25,0.14,0,3.0,0,226.0,0.05642055630265487,7
2125915,0.7059959486117647,[],20,1.9,0.5,1,23,0.01,0.01,0.33,4.25,0.09,0,3.5,0,85.0,0.0,7
8214079,0.21820079888188976,[],20,1.9,0.5,1,23,0.01,0.01,0.29,4.25,0.07,0,3.0,0,254.0,0.0,7
6710627,0.20887408639999996,[],20,1.9,0.5,1,23,0.01,0.01,0.3,4.25,0.13,0,3.5,0,248.0,0.0,7
64161,0.2548317876712329,[],20,1.9,0.5,1,23,0.01,0.01,0.34,4.25,0.07,0,3.0,0,146.0,0.0,7
4550690,0.3281806250299401,[],20,1.9,0.5,1,23,0.01,0.01,0.31,4.25,0.09,0,3.0,0,167.0,0.0,7
6993703,0.26605255020408164,[],20,1.9,0.5,1,22,0.01,0.01,0.36,4.25,0.1,0,3.0,0,196.0,0.0,7
2168662,7.748494026239283e-14,[],20,1.1,0.5,1,21,0.001,0.006493328084780331,0.33,4.25,0.07,0,3.0,0,1090343726268244.0,0.0,7
1284301,8.76365228319858e-06,"[(<tree.AND object at 0x7f0b37f85de0>, 'D')]",20,1.1,0.5,1,6,0.001,0.006493328084780331,0.05,4.25,0.12,0,1.0,0,1.4646940003029932e+16,0.0,7
6086765,1.0055233752919686e-11,[],20,1.1,0.5,1,15,0.001,0.006493328084780331,0.2,4.25,0.08,0,3.0,0,610164048881528.0,0.0,7
2190637,0.6234550378808853,"[(<tree.AND object at 0x7f74bbc214b0>, 'D')]",20,1.1,0.5,1,3,0.001,0.006493328084780331,0.03,4.25,0.13,0,1.0,0,33757337728189.0,0.6906905452723904,7
8687451,0.000857392324107559,[],20,1.2,0.5,1,19,0.001,0.006493328084780331,0.36,4.25,0.14,0,2.0,0,2009624.0,0.0,7
8013360,2.2433316700856628e-08,[],20,1.2,0.5,1,18,0.001,0.006493328084780331,0.24,4.25,0.09,0,3.0,0,3795569016.0,0.0,7
8959805,0.0007112541184493892,"[(<tree.SEQ object at 0x7f850d153d90>, 'A')]",20,1.2,0.5,1,18,0.001,0.006493328084780331,0.25,4.25,0.1,0,3.0,0,1131328.0,0.00030472913329832773,7
9803814,1.9027236014850863e-07,[],20,1.2,0.5,1,16,0.001,0.006493328084780331,0.33,4.25,0.08,0,3.0,0,472343193.0,0.0,7
9022356,0.06883532431645706,[],20,1.3,0.5,1,24,0.001,0.006493328084780331,0.46,4.25,0.1,0,3.5,0,1690.0,0.0,7
1295503,0.02849277469251895,[],20,1.3,0.5,1,24,0.001,0.006493328084780331,0.5,4.25,0.2,0,3.5,0,2858.0,0.0,7
3096982,0.05998561672269652,"[(<tree.AND object at 0x7f4207f10d00>, 'E')]",20,1.3,0.5,1,24,0.001,0.006493328084780331,0.46,4.25,0.16,0,3.5,0,52867.0,0.0,7
2637462,0.2086728693724773,[],20,1.3,0.5,1,24,0.001,0.006493328084780331,0.36,4.25,0.12,0,3.0,0,2096.0,0.0,7
2969233,3.363332176838339e-05,[],20,1.3,0.5,1,21,0.001,0.006493328084780331,0.34,4.25,0.13,0,3.0,0,4366643.0,9.846155200523298e-06,7
3271975,0.03528033448077385,[],20,1.3,0.5,1,24,0.001,0.006493328084780331,0.44,4.25,0.1,0,3.0,0,2986.0,0.0,7
