ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4236058,0.20681127771960295,[],20,1.9,0.5,1,21,0.01,0.01,0.28,4.65,0.47,0,3.5,0,403.0,0.0,7
8624334,0.13980672361809046,[],20,1.6,0.5,1,21,0.01,0.01,0.42,4.65,0.3,0,3.5,0,597.0,0.0,7
8419157,0.018220064558788215,[],20,1.6,0.5,1,16,0.01,0.01,0.27,4.65,0.24,0,3.0,0,10827.0,0.0,7
9675491,9.345995686466288e-09,[],20,1.6,0.5,1,6,0.01,0.01,0.08,4.324999999999999,0.23,0,2.0,0,187116956152.0,0.0,7
8772126,0.12018024515377618,[],20,1.6,0.5,1,25,0.01,0.01,0.37,4.324999999999999,0.24,0,3.0,0,2198.0,0.0,7
7477742,0.003873621090532015,"[(<tree.AND object at 0x7fdfd39ef370>, 'D'), (<tree.AND object at 0x7fdfd39ef370>, 'D'), (<tree.AND object at 0x7fdfd39ef370>, 'D'), (<tree.AND object at 0x7fdfd39eec50>, 'D'), (<tree.AND object at 0x7fdfd39ef010>, 'D'), (<tree.AND object at 0x7fdfd39ef1f0>, 'D')]",20,1.1,0.5,1,10,0.01,0.01,0.14,4.324999999999999,0.76,0,2.5,0,7828712146.0,0.0,7
5939810,0.49619832009368414,[],20,1.7,0.5,1,25,0.01,0.01,0.56,4.324999999999999,0.3,0,3.5,0,304.0,0.0,7
8458813,0.10382063053608617,[],20,1.7,0.5,1,25,0.01,0.01,0.51,4.324999999999999,0.29,0,3.5,0,557.0,0.0,7
963961,3.388988562723367e-05,"[(<tree.AND object at 0x7f4f822e7d90>, 'B'), (<tree.AND object at 0x7f4f822e7bb0>, 'B'), (<tree.AND object at 0x7f4f822e6290>, 'B')]",20,1.7,0.5,1,14,0.01,0.01,0.3,4.324999999999999,0.33,0,3.0,0,197088470.0,0.0,7
7361013,0.0008478368823141993,"[(<tree.AND object at 0x7f830683df00>, 'D'), (<tree.AND object at 0x7f830683d7e0>, 'D')]",20,1.1,0.5,1,4,0.01,0.01,0.04,4.324999999999999,0.26,0,1.0,0,1.859002481373413e+16,0.0,7
2922938,4.1264531166682615e-09,[],20,1.1,0.5,1,19,0.01,0.01,0.37,4.324999999999999,0.23,0,3.0,0,359917064939.0,0.0,7
3376639,0.36453669446612025,[],20,1.1,0.5,1,1,0.01,0.01,0.02,4.324999999999999,0.17,0,0.0,0,120843862.0,0.0,7
1488843,0.678935221219751,[],20,1.7,0.5,1,23,0.01,0.01,0.56,4.324999999999999,0.23,0,3.5,0,482.0,0.0,7
562246,0.05989611990333039,[],20,1.2,0.5,1,15,0.01,0.01,0.23,4.324999999999999,0.1,0,2.0,0,6786.0,0.0,7
9387885,0.05071950505126864,[],20,1.8,0.5,1,25,0.01,0.01,0.5,4.324999999999999,0.17,0,3.0,0,4359.0,0.0,7
8225080,0.04744438282163964,[],20,1.2,0.5,1,24,0.01,0.01,0.43,4.324999999999999,0.2,0,3.0,0,6599.0,0.0,7
3629061,0.0362436752790941,[],20,1.3,0.5,1,25,0.01,0.01,0.59,4.324999999999999,0.14,0,3.0,0,2561.0,0.0,7
3960962,0.11573881031501372,[],20,1.3,0.5,1,21,0.01,0.01,0.39,4.324999999999999,0.19,0,3.0,0,2551.0,0.0,7
4137651,0.27374743362318843,[],20,1.9,0.5,1,25,0.01,0.01,0.48,4.324999999999999,0.16,0,3.0,0,276.0,0.0,7
8424859,0.540965417233464,[],20,1.9,0.5,1,25,0.01,0.01,0.5,4.324999999999999,0.41,0,3.5,0,306.0,0.0,7
6105311,0.2939784078792994,[],20,1.9,0.5,1,25,0.01,0.01,0.29,4.324999999999999,0.2,0,3.0,0,785.0,0.0,7
3392314,0.49571827688888104,[],20,1.9,0.5,1,25,0.01,0.01,0.48,4.324999999999999,0.23,0,3.0,0,227.0,0.0,7
2332273,0.00022485411408621798,[],20,1.9,0.5,1,23,0.01,0.01,0.39,4.324999999999999,0.31,0,3.5,0,313647.0,0.0,7
7385459,0.42375461651439106,[],20,1.9,0.5,1,25,0.01,0.01,0.38,4.324999999999999,0.16,0,3.0,0,179.0,0.0,7
7542424,0.35063473478303026,[],20,1.4,0.5,1,25,0.01,0.01,0.5,4.324999999999999,0.35,0,3.5,0,198.0,0.0,7
4777470,0.5947107084006068,[],20,1.9,0.5,1,25,0.01,0.01,0.35,4.324999999999999,0.23,0,3.5,0,145.0,0.0,7
8250187,0.20211885610868968,[],20,1.9,0.5,1,25,0.01,0.01,0.48,4.324999999999999,0.27,0,3.5,0,377.0,0.0,7
1635624,0.05747018694470312,"[(<tree.AND object at 0x7f6d8159c640>, 'D')]",20,1.4,0.5,1,17,0.001,0.006575193386753843,0.21,4.324999999999999,0.27,0,3.0,0,23195.0,0.0,7
3807742,0.10631273844799657,[],20,1.1,0.5,1,23,0.001,0.006575193386753843,0.42,4.324999999999999,0.4,0,3.5,0,710.0,0.0,7
3362308,0.03551716142720601,[],20,1.1,0.5,1,24,0.001,0.006575193386753843,0.6,4.324999999999999,0.32,0,3.5,0,8150.0,0.0,7
8010102,0.016177190069662995,"[(<tree.SEQ object at 0x7f6becb1b2e0>, 'C'), (<tree.AND object at 0x7f6becb1b460>, 'C')]",20,1.1,0.5,1,12,0.001,0.006575193386753843,0.23,4.324999999999999,0.32,0,2.5,0,57581938577695.0,0.0,7
8733057,1.9699946275867996e-07,"[(<tree.AND object at 0x7fd6140eb910>, 'A')]",20,1.1,0.5,1,12,0.001,0.006575193386753843,0.21,4.324999999999999,0.22,0,3.0,0,2.1298142842375725e+17,0.0,7
9166168,0.16596132435702343,[],20,1.5,0.5,1,23,0.001,0.006575193386753843,0.44,4.324999999999999,0.31,0,3.0,0,1737.0,0.0,7
2360430,1.3038391713396322e-08,[],20,1.2,0.5,1,23,0.001,0.006575193386753843,0.56,4.324999999999999,0.11,0,3.0,0,6012764820.0,0.0,7
9161345,0.000619946540626402,[],20,1.2,0.5,1,16,0.001,0.006575193386753843,0.29,4.324999999999999,0.42,0,3.5,0,1507233.0,0.0,7
9214455,0.02054683355954221,[],20,1.2,0.5,1,23,0.001,0.006575193386753843,0.49,4.324999999999999,0.23,0,3.0,0,10047.0,0.0,7
6778030,0.011162673821167668,"[(<tree.AND object at 0x7f5666fd1720>, 'E'), (<tree.AND object at 0x7f5666fd1540>, 'E'), (<tree.AND object at 0x7f5666fd1540>, 'E')]",20,1.5,0.5,1,23,0.001,0.006575193386753843,0.52,4.324999999999999,0.23,0,3.5,0,6919692948.0,0.0,7
29297,4.360474558413448e-06,[],20,1.5,0.5,1,23,0.001,0.006575193386753843,0.46,4.324999999999999,0.36,0,3.5,0,11357851.0,0.0,7
982756,0.00016455711398894794,[],20,1.2,0.5,1,24,0.001,0.006575193386753843,0.53,4.324999999999999,0.15,0,3.0,0,11491850.0,0.0,7
2961849,0.36325570883778296,[],20,1.2,0.5,1,22,0.001,0.006575193386753843,0.53,4.324999999999999,0.38,0,3.5,0,40012.0,0.0,7
3002277,0.0063355785285029685,[],20,1.6,0.5,1,23,0.001,0.006575193386753843,0.49,4.324999999999999,0.3,0,3.5,0,11942.0,0.0,7
2425387,0.38350630019728527,[],20,1.3,0.5,1,23,0.001,0.006575193386753843,0.42,4.324999999999999,0.19,0,3.0,0,696.0,0.0,7
7644846,0.0360078838645925,[],20,1.6,0.5,1,23,0.001,0.006575193386753843,0.4,4.324999999999999,0.25,0,3.0,0,4680.0,0.0,7
9014573,0.3111569548803415,[],20,1.6,0.5,1,24,0.001,0.006575193386753843,0.42,4.324999999999999,0.3,0,3.5,0,244.0,0.0,7
8140331,0.00010080843419583085,"[(<tree.AND object at 0x7f89a5d0fe80>, 'B')]",20,1.3,0.5,1,23,0.001,0.006575193386753843,0.6,4.324999999999999,0.43,0,3.5,0,208167573.0,0.0,7
37771,0.10863733458220265,[],20,1.3,0.5,1,23,0.001,0.006575193386753843,0.46,4.324999999999999,0.1,0,3.0,0,2559.0,0.0,7
4173262,0.31529134410953263,[],20,1.7,0.5,1,24,0.001,0.006575193386753843,0.38,4.324999999999999,0.18,0,3.0,0,474.0,0.0,7
6069974,0.009815067350955928,[],20,1.3,0.5,1,16,0.001,0.006575193386753843,0.27,4.324999999999999,0.26,0,3.0,0,47924.0,0.0,7
8434080,0.25175479961062497,[],20,1.4,0.5,1,24,0.001,0.006575193386753843,0.4,4.324999999999999,0.35,0,3.5,0,245.0,0.0,7
8062971,0.04829094585649269,[],20,1.4,0.5,1,22,0.001,0.006575193386753843,0.46,4.324999999999999,0.24,0,3.0,0,3488.0,0.0,7
8652362,0.1561796140990807,[],20,1.7,0.5,1,23,0.001,0.006575193386753843,0.59,4.324999999999999,0.28,0,3.5,0,1345.0,0.0,7
1388338,0.002010584167487778,[],20,1.4,0.5,1,21,0.001,0.006575193386753843,0.4,4.324999999999999,0.33,0,3.5,0,87149.0,0.0,7
1042499,0.07897354530047002,[],20,1.4,0.5,1,24,0.001,0.006575193386753843,0.48,4.324999999999999,0.2,0,3.0,0,1071.0,0.0,7
5583835,0.02264257271005712,[],20,1.8,0.5,1,24,0.001,0.006575193386753843,0.45,4.324999999999999,0.23,0,3.0,0,3180.0,0.0,7
6467080,0.6588870449595862,[],20,1.4,0.5,1,24,0.001,0.006575193386753843,0.35,4.324999999999999,0.18,0,3.5,0,598.0,0.0,7
8483901,0.05420306122106402,[],20,1.5,0.5,1,23,0.001,0.006575193386753843,0.47,4.324999999999999,0.12,0,3.0,0,1385.0,0.0,7
5481193,0.039107580515655695,[],20,1.5,0.5,1,24,0.001,0.006575193386753843,0.54,4.324999999999999,0.36,0,3.5,0,1610.0,0.0,7
4345249,0.07244372496549056,[],20,1.5,0.5,1,23,0.001,0.006575193386753843,0.45,4.324999999999999,0.25,0,3.5,0,5900.0,0.0,7
7883987,0.2808053629384841,[],20,1.8,0.5,1,24,0.001,0.006575193386753843,0.47,4.324999999999999,0.13,0,3.0,0,152.0,0.0,7
5639276,0.11591580164321949,[],20,1.5,0.5,1,23,0.001,0.006575193386753843,0.42,4.324999999999999,0.16,0,3.0,0,543.0,0.0,7
