ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
7057500,0.00573542391893333,[],20,1.4,0.5,1,1,0.01,0.01,0.01,4.25,0.06,0,0.0,0,90826531284.0,0.0027108464979260253,7
791328,0.07475052134495641,[],20,1.4,0.5,1,23,0.01,0.01,0.39,4.25,0.09,0,3.0,0,1606.0,0.015894173499377336,7
201548,0.3294117990697675,[],20,1.4,0.5,1,23,0.01,0.01,0.45,4.25,0.1,0,3.0,0,129.0,0.1317877674108527,7
533312,0.0004733371094296135,[],20,1.4,0.5,1,18,0.01,0.01,0.31,4.25,0.2,0,2.5,0,558814.0,0.00017171365655978553,7
4418104,0.025738743068391867,[],20,1.5,0.5,1,23,0.01,0.01,0.35,4.25,0.08,0,3.0,0,1082.0,0.011802575191774491,7
9453686,0.017692139210466952,[],20,1.5,0.5,1,22,0.01,0.01,0.37,4.25,0.09,0,3.0,0,4433.0,0.007673418273494248,7
3818906,0.014846827158998254,[],20,1.5,0.5,1,23,0.01,0.01,0.44,4.25,0.11,0,3.0,0,3434.0,0.006190003247524753,7
7290685,0.12067011320754717,[],20,1.6,0.5,1,22,0.01,0.01,0.39,4.25,0.2,0,3.5,0,424.0,0.050128879905660374,7
3929277,0.09453876173053154,[],20,1.6,0.5,1,21,0.01,0.01,0.45,4.25,0.18,0,3.0,0,1618.0,0.0210545049592089,7
8129060,0.571944761904762,[],20,1.6,0.5,1,22,0.01,0.01,0.39,4.25,0.15,0,3.0,0,210.0,0.1214391634,7
9205383,0.06648832021824383,[],20,1.6,0.5,1,21,0.01,0.01,0.26,4.25,0.16,0,3.5,0,2346.0,0.022631013217391305,7
4238630,0.35355040000000004,[],20,1.6,0.5,1,23,0.01,0.01,0.41,4.25,0.15,0,3.0,0,100.0,0.085001237566,7
8060382,0.13184657558392435,[],20,1.6,0.5,1,22,0.01,0.01,0.41,4.25,0.12,0,3.0,0,846.0,0.03016692295035461,7
213782,0.2652589036144578,[],20,1.7,0.5,1,21,0.01,0.01,0.37,4.25,0.1,0,3.0,0,332.0,0.10244991995180723,7
4364259,0.10713573239322034,[],20,1.7,0.5,1,22,0.01,0.01,0.38,4.25,0.18,0,3.5,0,295.0,0.05763322550508475,7
7557755,0.1075593558381503,[],20,1.7,0.5,1,21,0.01,0.01,0.44,4.25,0.11,0,3.0,0,692.0,0.03077087112716763,7
7995298,0.21144125944293193,[],20,1.7,0.5,1,23,0.01,0.01,0.35,4.25,0.12,0,3.0,0,191.0,0.06676203009424084,7
9547570,0.33647907105116276,[],20,1.8,0.5,1,24,0.01,0.01,0.35,4.25,0.18,0,3.5,0,86.0,0.04941915260465116,7
9393948,0.05772191191709844,[],20,1.8,0.5,1,21,0.01,0.01,0.38,4.25,0.15,0,3.0,0,1544.0,0.013777977558290156,7
9743125,0.08716630917511962,[],20,1.8,0.5,1,21,0.01,0.01,0.36,4.25,0.17,0,3.0,0,1045.0,0.024625404484593303,7
