ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3397351,0.9896936680733074,[],20,1.1,0.5,1,8,0.001,0.007471387507423852,0.09,3.9000000000000004,0.05,0,3.5,0,75410.0,0.0,20
7351029,0.9882443670871157,[],20,1.1,0.5,1,7,0.001,0.007471387507423852,0.07,3.9000000000000004,0.04,0,3.0,0,976414.0,0.0,20
1242864,0.9999999861797887,"[(<tree.AND object at 0x7fc0ded7a830>, 'C')]",20,1.1,0.5,1,2,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,3877967756217.0,0.0,20
6737375,0.99994966261243,"[(<tree.AND object at 0x7f1a6cad8a00>, 'D')]",20,1.1,0.5,1,4,0.001,0.007471387507423852,0.03,3.9000000000000004,0.02,0,1.0,0,60728512.0,0.0,20
78448,0.9999999929183828,[],20,1.1,0.5,1,12,0.001,0.007471387507423852,0.15,3.9000000000000004,0.04,0,3.0,0,282353694.0,0.0,20
7679799,0.9999999521239228,"[(<tree.AND object at 0x7f382ecdca00>, 'D')]",20,1.1,0.5,1,4,0.001,0.007471387507423852,0.03,3.9000000000000004,0.02,0,1.0,0,68820590325.0,0.0,20
111415,1.0,[],20,1.1,0.5,1,11,0.001,0.007471387507423852,0.15,3.9000000000000004,0.05,0,3.5,0,12363236326.0,0.0,20
711732,1.0,[],20,1.1,0.5,1,12,0.001,0.007471387507423852,0.13,3.9000000000000004,0.04,0,2.5,0,2113657.0,0.0,20
6363679,1.0,[],20,1.1,0.5,1,10,0.001,0.007471387507423852,0.11,3.9000000000000004,0.04,0,3.0,0,36446.0,0.0,20
7824477,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,52983259713.0,0.0,20
99635,0.9991112062835632,[],20,1.1,0.5,1,10,0.001,0.007471387507423852,0.11,3.9000000000000004,0.04,0,3.0,0,1118928489.0,0.0,20
1742697,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,469365969.0,0.0,20
3332327,1.0,"[(<tree.AND object at 0x7f5fe1f20a00>, 'D')]",20,1.1,0.5,1,4,0.001,0.007471387507423852,0.03,3.9000000000000004,0.03,0,2.5,0,8948007676.0,0.0,20
2081100,0.9994168214190241,"[(<tree.AND object at 0x7ff4ed383d60>, 'C')]",20,1.1,0.5,1,3,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,47127340189370.0,0.0,20
2661396,0.9999952035003276,"[(<tree.AND object at 0x7f5fb3c40e50>, 'E'), (<tree.AND object at 0x7f5fb3c40c70>, 'E')]",20,1.1,0.5,1,6,0.001,0.007471387507423852,0.05,3.9000000000000004,0.03,0,1.0,0,10301643990.0,0.0,20
8634639,1.0,[],20,1.1,0.5,1,2,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.5,0,11469037.0,0.0,20
5155878,0.9999493820072975,[],20,1.1,0.5,1,10,0.001,0.007471387507423852,0.13,3.9000000000000004,0.04,0,3.0,0,446665.0,0.0,20
8725386,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,2136875235009.0,0.0,20
634937,0.9999971247087729,"[(<tree.AND object at 0x7f7d997b93c0>, 'A')]",20,1.1,0.5,1,8,0.001,0.007471387507423852,0.07,3.9000000000000004,0.03,0,2.0,0,254997273184.0,0.0,20
998061,1.0,[],20,1.1,0.5,1,6,0.001,0.007471387507423852,0.05,3.9000000000000004,0.02,0,1.0,0,1087626512072.0,0.0,20
9363878,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.03,0,0.0,0,50981783025856.0,0.0,20
986437,1.000000000009667,"[(<tree.AND object at 0x7f5515c80c10>, 'D')]",20,1.1,0.5,1,5,0.001,0.007471387507423852,0.06,3.9000000000000004,0.04,0,2.0,0,4103606168290.0,0.0,20
924518,1.0000000000000002,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,1.1776740178376396e+20,0.0,20
5482872,1.0,"[(<tree.AND object at 0x7fc2ac93b940>, 'A')]",20,1.1,0.5,1,2,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,139399490350.0,0.0,20
757474,0.9998574490896022,[],20,1.1,0.5,1,8,0.001,0.007471387507423852,0.09,3.9000000000000004,0.05,0,3.5,0,103155.0,0.0,20
8341878,1.0,[],20,1.1,0.5,1,8,0.001,0.007471387507423852,0.08,3.9000000000000004,0.04,0,3.5,0,4.049295235391723e+19,0.0,20
5999975,1.0000000000022597,"[(<tree.AND object at 0x7fa6b4feb940>, 'A')]",20,1.1,0.5,1,2,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,1068208760945302.0,0.0,20
647647,0.9999999998273399,"[(<tree.AND object at 0x7f18a2181ed0>, 'D')]",20,1.1,0.5,1,12,0.001,0.007471387507423852,0.15,3.9000000000000004,0.06,0,2.0,0,378774072898.0,0.0,20
9356204,0.9999999967173832,[],20,1.1,0.5,1,9,0.001,0.007471387507423852,0.09,3.9000000000000004,0.03,0,2.0,0,4.802401742440736e+16,0.0,20
5622295,1.0000086107889803,"[(<tree.AND object at 0x7f63dbda0f70>, 'C')]",20,1.1,0.5,1,6,0.001,0.007471387507423852,0.06,3.9000000000000004,0.04,0,3.5,0,12155755.0,0.0,20
9775675,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,9833244137.0,0.0,20
8222908,1.0000000000000002,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,1.9364093194186195e+17,0.0,20
9465419,1.0,"[(<tree.AND object at 0x7f3fa28f7940>, 'A')]",20,1.1,0.5,1,2,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,255229391681.0,0.0,20
9503857,1.0000000000000115,"[(<tree.AND object at 0x7fd6f9a113c0>, 'E')]",20,1.1,0.5,1,8,0.001,0.007471387507423852,0.08,3.9000000000000004,0.03,0,2.0,0,1.4121995561864338e+16,0.0,20
6498253,0.9999999519455598,[],20,1.1,0.5,1,9,0.001,0.007471387507423852,0.07,3.9000000000000004,0.04,0,2.0,0,548749493.0,0.0,20
8162958,1.0,[],20,1.1,0.5,1,2,0.001,0.007471387507423852,0.02,3.9000000000000004,0.01,0,0.5,0,309177.0,0.0,20
6738269,1.0000000000000002,"[(<tree.AND object at 0x7f03359b9060>, 'E'), (<tree.AND object at 0x7f03359b9060>, 'E'), (<tree.AND object at 0x7f03359b8e50>, 'E'), (<tree.AND object at 0x7f03359b8b50>, 'E')]",20,1.1,0.5,1,6,0.001,0.007471387507423852,0.06,3.9000000000000004,0.04,0,2.5,0,3.2225583067998503e+19,0.0,20
794469,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,7906261896.0,0.0,20
8657522,1.0000000001793778,"[(<tree.AND object at 0x7fd1697cca00>, 'D')]",20,1.1,0.5,1,4,0.001,0.007471387507423852,0.04,3.9000000000000004,0.03,0,2.0,0,236567765762.0,0.0,20
2628042,0.9755370853251327,"[(<tree.AND object at 0x7faf70e9f0d0>, 'D')]",20,1.1,0.5,1,3,0.001,0.007471387507423852,0.03,3.9000000000000004,0.03,0,2.5,0,3553951770083.0,0.0,20
3277462,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,25541562.0,0.0,20
7208350,1.0,"[(<tree.AND object at 0x7f4d76ba1090>, 'D'), (<tree.AND object at 0x7f4d76ba0ee0>, 'D')]",20,1.1,0.5,1,6,0.001,0.007471387507423852,0.06,3.9000000000000004,0.03,0,2.0,0,1917005266612.0,0.0,20
4951787,1.0,[],20,1.1,0.5,1,4,0.001,0.007471387507423852,0.04,3.9000000000000004,0.01,0,0.0,0,13789413793120.0,0.0,20
6445800,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,592232832162.0,0.0,20
1727191,1.0,[],20,1.1,0.5,1,3,0.001,0.007471387507423852,0.02,3.9000000000000004,0.01,0,0.0,0,1.0153369697449902e+19,0.0,20
9233173,0.9999999999999496,"[(<tree.AND object at 0x7fd0cf1a5ae0>, 'C')]",20,1.1,0.5,1,13,0.001,0.007471387507423852,0.1,3.9000000000000004,0.03,0,2.0,0,1256238047435388.0,0.0,20
126347,0.9999995173407181,[],20,1.1,0.5,1,11,0.001,0.007471387507423852,0.14,3.9000000000000004,0.04,0,3.0,0,19057218.0,0.0,20
9384099,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,1484058418496.0,0.0,20
2258622,0.9999999145436379,"[(<tree.AND object at 0x7fa5c35916f0>, 'A')]",20,1.1,0.5,1,9,0.001,0.007471387507423852,0.09,3.9000000000000004,0.05,0,2.0,0,126429391466.0,0.0,20
5947228,0.9999992908679863,"[(<tree.AND object at 0x7fdac0d80910>, 'E'), (<tree.AND object at 0x7fdac0d80c10>, 'E')]",20,1.1,0.5,1,5,0.001,0.007471387507423852,0.05,3.9000000000000004,0.03,0,2.0,0,488819794490.0,0.0,20
1539405,0.9987879157588221,[],20,1.3,0.5,1,15,0.001,0.007471387507423852,0.23,3.9000000000000004,0.04,0,3.5,0,55539.0,0.0,20
9729724,0.9978847151905591,[],20,1.3,0.5,1,13,0.001,0.007471387507423852,0.1,3.9000000000000004,0.04,0,2.0,0,944.0,0.0,20
