ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9792173,0.05274283146964856,[],20,1.6,0.5,1,22,0.01,0.01,0.36,4.65,0.22,0,3.0,0,2504.0,0.0,7
3715519,0.2915287614613475,[],20,1.6,0.5,1,21,0.01,0.01,0.33,4.65,0.38,0,3.0,0,887.0,0.0,7
2985445,0.3141995467120603,[],20,1.6,0.5,1,21,0.01,0.01,0.33,4.65,0.15,0,3.0,0,398.0,0.0,7
4805351,0.0001147479076380843,"[(<tree.SEQ object at 0x7fda3a884ca0>, 'A')]",20,1.6,0.5,1,13,0.01,0.01,0.44,4.324999999999999,0.38,0,3.5,0,8975496.0,0.0,7
2460731,0.30733392309311997,[],20,1.6,0.5,1,25,0.01,0.01,0.49,4.324999999999999,0.12,0,3.0,0,250.0,0.0,7
6541407,0.6447941251602464,[],20,1.6,0.5,1,24,0.01,0.01,0.68,4.324999999999999,0.14,0,3.0,0,2274.0,0.0,7
9726449,0.5392182072397861,[],20,1.7,0.5,1,25,0.01,0.01,0.54,4.324999999999999,0.12,0,3.5,0,935.0,0.0,7
7718596,0.12078374888148309,"[(<tree.SEQ object at 0x7faa75799f00>, 'C'), (<tree.SEQ object at 0x7faa757997e0>, 'C')]",20,1.7,0.5,1,4,0.01,0.01,0.06,4.324999999999999,0.26,0,1.0,0,2.0324540634096368e+17,0.0,7
7811640,0.0006511626397484495,"[(<tree.AND object at 0x7f9bd44eb460>, 'E'), (<tree.AND object at 0x7f9bd44eb460>, 'E'), (<tree.AND object at 0x7f9bd44e9870>, 'E'), (<tree.AND object at 0x7f9bd44eb280>, 'E')]",20,1.1,0.5,1,11,0.01,0.01,0.17,4.324999999999999,0.34,0,2.0,0,143855449.0,0.0,7
2122755,0.4023366559457652,[],20,1.7,0.5,1,14,0.01,0.01,0.36,4.324999999999999,0.22,0,3.5,0,562.0,0.0,7
6936742,0.12646292112770924,[],20,1.8,0.5,1,25,0.01,0.01,0.5,4.324999999999999,0.25,0,3.5,0,8447.0,0.0,7
9687717,0.11632113775175613,[],20,1.2,0.5,1,25,0.01,0.01,0.43,4.324999999999999,0.14,0,3.5,0,972866.0,0.0,7
4265513,0.04217020395321916,"[(<tree.SEQ object at 0x7f3608085090>, 'A')]",20,1.8,0.5,1,25,0.01,0.01,0.6,4.324999999999999,0.3,0,3.0,0,12752.0,0.0,7
2248222,0.013790349149178031,[],20,1.3,0.5,1,25,0.01,0.01,0.53,4.324999999999999,0.1,0,3.0,0,402023.0,0.0,7
8716891,0.05691632978695542,[],20,1.8,0.5,1,24,0.01,0.01,0.52,4.324999999999999,0.3,0,3.0,0,1588.0,0.0,7
9808525,0.0745930187244898,[],20,1.9,0.5,1,25,0.01,0.01,0.57,4.324999999999999,0.13,0,3.0,0,2744.0,0.0,7
715961,0.37235872665389225,[],20,1.9,0.5,1,25,0.01,0.01,0.54,4.324999999999999,0.11,0,3.0,0,334.0,0.0,7
1344282,0.07429663324519678,[],20,1.3,0.5,1,21,0.01,0.01,0.39,4.324999999999999,0.26,0,3.0,0,7089.0,0.0,7
3290537,0.023060867448840134,[],20,1.9,0.5,1,24,0.01,0.01,0.55,4.324999999999999,0.28,0,3.5,0,2990.0,0.0,7
