ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
504426,0.7921873280441808,"(199906.0, 0, 5, {'D': {'D33': [33, 24, 18, 12, 1, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D35': [35, 31, 21, 13, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D38': [38, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D43': [43, 27, 18, 12, 1, 0], 'D44': [44, 28, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D47': [47, 24, 18, 12, 1, 0], 'D48': [48, 25, 17, 8, 2, 0]}, 'B': {'B9': [9, 2, 0], 'B34': [34, 28, 18, 12, 1, 0], 'B35': [35, 31, 21, 13, 1, 0], 'B38': [38, 24, 18, 12, 1, 0], 'B41': [41, 24, 18, 12, 1, 0], 'B42': [42, 24, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B44': [44, 28, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A32': [32, 30, 18, 12, 1, 0], 'A36': [36, 24, 18, 12, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A41': [41, 24, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C9': [9, 2, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C37': [37, 24, 18, 12, 1, 0], 'C39': [39, 27, 18, 12, 1, 0], 'C41': [41, 24, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0]}, 'E': {'E15': [15, 2, 0], 'E33': [33, 24, 18, 12, 1, 0], 'E35': [35, 31, 21, 13, 1, 0], 'E38': [38, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E43': [43, 27, 18, 12, 1, 0], 'E44': [44, 28, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0]}})",158363.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.04,2.5,0.69,0,2.0,0,199906.0,0.0,10,2
1905067,1.0,"(216542.0, 0, 5, {'D': {'D6': [6, 0], 'D10': [10, 2, 0], 'D32': [32, 30, 18, 12, 1, 0], 'D33': [33, 24, 18, 12, 1, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D38': [38, 24, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D47': [47, 24, 18, 12, 1, 0], 'D48': [48, 25, 17, 8, 2, 0]}, 'B': {'B10': [10, 2, 0], 'B17': [17, 8, 2, 0], 'B22': [22, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B42': [42, 24, 18, 12, 1, 0], 'B44': [44, 28, 18, 12, 1, 0], 'B45': [45, 24, 18, 12, 1, 0], 'B47': [47, 24, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A4': [4, 0], 'A6': [6, 0], 'A14': [14, 6, 0], 'A17': [17, 8, 2, 0], 'A32': [32, 30, 18, 12, 1, 0], 'A33': [33, 24, 18, 12, 1, 0], 'A36': [36, 24, 18, 12, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A41': [41, 24, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A44': [44, 28, 18, 12, 1, 0], 'A45': [45, 24, 18, 12, 1, 0], 'A46': [46, 28, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C6': [6, 0], 'C10': [10, 2, 0], 'C17': [17, 8, 2, 0], 'C22': [22, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0], 'C44': [44, 28, 18, 12, 1, 0], 'C45': [45, 24, 18, 12, 1, 0], 'C46': [46, 28, 18, 12, 1, 0], 'C47': [47, 24, 18, 12, 1, 0]}, 'E': {'E4': [4, 0], 'E6': [6, 0], 'E10': [10, 2, 0], 'E17': [17, 8, 2, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E41': [41, 24, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E43': [43, 27, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",216542.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.06,2.5,0.71,0,2.0,0,216542.0,0.0,10,2
8093517,0.7768306552411409,"(177614.0, 0, 5, {'D': {'D9': [9, 2, 0], 'D13': [13, 1, 0], 'D32': [32, 30, 18, 12, 1, 0], 'D33': [33, 24, 18, 12, 1, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D48': [48, 25, 17, 8, 2, 0]}, 'B': {'B9': [9, 2, 0], 'B32': [32, 30, 18, 12, 1, 0], 'B33': [33, 24, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A9': [9, 2, 0], 'A24': [24, 18, 12, 1, 0], 'A32': [32, 30, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A41': [41, 24, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A44': [44, 28, 18, 12, 1, 0], 'A46': [46, 28, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C9': [9, 2, 0], 'C13': [13, 1, 0], 'C24': [24, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C35': [35, 31, 21, 13, 1, 0], 'C40': [40, 27, 18, 12, 1, 0], 'C43': [43, 27, 18, 12, 1, 0], 'C45': [45, 24, 18, 12, 1, 0], 'C48': [48, 25, 17, 8, 2, 0]}, 'E': {'E9': [9, 2, 0], 'E33': [33, 24, 18, 12, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E38': [38, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E49': [49, 27, 18, 12, 1, 0]}})",137976.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.03,2.5,0.71,0,2.0,0,177614.0,0.0,10,2
7889217,1.0,"(241856.0, 0, 5, {'D': {'D5': [5, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D45': [45, 24, 18, 12, 1, 0], 'D48': [48, 25, 17, 8, 2, 0]}, 'B': {'B16': [16, 13, 1, 0], 'B34': [34, 28, 18, 12, 1, 0], 'B35': [35, 31, 21, 13, 1, 0], 'B36': [36, 24, 18, 12, 1, 0], 'B38': [38, 24, 18, 12, 1, 0], 'B39': [39, 27, 18, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B42': [42, 24, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B44': [44, 28, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B47': [47, 24, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A5': [5, 0], 'A13': [13, 1, 0], 'A33': [33, 24, 18, 12, 1, 0], 'A35': [35, 31, 21, 13, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A38': [38, 24, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A41': [41, 24, 18, 12, 1, 0], 'A43': [43, 27, 18, 12, 1, 0], 'A45': [45, 24, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C14': [14, 6, 0], 'C32': [32, 30, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C35': [35, 31, 21, 13, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C38': [38, 24, 18, 12, 1, 0], 'C40': [40, 27, 18, 12, 1, 0], 'C41': [41, 24, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0], 'C44': [44, 28, 18, 12, 1, 0], 'C45': [45, 24, 18, 12, 1, 0], 'C47': [47, 24, 18, 12, 1, 0], 'C48': [48, 25, 17, 8, 2, 0], 'C49': [49, 27, 18, 12, 1, 0]}, 'E': {'E5': [5, 0], 'E32': [32, 30, 18, 12, 1, 0], 'E34': [34, 28, 18, 12, 1, 0], 'E37': [37, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",241856.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.04,2.5,0.69,0,2.0,0,241856.0,0.0,10,2
9872597,0.7655646877896259,"(196374.0, 0, 5, {'D': {'D12': [12, 1, 0], 'D15': [15, 2, 0], 'D21': [21, 13, 1, 0], 'D33': [33, 24, 18, 12, 1, 0], 'D38': [38, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D44': [44, 28, 18, 12, 1, 0]}, 'B': {'B13': [13, 1, 0], 'B15': [15, 2, 0], 'B32': [32, 30, 18, 12, 1, 0], 'B34': [34, 28, 18, 12, 1, 0], 'B38': [38, 24, 18, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B44': [44, 28, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0]}, 'A': {'A13': [13, 1, 0], 'A15': [15, 2, 0], 'A16': [16, 13, 1, 0], 'A21': [21, 13, 1, 0], 'A35': [35, 31, 21, 13, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A43': [43, 27, 18, 12, 1, 0], 'A45': [45, 24, 18, 12, 1, 0], 'A46': [46, 28, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0]}, 'C': {'C13': [13, 1, 0], 'C15': [15, 2, 0], 'C16': [16, 13, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C37': [37, 24, 18, 12, 1, 0], 'C38': [38, 24, 18, 12, 1, 0], 'C40': [40, 27, 18, 12, 1, 0], 'C41': [41, 24, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0], 'C44': [44, 28, 18, 12, 1, 0], 'C47': [47, 24, 18, 12, 1, 0], 'C49': [49, 27, 18, 12, 1, 0]}, 'E': {'E15': [15, 2, 0], 'E21': [21, 13, 1, 0], 'E32': [32, 30, 18, 12, 1, 0], 'E35': [35, 31, 21, 13, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E37': [37, 24, 18, 12, 1, 0], 'E38': [38, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",150337.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.03,2.5,0.71,0,2.0,0,196374.0,0.0,10,2
1582189,1.0,"(216636.0, 0, 5, {'D': {'D4': [4, 0], 'D13': [13, 1, 0], 'D17': [17, 8, 2, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D35': [35, 31, 21, 13, 1, 0], 'D36': [36, 24, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D44': [44, 28, 18, 12, 1, 0], 'D45': [45, 24, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D47': [47, 24, 18, 12, 1, 0], 'D49': [49, 27, 18, 12, 1, 0]}, 'B': {'B2': [2, 0], 'B10': [10, 2, 0], 'B14': [14, 6, 0], 'B17': [17, 8, 2, 0], 'B34': [34, 28, 18, 12, 1, 0], 'B41': [41, 24, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B44': [44, 28, 18, 12, 1, 0], 'B45': [45, 24, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0], 'B49': [49, 27, 18, 12, 1, 0]}, 'A': {'A2': [2, 0], 'A10': [10, 2, 0], 'A32': [32, 30, 18, 12, 1, 0], 'A35': [35, 31, 21, 13, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A43': [43, 27, 18, 12, 1, 0], 'A44': [44, 28, 18, 12, 1, 0], 'A45': [45, 24, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0]}, 'C': {'C14': [14, 6, 0], 'C32': [32, 30, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C35': [35, 31, 21, 13, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C39': [39, 27, 18, 12, 1, 0], 'C40': [40, 27, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0], 'C49': [49, 27, 18, 12, 1, 0]}, 'E': {'E2': [2, 0], 'E4': [4, 0], 'E10': [10, 2, 0], 'E14': [14, 6, 0], 'E17': [17, 8, 2, 0], 'E32': [32, 30, 18, 12, 1, 0], 'E35': [35, 31, 21, 13, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",216636.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.04,2.5,0.71,0,2.0,0,216636.0,0.0,10,2
8837942,1.0,"(236541.0, 0, 5, {'D': {'D3': [3, 0], 'D15': [15, 2, 0], 'D18': [18, 12, 1, 0], 'D21': [21, 13, 1, 0], 'D32': [32, 30, 18, 12, 1, 0], 'D33': [33, 24, 18, 12, 1, 0], 'D35': [35, 31, 21, 13, 1, 0], 'D36': [36, 24, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D43': [43, 27, 18, 12, 1, 0], 'D45': [45, 24, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D48': [48, 25, 17, 8, 2, 0]}, 'B': {'B18': [18, 12, 1, 0], 'B33': [33, 24, 18, 12, 1, 0], 'B34': [34, 28, 18, 12, 1, 0], 'B35': [35, 31, 21, 13, 1, 0], 'B38': [38, 24, 18, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B45': [45, 24, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0]}, 'A': {'A11': [11, 5, 0], 'A15': [15, 2, 0], 'A21': [21, 13, 1, 0], 'A35': [35, 31, 21, 13, 1, 0], 'A38': [38, 24, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A44': [44, 28, 18, 12, 1, 0], 'A47': [47, 24, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0]}, 'C': {'C18': [18, 12, 1, 0], 'C32': [32, 30, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C35': [35, 31, 21, 13, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C39': [39, 27, 18, 12, 1, 0], 'C40': [40, 27, 18, 12, 1, 0], 'C44': [44, 28, 18, 12, 1, 0], 'C45': [45, 24, 18, 12, 1, 0], 'C48': [48, 25, 17, 8, 2, 0]}, 'E': {'E3': [3, 0], 'E11': [11, 5, 0], 'E21': [21, 13, 1, 0], 'E32': [32, 30, 18, 12, 1, 0], 'E34': [34, 28, 18, 12, 1, 0], 'E35': [35, 31, 21, 13, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E37': [37, 24, 18, 12, 1, 0], 'E39': [39, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E43': [43, 27, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E47': [47, 24, 18, 12, 1, 0], 'E49': [49, 27, 18, 12, 1, 0]}})",236541.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.06,2.5,0.75,0,2.0,0,236541.0,0.0,10,2
9128006,1.0,"(219240.0, 0, 5, {'D': {'D4': [4, 0], 'D12': [12, 1, 0], 'D32': [32, 30, 18, 12, 1, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D35': [35, 31, 21, 13, 1, 0], 'D36': [36, 24, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D38': [38, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D44': [44, 28, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D49': [49, 27, 18, 12, 1, 0]}, 'B': {'B4': [4, 0], 'B33': [33, 24, 18, 12, 1, 0], 'B36': [36, 24, 18, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B41': [41, 24, 18, 12, 1, 0], 'B42': [42, 24, 18, 12, 1, 0], 'B43': [43, 27, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A32': [32, 30, 18, 12, 1, 0], 'A33': [33, 24, 18, 12, 1, 0], 'A36': [36, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A43': [43, 27, 18, 12, 1, 0], 'A46': [46, 28, 18, 12, 1, 0], 'A47': [47, 24, 18, 12, 1, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C4': [4, 0], 'C12': [12, 1, 0], 'C32': [32, 30, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C37': [37, 24, 18, 12, 1, 0], 'C42': [42, 24, 18, 12, 1, 0], 'C46': [46, 28, 18, 12, 1, 0], 'C47': [47, 24, 18, 12, 1, 0]}, 'E': {'E34': [34, 28, 18, 12, 1, 0], 'E35': [35, 31, 21, 13, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E38': [38, 24, 18, 12, 1, 0], 'E39': [39, 27, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E41': [41, 24, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E47': [47, 24, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",219240.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.04,2.5,0.7,0,2.0,0,219240.0,0.0,10,2
4168246,1.0,"(204680.0, 0, 5, {'D': {'D3': [3, 0], 'D13': [13, 1, 0], 'D33': [33, 24, 18, 12, 1, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D36': [36, 24, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D38': [38, 24, 18, 12, 1, 0], 'D40': [40, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D44': [44, 28, 18, 12, 1, 0], 'D49': [49, 27, 18, 12, 1, 0]}, 'B': {'B13': [13, 1, 0], 'B32': [32, 30, 18, 12, 1, 0], 'B36': [36, 24, 18, 12, 1, 0], 'B37': [37, 24, 18, 12, 1, 0], 'B38': [38, 24, 18, 12, 1, 0], 'B40': [40, 27, 18, 12, 1, 0], 'B42': [42, 24, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B49': [49, 27, 18, 12, 1, 0]}, 'A': {'A3': [3, 0], 'A5': [5, 0], 'A33': [33, 24, 18, 12, 1, 0], 'A35': [35, 31, 21, 13, 1, 0], 'A36': [36, 24, 18, 12, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A43': [43, 27, 18, 12, 1, 0], 'A44': [44, 28, 18, 12, 1, 0], 'A45': [45, 24, 18, 12, 1, 0], 'A48': [48, 25, 17, 8, 2, 0]}, 'C': {'C5': [5, 0], 'C13': [13, 1, 0], 'C32': [32, 30, 18, 12, 1, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C35': [35, 31, 21, 13, 1, 0], 'C36': [36, 24, 18, 12, 1, 0], 'C37': [37, 24, 18, 12, 1, 0], 'C38': [38, 24, 18, 12, 1, 0], 'C39': [39, 27, 18, 12, 1, 0], 'C41': [41, 24, 18, 12, 1, 0], 'C44': [44, 28, 18, 12, 1, 0]}, 'E': {'E3': [3, 0], 'E5': [5, 0], 'E13': [13, 1, 0], 'E33': [33, 24, 18, 12, 1, 0], 'E36': [36, 24, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E43': [43, 27, 18, 12, 1, 0], 'E44': [44, 28, 18, 12, 1, 0]}})",204680.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.03,2.5,0.7,0,2.0,0,204680.0,0.0,10,2
5335402,1.0,"(221168.0, 0, 5, {'D': {'D20': [20, 9, 2, 0], 'D34': [34, 28, 18, 12, 1, 0], 'D36': [36, 24, 18, 12, 1, 0], 'D37': [37, 24, 18, 12, 1, 0], 'D39': [39, 27, 18, 12, 1, 0], 'D41': [41, 24, 18, 12, 1, 0], 'D42': [42, 24, 18, 12, 1, 0], 'D46': [46, 28, 18, 12, 1, 0], 'D47': [47, 24, 18, 12, 1, 0], 'D49': [49, 27, 18, 12, 1, 0]}, 'B': {'B18': [18, 12, 1, 0], 'B20': [20, 9, 2, 0], 'B21': [21, 13, 1, 0], 'B35': [35, 31, 21, 13, 1, 0], 'B36': [36, 24, 18, 12, 1, 0], 'B45': [45, 24, 18, 12, 1, 0], 'B46': [46, 28, 18, 12, 1, 0], 'B47': [47, 24, 18, 12, 1, 0], 'B48': [48, 25, 17, 8, 2, 0]}, 'A': {'A3': [3, 0], 'A18': [18, 12, 1, 0], 'A21': [21, 13, 1, 0], 'A33': [33, 24, 18, 12, 1, 0], 'A34': [34, 28, 18, 12, 1, 0], 'A36': [36, 24, 18, 12, 1, 0], 'A37': [37, 24, 18, 12, 1, 0], 'A39': [39, 27, 18, 12, 1, 0], 'A40': [40, 27, 18, 12, 1, 0], 'A42': [42, 24, 18, 12, 1, 0], 'A47': [47, 24, 18, 12, 1, 0], 'A49': [49, 27, 18, 12, 1, 0]}, 'C': {'C20': [20, 9, 2, 0], 'C33': [33, 24, 18, 12, 1, 0], 'C34': [34, 28, 18, 12, 1, 0], 'C37': [37, 24, 18, 12, 1, 0], 'C38': [38, 24, 18, 12, 1, 0], 'C41': [41, 24, 18, 12, 1, 0], 'C43': [43, 27, 18, 12, 1, 0], 'C47': [47, 24, 18, 12, 1, 0], 'C49': [49, 27, 18, 12, 1, 0]}, 'E': {'E3': [3, 0], 'E5': [5, 0], 'E10': [10, 2, 0], 'E18': [18, 12, 1, 0], 'E21': [21, 13, 1, 0], 'E32': [32, 30, 18, 12, 1, 0], 'E33': [33, 24, 18, 12, 1, 0], 'E37': [37, 24, 18, 12, 1, 0], 'E38': [38, 24, 18, 12, 1, 0], 'E39': [39, 27, 18, 12, 1, 0], 'E40': [40, 27, 18, 12, 1, 0], 'E42': [42, 24, 18, 12, 1, 0], 'E43': [43, 27, 18, 12, 1, 0], 'E44': [44, 28, 18, 12, 1, 0], 'E45': [45, 24, 18, 12, 1, 0], 'E46': [46, 28, 18, 12, 1, 0], 'E47': [47, 24, 18, 12, 1, 0], 'E48': [48, 25, 17, 8, 2, 0]}})",221168.0,[],50,1.1,0.5,1,4,0.001,0.006344154552837967,0.05,2.5,0.71,0,2.0,0,221168.0,0.0,10,2
