ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
567449,0.9915691237172889,[],20,1.1,0.5,1,7,0.001,0.007471387507423852,0.06,3.9000000000000004,0.03,0,2.0,0,75410.0,0.0,20
8192010,0.9882224582804389,[],20,1.1,0.5,1,5,0.001,0.007471387507423852,0.05,3.9000000000000004,0.03,0,2.0,0,976414.0,0.0,20
9076363,0.9999999861970195,"[(<tree.AND object at 0x7f8b4e68c700>, 'C')]",20,1.1,0.5,1,5,0.001,0.007471387507423852,0.03,3.9000000000000004,0.02,0,1.0,0,3877967756217.0,0.0,20
5979506,0.9999401857871079,"[(<tree.AND object at 0x7f87847436a0>, 'D')]",20,1.1,0.5,1,3,0.001,0.007471387507423852,0.02,3.9000000000000004,0.02,0,1.0,0,60728512.0,0.0,20
1845706,0.9999999929183828,[],20,1.1,0.5,1,7,0.001,0.007471387507423852,0.06,3.9000000000000004,0.03,0,2.0,0,282353694.0,0.0,20
5790258,0.9999604378714394,"[(<tree.AND object at 0x7f1ec8f4cc70>, 'D')]",20,1.1,0.5,1,6,0.001,0.007471387507423852,0.05,3.9000000000000004,0.03,0,2.0,0,68820590325.0,0.0,20
4139768,1.0,[],20,1.1,0.5,1,8,0.001,0.007471387507423852,0.08,3.9000000000000004,0.03,0,2.0,0,12363236326.0,0.0,20
4764012,1.0,[],20,1.1,0.5,1,7,0.001,0.007471387507423852,0.08,3.9000000000000004,0.03,0,2.0,0,2113657.0,0.0,20
7485713,1.0,[],20,1.1,0.5,1,5,0.001,0.007471387507423852,0.05,3.9000000000000004,0.03,0,2.0,0,36446.0,0.0,20
9898180,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,52983259713.0,0.0,20
2260122,0.9999999410936887,[],20,1.1,0.5,1,5,0.001,0.007471387507423852,0.04,3.9000000000000004,0.03,0,2.0,0,1118928489.0,0.0,20
5682571,1.0,[],20,1.1,0.5,1,1,0.001,0.007471387507423852,0.01,3.9000000000000004,0.01,0,0.0,0,469365969.0,0.0,20
