ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
656706,0.0002545267123216132,[],20,1.4,0.5,1,10,0.01,0.01,0.08,4.25,0.04,0,2.5,0,287227.0,0.0,7
9622044,0.005091709421808701,[],20,1.4,0.5,1,10,0.01,0.01,0.1,4.25,0.09,0,2.0,0,19561.0,0.0,7
9318795,0.00798637888827859,[],20,1.4,0.5,1,10,0.01,0.01,0.09,4.25,0.07,0,2.0,0,18206.0,0.0,7
7223423,0.04171247984071678,[],20,1.4,0.5,1,9,0.01,0.01,0.09,4.25,0.12,0,2.0,0,10045.0,0.0,7
8154996,0.3039226232877419,[],20,1.5,0.5,1,10,0.01,0.01,0.06,4.25,0.06,0,2.0,0,155.0,0.0,7
3565867,0.11773308916176471,[],20,1.5,0.5,1,10,0.01,0.01,0.08,4.25,0.04,0,2.0,0,408.0,0.0,7
2198160,0.4341722846441948,[],20,1.5,0.5,1,10,0.01,0.01,0.11,4.25,0.08,0,2.0,0,534.0,0.0,7
206432,0.14785967619047619,[],20,1.5,0.5,1,10,0.01,0.01,0.14,4.25,0.09,0,2.0,0,525.0,0.0,7
1325067,0.1452510292249047,[],20,1.5,0.5,1,10,0.01,0.01,0.1,4.25,0.09,0,2.0,0,1574.0,0.0,7
4698947,0.34320136557009345,[],20,1.5,0.5,1,10,0.01,0.01,0.07,4.25,0.08,0,2.0,0,428.0,0.0,7
2776270,0.7079159894008032,[],20,1.6,0.5,1,10,0.01,0.01,0.09,4.25,0.13,0,2.5,0,249.0,0.0,7
7392755,0.4773664761904762,[],20,1.6,0.5,1,10,0.01,0.01,0.08,4.25,0.07,0,2.0,0,105.0,0.0,7
7623598,0.5517352452830189,[],20,1.6,0.5,1,10,0.01,0.01,0.1,4.25,0.05,0,2.0,0,106.0,0.0,7
2108136,0.3531021069692058,[],20,1.6,0.5,1,10,0.01,0.01,0.09,4.25,0.05,0,2.5,0,617.0,0.0,7
357687,0.33034190828679244,[],20,1.6,0.5,1,21,0.01,0.01,0.23,4.25,0.17,0,3.5,0,371.0,0.0,7
6600814,0.3797534624163623,[],20,1.6,0.5,1,10,0.01,0.01,0.09,4.25,0.07,0,2.0,0,1369.0,0.0,7
9984260,0.48203704925925933,[],20,1.6,0.5,1,10,0.01,0.01,0.08,4.25,0.06,0,2.0,0,108.0,0.0,7
7400258,0.7348636761904762,[],20,1.6,0.5,1,10,0.01,0.01,0.11,4.25,0.13,0,2.0,0,210.0,0.0,7
9175230,0.19881706924795234,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.11,0,2.0,0,1343.0,0.0,7
2649520,0.7878653061224491,[],20,1.7,0.5,1,10,0.01,0.01,0.15,4.25,0.1,0,2.0,0,98.0,0.0,7
7527270,0.1888662857142857,[],20,1.7,0.5,1,10,0.01,0.01,0.08,4.25,0.09,0,2.0,0,238.0,0.0,7
6981919,0.2346881526436214,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.06,0,2.0,0,486.0,0.0,7
7771411,0.2979026373626374,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.09,0,2.0,0,364.0,0.0,7
256002,0.30142545454545455,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.07,0,2.0,0,253.0,0.0,7
9129433,0.6104367545834862,[],20,1.7,0.5,1,10,0.01,0.01,0.08,4.25,0.06,0,2.0,0,109.0,0.0,7
3980850,1.036732717948718,[],20,1.8,0.5,1,10,0.01,0.01,0.1,4.25,0.13,0,2.5,0,390.0,0.0,7
151405,0.0054497192830922055,[],20,1.8,0.5,1,10,0.01,0.01,0.09,4.25,0.09,0,2.0,0,9262.0,0.0,7
8694914,0.13774066265060242,[],20,1.8,0.5,1,10,0.01,0.01,0.09,4.25,0.08,0,2.0,0,332.0,0.0,7
2044897,0.35259311735172416,[],20,1.8,0.5,1,10,0.01,0.01,0.07,4.25,0.05,0,2.0,0,145.0,0.0,7
8535752,0.3872373015873016,[],20,1.8,0.5,1,10,0.01,0.01,0.08,4.25,0.12,0,2.5,0,252.0,0.0,7
1827685,0.12736515331807782,[],20,1.8,0.5,1,10,0.01,0.01,0.08,4.25,0.05,0,2.0,0,874.0,0.0,7
7794748,0.4257693445248677,[],20,1.8,0.5,1,10,0.01,0.01,0.07,4.25,0.05,0,2.0,0,189.0,0.0,7
7703284,0.4364495044383562,[],20,1.8,0.5,1,10,0.01,0.01,0.07,4.25,0.05,0,2.0,0,365.0,0.0,7
