ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5040733,0.5357375870069606,[],20,1.9,0.5,1,8,0.01,0.01,0.07,4.65,0.09,0,2.5,0,431.0,0.0,7
2204955,0.8602482706766917,[],20,1.6,0.5,1,8,0.01,0.01,0.07,4.65,0.06,0,2.5,0,399.0,0.0,7
9587228,0.1550074184665579,[],20,1.6,0.5,1,6,0.01,0.01,0.08,4.65,0.1,0,2.0,0,613.0,0.0,7
2795479,0.7303109266778083,[],20,1.6,0.5,1,8,0.01,0.01,0.08,4.65,0.4,0,2.5,0,730.0,0.0,7
6226293,0.19113850387524012,[],20,1.1,0.5,1,10,0.01,0.01,0.15,4.324999999999999,0.16,0,2.0,0,937.0,0.0,7
4930752,0.07603619423219127,[],20,1.7,0.5,1,10,0.01,0.01,0.11,4.324999999999999,0.15,0,2.0,0,4057.0,0.0,7
5580646,4.188921194072239e-08,"[(<tree.AND object at 0x7f2d247a99f0>, 'E'), (<tree.AND object at 0x7f2d247aa4d0>, 'E')]",20,1.1,0.5,1,8,0.01,0.01,0.08,4.324999999999999,0.21,0,1.0,0,1043324516340.0,0.0,7
2879826,0.00026677704293808744,[],20,1.1,0.5,1,5,0.01,0.01,0.07,4.324999999999999,0.36,0,2.5,0,7996078.0,0.0,7
9883698,0.7000885795522861,[],20,1.7,0.5,1,6,0.01,0.01,0.08,4.324999999999999,0.09,0,2.0,0,783.0,0.0,7
817699,0.9522715146067416,[],20,1.8,0.5,1,10,0.01,0.01,0.14,4.324999999999999,0.15,0,2.5,0,445.0,0.0,7
9854690,1.852896463900364,"[(<tree.AND object at 0x7f8f0f346650>, 'E'), (<tree.AND object at 0x7f8f0f346d10>, 'C')]",20,1.8,0.5,1,10,0.01,0.01,0.11,4.324999999999999,0.26,0,2.0,0,461.0,0.0,7
4254696,0.5412988909285763,[],20,1.8,0.5,1,10,0.01,0.01,0.11,4.324999999999999,0.24,0,2.0,0,597.0,0.0,7
3734090,0.5034435784753364,[],20,1.3,0.5,1,10,0.01,0.01,0.08,4.324999999999999,0.05,0,2.5,0,446.0,0.0,7
2928561,0.37246111111111113,[],20,1.9,0.5,1,10,0.01,0.01,0.12,4.324999999999999,0.23,0,2.0,0,306.0,0.0,7
6043863,0.6777752634691943,[],20,1.9,0.5,1,10,0.01,0.01,0.08,4.324999999999999,0.08,0,2.0,0,211.0,0.0,7
7709236,0.4405850220264318,[],20,1.3,0.5,1,10,0.01,0.01,0.09,4.324999999999999,0.22,0,2.0,0,227.0,0.0,7
3157158,2.7548586561278506e-08,[],20,1.3,0.5,1,10,0.01,0.01,0.1,4.324999999999999,0.14,0,2.0,0,9340021254.0,0.0,7
328998,0.2656080508474576,[],20,1.9,0.5,1,10,0.01,0.01,0.15,4.324999999999999,0.1,0,2.0,0,944.0,0.0,7
9470865,0.21278722195744681,[],20,1.9,0.5,1,10,0.01,0.01,0.1,4.324999999999999,0.11,0,2.0,0,564.0,0.0,7
7308350,0.5361309560258213,[],20,1.9,0.5,1,10,0.01,0.01,0.15,4.324999999999999,0.11,0,2.0,0,347.0,0.0,7
7450537,0.2709570947821656,[],20,1.9,0.5,1,10,0.01,0.01,0.09,4.324999999999999,0.18,0,2.0,0,2512.0,0.0,7
5492665,7.264256441126129e-11,[],20,1.1,0.5,1,8,0.001,0.006575193386753843,0.12,4.324999999999999,0.19,0,2.0,0,11301964692268.0,0.0,7
2779699,0.0017871759225652453,[],20,1.1,0.5,1,9,0.001,0.006575193386753843,0.13,4.324999999999999,0.17,0,1.0,0,531418.0,0.0,7
1020215,0.002307310862964344,[],20,1.4,0.5,1,8,0.001,0.006575193386753843,0.14,4.324999999999999,0.28,0,2.0,0,17951172.0,0.0,7
6330052,1.3852479601449063e-10,[],20,1.4,0.5,1,6,0.001,0.006575193386753843,0.09,4.324999999999999,0.11,0,2.0,0,688751525026479.0,0.0,7
3468702,9.463110771511546e-09,[],20,1.1,0.5,1,5,0.001,0.006575193386753843,0.06,4.324999999999999,0.28,0,2.0,0,80206619155.0,0.0,7
4337207,0.4325419525721936,[],20,1.5,0.5,1,9,0.001,0.006575193386753843,0.08,4.324999999999999,0.12,0,2.0,0,569.0,0.0,7
1608523,0.018136091450544383,[],20,1.2,0.5,1,7,0.001,0.006575193386753843,0.07,4.324999999999999,0.24,0,2.5,0,931301276.0,0.0,7
4511427,0.016840384925936834,[],20,1.5,0.5,1,8,0.001,0.006575193386753843,0.12,4.324999999999999,0.11,0,2.0,0,16627.0,0.0,7
7683043,0.6315199667646066,[],20,1.5,0.5,1,8,0.001,0.006575193386753843,0.12,4.324999999999999,0.2,0,2.5,0,1586.0,0.0,7
4946712,0.0004305060074202679,[],20,1.2,0.5,1,7,0.001,0.006575193386753843,0.06,4.324999999999999,0.11,0,2.0,0,5131589.0,0.0,7
1132459,0.36081529996914374,[],20,1.2,0.5,1,7,0.001,0.006575193386753843,0.11,4.324999999999999,0.15,0,2.0,0,755.0,0.0,7
9364713,1.3503619172093631e-05,[],20,1.2,0.5,1,8,0.001,0.006575193386753843,0.11,4.324999999999999,0.19,0,2.0,0,65464640.0,0.0,7
5400103,0.09724328735373527,[],20,1.6,0.5,1,8,0.001,0.006575193386753843,0.07,4.324999999999999,0.1,0,2.0,0,1378.0,0.0,7
