ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
7075703,0.16659373421542178,[],20,1.4,0.5,1,10,0.01,0.01,0.12,4.25,0.05,0,2.5,0,162342.0,0.0,7
3018958,0.02596666429125634,[],20,1.4,0.5,1,22,0.01,0.01,0.34,4.25,0.12,0,3.0,0,1386.0,0.0,7
1669093,0.054405616365535245,[],20,1.4,0.5,1,7,0.01,0.01,0.06,4.25,0.2,0,2.5,0,3830.0,0.0,7
3778791,0.21239835719450473,[],20,1.4,0.5,1,10,0.01,0.01,0.11,4.25,0.1,0,2.0,0,1383.0,0.0,7
6860202,0.09601781852913084,[],20,1.4,0.5,1,10,0.01,0.01,0.12,4.25,0.09,0,2.0,0,2094.0,0.0,7
105316,0.06564446078029036,[],20,1.5,0.5,1,8,0.01,0.01,0.11,4.25,0.26,0,2.5,0,2273.0,0.0,7
5865855,0.007786254635352287,[],20,1.5,0.5,1,10,0.01,0.01,0.11,4.25,0.09,0,2.0,0,9708.0,0.0,7
7475256,0.0747693834586466,[],20,1.5,0.5,1,10,0.01,0.01,0.11,4.25,0.09,0,2.0,0,3857.0,0.0,7
8902667,0.2292541671916667,[],20,1.5,0.5,1,10,0.01,0.01,0.09,4.25,0.07,0,2.0,0,384.0,0.0,7
6938420,0.001275511906993007,[],20,1.5,0.5,1,8,0.01,0.01,0.07,4.25,0.05,0,2.0,0,73216.0,0.0,7
9198681,0.17184540056933714,[],20,1.5,0.5,1,10,0.01,0.01,0.08,4.25,0.1,0,2.0,0,9836.0,0.0,7
2566824,0.5383248730964467,[],20,1.5,0.5,1,10,0.01,0.01,0.08,4.25,0.04,0,2.5,0,394.0,0.0,7
4334244,0.22257009204175368,[],20,1.5,0.5,1,10,0.01,0.01,0.18,4.25,0.16,0,2.0,0,958.0,0.0,7
6984954,0.5420312558139535,[],20,1.5,0.5,1,10,0.01,0.01,0.08,4.25,0.09,0,2.0,0,215.0,0.0,7
8195068,0.3810089583333333,[],20,1.6,0.5,1,10,0.01,0.01,0.07,4.25,0.09,0,2.0,0,120.0,0.0,7
9796638,0.18019765013054834,[],20,1.6,0.5,1,10,0.01,0.01,0.15,4.25,0.07,0,2.0,0,766.0,0.0,7
7912615,0.463351021645283,[],20,1.6,0.5,1,10,0.01,0.01,0.1,4.25,0.05,0,2.0,0,106.0,0.0,7
4820368,0.055818834080717486,[],20,1.6,0.5,1,10,0.01,0.01,0.09,4.25,0.08,0,2.0,0,1784.0,0.0,7
9634285,0.008813954958320469,[],20,1.6,0.5,1,10,0.01,0.01,0.1,4.25,0.27,0,2.5,0,12956.0,0.0,7
4639401,0.07343712315270937,[],20,1.6,0.5,1,10,0.01,0.01,0.11,4.25,0.12,0,2.0,0,812.0,0.0,7
3162224,0.07022164406978704,"[(<tree.AND object at 0x7f6b50912410>, 'D')]",20,1.6,0.5,1,9,0.01,0.01,0.15,4.25,0.07,0,2.0,0,3776.0,0.0,7
3863676,0.02925681777777778,[],20,1.7,0.5,1,10,0.01,0.01,0.08,4.25,0.07,0,2.0,0,5625.0,0.0,7
3819350,0.27829269651741295,[],20,1.7,0.5,1,10,0.01,0.01,0.13,4.25,0.11,0,2.0,0,201.0,0.0,7
4948886,0.3430384106543352,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.07,0,2.0,0,346.0,0.0,7
2798097,0.24646278659611995,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.06,0,2.0,0,567.0,0.0,7
5137491,0.3992877637130802,[],20,1.7,0.5,1,10,0.01,0.01,0.2,4.25,0.08,0,2.5,0,948.0,0.0,7
9026758,0.11135788861986301,[],20,1.7,0.5,1,10,0.01,0.01,0.09,4.25,0.08,0,2.0,0,584.0,0.0,7
1648803,0.3099192,[],20,1.7,0.5,1,10,0.01,0.01,0.15,4.25,0.08,0,2.0,0,500.0,0.0,7
555351,0.17098955981941308,[],20,1.7,0.5,1,10,0.01,0.01,0.1,4.25,0.18,0,2.0,0,886.0,0.0,7
4850359,0.374,[],20,1.8,0.5,1,10,0.01,0.01,0.08,4.25,0.1,0,2.0,0,152.0,0.0,7
9261863,1.277452229299363,[],20,1.8,0.5,1,10,0.01,0.01,0.08,4.25,0.06,0,2.5,0,314.0,0.0,7
8991048,0.6725416666666666,[],20,1.8,0.5,1,10,0.01,0.01,0.08,4.25,0.06,0,2.0,0,192.0,0.0,7
2436103,0.6834927536231884,[],20,1.8,0.5,1,10,0.01,0.01,0.07,4.25,0.05,0,2.5,0,138.0,0.0,7
