ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4739731,0.4259055908093995,[],20,1.6,0.5,1,8,0.01,0.01,0.08,4.65,0.06,0,2.0,0,383.0,0.0,7
1064554,0.18039229166666665,[],20,1.6,0.5,1,9,0.01,0.01,0.07,4.65,0.11,0,2.0,0,1200.0,0.0,7
8880533,0.5564687402322451,[],20,1.1,0.5,1,9,0.01,0.01,0.12,4.324999999999999,0.2,0,2.0,0,143709823.0,0.0,7
244692,1.0,[],20,1.7,0.5,1,10,0.01,0.01,0.11,4.324999999999999,0.07,0,2.5,0,1071.0,0.0,7
4209580,0.5036570184983679,[],20,1.7,0.5,1,10,0.01,0.01,0.12,4.324999999999999,0.05,0,2.5,0,919.0,0.0,7
1868743,0.11109150019176191,[],20,1.1,0.5,1,4,0.01,0.01,0.04,4.324999999999999,0.32,0,2.5,0,26074.0,0.0,7
4358262,0.10734547404773191,"[(<tree.AND object at 0x7f2361856d10>, 'D')]",20,1.1,0.5,1,10,0.01,0.01,0.1,4.324999999999999,0.22,0,2.5,0,3639.0,0.0,7
3212285,0.005237520285293888,[],20,1.1,0.5,1,10,0.01,0.01,0.13,4.324999999999999,0.12,0,2.0,0,2377338.0,0.0,7
7564686,0.20151885239082043,[],20,1.7,0.5,1,7,0.01,0.01,0.11,4.324999999999999,0.3,0,2.5,0,685.0,0.0,7
9022947,0.45673846602461543,[],20,1.2,0.5,1,10,0.01,0.01,0.13,4.324999999999999,0.14,0,2.0,0,650.0,0.0,7
8812391,1.0102271379228359e-08,[],20,1.2,0.5,1,10,0.01,0.01,0.11,4.324999999999999,0.15,0,2.0,0,65967270031.0,0.0,7
9722620,0.531896261682243,[],20,1.3,0.5,1,10,0.01,0.01,0.09,4.324999999999999,0.13,0,2.0,0,214.0,0.0,7
1290559,0.07502955202298575,[],20,1.9,0.5,1,10,0.01,0.01,0.19,4.324999999999999,0.31,0,2.0,0,2879.0,0.0,7
