ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
134609,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.08468853390471585,0.02,2.72,0.98,0,0.5,0,191335.0,0.0,6,6
4878246,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.0739260412752583,0.03,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
3468417,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.0957689597666052,0.01,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
9787967,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09430839048400592,0.02,2.72,0.96,0,0.5,0,191335.0,0.0,6,6
5318346,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06677231339824957,0.03,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
8744346,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.054875148185409034,0.01,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
6943547,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06456687260231617,0.03,2.72,0.98,0,0.5,0,191335.0,0.0,6,6
3978561,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.08166200218740313,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
7634124,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.07576237572569439,0.02,2.72,0.96,0,0.5,0,191335.0,0.0,6,6
9697193,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.04630667226010486,0.03,2.72,0.96,0,0.5,0,191335.0,0.0,6,6
3717447,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,1.0,0.02,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
1109129,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.0832665077441431,0.02,2.72,0.98,0,0.5,0,191335.0,0.0,6,6
2701900,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09636559801616647,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
5844626,0.787618574751091,191335.0,150699.0,[],50,1.3,0.5,5,4,0.1,0.08790221291660594,0.02,2.72,0.79,0,0.5,0,191335.0,0.0,6,6
5930811,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.07236331684118819,0.02,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
7902931,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09148534863533861,0.04,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
5327026,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09732530912319265,0.03,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
5489076,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.0817206806619318,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
4597590,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.08748805121052922,0.05,2.72,0.96,0,0.5,0,191335.0,0.0,6,6
482087,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.0957692568091485,0.03,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
9518192,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09954306676835327,0.01,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
4789473,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.041374193457405346,0.02,2.72,0.99,0,0.5,0,191335.0,0.0,6,6
1824352,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.09675502015968448,0.02,2.72,1.0,0,0.5,0,191335.0,0.0,6,6
9365204,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06634996795013869,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
8692433,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.056640376739907995,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
4261747,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06377131092126662,0.03,2.72,0.98,0,0.5,0,191335.0,0.0,6,6
1769245,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.05285204122586658,0.02,2.72,0.97,0,0.5,0,191335.0,0.0,6,6
3464630,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.07414186040722395,0.03,2.72,0.96,0,0.5,0,191335.0,0.0,6,6
3675281,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06246519039594039,0.04,2.72,0.98,0,0.5,0,191335.0,0.0,6,6
4471317,0.7881608464191248,149335.0,117700.0,[],50,1.3,0.5,5,5,0.1,0.09292175978985018,0.01,2.72,0.95,0,0.5,0,149335.0,0.0,6,6
350765,0.7876238011864009,191335.0,150700.0,[],50,1.3,0.5,5,5,0.1,0.06788696982971112,0.03,2.72,1.05,0,0.5,0,191335.0,0.0,6,6
3937160,0.787618574751091,191335.0,150699.0,[],50,1.3,0.5,5,4,0.1,0.06889941460437128,0.02,2.72,0.78,0,0.5,0,191335.0,0.0,6,6
