ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
7973026,0.6004895960832314,44935.0,26983.0,"[(<tree.AND object at 0x7fb558dab160>, 'F'), (<tree.AND object at 0x7fb558dab160>, 'F')]",50,1.3,0.1,10,10,0.1,0.08730562257909152,0.04,2.82,1.94,5,1.5,44935.0,0.0,10,5
2488151,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.08291410637641415,0.02,2.82,1.99,5,0.5,44935.0,0.0,10,5
1487801,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7f4ebc27bb20>, 'E')]",50,1.3,0.1,10,14,0.1,0.08896686991975232,0.07,2.82,1.96,5,1.0,44935.0,0.0,10,5
9968704,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07155909582367437,0.02,2.82,1.9,5,0.5,44935.0,0.0,10,5
7632595,0.6004895960832314,44935.0,26983.0,"[(<tree.AND object at 0x7f99b59c6170>, 'G')]",50,1.3,0.1,10,10,0.1,0.07975353658286231,0.04,2.82,1.97,5,1.5,44935.0,0.0,10,5
8857929,0.5782797373984645,44935.0,25985.0,[],50,1.3,0.1,10,11,0.1,0.07854428079555979,0.02,2.82,1.95,5,0.5,44935.0,0.0,10,5
1315095,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7fcbf9fc4070>, 'H')]",50,1.3,0.1,10,12,0.1,0.06902100351242603,0.07,2.82,2.03,5,1.0,44935.0,0.0,10,5
8280663,0.8002893067764549,44935.0,35961.0,[],50,1.3,0.1,10,10,0.1,0.0840110631512696,0.04,2.82,1.95,5,0.5,44935.0,0.0,10,5
377166,0.5926542733284871,44935.0,26630.919772015568,"[(<tree.AND object at 0x7f7e08c6c610>, 'E')]",50,1.3,0.1,10,10,0.1,0.06782236051258476,0.03,2.82,1.99,5,1.5,44935.0,0.0,10,5
7170559,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07987705943391848,0.01,2.82,1.97,5,0.5,44935.0,0.0,10,5
3388111,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,15,0.1,0.07433964097891842,0.1,2.82,1.94,5,0.5,44935.0,0.0,10,5
5817647,0.6004895960832314,44935.0,26983.0,[],50,1.3,0.1,10,10,0.1,0.08057358043651763,0.03,2.82,1.97,5,0.5,44935.0,0.0,10,5
9087273,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07780358676529678,0.01,2.82,1.96,5,0.5,44935.0,0.0,10,5
751663,0.6005786135529098,44935.0,26987.0,"[(<tree.AND object at 0x7fac7af5d810>, 'H')]",50,1.3,0.1,10,18,0.1,0.06631175462244347,0.07,2.82,2.53,5,2.5,44935.0,0.0,10,5
6718815,0.6004895960832314,44935.0,26983.0,[],50,1.3,0.1,10,10,0.1,0.08541154260848498,0.03,2.82,1.96,5,0.5,44935.0,0.0,10,5
5675198,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7f73299db640>, 'I')]",50,1.3,0.1,10,10,0.1,0.08306824208644357,0.06,2.82,1.94,5,1.5,44935.0,0.0,10,5
5116597,0.6004895960832314,44935.0,26983.0,[],50,1.3,0.1,10,10,0.1,0.0808567179200233,0.03,2.82,2.0,5,0.5,44935.0,0.0,10,5
5906047,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7f560d6fbd60>, 'H')]",50,1.3,0.1,10,10,0.1,0.09594960387932396,0.05,2.82,1.96,5,1.5,44935.0,0.0,10,5
7756616,0.6005341048180706,44935.0,26985.0,"[(<tree.AND object at 0x7fd66c7fa950>, 'H')]",50,1.3,0.1,10,11,0.1,0.0823490134628368,0.03,2.82,2.18,5,1.0,44935.0,0.0,10,5
364964,0.6004673417158117,44935.0,26982.0,[],50,1.3,0.1,10,12,0.1,0.07225831092865007,0.03,2.82,1.94,5,0.5,44935.0,0.0,10,5
9855781,0.6004450873483921,44935.0,26981.0,"[(<tree.SEQ object at 0x7f79a46dee00>, 'H')]",50,1.3,0.1,10,10,0.1,0.09467853661088522,0.03,2.82,1.97,5,1.0,44935.0,0.0,10,5
5874475,0.6004895960832314,44935.0,26983.0,"[(<tree.AND object at 0x7fe414b49b70>, 'C')]",50,1.3,0.1,10,10,0.1,0.07200275685094318,0.04,2.82,2.0,5,1.5,44935.0,0.0,10,5
6326088,0.5878268610214754,44935.0,26414.0,[],50,1.3,0.1,10,10,0.1,0.05970257310275768,0.02,2.82,1.98,5,0.5,44935.0,0.0,10,5
6680141,0.6004673417158117,44935.0,26982.0,[],50,1.3,0.1,10,10,0.1,0.08703666830949311,0.02,2.82,1.91,5,0.5,44935.0,0.0,10,5
7542926,0.600623122287749,44935.0,26989.0,[],50,1.3,0.1,10,21,0.1,0.07733207114353283,0.09,2.82,2.77,5,2.0,44935.0,0.0,10,5
4329554,0.40076706724622857,39110.0,15674.0,[],50,1.3,0.1,10,10,0.1,0.07547892456452285,0.02,2.82,1.94,5,0.5,39110.0,0.0,10,5
6485164,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.08215373764512927,0.05,2.82,1.92,5,0.5,44935.0,0.0,10,5
7057250,0.6004673417158117,44935.0,26982.0,"[(<tree.AND object at 0x7f6066c7f400>, 'D')]",50,1.3,0.1,10,10,0.1,0.07271951527386793,0.02,2.82,1.97,5,1.5,44935.0,0.0,10,5
3660323,0.6005118504506509,44935.0,26984.0,[],50,1.3,0.1,10,10,0.1,0.08217153099232119,0.02,2.82,1.96,5,0.5,44935.0,0.0,10,5
6770834,0.8003115611438745,44935.0,35962.0,"[(<tree.AND object at 0x7f7316f47d30>, 'F')]",50,1.3,0.1,10,10,0.1,0.08035863613403472,0.05,2.82,1.96,5,1.5,44935.0,0.0,10,5
2217185,0.6004895960832314,44935.0,26983.0,"[(<tree.AND object at 0x7f53871beb00>, 'G')]",50,1.3,0.1,10,11,0.1,0.07662660964908141,0.04,2.82,1.95,5,1.0,44935.0,0.0,10,5
7306314,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.0847009096518964,0.02,2.82,1.99,5,0.5,44935.0,0.0,10,5
2636583,0.8002670524090353,44935.0,35960.0,[],50,1.3,0.1,10,11,0.1,0.07981422059247825,0.05,2.82,1.95,5,0.5,44935.0,0.0,10,5
6362899,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7f96f5459ab0>, 'G')]",50,1.3,0.1,10,13,0.1,0.08646579271672254,0.08,2.82,1.95,5,1.0,44935.0,0.0,10,5
360,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07325899583606157,0.03,2.82,1.98,5,0.5,44935.0,0.0,10,5
4852096,0.8002852388875683,42070.0,33668.0,[],50,1.3,0.1,10,11,0.1,0.07063759553951743,0.03,2.82,2.25,5,0.5,42070.0,0.0,10,5
7986747,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07176147735919258,0.02,2.82,1.99,5,0.5,44935.0,0.0,10,5
9840477,0.6004673417158117,44935.0,26982.0,[],50,1.3,0.1,10,10,0.1,0.07329840534666339,0.02,2.82,1.99,5,0.5,44935.0,0.0,10,5
8151783,0.6004673417158117,44935.0,26982.0,[],50,1.3,0.1,10,10,0.1,0.0868504421244496,0.02,2.82,1.97,5,0.5,44935.0,0.0,10,5
9354767,0.5878046066540559,44935.0,26413.0,[],50,1.3,0.1,10,10,0.1,0.07921209175497562,0.02,2.82,1.94,5,0.5,44935.0,0.0,10,5
9172610,0.6004450873483921,44935.0,26981.0,"[(<tree.AND object at 0x7fd36fa2df60>, 'G'), (<tree.AND object at 0x7fd36fa2e7a0>, 'I'), (<tree.AND object at 0x7fd36fa2df60>, 'G')]",50,1.3,0.1,10,10,0.1,0.08784654863029692,0.09,2.82,1.95,5,1.5,44935.0,0.0,10,5
4310777,0.6004895960832314,44935.0,26983.0,[],50,1.3,0.1,10,14,0.1,0.06665470244065562,0.05,2.82,2.1,5,1.5,44935.0,0.0,10,5
8159913,0.8003115611438745,44935.0,35962.0,"[(<tree.AND object at 0x7ff306ad2c80>, 'I'), (<tree.AND object at 0x7ff306ad2c80>, 'I')]",50,1.3,0.1,10,10,0.1,0.0895571575197959,0.05,2.82,1.93,5,1.5,44935.0,0.0,10,5
6746225,0.5782129742962057,44935.0,25982.0,[],50,1.3,0.1,10,9,0.1,0.07796453952582157,0.02,2.82,1.82,5,0.5,44935.0,0.0,10,5
5903363,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,11,0.1,0.08717811965507381,0.02,2.82,2.0,5,0.5,44935.0,0.0,10,5
1068889,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07246144011170103,0.05,2.82,2.02,5,0.5,44935.0,0.0,10,5
3292441,0.5850179488711665,44935.0,26287.78153252587,[],50,1.3,0.1,10,15,0.1,0.05387030406258057,0.11,2.82,2.08,5,1.5,44935.0,0.0,10,5
6354998,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,12,0.1,0.06256833206679077,0.05,2.82,1.94,5,0.5,44935.0,0.0,10,5
278698,0.6004450873483921,44935.0,26981.0,[],50,1.3,0.1,10,10,0.1,0.07051246451196744,0.02,2.82,1.93,5,0.5,44935.0,0.0,10,5
6767106,0.6004895960832314,44935.0,26983.0,[],50,1.3,0.1,10,12,0.1,0.08529864503643461,0.05,2.82,2.25,5,1.5,44935.0,0.0,10,5
5330703,0.6004673417158117,44935.0,26982.0,"[(<tree.AND object at 0x7f8f44163940>, 'H')]",50,1.3,0.1,10,10,0.1,0.07594711534603893,0.03,2.82,1.98,5,1.5,44935.0,0.0,10,5
5504587,0.5850005563591855,44935.0,26287.0,"[(<tree.SEQ object at 0x7f653c9dde70>, 'G')]",50,1.3,0.1,10,13,0.1,0.07398335682741158,0.05,2.82,2.12,5,1.5,44935.0,0.0,10,5
2058697,0.8003560698787137,44935.0,35964.0,[],50,1.3,0.1,10,10,0.1,0.08331819355341463,0.02,2.82,1.93,5,0.5,44935.0,0.0,10,5
1001496,0.5499499276733059,44935.0,24712.0,[],50,1.3,0.1,10,10,0.1,0.09331193111127052,0.02,2.82,1.9,5,0.5,44935.0,0.0,10,5
