ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
2137866,0.6000625499530875,287770.0,172680.0,[],50,1.3,0.5,10,9,0.1,0.09751499750624168,0.06,2.62,2.88,0,0.5,0,287770.0,0.0,10,7
6665895,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.07544784737716875,0.08,2.62,2.17,0,0.5,0,287770.0,0.0,10,7
6069887,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.06979095401564231,0.04,2.62,2.46,0,0.5,0,287770.0,0.0,10,7
2502757,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.0537410709110224,0.04,2.62,2.2,0,0.5,0,287770.0,0.0,10,7
9173768,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.08861386180765772,0.02,2.62,2.16,0,0.5,0,287770.0,0.0,10,7
6845149,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.05936919348282077,0.07,2.62,2.13,0,0.5,0,287770.0,0.0,10,7
1919777,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.08195050520802527,0.02,2.62,2.16,0,0.5,0,287770.0,0.0,10,7
5281422,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.0991680603090084,0.08,2.62,2.16,0,0.5,0,287770.0,0.0,10,7
3637597,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.08563936713051944,0.04,2.62,2.11,0,0.5,0,287770.0,0.0,10,7
3625952,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.09088936330351458,0.04,2.62,2.12,0,0.5,0,287770.0,0.0,10,7
4435967,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.06491352414929846,0.04,2.62,2.11,0,0.5,0,287770.0,0.0,10,7
9819813,0.6000694999478751,287770.0,172682.0,[],50,1.3,0.5,10,10,0.1,0.07946453404387759,0.06,2.62,2.17,0,0.5,0,287770.0,0.0,10,7
5630896,0.6000771694254736,259170.0,155522.0,[],50,1.3,0.5,10,10,0.1,0.09070601576876108,0.06,2.62,2.17,0,0.5,0,259170.0,0.0,10,7
