ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
1055968,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.07146981674424897,0.06,3.32,1.55,5,0.5,167937.0,0.0,10,3
1592236,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.06721757819758313,0.04,3.32,1.54,5,0.5,167937.0,0.0,10,3
2338704,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08417360045539385,0.04,3.32,1.58,5,0.5,167937.0,0.0,10,3
2450451,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.05420696884823358,0.03,3.32,1.54,5,0.5,167937.0,0.0,10,3
2568622,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08515933663416031,0.04,3.32,1.59,5,0.5,167937.0,0.0,10,3
5755367,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08073401824109289,0.02,3.32,1.52,5,0.5,167937.0,0.0,10,3
3307305,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08886888375436655,0.04,3.32,1.52,5,0.5,167937.0,0.0,10,3
7323904,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08417808165132357,0.04,3.32,1.51,5,0.5,167937.0,0.0,10,3
7767497,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.07134252744682422,0.03,3.32,1.5,5,0.5,167937.0,0.0,10,3
4802459,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.06950447835938019,0.03,3.32,1.54,5,0.5,167937.0,0.0,10,3
5653219,0.7941013594383608,167937.0,133359.0,[],50,1.3,0.3,10,10,0.1,0.07149220078361132,0.05,3.32,1.55,5,0.5,167937.0,0.0,10,3
3516457,0.7940894502104956,167937.0,133357.0,[],50,1.3,0.3,10,9,0.1,0.07011730841607158,0.04,3.32,1.56,5,0.5,167937.0,0.0,10,3
1566840,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08856774104677108,0.03,3.32,1.5,5,0.5,167937.0,0.0,10,3
