ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
3174903,0.37501018462691676,2454680.0,920530.0,[],500,1.3,0.5,5,5,0.1,0.07431168016830557,4.96,3.4800000000000004,1936.54,0,0.5,0,2454680.0,0.0,20,300
9020356,0.3750111913706475,2233864.0,837724.0,[],500,1.3,0.5,5,5,0.1,0.0765514269692796,3.68,3.4800000000000004,1942.54,0,0.5,0,2233864.0,0.0,20,300
6444887,0.3750129241178514,1934368.0,725413.0,[],500,1.3,0.5,5,5,0.1,0.08658344531441872,5.05,3.4800000000000004,2023.67,0,0.5,0,1934368.0,0.0,20,400
8808903,0.49054849154951824,1519440.0,745359.0,[],500,1.3,0.5,5,5,0.1,0.07846616131786498,7.18,3.4800000000000004,1928.28,0,0.5,0,1519440.0,0.0,20,400
2740288,0.3750126994834866,1968584.0,738244.0,[],500,1.3,0.5,5,5,0.1,0.07846905181052777,3.63,3.4800000000000004,1920.58,0,0.5,0,1968584.0,0.0,20,500
1106891,0.47961865386024544,1419288.0,680717.0,[],500,1.3,0.5,5,5,0.1,0.08793247049958838,3.08,3.4800000000000004,1981.56,0,0.5,0,1419288.0,0.0,20,500
8178797,0.48288674556018235,1944224.0,938840.0,[],500,1.3,0.5,5,5,0.1,0.0714404591865209,4.43,3.4800000000000004,1953.46,0,0.5,0,1944224.0,0.0,20,600
9753142,0.37501506692123737,1659264.0,622249.0,[],500,1.3,0.5,5,5,0.1,0.07910036544754874,4.79,3.4800000000000004,1959.92,0,0.5,0,1659264.0,0.0,20,600
2485276,0.37501277366295516,1957152.0,733957.0,[],500,1.3,0.5,5,5,0.1,0.0782152788527182,4.9,3.4800000000000004,1974.15,0,0.5,0,1957152.0,0.0,20,700
4273235,0.3750101642212905,2459608.0,922378.0,[],500,1.3,0.5,5,5,0.1,0.08355111599596057,3.37,3.4800000000000004,1933.72,0,0.5,0,2459608.0,0.0,20,700
9102087,0.37501003409988504,2491504.0,934339.0,[],500,1.3,0.5,5,5,0.1,0.08204862933234255,3.7,3.4800000000000004,1930.11,0,0.5,0,2491504.0,0.0,20,800
567440,0.3750138606747155,1803664.0,676399.0,[],500,1.3,0.5,5,5,0.1,0.07561200498994777,4.55,3.4800000000000004,1937.55,0,0.5,0,1803664.0,0.0,20,800
2086452,0.3750122023600341,2048784.0,768319.0,[],500,1.3,0.5,5,5,0.1,0.07660392989322021,6.75,3.4800000000000004,1942.1,0,0.5,0,2048784.0,0.0,20,900
8788205,0.4498103669147661,1742312.0,783710.0,[],500,1.3,0.5,5,5,0.1,0.07309579168589986,9.14,3.4800000000000004,1983.58,0,0.5,0,1742312.0,0.0,20,900
6319814,0.442802303631911,2080888.0,921422.0,[],500,1.3,0.5,5,5,0.1,0.07778369908370167,8.28,3.4800000000000004,1932.79,0,0.5,0,2080888.0,0.0,20,1000
6232932,0.48183353854097366,1611376.0,776415.0,[],500,1.3,0.5,5,5,0.1,0.07068833350027295,4.9,3.4800000000000004,2017.7,0,0.5,0,1611376.0,0.0,20,1000
1947124,0.4642569354258265,2045152.0,949476.0,[],500,1.3,0.5,5,5,0.1,0.07360550903703597,5.34,3.4800000000000004,2032.02,0,0.5,0,2045152.0,0.0,20,1500
2542503,0.3750127647407226,1958520.0,734470.0,[],500,1.3,0.5,5,5,0.1,0.07906894777990842,4.76,3.4800000000000004,1928.84,0,0.5,0,1958520.0,0.0,20,1500
6518907,0.4850999162121257,2415624.0,1171819.0,[],500,1.3,0.5,5,5,0.1,0.06500051324790986,5.22,3.4800000000000004,1952.91,0,0.5,0,2415624.0,0.0,20,2000
3711674,0.40982012982375693,2128424.0,872271.0,[],500,1.3,0.5,5,5,0.1,0.07240599318826668,7.45,3.4800000000000004,1930.43,0,0.5,0,2128424.0,0.0,20,2000
6416506,0.43428896805788403,1450624.0,629990.0,[],500,1.3,0.5,5,5,0.1,0.08203418092863476,4.85,3.4800000000000004,1934.69,0,0.5,0,1450624.0,0.0,20,2500
5262633,0.4732497094149554,1032400.0,488583.0,[],500,1.3,0.5,5,5,0.1,0.08562451761159498,7.46,3.4800000000000004,1922.89,0,0.5,0,1032400.0,0.0,20,2500
2779514,0.4257862804347482,2528360.0,1076541.0,[],500,1.3,0.5,5,5,0.1,0.08135801160276426,5.09,3.4800000000000004,1950.59,0,0.5,0,2528360.0,0.0,20,3000
6355691,0.37500940420947465,2658384.0,996919.0,[],500,1.3,0.5,5,5,0.1,0.0838033164901229,5.16,3.4800000000000004,1963.82,0,0.5,0,2658384.0,0.0,20,3000
7680274,0.4574844156536725,2850296.0,1303966.0,[],500,1.3,0.5,10,10,0.1,0.06978229401315217,6.36,3.4800000000000004,3893.63,0,0.5,0,2850296.0,0.0,20,300
3677996,0.3750208486918697,2398232.0,899387.0,[],500,1.3,0.5,10,10,0.1,0.07764360974327025,5.03,3.4800000000000004,3873.46,0,0.5,0,2398232.0,0.0,20,300
6407513,0.3750183098137672,2730776.0,1024091.0,[],500,1.3,0.5,10,10,0.1,0.07511491078866103,6.37,3.4800000000000004,3890.45,0,0.5,0,2730776.0,0.0,20,400
9166194,0.3750216837708251,2305872.0,864752.0,[],500,1.3,0.5,10,10,0.1,0.07958668417037712,7.35,3.4800000000000004,3854.35,0,0.5,0,2305872.0,0.0,20,400
1033192,0.3750210234554488,2378296.0,891911.0,[],500,1.3,0.5,10,10,0.1,0.08618431869971208,7.68,3.4800000000000004,3856.39,0,0.5,0,2378296.0,0.0,20,500
111887,0.44256807012324334,2850296.0,1261450.0,[],500,1.3,0.5,10,10,0.1,0.07415242857962431,10.2,3.4800000000000004,3904.88,0,0.5,0,2850296.0,0.0,20,500
9129752,0.3750238245900265,2098672.0,787052.0,[],500,1.3,0.5,10,10,0.1,0.08613558077447894,7.86,3.4800000000000004,3914.67,0,0.5,0,2098672.0,0.0,20,600
4162410,0.4910492795292702,2392880.0,1175022.0,[],500,1.3,0.5,10,10,0.1,0.0798451308387449,5.17,3.4800000000000004,3899.56,0,0.5,0,2392880.0,0.0,20,600
5043225,0.37501944780675417,2570984.0,964169.0,[],500,1.3,0.5,10,10,0.1,0.08543512788423976,6.47,3.4800000000000004,3841.51,0,0.5,0,2570984.0,0.0,20,700
438028,0.37501868465974486,2675992.0,1003547.0,[],500,1.3,0.5,10,10,0.1,0.0822367138513682,7.93,3.4800000000000004,3998.16,0,0.5,0,2675992.0,0.0,20,700
7530421,0.37501754203773924,2850296.0,1068911.0,[],500,1.3,0.5,10,10,0.1,0.06644507997511208,10.57,3.4800000000000004,3990.68,0,0.5,0,2850296.0,0.0,20,800
4774931,0.3750229850394975,2175328.0,815798.0,[],500,1.3,0.5,10,10,0.1,0.07892916753712306,3.16,3.4800000000000004,3866.41,0,0.5,0,2175328.0,0.0,20,800
7352465,0.3750183098137672,2730776.0,1024091.0,[],500,1.3,0.5,10,10,0.1,0.0854067343098628,7.31,3.4800000000000004,3868.43,0,0.5,0,2730776.0,0.0,20,900
5727355,0.545553287963367,1961944.0,1070345.0,[],500,1.3,0.5,10,10,0.1,0.07390322580004186,6.92,3.4800000000000004,3854.62,0,0.5,0,1961944.0,0.0,20,900
350904,0.4666866853275401,1914880.0,893649.0,[],500,1.3,0.5,10,10,0.1,0.07664465629509301,4.8,3.4800000000000004,3921.6,0,0.5,0,1914880.0,0.0,20,1000
