ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
9888080,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.07776023869056178,0.08,2.96,3.37,0,0.5,0,242527.0,0.0,6,4
130045,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.06168806964198711,0.07,2.96,3.32,0,0.5,0,242527.0,0.0,6,4
6206369,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.08230459146857352,0.08,2.96,2.93,0,0.5,0,242527.0,0.0,6,4
8431214,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,1.0,0.11,2.96,3.0,0,0.5,0,242527.0,0.0,6,4
1219120,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.04911263956092722,0.06,2.96,3.13,0,0.5,0,242527.0,0.0,6,4
2006318,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.05880251633109342,0.06,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
2761946,1.0,242527.0,242527.0,[],50,1.3,0.5,20,16,0.1,0.06918574422532488,0.06,2.96,2.61,0,0.5,0,242527.0,0.0,6,4
6531821,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.08912893342621961,0.1,2.96,3.11,0,0.5,0,242527.0,0.0,6,4
3540651,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.0766062818216381,0.14,2.96,3.12,0,0.5,0,242527.0,0.0,6,4
6947184,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07662921132230147,0.08,2.96,3.17,0,0.5,0,242527.0,0.0,6,4
5583625,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.08198574338830537,0.06,2.96,3.25,0,0.5,0,242527.0,0.0,6,4
511220,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.0868173442008587,0.09,2.96,2.95,0,0.5,0,242527.0,0.0,6,4
6519193,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.06659145870194513,0.08,2.96,3.28,0,0.5,0,242527.0,0.0,6,4
1818999,1.0,242527.0,242527.0,[],50,1.3,0.5,20,17,0.1,0.056864809121222555,0.1,2.96,2.78,0,0.5,0,242527.0,0.0,6,4
575828,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.061922310333248375,0.08,2.96,3.45,0,0.5,0,242527.0,0.0,6,4
7770206,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.06893794720803179,0.07,2.96,3.06,0,0.5,0,242527.0,0.0,6,4
3130471,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07872422537060932,0.04,2.96,3.09,0,0.5,0,242527.0,0.0,6,4
3165184,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.09602716532165148,0.09,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
9754174,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.08415003358686066,0.07,2.96,3.16,0,0.5,0,242527.0,0.0,6,4
160589,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07557215330516973,0.03,2.96,3.12,0,0.5,0,242527.0,0.0,6,4
3091445,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07465508399525737,0.11,2.96,3.15,0,0.5,0,242527.0,0.0,6,4
1780685,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.09065575736047735,0.06,2.96,3.3,0,0.5,0,242527.0,0.0,6,4
5639028,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07600129736630258,0.08,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
9161479,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07393907963881644,0.1,2.96,3.16,0,0.5,0,242527.0,0.0,6,4
7000046,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07512281334799881,0.14,2.96,3.91,0,0.5,0,242527.0,0.0,6,4
6566777,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.08348428924485532,0.11,2.96,3.07,0,0.5,0,242527.0,0.0,6,4
6598752,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.05659902674765875,0.08,2.96,3.3,0,0.5,0,242527.0,0.0,6,4
2282356,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.07983785285349881,0.08,2.96,3.35,0,0.5,0,242527.0,0.0,6,4
658072,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.06482234924713806,0.06,2.96,3.19,0,0.5,0,242527.0,0.0,6,4
6411162,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07315215898525035,0.05,2.96,3.11,0,0.5,0,242527.0,0.0,6,4
7446193,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.08445851272831521,0.05,2.96,3.11,0,0.5,0,242527.0,0.0,6,4
1730808,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.046615180643695533,0.08,2.96,2.92,0,0.5,0,242527.0,0.0,6,4
8803155,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,1.0,0.07,2.96,3.28,0,0.5,0,242527.0,0.0,6,4
9116792,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.07024383028036785,0.09,2.96,3.31,0,0.5,0,242527.0,0.0,6,4
1625623,1.0,242527.0,242527.0,[],50,1.3,0.5,20,16,0.1,0.08991193241948009,0.09,2.96,2.67,0,0.5,0,242527.0,0.0,6,4
9901458,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.07434925572115408,0.06,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
6994317,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.0655431561388997,0.06,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
8980778,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.046746102671589615,0.13,2.96,2.95,0,0.5,0,242527.0,0.0,6,4
9062694,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.06046516097854496,0.1,2.96,3.27,0,0.5,0,242527.0,0.0,6,4
7154445,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.0946095507152512,0.06,2.96,3.25,0,0.5,0,242527.0,0.0,6,4
535180,1.0,242527.0,242527.0,[],50,1.3,0.5,20,17,0.1,0.05370056584455147,0.1,2.96,2.78,0,0.5,0,242527.0,0.0,6,4
5482082,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.08369487120594422,0.07,2.96,3.0,0,0.5,0,242527.0,0.0,6,4
6693813,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.056311436281137904,0.06,2.96,3.34,0,0.5,0,242527.0,0.0,6,4
380670,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.0669910293571753,0.1,2.96,3.21,0,0.5,0,242527.0,0.0,6,4
2884564,1.0,242527.0,242527.0,[],50,1.3,0.5,20,19,0.1,0.09135954579587177,0.09,2.96,3.08,0,0.5,0,242527.0,0.0,6,4
7948510,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.07533924234067343,0.06,2.96,2.94,0,0.5,0,242527.0,0.0,6,4
5050065,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.06732002665818665,0.11,2.96,2.93,0,0.5,0,242527.0,0.0,6,4
7772157,1.0,242527.0,242527.0,[],50,1.3,0.5,20,18,0.1,0.0530892065611694,0.07,2.96,2.94,0,0.5,0,242527.0,0.0,6,4
1376566,1.0,242527.0,242527.0,[],50,1.3,0.5,20,20,0.1,0.08866937278561823,0.1,2.96,3.4,0,0.5,0,242527.0,0.0,6,4
