ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
6653606,0.40006432798696284,233180.0,93287.0,[],50,1.3,0.5,5,5,0.1,0.07422497601051527,0.01,2.4,1.37,0,0.5,0,233180.0,0.0,10,11
3067746,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.073635431483184,0.02,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
500464,0.4000679501698754,220750.0,88315.0,[],50,1.3,0.5,5,5,0.1,0.08312965332289803,0.02,2.4,1.34,0,0.5,0,220750.0,0.0,10,11
2561745,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.07026014023246924,0.03,2.4,1.34,0,0.5,0,266040.0,0.0,10,11
4248357,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.08246426470128403,0.02,2.4,1.38,0,0.5,0,279060.0,0.0,10,11
3511230,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0783566012757527,0.03,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
7421458,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06854214692281559,0.03,2.4,1.38,0,0.5,0,286860.0,0.0,10,11
8062874,0.40006880733944955,218000.0,87215.0,[],50,1.3,0.5,5,5,0.1,0.06833017316815065,0.07,2.4,1.36,0,0.5,0,218000.0,0.0,10,11
8841051,0.4000657519835182,228130.0,91267.0,[],50,1.3,0.5,5,5,0.1,0.0663575454110828,0.03,2.4,1.35,0,0.5,0,228130.0,0.0,10,11
5056708,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.09198422702377601,0.04,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
8235089,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.07532882984780095,0.03,2.4,1.36,0,0.5,0,279060.0,0.0,10,11
9897952,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,5,0.1,0.07871187753702563,0.03,2.4,1.37,0,0.5,0,241860.0,0.0,10,11
1362911,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08764779057022075,0.03,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
6456086,0.400059663497872,251410.0,100579.0,[],50,1.3,0.5,5,5,0.1,0.07795237488304546,0.03,2.4,1.43,0,0.5,0,251410.0,0.0,10,11
8018219,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.09454986050789041,0.03,2.4,1.35,0,0.5,0,278180.0,0.0,10,11
6889069,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,5,0.1,0.07034808806311685,0.02,2.4,1.34,0,0.5,0,241860.0,0.0,10,11
9619551,0.4000607631856113,246860.0,98759.0,[],50,1.3,0.5,5,5,0.1,0.06901929025486,0.04,2.4,1.38,0,0.5,0,246860.0,0.0,10,11
8106845,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.09656680375144612,0.01,2.4,1.4,0,0.5,0,286860.0,0.0,10,11
9664213,0.40006334191968246,236810.0,94739.0,[],50,1.3,0.5,5,5,0.1,0.08268200274034089,0.03,2.4,1.37,0,0.5,0,236810.0,0.0,10,11
6746313,0.40007106983796076,211060.0,84439.0,[],50,1.3,0.5,5,5,0.1,0.06386629191896727,0.01,2.4,1.36,0,0.5,0,211060.0,0.0,10,11
2631375,0.4000717154331612,209160.0,83679.0,[],50,1.3,0.5,5,5,0.1,0.07573459302694754,0.03,2.4,1.38,0,0.5,0,209160.0,0.0,10,11
1029151,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06430248442260647,0.03,2.4,1.46,0,0.5,0,286860.0,0.0,10,11
1766610,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,5,0.1,0.07855742382677414,0.03,2.4,1.41,0,0.5,0,241860.0,0.0,10,11
4392035,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08090752611604762,0.01,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
8128198,0.40005539143279173,270800.0,108335.0,[],50,1.3,0.5,5,5,0.1,0.08362103265491481,0.01,2.4,1.37,0,0.5,0,270800.0,0.0,10,11
9219618,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06823598398899045,0.04,2.4,1.4,0,0.5,0,286860.0,0.0,10,11
5593991,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,1.0,0.04,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
1691537,0.40006297757998155,238180.0,95287.0,[],50,1.3,0.5,5,5,0.1,0.07736258515700432,0.04,2.4,1.36,0,0.5,0,238180.0,0.0,10,11
7529724,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,7,0.1,0.06683220476728574,0.06,2.4,1.38,0,0.5,0,241860.0,0.0,10,11
9404420,0.4000796136086195,188410.0,75379.0,[],50,1.3,0.5,5,5,0.1,0.07793865732316216,0.02,2.4,1.34,0,0.5,0,188410.0,0.0,10,11
8844492,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.09606116705607771,0.04,2.4,1.42,0,0.5,0,286860.0,0.0,10,11
798787,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.07608313950490035,0.01,2.4,1.35,0,0.5,0,278180.0,0.0,10,11
4004057,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06699058019170265,0.04,2.4,1.36,0,0.5,0,286860.0,0.0,10,11
2384354,0.40006334191968246,236810.0,94739.0,[],50,1.3,0.5,5,5,0.1,0.08557819831024165,0.02,2.4,1.35,0,0.5,0,236810.0,0.0,10,11
6912146,0.4000640861317611,234060.0,93639.0,[],50,1.3,0.5,5,5,0.1,0.08721305311155522,0.05,2.4,1.37,0,0.5,0,234060.0,0.0,10,11
3678114,0.4000607631856113,246860.0,98759.0,[],50,1.3,0.5,5,5,0.1,0.06956765947359825,0.03,2.4,1.36,0,0.5,0,246860.0,0.0,10,11
2052550,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,6,0.1,0.06716492083134461,0.04,2.4,1.35,0,0.5,0,286860.0,0.0,10,11
4220177,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.07034840987191869,0.03,2.4,1.35,0,0.5,0,259210.0,0.0,10,11
5706047,0.40005858002030775,256060.0,102439.0,[],50,1.3,0.5,5,5,0.1,0.07819390361332756,0.02,2.4,1.39,0,0.5,0,256060.0,0.0,10,11
5765839,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.07426109241438755,0.02,2.4,1.37,0,0.5,0,278180.0,0.0,10,11
1741318,0.40005539143279173,270800.0,108335.0,[],50,1.3,0.5,5,5,0.1,0.07159967303303585,0.02,2.4,1.41,0,0.5,0,270800.0,0.0,10,11
9360839,0.4000430015050527,279060.0,111636.0,[],50,1.3,0.5,5,4,0.1,0.08107223602467681,0.03,2.4,1.1,0,0.5,0,279060.0,0.0,10,11
8262352,0.40006643046944196,225800.0,90335.0,[],50,1.3,0.5,5,5,0.1,0.06876703499401257,0.04,2.4,1.35,0,0.5,0,225800.0,0.0,10,11
149893,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.06873402658234526,0.02,2.4,1.49,0,0.5,0,266040.0,0.0,10,11
4846906,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.05486439948993801,0.02,2.4,1.36,0,0.5,0,266040.0,0.0,10,11
3737842,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07645229572158867,0.04,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
2827677,0.4000607631856113,246860.0,98759.0,[],50,1.3,0.5,5,5,0.1,0.07062599294878982,0.03,2.4,1.37,0,0.5,0,246860.0,0.0,10,11
4917131,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.07919875666489425,0.02,2.4,1.33,0,0.5,0,279060.0,0.0,10,11
8267802,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0629747022652869,0.03,2.4,1.43,0,0.5,0,286860.0,0.0,10,11
4660761,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.08571448227632807,0.02,2.4,1.33,0,0.5,0,259210.0,0.0,10,11
8884264,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08661815540551025,0.03,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
5815835,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,5,0.1,0.08384444958377454,0.03,2.4,1.43,0,0.5,0,241860.0,0.0,10,11
8367500,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.08263309567321808,0.03,2.4,1.66,0,0.5,0,266040.0,0.0,10,11
1041501,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.0863254404835894,0.04,2.4,1.44,0,0.5,0,278180.0,0.0,10,11
6528325,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.07616292430705875,0.03,2.4,1.86,0,0.5,0,259210.0,0.0,10,11
8971384,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07956279106313265,0.03,2.4,1.39,0,0.5,0,286860.0,0.0,10,11
8777638,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.06742105778868114,0.05,2.4,1.38,0,0.5,0,278180.0,0.0,10,11
7690917,0.4000598730690935,250530.0,100227.0,[],50,1.3,0.5,5,5,0.1,0.07298866175337276,0.02,2.4,1.36,0,0.5,0,250530.0,0.0,10,11
3632212,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0914954363452712,0.03,2.4,1.36,0,0.5,0,286860.0,0.0,10,11
8332779,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08295771340753999,0.03,2.4,1.35,0,0.5,0,286860.0,0.0,10,11
2969036,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.08626990340192177,0.03,2.4,1.36,0,0.5,0,259210.0,0.0,10,11
4513515,0.40006643046944196,225800.0,90335.0,[],50,1.3,0.5,5,5,0.1,0.07912380790019591,0.01,2.4,1.34,0,0.5,0,225800.0,0.0,10,11
6366148,0.40008370068634563,179210.0,71699.0,[],50,1.3,0.5,5,5,0.1,0.06979256762237675,0.02,2.4,1.34,0,0.5,0,179210.0,0.0,10,11
7370640,0.40006334191968246,236810.0,94739.0,[],50,1.3,0.5,5,5,0.1,0.08001693767609003,0.04,2.4,1.4,0,0.5,0,236810.0,0.0,10,11
5458013,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.06902278471078863,0.04,2.4,1.39,0,0.5,0,279060.0,0.0,10,11
6377638,0.4000728119994175,206010.0,82419.0,[],50,1.3,0.5,5,5,0.1,0.08677397894001358,0.03,2.4,1.38,0,0.5,0,206010.0,0.0,10,11
5016596,0.40005858002030775,256060.0,102439.0,[],50,1.3,0.5,5,5,0.1,0.07774694983380015,0.01,2.4,1.35,0,0.5,0,256060.0,0.0,10,11
8149179,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.09013228991025549,0.03,2.4,1.36,0,0.5,0,286860.0,0.0,10,11
286146,0.40005547747614467,270380.0,108167.0,[],50,1.3,0.5,5,5,0.1,0.08649929329091331,0.02,2.4,1.38,0,0.5,0,270380.0,0.0,10,11
347837,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07901031825078696,0.03,2.4,1.39,0,0.5,0,286860.0,0.0,10,11
1749635,0.40005858002030775,256060.0,102439.0,[],50,1.3,0.5,5,5,0.1,0.08159985723227925,0.05,2.4,1.33,0,0.5,0,256060.0,0.0,10,11
7896011,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0735175033592342,0.03,2.4,2.22,0,0.5,0,286860.0,0.0,10,11
1160718,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.06868617576051875,0.03,2.4,1.37,0,0.5,0,266040.0,0.0,10,11
1024966,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07951583598773221,0.04,2.4,1.41,0,0.5,0,286860.0,0.0,10,11
4039490,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.09193154098461286,0.04,2.4,1.4,0,0.5,0,286860.0,0.0,10,11
3625498,0.40005547747614467,270380.0,108167.0,[],50,1.3,0.5,5,5,0.1,0.08514632334954861,0.04,2.4,1.36,0,0.5,0,270380.0,0.0,10,11
7548908,0.40005858002030775,256060.0,102439.0,[],50,1.3,0.5,5,5,0.1,0.0888784753349223,0.01,2.4,1.36,0,0.5,0,256060.0,0.0,10,11
8088728,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.0830582702730707,0.03,2.4,1.43,0,0.5,0,266040.0,0.0,10,11
1244590,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07438349289970789,0.03,2.4,1.36,0,0.5,0,286860.0,0.0,10,11
9886066,0.4000607631856113,246860.0,98759.0,[],50,1.3,0.5,5,5,0.1,0.07278638085684042,0.02,2.4,1.35,0,0.5,0,246860.0,0.0,10,11
4606768,0.4000725128105965,206860.0,82759.0,[],50,1.3,0.5,5,5,0.1,0.0741533287020279,0.04,2.4,1.36,0,0.5,0,206860.0,0.0,10,11
4414728,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07717444131111328,0.04,2.4,1.38,0,0.5,0,286860.0,0.0,10,11
8084475,0.40006549932317365,229010.0,91619.0,[],50,1.3,0.5,5,5,0.1,0.08714648861440125,0.04,2.4,1.38,0,0.5,0,229010.0,0.0,10,11
8168434,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07727590482416125,0.03,2.4,1.35,0,0.5,0,286860.0,0.0,10,11
3865293,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.09513005014642453,0.02,2.4,1.35,0,0.5,0,259210.0,0.0,10,11
4651758,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0754186627670695,0.03,2.4,1.42,0,0.5,0,286860.0,0.0,10,11
9903454,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.07672594230400542,0.04,2.4,1.38,0,0.5,0,259210.0,0.0,10,11
4842820,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08518090695074615,0.03,2.4,1.34,0,0.5,0,286860.0,0.0,10,11
7227689,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.08764165229873735,0.03,2.4,1.36,0,0.5,0,266040.0,0.0,10,11
292532,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07652002589179645,0.02,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
4371236,0.40006292210243716,238390.0,95371.0,[],50,1.3,0.5,5,5,0.1,0.09030193880584153,0.03,2.4,1.5,0,0.5,0,238390.0,0.0,10,11
9143383,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.07675197860949494,0.03,2.4,1.4,0,0.5,0,259210.0,0.0,10,11
7066861,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07593467933785347,0.03,2.4,1.33,0,0.5,0,286860.0,0.0,10,11
3086091,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07011221882813959,0.03,2.4,1.38,0,0.5,0,286860.0,0.0,10,11
6039729,0.40006334191968246,236810.0,94739.0,[],50,1.3,0.5,5,5,0.1,0.07326297663361946,0.03,2.4,1.35,0,0.5,0,236810.0,0.0,10,11
2074089,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06752642607167075,0.02,2.4,1.34,0,0.5,0,286860.0,0.0,10,11
566691,0.40006292210243716,238390.0,95371.0,[],50,1.3,0.5,5,5,0.1,0.08424064238651337,0.03,2.4,1.35,0,0.5,0,238390.0,0.0,10,11
1332600,0.4000563824988724,266040.0,106431.0,[],50,1.3,0.5,5,5,0.1,0.06968347081806908,0.02,2.4,1.38,0,0.5,0,266040.0,0.0,10,11
8771674,0.4000684275352402,219210.0,87699.0,[],50,1.3,0.5,5,5,0.1,0.09440477502375735,0.01,2.4,1.36,0,0.5,0,219210.0,0.0,10,11
4342543,0.40005539143279173,270800.0,108335.0,[],50,1.3,0.5,5,5,0.1,0.08459850584751488,0.03,2.4,1.38,0,0.5,0,270800.0,0.0,10,11
3896248,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.0759612644418958,0.03,2.4,1.38,0,0.5,0,286860.0,0.0,10,11
5457668,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.0596002594585427,0.04,2.4,1.36,0,0.5,0,259210.0,0.0,10,11
8986938,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.07702846104774418,0.04,2.4,1.37,0,0.5,0,278180.0,0.0,10,11
8350699,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07571860627577949,0.02,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
9746984,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.08316489240385386,0.03,2.4,1.37,0,0.5,0,279060.0,0.0,10,11
5464753,0.4000625,240000.0,96015.0,[],50,1.3,0.5,5,5,0.1,0.07808233665206375,0.03,2.4,1.37,0,0.5,0,240000.0,0.0,10,11
38287,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.07751531700694433,0.03,2.4,1.37,0,0.5,0,259210.0,0.0,10,11
9282707,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07796836333697561,0.01,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
321006,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06452249288685735,0.02,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
8129474,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.06300890067997802,0.03,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
8545271,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07178859218343212,0.03,2.4,1.39,0,0.5,0,286860.0,0.0,10,11
8034692,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07924072057428014,0.02,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
419707,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.07899016541982258,0.03,2.4,1.38,0,0.5,0,286860.0,0.0,10,11
5220012,0.4000743089269791,201860.0,80759.0,[],50,1.3,0.5,5,5,0.1,0.06558393351890264,0.04,2.4,1.38,0,0.5,0,201860.0,0.0,10,11
4308516,0.4000620193500372,241860.0,96759.0,[],50,1.3,0.5,5,5,0.1,0.0865535282138681,0.03,2.4,1.39,0,0.5,0,241860.0,0.0,10,11
1591717,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.07181550320297223,0.02,2.4,1.36,0,0.5,0,279060.0,0.0,10,11
2933032,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.08385037543462662,0.03,2.4,1.38,0,0.5,0,259210.0,0.0,10,11
2501347,0.40005375188131587,279060.0,111639.0,[],50,1.3,0.5,5,5,0.1,0.0727461347092085,0.03,2.4,1.36,0,0.5,0,279060.0,0.0,10,11
312201,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08647084017227356,0.01,2.4,1.36,0,0.5,0,286860.0,0.0,10,11
4868746,0.4000522903158335,286860.0,114759.0,[],50,1.3,0.5,5,5,0.1,0.08028807564249134,0.03,2.4,1.37,0,0.5,0,286860.0,0.0,10,11
3576610,0.4000694476596139,215990.0,86411.0,[],50,1.3,0.5,5,5,0.1,0.09142768542545106,0.03,2.4,1.34,0,0.5,0,215990.0,0.0,10,11
314935,0.40006334191968246,236810.0,94739.0,[],50,1.3,0.5,5,5,0.1,0.07830081777497545,0.03,2.4,1.46,0,0.5,0,236810.0,0.0,10,11
3923081,0.40005539143279173,270800.0,108335.0,[],50,1.3,0.5,5,5,0.1,0.07665502053375847,0.03,2.4,1.35,0,0.5,0,270800.0,0.0,10,11
3019246,0.4000578681378033,259210.0,103699.0,[],50,1.3,0.5,5,5,0.1,0.06765003227402844,0.03,2.4,1.37,0,0.5,0,259210.0,0.0,10,11
8514865,0.40006635993629447,226040.0,90431.0,[],50,1.3,0.5,5,5,0.1,0.07126160810790234,0.02,2.4,1.45,0,0.5,0,226040.0,0.0,10,11
9715555,0.4000539219210583,278180.0,111287.0,[],50,1.3,0.5,5,5,0.1,0.07439196235614204,0.03,2.4,1.36,0,0.5,0,278180.0,0.0,10,11
