ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs,TransmissionRatioINEv,TransmissionRatioCentral
2095719,0.7871669226263042,252644.0,198873.0,[],50,1.7,0.5,10,10,0.1,0.0975473114816414,0.05,2.88,1.85,0,0.5,0,252644.0,0.0,10,4,0.0,0.0,0.0,19908.408519341065,0.10010614069954728,0.07880024271045845
5652477,0.7944305269572213,251083.0,199468.0,[],50,1.7,0.5,10,10,0.1,0.0699197038670531,0.04,2.9,1.8,0,0.5,0,251083.0,0.0,10,4,0.0,0.0,0.0,23801.41618038948,0.11932448402946577,0.09479501272642703
7220347,0.791869023721643,185316.0,146746.0,[],50,1.7,0.5,10,10,0.1,0.0846084196306987,0.02,3.02,1.72,0,0.5,0,185316.0,0.0,10,4,0.0,0.0,0.0,19049.61706986531,0.12981353542764582,0.10279531756494481
1148588,1.0,212872.0,212872.0,[],50,1.7,0.5,10,10,0.1,0.0835614377470613,0.02,3.14,1.72,0,0.5,0,212872.0,0.0,10,4,0.0,0.0,0.0,49712.14387245865,0.23353068450739717,0.23353068450739717
697204,0.7958844465321313,221404.0,176212.0,[],50,1.7,0.5,10,10,0.1,0.06721523896206266,0.05,2.9,1.8,0,0.5,0,221404.0,0.0,10,4,,,,29905.307599010797,,
6052535,1.0,219330.0,219330.0,[],50,1.7,0.5,10,10,0.1,0.07384462056277498,0.03,2.82,1.85,0,0.5,0,219330.0,0.0,10,4,,,,27437.523266362223,,
7717819,0.6000947777461852,211020.0,126632.0,[],50,1.7,0.5,10,10,0.1,0.06574884025441968,0.05,2.88,1.91,0,0.5,0,211020.0,0.0,10,4,,,,44369.04532891069,,
9458496,1.0,218997.0,218997.0,[],50,1.7,0.5,10,10,0.1,0.08402029743001,0.03,3.18,1.63,0,0.5,0,218997.0,0.0,10,4,,,,68156.62109753331,,
9720294,0.6000881795335302,226810.0,136106.0,[],50,1.7,0.5,10,10,0.1,0.07593118158271699,0.06,2.82,1.85,0,0.5,0,226810.0,0.0,10,4,,,,25901.613028034804,,
45165,0.7942659449076701,183256.0,145554.0,[],50,1.7,0.5,10,10,0.1,0.08748216671075129,0.04,3.42,1.63,0,0.5,0,183256.0,0.0,10,4,,,,37865.35121146238,,
697686,0.8000467562828755,213875.0,171110.0,[],50,1.7,0.5,10,10,0.1,0.07540665620839654,0.04,2.9,1.79,0,0.5,0,213875.0,0.0,10,4,,,,48230.06884136564,,
8354432,0.7923912706531511,258072.0,204494.0,[],50,1.7,0.5,10,10,0.1,0.0646584888273205,0.04,2.98,1.7,0,0.5,0,258072.0,0.0,10,4,,,,92759.32634604588,,
6512802,1.0,219287.0,219287.0,[],50,1.7,0.5,10,10,0.1,0.08902767252831517,0.04,3.04,1.62,0,0.5,0,219287.0,0.0,10,4,,,,57742.02530757131,,
442121,0.589931973955498,233293.0,137627.0,[],50,1.7,0.5,10,10,0.1,0.06976613137477927,0.03,2.86,1.94,0,0.5,0,233293.0,0.0,10,4,,,,36340.822686090374,,
5801380,1.0,192622.0,192622.0,[],50,1.7,0.5,10,10,0.1,0.09079588725915388,0.05,2.74,1.76,0,0.5,0,192622.0,0.0,10,4,,,,54251.67579896965,,
6909684,0.8000511901714871,195350.0,156290.0,[],50,1.7,0.5,10,10,0.1,0.09038236161191322,0.05,3.14,1.69,0,0.5,0,195350.0,0.0,10,4,,,,32365.30239595574,,
7681265,0.7936727714274483,228947.0,181709.0,[],50,1.7,0.5,10,10,0.1,0.055102549325616756,0.05,2.84,1.75,0,0.5,0,228947.0,0.0,10,4,,,,63281.810642152326,,
7613866,0.7939126670175379,235604.0,187049.0,[],50,1.7,0.5,10,10,0.1,0.06805096784670148,0.04,2.9,1.87,0,0.5,0,235604.0,0.0,10,4,,,,40065.26556496556,,
2403531,0.7918648476735686,210666.0,166819.0,[],50,1.7,0.5,10,10,0.1,0.0710067959888072,0.05,2.92,1.86,0,0.5,0,210666.0,0.0,10,4,,,,28119.09018513036,,
2674756,0.6000852678476264,234555.0,140753.0,[],50,1.7,0.5,10,10,0.1,0.07715929546789554,0.05,2.86,1.86,0,0.5,0,234555.0,0.0,10,4,,,,62485.56384224983,,
3140972,0.7918375784743605,183818.0,145554.0,[],50,1.7,0.5,10,10,0.1,0.0828432159758302,0.04,2.92,1.78,0,0.5,0,183818.0,0.0,10,4,,,,38247.03390419647,,
1718747,1.0,223655.0,223655.0,[],50,1.7,0.5,10,10,0.1,1.0,0.05,2.94,1.71,0,0.5,0,223655.0,0.0,10,4,,,,57065.47901605963,,
8245230,0.5910166175053299,239687.0,141659.0,[],50,1.7,0.5,10,9,0.1,0.08344800778116765,0.05,3.04,1.59,0,0.5,0,239687.0,0.0,10,4,,,,33242.63502956927,,
