ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs,TransmissionRatioINEv,TransmissionRatioCentral
3502285,0.7874719779272288,231960.0,182662.0,[],50,2.0,0.5,10,10,0.1,0.0672031648790879,0.04,2.98,1.75,0,0.5,0,231960.0,0.0,10,4,0.0,0.0,0.0,12290.708120340254,0.06728661747019224,0.05298632574728511
8896965,0.7947830758049736,189882.0,150915.0,[],50,2.0,0.5,10,10,0.1,0.0859888765653809,0.04,2.94,1.67,0,0.5,0,189882.0,0.0,10,4,0.0,0.0,0.0,48785.0663669407,0.32326187832184144,0.25692306994312625
1116908,0.7957405509740454,184437.0,146764.0,[],50,2.0,0.5,10,10,0.1,0.0757319157094398,0.03,2.9,1.76,0,0.5,0,184437.0,0.0,10,4,0.0,0.0,0.0,47339.6295805618,0.3225561417007018,0.25667100191697867
5644346,0.793109588878468,168466.0,133612.0,[],50,2.0,0.5,10,10,0.1,0.0803120469546415,0.03,2.74,1.81,0,0.5,0,168466.0,0.0,10,4,0.0,0.0,0.0,25842.959583670618,0.19341795335501766,0.15340163346711275
7823832,0.7965461041477541,188367.0,150043.0,[],50,2.0,0.5,10,10,0.1,0.08115987838260752,0.05,3.12,1.75,0,0.5,0,188367.0,0.0,10,4,,,,45001.429446881906,,
9144044,0.5914061562070999,191579.0,113301.0,[],50,2.0,0.5,10,10,0.1,0.09530040146709699,0.05,2.78,1.91,0,0.5,0,191579.0,0.0,10,4,,,,26819.648280664198,,
1578895,0.8000576368876081,173500.0,138810.0,[],50,2.0,0.5,10,10,0.1,0.08972064492431711,0.06,2.94,1.78,0,0.5,0,173500.0,0.0,10,4,,,,25184.915605292783,,
7885265,0.7924505553837363,190769.0,151175.0,[],50,2.0,0.5,10,10,0.1,0.076584608907179,0.03,2.78,1.9,0,0.5,0,190769.0,0.0,10,4,,,,16065.882315396955,,
2871260,0.60012769062386,164460.0,98697.0,[],50,2.0,0.5,10,10,0.1,0.09595245962211557,0.03,2.88,1.92,0,0.5,0,164460.0,0.0,10,4,,,,18879.086822551468,,
7514064,0.590097183364165,196227.0,115793.0,[],50,2.0,0.5,10,10,0.1,0.09026303970314506,0.03,2.76,1.85,0,0.5,0,196227.0,0.0,10,4,,,,19646.891015106274,,
7744444,1.0000217058638392,184282.0,184286.0,[],50,2.0,0.5,10,10,0.1,0.08662029073355332,0.05,2.96,1.78,0,0.5,0,184282.0,0.0,10,4,,,,52439.9585656527,,
1724131,0.5980171812209736,207785.0,124259.0,[],50,2.0,0.5,10,10,0.1,1.0,0.04,2.76,1.91,0,0.5,0,207785.0,0.0,10,4,,,,24080.890053212814,,
2176732,0.4001576706785095,190270.0,76138.0,[],50,2.0,0.5,10,10,0.1,0.08896544541257424,0.1,2.8,2.02,0,0.5,0,190270.0,0.0,10,4,,,,7298.731209224188,,
8576819,1.0,211784.0,211784.0,[],50,2.0,0.5,10,10,0.1,0.091990028241305,0.05,2.98,1.66,0,0.5,0,211784.0,0.0,10,4,,,,53183.19195533721,,
3777757,0.6001236246754852,161780.0,97088.0,[],50,2.0,0.5,10,10,0.1,0.06827587207465012,0.04,2.78,1.93,0,0.5,0,161780.0,0.0,10,4,,,,15901.981044740505,,
7119362,0.795112241859396,191417.0,152198.0,[],50,2.0,0.5,10,10,0.1,0.07881640641194937,0.08,2.92,1.72,0,0.5,0,191417.0,0.0,10,4,,,,34108.0771913801,,
2864485,0.4001604578397026,186965.0,74816.0,[],50,2.0,0.5,10,10,0.1,0.08864766644651373,0.03,2.8,1.9,0,0.5,0,186965.0,0.0,10,4,,,,22511.771103734838,,
2695709,0.7942623859490151,207473.0,164788.0,[],50,2.0,0.5,10,10,0.1,0.06976400796661433,0.05,2.92,1.81,0,0.5,0,207473.0,0.0,10,4,,,,14412.079946020564,,
6679926,1.0,180986.0,180986.0,[],50,2.0,0.5,10,10,0.1,0.081810274338271,0.03,3.16,1.58,0,0.5,0,180986.0,0.0,10,4,,,,29786.404122105403,,
6879505,1.0,208576.0,208576.0,[],50,2.0,0.5,10,10,0.1,0.07387633440263544,0.05,3.04,1.69,0,0.5,0,208576.0,0.0,10,4,,,,69753.73003369987,,
2094723,0.6001232741617357,162240.0,97364.0,[],50,2.0,0.5,10,10,0.1,0.0667304990853693,0.05,2.96,1.79,0,0.5,0,162240.0,0.0,10,4,,,,28733.002012811114,,
1471406,0.6001095470230596,182570.0,109562.0,[],50,2.0,0.5,10,10,0.1,0.07911334906899367,0.04,2.9,1.9,0,0.5,0,182570.0,0.0,10,4,,,,22248.32642084764,,
8866168,0.7897436216630047,160661.0,126881.0,[],50,2.0,0.5,10,10,0.1,0.09373169827394912,0.05,2.78,1.85,0,0.5,0,160661.0,0.0,10,4,,,,41228.160156581514,,
