ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
4705275,0.7947061266607579,233553.0,185606.0,[],50,1.3,0.5,5,5,0.1,0.05825825076180454,0.02,3.06,0.85,0,0.5,0,233553.0,0.0,6,3,0.0,0.0,0.0,30566.653330627276
8704502,0.8000263386625227,189835.0,151873.0,[],50,1.3,0.5,5,5,0.1,1.0,0.01,3.38,0.78,0,0.5,0,189835.0,0.0,6,3,0.0,0.0,0.0,63099.48238505519
6119913,1.0,264514.0,264514.0,[],50,1.3,0.5,5,5,0.1,0.08211483649520462,0.02,3.24,0.77,0,0.5,0,264514.0,0.0,6,3,0.0,0.0,0.0,139388.7698906201
4411431,1.0,259931.0,259931.0,[],50,1.3,0.5,5,5,0.1,0.0767831236495728,0.03,3.74,0.69,0,0.5,0,259931.0,0.0,6,3,0.0,0.0,0.0,102580.04591125809
6643961,0.8000277168264234,216475.0,173186.0,[],50,1.3,0.5,5,5,0.1,0.08814326052602799,0.02,3.12,0.79,0,0.5,0,216475.0,0.0,10,3,0.0,0.0,0.0,70393.36664047667
5733727,1.0,281200.0,281200.0,[],50,1.3,0.5,5,5,0.1,0.09537669651070199,0.03,3.9799999999999995,0.65,0,0.5,0,281200.0,0.0,10,3,0.0,0.0,0.0,82356.013071144
6749522,1.0,257875.0,257875.0,[],50,1.3,0.5,5,5,0.1,0.07657539030891368,0.03,3.02,0.83,0,0.5,0,257875.0,0.0,10,3,0.0,0.0,0.0,26554.897097337518
9226770,0.794980604693389,290792.0,231174.0,[],50,1.3,0.5,5,5,0.1,0.09070160680465546,0.03,3.02,0.88,0,0.5,0,290792.0,0.0,10,3,0.0,0.0,0.0,41326.09941226621
4520339,1.0,259547.0,259547.0,[],50,1.3,0.5,5,5,0.1,0.07596243189229943,0.03,3.38,0.71,0,0.5,0,259547.0,0.0,15,3,0.0,0.0,0.0,54415.55840596482
7936315,0.75671905329406,250891.0,189854.0,[],50,1.3,0.5,5,5,0.1,0.06144313885623878,0.03,3.14,0.83,0,0.5,0,250891.0,0.0,15,3,0.0,0.0,0.0,41653.339052310934
6800647,1.0,221553.0,221553.0,[],50,1.3,0.5,5,5,0.1,0.08413979813167555,0.05,3.46,0.85,0,0.5,0,221553.0,0.0,15,3,0.0,0.0,0.0,48877.238153875776
5532958,1.0,219456.0,219456.0,[],50,1.3,0.5,5,5,0.1,0.07163532457828117,0.04,3.32,0.75,0,0.5,0,219456.0,0.0,15,3,0.0,0.0,0.0,84548.72273089096
4319894,0.9804875890447325,226010.0,221600.0,[],50,1.3,0.5,5,5,0.1,0.076545062431542,0.04,3.26,0.75,0,0.5,0,226010.0,0.0,20,3,0.0,0.0,0.0,26168.77669296819
7027664,1.0,213943.0,213943.0,[],50,1.3,0.5,5,5,0.1,0.08425782039857038,0.06,3.52,0.74,0,0.5,0,213943.0,0.0,20,3,0.0,0.0,0.0,19195.20981585015
4939622,0.791723184267611,189469.0,150007.0,[],50,1.3,0.5,5,5,0.1,0.08007793302730268,0.03,3.38,0.76,0,0.5,0,189469.0,0.0,20,3,0.0,0.0,0.0,24865.218436957213
1962273,0.843711680835672,194909.0,164447.0,[],50,1.3,0.5,5,5,0.1,0.09000714368768192,0.04,2.94,0.93,0,0.5,0,194909.0,0.0,20,3,0.0,0.0,0.0,18373.55827940855
8391476,0.7927618710186969,135477.0,107401.0,[],50,1.3,0.5,5,5,0.1,0.07726446945324436,0.05,3.08,0.86,0,0.5,0,135477.0,0.0,25,3,0.0,0.0,0.0,16762.477157968835
2780234,1.0,183540.0,183540.0,[],50,1.3,0.5,5,5,0.1,0.07844550771388378,0.03,3.06,0.84,0,0.5,0,183540.0,0.0,25,3,0.0,0.0,0.0,46925.42346906357
2427035,1.0,253995.0,253995.0,[],50,1.3,0.5,5,5,0.1,0.07051557997756852,0.05,3.54,0.76,0,0.5,0,253995.0,0.0,25,3,0.0,0.0,0.0,26514.018093084083
3409891,0.7968694414799004,213636.0,170240.0,[],50,1.3,0.5,5,6,0.1,0.08607700850019544,0.04,3.04,0.86,0,0.5,0,213636.0,0.0,25,3,0.0,0.0,0.0,26257.993500689394
