ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,TransmissionRatioOperatorPlacement,TransmissionRatioCentral,PushPullTime,MaxPushPullLatency
8135437,0.8001923413184123,57190.0,45763.0,[],50,1.3,0.1,10,9,0.1,0.08408362474853522,0.03,2.58,1.97,5,0.5,57190.0,0.0,10,7,22804.95849035565,0.49832743680168806,0.3987577983975459,4.2176194190979,13
3042993,0.8002273124672146,57190.0,45765.0,[],50,1.3,0.1,10,12,0.1,0.06768505963383983,0.06,2.58,2.37,5,1.5,57190.0,0.0,10,7,32101.98782657151,0.7014528094957174,0.561321696565335,12.607288122177124,13
7596545,0.5865361077111383,57190.0,33544.0,[],50,1.3,0.1,10,10,0.1,0.07239102039185553,0.06,2.58,2.19,5,0.5,57190.0,0.0,10,7,10842.909582091483,0.32324438296242197,0.18959450222226756,15.088635683059692,11
2958625,0.6003846826368247,57190.0,34336.0,[],50,1.3,0.1,10,11,0.1,0.08731603751750744,0.02,2.58,2.21,5,0.5,57190.0,0.0,10,7,13589.4526597864,0.39577856068809414,0.23761938555318063,11.52048134803772,11
9150036,0.6003846826368247,57190.0,34336.0,[],50,1.3,0.1,10,11,0.1,0.08080366770505097,0.05,2.58,2.21,5,0.5,57190.0,0.0,10,7,9955.991710663164,0.28995782009154136,0.17408623379372554,12.667811155319214,11
577409,0.8002273124672146,57190.0,45765.0,[],50,1.3,0.1,10,10,0.1,0.08136917962476531,0.02,2.58,2.17,5,0.5,57190.0,0.0,10,7,39668.81819571169,0.8667937986608039,0.693632071965583,9.910912036895752,13
6930323,0.5760447630704668,57190.0,32944.0,"[(<tree.AND object at 0x7efd49928550>, 'E')]",50,1.3,0.1,10,10,0.1,0.08595218449833658,0.03,2.58,2.16,5,1.5,57190.0,0.0,10,7,21305.211991433593,0.6467099317457987,0.3725338694078264,0.5755512714385986,11
9269438,0.800297254764819,57190.0,45769.0,"[(<tree.SEQ object at 0x7fcfbee40760>, 'J'), (<tree.AND object at 0x7fcfbee37640>, 'H')]",50,1.3,0.1,10,26,0.1,0.07003881966047616,0.44,2.58,2.84,5,2.5,57190.0,0.0,10,7,,,,,
7778988,0.6025192918988742,57190.0,34458.07830369662,[],50,1.3,0.1,10,13,0.1,0.07439753368777678,0.05,2.58,2.44,5,1.5,57190.0,0.0,10,7,27149.724568184683,0.7879059397596209,0.4747285289068838,14.457166194915771,11
2287249,0.6003497114880224,57190.0,34334.0,[],50,1.3,0.1,10,10,0.1,0.0664548809999907,0.02,2.58,2.21,5,0.5,57190.0,0.0,10,7,9078.55245299301,0.2644187235100195,0.15874370437127136,14.350599527359009,11
