ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
4707858,0.4000730744872607,205270.0,82123.0,[],50,1.3,0.5,5,5,0.1,0.05898892101909052,0.04,3.16,0.82,0,0.5,0,205270.0,0.0,6,4,0.0,0.0,0.0,28651.677765328648
1348039,1.0,250365.0,250365.0,[],50,1.3,0.5,5,5,0.1,0.06744789976786775,0.02,2.86,0.89,0,0.5,0,250365.0,0.0,6,4,0.0,0.0,0.0,60126.759415846114
2575902,1.0,195469.0,195469.0,[],50,1.3,0.5,5,5,0.1,0.07439796137455237,0.02,2.88,0.83,0,0.5,0,195469.0,0.0,6,4,0.0,0.0,0.0,45983.31016391152
6291532,0.4000508668560044,235910.0,94376.0,[],50,1.3,0.5,5,4,0.1,0.07958069174974847,0.02,2.62,0.79,0,0.5,0,235910.0,0.0,6,4,0.0,0.0,0.0,40934.7141571626
5780205,0.8000239503748233,208765.0,167017.0,[],50,1.3,0.5,5,5,0.1,0.07755064088300118,0.04,2.86,0.97,0,0.5,0,208765.0,0.0,6,4,0.0,0.0,0.0,35899.35068799469
2706387,1.0,222402.0,222402.0,[],50,1.3,0.5,5,5,0.1,0.08131343489576638,0.02,2.78,0.85,0,0.5,0,222402.0,0.0,6,4,0.0,0.0,0.0,74844.22269183028
2823466,0.793507640853588,190162.0,150895.0,[],50,1.3,0.5,5,5,0.1,0.06127821115912113,0.02,2.92,0.87,0,0.5,0,190162.0,0.0,6,4,0.0,0.0,0.0,34279.19415049927
6031183,0.7934783086892826,227303.0,180360.0,[],50,1.3,0.5,5,5,0.1,0.064229924097924,0.06,2.94,0.87,0,0.5,0,227303.0,0.0,6,4,0.0,0.0,0.0,65549.09474739786
240365,0.6000734376147463,136170.0,81712.0,[],50,1.3,0.5,5,5,0.1,0.06796879829523042,0.02,2.94,0.86,0,0.5,0,136170.0,0.0,6,4,0.0,0.0,0.0,13564.920600757532
6096869,0.6000435246240561,229755.0,137863.0,[],50,1.3,0.5,5,5,0.1,0.0913348166374101,0.02,2.98,0.89,0,0.5,0,229755.0,0.0,6,4,0.0,0.0,0.0,33569.438607195276
6003276,1.0,206401.0,206401.0,[],50,1.3,0.5,5,5,0.1,0.04558439272699871,0.04,2.9,0.9,0,0.5,0,206401.0,0.0,6,4,0.0,0.0,0.0,39374.55228972575
2970351,1.0000044343734895,225511.0,225512.0,[],50,1.3,0.5,5,5,0.1,0.05140787697572138,0.02,3.02,0.84,0,0.5,0,225511.0,0.0,6,4,0.0,0.0,0.0,96364.16475431071
2638219,0.7984566092290861,255930.0,204349.0,[],50,1.3,0.5,5,5,0.1,0.082117904884063,0.01,3.02,1.01,0,0.5,0,255930.0,0.0,6,4,0.0,0.0,0.0,105542.53023711257
6095600,0.8000174075766477,229785.0,183832.0,[],50,1.3,0.5,5,4,0.1,0.04641653113512155,0.04,3.1,0.71,0,0.5,0,229785.0,0.0,6,4,0.0,0.0,0.0,42275.301233513776
4940668,1.0,237369.0,237369.0,[],50,1.3,0.5,5,5,0.1,0.06336963067944197,0.01,2.86,0.89,0,0.5,0,237369.0,0.0,6,4,0.0,0.0,0.0,74549.7072125308
8677045,1.0,254358.0,254358.0,[],50,1.3,0.5,5,5,0.1,0.07099145850967177,0.02,2.94,0.82,0,0.5,0,254358.0,0.0,6,4,0.0,0.0,0.0,35095.94887250957
5652533,0.8000286392275591,244420.0,195543.0,[],50,1.3,0.5,5,5,0.1,0.09006616110875684,0.02,2.88,0.97,0,0.5,0,244420.0,0.0,6,4,0.0,0.0,0.0,41647.18532397142
