ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9852918,0.028698699351555286,[],20,1.3,0.5,10,53,0.1,0.06543039180512253,2.53,4.425,0.45,0,2.0,0,39086.0,0.0,6
9107974,0.05743129537040595,"[(<tree.AND object at 0x7f9144d03a90>, 'D')]",20,1.3,0.5,10,31,0.1,0.07409445308069895,0.91,4.425,1.07,0,1.5,0,39086.0,0.0,6
2773493,0.017405294496133965,[],20,1.3,0.5,10,67,0.1,0.03655672035313971,5.53,4.425,0.83,0,3.5,0,39086.0,0.0,6
7003333,0.03927546964748513,[],20,1.3,0.5,10,61,0.1,0.08048187529911931,6.47,4.425,0.47,0,3.0,0,39086.0,0.0,6
2019094,0.048430943247966755,[],20,1.3,0.5,10,35,0.1,0.08246150101992356,1.38,4.425,0.68,0,3.0,0,39086.0,0.0,6
6789376,0.04691591603595877,[],20,1.3,0.5,10,56,0.1,0.06609985439662672,3.94,4.425,0.87,0,2.5,0,39086.0,0.0,6
4123895,0.013794486543169249,[],20,1.3,0.5,10,72,0.1,0.0748434164279137,21.12,4.425,1.09,0,3.5,0,39086.0,0.0,6
8501807,0.048340839062197216,[],20,1.3,0.5,10,23,0.1,0.09283709752192391,0.21,4.425,0.52,0,1.0,0,39086.0,0.0,6
1166585,0.9999843920473865,[],20,1.3,0.5,10,39,0.1,0.0693105424088281,0.52,4.425,0.37,0,1.5,0,39086.0,0.0,6
4866047,0.04162004872229425,[],20,1.3,0.5,10,34,0.1,0.09808067848488132,0.72,4.425,0.53,0,1.5,0,39086.0,0.0,6
4002114,0.05296517102007429,[],20,1.3,0.5,10,58,0.1,0.08480601610425145,2.77,4.425,0.58,0,2.0,0,39086.0,0.0,6
5471739,0.9991767419312282,"[(<tree.AND object at 0x7f5cf773d5e0>, 'C'), (<tree.AND object at 0x7f5cf773d5e0>, 'C')]",20,1.3,0.5,10,22,0.1,0.09554304519563589,0.62,4.425,1.1,0,2.5,0,39086.0,0.0,6
3335805,0.0668273367515551,"[(<tree.AND object at 0x7f0b19cc5f70>, 'C'), (<tree.AND object at 0x7f0b19cc8100>, 'C')]",20,1.3,0.5,10,89,0.1,0.08532685293479265,26.92,4.425,1.81,0,3.5,0,39086.0,0.0,6
3619032,0.05504771979262814,[],20,1.3,0.5,10,24,0.1,0.08150311642413069,0.34,4.425,0.67,0,2.5,0,39086.0,0.0,6
9905362,0.06648868825568206,[],20,1.3,0.5,10,80,0.1,0.07548379849762074,11.57,4.425,0.6,0,3.0,0,39086.0,0.0,6
5755891,0.02754353063083518,[],20,1.3,0.5,10,78,0.1,0.06934964339200342,7.02,4.425,0.44,0,3.5,0,39086.0,0.0,6
4723983,0.06048247655623664,[],20,1.3,0.5,10,43,0.1,0.08094350202669398,0.93,4.425,0.57,0,2.0,0,39086.0,0.0,6
7061740,1.0,[],20,1.3,0.5,10,63,0.1,0.09716294423272928,5.91,4.425,0.14,0,3.5,0,39086.0,0.0,6
9124645,0.06960625747077125,[],20,1.3,0.5,10,38,0.1,0.07742151307739614,0.89,4.425,0.71,0,1.0,0,39086.0,0.0,6
3587786,0.022151601052107384,"[(<tree.SEQ object at 0x7f30cee880d0>, 'D')]",20,1.3,0.5,10,36,0.1,0.05803507440133506,0.86,4.425,0.55,0,1.5,0,39086.0,0.0,6
8604540,0.05297502166279958,[],20,1.3,0.5,10,24,0.1,0.07467458521489911,0.21,4.425,0.56,0,1.0,0,39086.0,0.0,6
8875131,0.05234100167091919,[],20,1.3,0.5,10,34,0.1,0.09844053524270885,0.84,4.425,0.74,0,2.0,0,39086.0,0.0,6
2763180,0.015788780741724004,[],20,1.3,0.5,10,36,0.1,0.07336486424023017,1.0,4.425,0.35,0,2.0,0,39086.0,0.0,6
1577669,1.0016828150128139,[],20,1.3,0.5,10,47,0.1,0.05100317123494394,2.02,4.425,0.54,0,2.5,0,39086.0,0.0,6
9445127,0.021301569275550616,[],20,1.3,0.5,10,45,0.1,0.08008922412555546,1.53,4.425,0.86,0,3.0,0,39086.0,0.0,6
2138739,0.03663248510731642,[],20,1.3,0.5,10,42,0.1,0.09182616065820208,2.2,4.425,0.44,0,3.0,0,39086.0,0.0,6
7599852,0.031191330535178422,[],20,1.3,0.5,10,79,0.1,0.05197451467319495,7.05,4.425,0.53,0,3.5,0,39086.0,0.0,6
7297234,0.06758378147234502,"[(<tree.AND object at 0x7f48513530d0>, 'A')]",20,1.3,0.5,10,55,0.1,0.07338358571761289,2.05,4.425,0.92,0,2.5,0,39086.0,0.0,6
215250,0.04138022951343016,[],20,1.3,0.5,10,31,0.1,0.07361482197525193,0.48,4.425,0.69,0,2.0,0,39086.0,0.0,6
3141885,1.0,[],20,1.3,0.5,10,56,0.1,0.084496185849574,4.11,4.425,0.23,0,3.5,0,39086.0,0.0,6
3922842,1.0,[],20,1.3,0.5,10,129,0.1,0.056050207651854304,135.91,4.425,0.15,0,3.5,0,39086.0,0.0,6
558260,0.02373579082956869,"[(<tree.AND object at 0x7f5eaeb9d220>, 'C')]",20,1.3,0.5,10,61,0.1,0.055581581406513425,5.19,4.425,0.68,0,3.5,0,39086.0,0.0,6
6560806,0.04024096468977087,[],20,1.3,0.5,10,89,0.1,0.0742250829263009,11.77,4.425,1.04,0,4.5,0,39086.0,0.0,6
1122461,1.0,[],20,1.3,0.5,10,40,0.1,0.07409804237099962,0.74,4.425,0.17,0,2.5,0,39086.0,0.0,6
6492347,0.019543249593669095,[],20,1.3,0.5,10,52,0.1,0.08993184685410711,3.0,4.425,0.34,0,3.0,0,39086.0,0.0,6
9019692,0.036240373605093065,[],20,1.3,0.5,10,52,0.1,0.0506366377317609,5.44,4.425,0.39,0,2.0,0,39086.0,0.0,6
1882235,1.0,[],20,1.3,0.5,10,35,0.1,0.07383283156164291,0.85,4.425,0.11,0,2.5,0,39086.0,0.0,6
5647702,0.04161517199924889,[],20,1.3,0.5,10,27,0.1,1.0,0.43,4.425,0.46,0,2.0,0,39086.0,0.0,6
2335857,0.0659483661557411,"[(<tree.AND object at 0x7f14e030ad60>, 'E')]",20,1.3,0.5,10,36,0.1,0.07809588343160952,1.21,4.425,1.02,0,3.5,0,39086.0,0.0,6
7022040,0.021106071959849062,[],20,1.3,0.5,10,60,0.1,0.07888369391112636,8.6,4.425,0.34,0,3.0,0,39086.0,0.0,6
6594061,0.03988516876893661,[],20,1.3,0.5,10,46,0.1,0.07276799836192313,0.82,4.425,0.59,0,2.0,0,39086.0,0.0,6
1523167,0.030733086467259828,[],20,1.3,0.5,10,51,0.1,0.09099494678861487,3.14,4.425,0.57,0,3.0,0,39086.0,0.0,6
9026849,0.050346972094824104,[],20,1.3,0.5,10,20,0.1,0.0967364134883932,0.27,4.425,0.52,0,1.0,0,39086.0,0.0,6
5463317,0.07781658824494787,[],20,1.3,0.5,10,32,0.1,0.06987757908845742,0.85,4.425,0.49,0,3.0,0,39086.0,0.0,6
4760779,0.023864845481853754,[],20,1.3,0.5,10,56,0.1,0.07156758924420444,2.39,4.425,0.65,0,2.5,0,39086.0,0.0,6
1178968,1.0,"[(<tree.AND object at 0x7f0664b8d1c0>, 'C')]",20,1.3,0.5,10,31,0.1,0.09627878413623377,0.64,4.425,0.22,0,1.5,0,39086.0,0.0,6
2705296,0.02168794554183842,[],20,1.3,0.5,10,35,0.1,0.0829982109815805,0.86,4.425,0.47,0,1.5,0,39086.0,0.0,6
8542526,0.01263548162118727,[],20,1.3,0.5,10,92,0.1,0.0801656263683094,5.38,4.425,0.35,0,2.5,0,39086.0,0.0,6
6906516,0.05873717043431389,"[(<tree.AND object at 0x7f47af086d30>, 'A')]",20,1.3,0.5,10,35,0.1,0.08423969035181005,0.89,4.425,1.09,0,2.5,0,39086.0,0.0,6
7878759,0.057671916900723943,"[(<tree.AND object at 0x7f84f870eee0>, 'C')]",20,1.3,0.5,10,41,0.1,0.07090029955248862,1.47,4.425,0.88,0,2.5,0,39086.0,0.0,6
9441334,0.33592299625515926,"[(<tree.SEQ object at 0x7f1a90fa4e80>, 'F'), (<tree.SEQ object at 0x7f1a90fa7a60>, 'H'), (<tree.SEQ object at 0x7f1a90fa7fd0>, 'F')]",20,1.3,0.5,10,56,0.1,0.07906704848271794,1.6,5.8,1.25,0,2.0,0,639323.0,0.0,10
