ID,TransmissionRatio,Total Transmissions,Total Savings,Total Transmission INEv,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
1298325,1.0,160604,159314.98639500726,160604.0,"[(<tree.AND object at 0x7f76b9bfc130>, 'C')]",20,1.3,0.5,10,34,0.1,0.06341750381763561,0.68,3.95,0.07,0,1.5,0,160604.0,0.0,6
6717131,1.0000285620670544,160607,159509.59999898195,160608.5871822172,"[(<tree.AND object at 0x7fef6dbdf640>, 'E'), (<tree.AND object at 0x7fef6dbdf640>, 'E')]",20,1.3,0.5,10,26,0.1,0.08379764500865833,0.28,3.95,0.04,0,2.5,0,160604.0,0.0,6
4951889,1.0,160604,160417.16500880304,160604.0,"[(<tree.AND object at 0x7f2284488370>, 'E'), (<tree.AND object at 0x7f22844881f0>, 'E')]",20,1.3,0.5,10,27,0.1,0.0745192785746871,0.37,3.95,0.03,0,3.5,0,160604.0,0.0,6
6056791,1.0,160604,63203.882574579875,160604.0,"[(<tree.SEQ object at 0x7f2e69dab520>, 'E'), (<tree.SEQ object at 0x7f2e69dabdc0>, 'C')]",20,1.3,0.5,10,24,0.1,0.0972303234844446,0.25,3.95,0.06,0,2.5,0,160604.0,0.0,6
7354119,1.0,160604,63427.33304312312,160604.0,"[(<tree.SEQ object at 0x7f1042dadc30>, 'C'), (<tree.SEQ object at 0x7f1042dadc30>, 'C'), (<tree.SEQ object at 0x7f1042daf610>, 'E')]",20,1.3,0.5,10,50,0.1,0.07514577240366034,2.14,3.95,0.1,0,3.0,0,160604.0,0.0,6
3797322,1.0,160604,159433.57152151183,160604.0,"[(<tree.SEQ object at 0x7fd9deb2f4f0>, 'B')]",20,1.3,0.5,10,38,0.1,0.06706759450422714,0.9,3.95,0.07,0,3.0,0,160604.0,0.0,6
7893526,1.0,160604,19691.666262175153,160604.0,"[(<tree.SEQ object at 0x7f4cb847a620>, 'C'), (<tree.SEQ object at 0x7f4cb847ae00>, 'C'), (<tree.SEQ object at 0x7f4cb847ae00>, 'C')]",20,1.3,0.5,10,23,0.1,0.08802101895686332,0.45,3.95,0.09,0,1.0,0,160604.0,0.0,6
4970770,1.0,160604,15979.699493348515,160604.0,"[(<tree.SEQ object at 0x7f5f6c0bdcf0>, 'E')]",20,1.3,0.5,10,34,0.1,0.06825579122804795,0.97,3.95,0.07,0,3.0,0,160604.0,0.0,6
2179159,1.0,160604,159417.14119286198,160604.0,"[(<tree.SEQ object at 0x7f4261bcab90>, 'C')]",20,1.3,0.5,10,31,0.1,0.0997163568430059,0.62,3.95,0.03,0,2.5,0,160604.0,0.0,6
7991532,1.0000282277419008,160607,17383.261435036125,160608.53348826023,[],20,1.3,0.5,10,51,0.1,0.06352571799865159,2.96,3.95,0.08,0,3.5,0,160604.0,0.0,6
9687580,1.0,160604,159477.24052105617,160604.0,"[(<tree.AND object at 0x7f454c4f99c0>, 'C'), (<tree.SEQ object at 0x7f454c4fa440>, 'E'), (<tree.AND object at 0x7f454c4f99c0>, 'C')]",20,1.3,0.5,10,43,0.1,1.0,4.49,3.95,0.07,0,1.5,0,160604.0,0.0,6
9574119,1.0,160604,159447.60222187694,160604.0,"[(<tree.SEQ object at 0x7f930720dd80>, 'E'), (<tree.AND object at 0x7f930720e2c0>, 'E'), (<tree.AND object at 0x7f930720e800>, 'E')]",20,1.3,0.5,10,33,0.1,0.06902491940404046,1.75,3.95,0.11,0,3.0,0,160604.0,0.0,6
1501581,1.0,160604,160604.0,160604.0,[],20,1.3,0.5,10,28,0.1,0.0666095575952981,0.34,3.95,0.02,0,2.5,0,160604.0,0.0,6
6919563,1.0,160604,159424.7705716918,160604.0,"[(<tree.SEQ object at 0x7fcb56fd4670>, 'C'), (<tree.SEQ object at 0x7fcb56fd4670>, 'C')]",20,1.3,0.5,10,39,0.1,0.0720263167201942,1.43,3.95,0.09,0,3.0,0,160604.0,0.0,6
7749221,1.0,160604,43691.82400690729,160604.0,"[(<tree.SEQ object at 0x7f95598a82e0>, 'E'), (<tree.AND object at 0x7f95598a85e0>, 'E')]",20,1.3,0.5,10,40,0.1,0.09386117362080469,0.68,3.95,0.06,0,2.5,0,160604.0,0.0,6
1695045,1.0,160604,140263.86901590944,160604.0,"[(<tree.AND object at 0x7efc70848eb0>, 'E'), (<tree.AND object at 0x7efc70849c30>, 'E')]",20,1.3,0.5,10,28,0.1,0.0647380427002412,0.62,3.95,0.07,0,2.5,0,160604.0,0.0,6
5987682,1.0,160604,159630.374590036,160604.0,"[(<tree.SEQ object at 0x7f3429770640>, 'C'), (<tree.AND object at 0x7f3429771930>, 'C')]",20,1.3,0.5,10,35,0.1,0.09186912607300096,1.55,3.95,0.06,0,3.5,0,160604.0,0.0,6
910212,1.0000152402838913,160606,22066.44185305026,160606.44765055407,"[(<tree.AND object at 0x7fb8583312a0>, 'C')]",20,1.3,0.5,10,84,0.1,0.08168796073409214,31.34,3.95,0.25,0,4.0,0,160604.0,0.0,6
2403167,1.0,160604,15686.211357815337,160604.0,"[(<tree.SEQ object at 0x7ff1e92b2f50>, 'E')]",20,1.3,0.5,10,30,0.1,0.06984461166618015,0.45,3.95,0.07,0,2.0,0,160604.0,0.0,6
4473531,1.0,160604,8458.327234308339,160604.0,[],20,1.3,0.5,10,25,0.1,0.05164136044577954,0.5,3.95,0.05,0,3.0,0,160604.0,0.0,6
5377397,1.0,160604,159470.50734947962,160604.0,"[(<tree.SEQ object at 0x7f650ec72710>, 'E')]",20,1.3,0.5,10,48,0.1,0.08820443838021284,3.53,3.95,0.14,0,3.0,0,160604.0,0.0,6
4167013,1.0,160604,160604.0,160604.0,"[(<tree.SEQ object at 0x7fc94ea54340>, 'E'), (<tree.AND object at 0x7fc94ea54460>, 'E')]",20,1.3,0.5,10,45,0.1,0.0691236981489584,1.45,3.95,0.09,0,3.0,0,160604.0,0.0,6
7025993,1.0,160604,16856.71803561401,160604.0,"[(<tree.AND object at 0x7fbe800c2a70>, 'C')]",20,1.3,0.5,10,24,0.1,0.07402399765427126,0.26,3.95,0.07,0,2.0,0,160604.0,0.0,6
6866284,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7fe24999b010>, 'E'), (<tree.SEQ object at 0x7fe24999b370>, 'E')]",20,1.3,0.5,10,22,0.1,1.0,0.44,3.95,0.04,0,2.0,0,160604.0,0.0,6
4758218,1.0,160604,159754.19122999132,160604.0,[],20,1.3,0.5,10,34,0.1,0.06635711243578268,0.56,3.95,0.07,0,2.5,0,160604.0,0.0,6
5714533,1.0,160604,7002.084861107999,160604.0,"[(<tree.AND object at 0x7f399f35ed10>, 'E'), (<tree.AND object at 0x7f399f35e470>, 'C')]",20,1.3,0.5,10,28,0.1,0.04320189567877313,0.49,3.95,0.09,0,2.0,0,160604.0,0.0,6
1699295,1.0,160604,11728.761073169855,160604.0,"[(<tree.SEQ object at 0x7f4774ef8a60>, 'E'), (<tree.AND object at 0x7f4774ef9000>, 'E')]",20,1.3,0.5,10,38,0.1,0.06269063378516318,1.05,3.95,0.07,0,2.5,0,160604.0,0.0,6
9218197,1.0,160604,5859.655633590559,160604.0,[],20,1.3,0.5,10,29,0.1,0.08178827106099248,0.45,3.95,0.06,0,2.0,0,160604.0,0.0,6
5684944,1.0,160604,159399.76308781726,160604.0,"[(<tree.AND object at 0x7fcdddd47bb0>, 'E'), (<tree.AND object at 0x7fcdddd501f0>, 'E'), (<tree.AND object at 0x7fcdddd47bb0>, 'E')]",20,1.3,0.5,10,39,0.1,0.06620038410788802,1.35,3.95,0.13,0,3.0,0,160604.0,0.0,6
4415432,1.0,160604,159457.02356073342,160604.0,"[(<tree.AND object at 0x7f4d43cf1b70>, 'E')]",20,1.3,0.5,10,48,0.1,0.070364636260622,1.75,3.95,0.06,0,2.5,0,160604.0,0.0,6
5682823,1.0,160604,159215.2994852995,160604.0,"[(<tree.AND object at 0x7f9a28d44040>, 'E')]",20,1.3,0.5,10,32,0.1,0.06817174198797178,0.7,3.95,0.08,0,3.0,0,160604.0,0.0,6
4678136,1.0,160604,11619.55963989272,160604.0,"[(<tree.SEQ object at 0x7f921d23b0d0>, 'C')]",20,1.3,0.5,10,53,0.1,0.07357370920624305,3.74,3.95,0.06,0,3.5,0,160604.0,0.0,6
8329928,1.0,160604,160604.0,160604.0,"[(<tree.SEQ object at 0x7faff9653640>, 'E')]",20,1.3,0.5,10,23,0.1,0.08905342946145567,0.25,3.95,0.08,0,2.5,0,160604.0,0.0,6
359408,1.0,160604,74997.56269280224,160604.0,"[(<tree.AND object at 0x7f3a5ebb14e0>, 'E'), (<tree.AND object at 0x7f3a5ebb19c0>, 'C'), (<tree.SEQ object at 0x7f3a5ebb08e0>, 'E')]",20,1.3,0.5,10,31,0.1,0.08880679830126625,0.55,3.95,0.1,0,2.5,0,160604.0,0.0,6
