ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6587105,1.0,"[(<tree.AND object at 0x7fa21ae82fb0>, 'D')]",20,1.3,0.5,10,20,0.1,0.07469316572694203,0.14,4.05,0.05,0,1.5,0,44180.0,0.0,6
3402305,1.0,[],20,1.3,0.5,10,15,0.1,0.09831995128400144,0.1,4.05,0.04,0,1.5,0,44180.0,0.0,6
8408098,1.0,"[(<tree.AND object at 0x7f899e24a470>, 'D')]",20,1.3,0.5,10,17,0.1,1.0,0.13,4.05,0.05,0,2.5,0,44180.0,0.0,6
6599233,1.0047275837224572,"[(<tree.SEQ object at 0x7f53adf77e80>, 'A'), (<tree.SEQ object at 0x7f53adf80820>, 'A'), (<tree.SEQ object at 0x7f53adf77e80>, 'A'), (<tree.SEQ object at 0x7f53adf77e80>, 'A'), (<tree.SEQ object at 0x7f53adf80820>, 'A')]",20,1.3,0.5,10,20,0.1,0.059511214518382684,0.17,4.05,0.07,0,2.5,0,44180.0,0.0,6
6584573,1.0012164982199747,[],20,1.3,0.5,10,40,0.1,0.07180051461434386,1.83,4.05,0.11,0,2.5,0,44180.0,0.0,6
282727,1.0,"[(<tree.AND object at 0x7f889f759270>, 'A')]",20,1.3,0.5,10,28,0.1,0.06432236376027156,0.6,4.05,0.07,0,2.0,0,44180.0,0.0,6
5475801,1.0198279764599367,"[(<tree.AND object at 0x7f8943e8fac0>, 'A')]",20,1.3,0.5,10,21,0.1,0.05357338002154323,0.19,4.05,0.04,0,2.5,0,44180.0,0.0,6
117710,1.0100497111471622,"[(<tree.AND object at 0x7f8eb80187f0>, 'A')]",20,1.3,0.5,10,23,0.1,0.0668941695153851,0.26,4.05,0.05,0,3.5,0,44180.0,0.0,6
6624127,1.0158173993766857,[],20,1.3,0.5,10,29,0.1,0.077085068616769,0.9,4.05,0.05,0,4.5,0,44180.0,0.0,6
436415,1.0,[],20,1.3,0.5,10,11,0.1,1.0,0.04,4.05,0.04,0,0.5,0,44180.0,0.0,6
9900205,1.0,[],20,1.3,0.5,10,20,0.1,0.06743237272181041,0.18,4.05,0.04,0,1.5,0,44180.0,0.0,6
6278178,1.0090086011770032,"[(<tree.AND object at 0x7fb7609bf880>, 'D'), (<tree.AND object at 0x7fb7609bf880>, 'D')]",20,1.3,0.5,10,33,0.1,0.07766653309539157,1.8,4.05,0.17,0,4.5,0,44180.0,0.0,6
2689534,1.0,"[(<tree.AND object at 0x7fdc6cc177f0>, 'D')]",20,1.3,0.5,10,39,0.1,0.058156764644669186,1.52,4.05,0.12,0,3.0,0,44180.0,0.0,6
8372287,1.0024527379048191,"[(<tree.SEQ object at 0x7f04e2fa2cb0>, 'A'), (<tree.AND object at 0x7f04e2fa3a90>, 'D')]",20,1.3,0.5,10,16,0.1,0.06420348137640021,0.12,4.05,0.06,0,1.0,0,44180.0,0.0,6
8784851,1.0029425079221368,[],20,1.3,0.5,10,43,0.1,0.07729899485185215,1.41,4.05,0.06,0,1.0,0,44180.0,0.0,6
4616026,1.0090086011770032,"[(<tree.SEQ object at 0x7fab1094b100>, 'A')]",20,1.3,0.5,10,20,0.1,0.07810094070895947,0.12,4.05,0.04,0,1.5,0,44180.0,0.0,6
7561369,1.0,"[(<tree.AND object at 0x7ff059725b70>, 'A')]",20,1.3,0.5,10,35,0.1,0.05106350471960808,0.52,4.05,0.06,0,2.0,0,44180.0,0.0,6
5522793,1.0,[],20,1.3,0.5,10,19,0.1,0.0718046588122475,0.16,4.05,0.06,0,1.0,0,44180.0,0.0,6
5642272,1.0090086011770032,[],20,1.3,0.5,10,19,0.1,0.07498406067785657,0.14,4.05,0.05,0,0.5,0,44180.0,0.0,6
3739658,1.0,"[(<tree.AND object at 0x7f829b146830>, 'A')]",20,1.3,0.5,10,15,0.1,0.08553197304650864,0.08,4.05,0.06,0,1.0,0,44180.0,0.0,6
3348475,1.0,[],20,1.3,0.5,10,28,0.1,0.0734645749554758,0.5,4.05,0.06,0,1.0,0,44180.0,0.0,6
6676784,1.0209618459235676,"[(<tree.AND object at 0x7f79fcecd870>, 'D'), (<tree.SEQ object at 0x7f79fcecdff0>, 'D')]",20,1.3,0.5,10,19,0.1,0.08277771738970319,0.2,4.05,0.07,0,1.0,0,44180.0,0.0,6
347392,1.0308385298173195,[],20,1.3,0.5,10,13,0.1,0.08733773359689487,0.07,4.05,0.06,0,1.0,0,44180.0,0.0,6
6614724,1.0,[],20,1.3,0.5,10,20,0.1,0.08630649731492435,0.11,4.05,0.06,0,1.0,0,44180.0,0.0,6
7793115,1.0090086011770032,"[(<tree.AND object at 0x7f97d0b7c880>, 'A')]",20,1.3,0.5,10,15,0.1,0.08970269015609453,0.15,4.05,0.06,0,1.0,0,44180.0,0.0,6
9044098,1.0036744547960292,[],20,1.3,0.5,10,31,0.1,0.07642952717662616,0.74,4.05,0.07,0,3.5,0,44180.0,0.0,6
4709459,1.0,"[(<tree.SEQ object at 0x7feb2abb4850>, 'A'), (<tree.AND object at 0x7feb2abab9d0>, 'D'), (<tree.AND object at 0x7feb2abab9d0>, 'D')]",20,1.3,0.5,10,24,0.1,0.04996181990843609,0.25,4.05,0.06,0,2.5,0,44180.0,0.0,6
2946219,1.022799262420186,"[(<tree.AND object at 0x7f546c565000>, 'A')]",20,1.3,0.5,10,23,0.1,0.06788289355010571,0.27,4.05,0.06,0,2.5,0,44180.0,0.0,6
3644170,1.0162743322770484,[],20,1.3,0.5,10,15,0.1,0.09102240271159925,0.1,4.05,0.05,0,1.5,0,44180.0,0.0,6
2175073,1.0005918937468856,[],20,1.3,0.5,10,23,0.1,0.07990959705199613,0.55,4.05,0.07,0,3.0,0,44180.0,0.0,6
8807309,1.0090086011770032,[],20,1.3,0.5,10,35,0.1,0.07928176203226284,1.19,4.05,0.09,0,2.5,0,44180.0,0.0,6
4315483,1.0090086011770032,"[(<tree.AND object at 0x7f830ebb2890>, 'A')]",20,1.3,0.5,10,28,0.1,0.08173361638170484,0.97,4.05,0.04,0,1.5,0,44180.0,0.0,6
2224500,1.0,[],20,1.3,0.5,10,37,0.1,0.06688005064099523,1.03,4.05,0.07,0,3.0,0,44180.0,0.0,6
9461450,1.0,"[(<tree.SEQ object at 0x7f48fa845a80>, 'A'), (<tree.SEQ object at 0x7f48fa844d60>, 'A')]",20,1.3,0.5,10,19,0.1,0.07811726765475728,0.43,4.05,0.04,0,1.0,0,44180.0,0.0,6
8237198,1.0,"[(<tree.AND object at 0x7f9d8854fc10>, 'A')]",20,1.3,0.5,10,28,0.1,0.03956861964426935,0.64,4.05,0.06,0,3.0,0,44180.0,0.0,6
9280597,1.0,"[(<tree.AND object at 0x7fd2b8ea20e0>, 'A')]",20,1.3,0.5,10,12,0.1,0.0675902147055698,0.08,4.05,0.05,0,1.5,0,44180.0,0.0,6
2064381,1.0082163875056587,"[(<tree.SEQ object at 0x7f1230006c50>, 'A')]",20,1.3,0.5,10,21,0.1,0.08899781450705375,0.34,4.05,0.06,0,2.5,0,44180.0,0.0,6
7369279,1.0,"[(<tree.AND object at 0x7f330d96cd60>, 'A')]",20,1.3,0.5,10,17,0.1,0.05056810700920377,0.1,4.05,0.05,0,1.0,0,44180.0,0.0,6
4876256,1.0090086011770032,[],20,1.3,0.5,10,23,0.1,0.07538447625661236,0.27,4.05,0.08,0,2.0,0,44180.0,0.0,6
6466290,1.0,"[(<tree.AND object at 0x7fb4441e2bf0>, 'A'), (<tree.AND object at 0x7fb4441e2bf0>, 'A'), (<tree.AND object at 0x7fb4441e2ec0>, 'A'), (<tree.AND object at 0x7fb4441e2bf0>, 'A')]",20,1.3,0.5,10,12,0.1,0.08944958292795284,0.12,4.05,0.04,0,1.5,0,44180.0,0.0,6
4858158,1.0,[],20,1.3,0.5,10,12,0.1,0.09974169553222947,0.08,4.05,0.06,0,1.0,0,44180.0,0.0,6
6686841,1.0199637845178815,[],20,1.3,0.5,10,14,0.1,0.054023017939223844,0.05,4.05,0.03,0,0.5,0,44180.0,0.0,6
9346985,1.0029425079221368,"[(<tree.SEQ object at 0x7f915a44ab30>, 'A'), (<tree.AND object at 0x7f915a44b070>, 'D')]",20,1.3,0.5,10,23,0.1,0.055183290781026795,0.16,4.05,0.07,0,1.0,0,44180.0,0.0,6
9127083,1.0,[],20,1.3,0.5,10,16,0.1,0.07060866249342654,0.08,4.05,0.02,0,0.5,0,44180.0,0.0,6
8188517,1.0090086011770032,[],20,1.3,0.5,10,10,0.1,1.0,0.03,4.05,0.08,0,0.0,0,44180.0,0.0,6
6819384,1.0090086011770032,"[(<tree.AND object at 0x7fae41bcf340>, 'A')]",20,1.3,0.5,10,33,0.1,0.06575929835541268,1.05,4.05,0.08,0,3.5,0,44180.0,0.0,6
3208496,1.0090086011770032,[],20,1.3,0.5,10,42,0.1,0.08783860042652988,2.69,4.05,0.1,0,3.5,0,44180.0,0.0,6
9900034,1.0238815616905483,"[(<tree.SEQ object at 0x7fdf65cbea40>, 'A')]",20,1.3,0.5,10,13,0.1,1.0,0.06,4.05,0.08,0,1.0,0,44180.0,0.0,6
1956066,1.0,"[(<tree.SEQ object at 0x7f55dc5e4d90>, 'A')]",20,1.3,0.5,10,12,0.1,0.059527614932518506,0.05,4.05,0.05,0,1.0,0,44180.0,0.0,6
2021112,1.0159658486764014,"[(<tree.SEQ object at 0x7faa74f5e500>, 'A')]",20,1.3,0.5,10,19,0.1,0.06561093006204463,0.17,4.05,0.06,0,2.5,0,44180.0,0.0,6
6345633,1.0046455672145314,[],20,1.3,0.5,10,22,0.1,0.09412368153071352,0.31,4.05,0.07,0,2.5,0,44180.0,0.0,6
7459140,1.0,"[(<tree.AND object at 0x7f5199c2a020>, 'A')]",20,1.3,0.5,10,10,0.1,1.0,0.06,4.05,0.05,0,1.5,0,44180.0,0.0,6
4225816,1.0174003762417443,"[(<tree.SEQ object at 0x7f8a1ef5da80>, 'A')]",20,1.3,0.5,10,58,0.1,0.05865767358311059,5.14,4.05,0.13,0,4.0,0,44180.0,0.0,6
5222518,1.0,[],20,1.3,0.5,10,17,0.1,0.09957022426210456,0.13,4.05,0.06,0,1.0,0,44180.0,0.0,6
9319631,1.0090086011770032,[],20,1.3,0.5,10,16,0.1,0.062483167930944786,0.09,4.05,0.06,0,1.5,0,44180.0,0.0,6
954970,1.0,[],20,1.3,0.5,10,17,0.1,0.08067059007633608,0.1,4.05,0.07,0,2.0,0,44180.0,0.0,6
7894111,1.0159320036297699,[],20,1.3,0.5,10,26,0.1,0.06261568823782038,0.81,4.05,0.08,0,3.0,0,44180.0,0.0,6
7804644,1.0,"[(<tree.AND object at 0x7f2b418fbb80>, 'A')]",20,1.3,0.5,10,12,0.1,0.09321729164735634,0.08,4.05,0.05,0,1.5,0,44180.0,0.0,6
9852359,1.0126955246753888,[],20,1.3,0.5,10,18,0.1,0.08338429736108938,0.18,4.05,0.05,0,2.0,0,44180.0,0.0,6
6496159,0.8795173299425173,[],20,1.3,0.5,10,112,0.1,0.07415136559358343,13.1,3.9000000000000004,0.19,0,3.5,0,11560.0,0.0,10
6566294,0.8909305275919815,[],20,1.3,0.5,10,156,0.1,0.07300078758100702,51.26,3.9000000000000004,0.27,0,4.5,0,11560.0,0.0,10
1780689,0.9271838544989641,[],20,1.3,0.5,10,145,0.1,0.06444099420877836,29.53,3.9000000000000004,0.11,0,4.5,0,11560.0,0.0,10
8213319,0.8793049423139359,[],20,1.3,0.5,10,61,0.1,0.07989873932824268,5.0,3.9000000000000004,0.15,0,3.0,0,11560.0,0.0,10
5027329,0.9270080044364136,[],20,1.3,0.5,10,161,0.1,0.0771808001398663,26.06,3.9000000000000004,0.14,0,4.5,0,11560.0,0.0,10
7927543,0.937958384397995,"[(<tree.AND object at 0x7f96c487a8f0>, 'B'), (<tree.AND object at 0x7f96c48796f0>, 'F')]",20,1.3,0.5,10,35,0.1,1.0,0.52,3.9000000000000004,0.15,0,2.0,0,11560.0,0.0,10
