ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
1490307,1.061017887701949,[],100,1.3,0.2,10,13,0.1,0.06742466153147046,0.76,13.86,1.34,0,1.5,0,52744.0,0.0,25
4328967,1.4537427797306848,"[(<tree.SEQ object at 0x7fe4416adab0>, 'A')]",100,1.3,0.2,10,25,0.1,0.07772703117456597,1.41,11.98,12.95,0,2.5,0,221870.0,0.0,25
2010982,1.1134608907936532,[],100,1.3,0.2,10,63,0.1,0.07734458560573088,3.92,17.66,14.48,0,3.0,0,37085091.0,0.0,25
1262613,0.22418451756664454,"[(<tree.AND object at 0x7f71a4483940>, 'I')]",100,1.3,0.2,10,37,0.1,0.07909065552439462,2.85,20.03,12.81,0,3.0,0,16796787.0,0.0,25
3568088,0.0036576228999542207,[],100,1.3,0.2,10,79,0.1,0.0711103864925538,5.51,12.690000000000001,8.34,0,3.5,0,138538187.0,0.0,25
5242391,0.010928700790548208,"[(<tree.SEQ object at 0x7f64efa58850>, 'G')]",100,1.3,1.0,10,18,0.1,0.07108366518868064,2.14,14.8,48.01,0,2.5,0,139088152.0,0.0,25
1193768,0.9953663015676667,[],100,1.3,1.0,10,17,0.1,0.07471814434562604,1.46,16.08,61.56,0,1.5,0,22578077.0,0.0,25
6340453,0.6976116791677315,"[(<tree.AND object at 0x7f529ab20a90>, 'V')]",100,1.3,1.0,10,22,0.1,0.07785493260148599,2.4,17.33,47.07,0,2.0,0,6092118.0,0.0,25
3235889,0.9759115491385478,"[(<tree.SEQ object at 0x7f6148c5ba90>, 'R')]",100,1.3,0.1,10,154,0.1,0.07852409502278042,11.04,17.33,93.89,0,2.5,0,8065857.0,0.0,25
6909030,0.728040644140406,[],100,1.3,0.1,10,134,0.1,0.06954243085758952,11.6,13.93,3.23,0,3.5,0,84826.0,0.0,25
1795301,0.4414999652942361,[],100,1.3,0.1,10,103,0.1,0.0761906125265848,8.12,13.5,6.1,0,3.5,0,122205.0,0.0,25
8575880,0.00622757570372238,"[(<tree.SEQ object at 0x7f0398d280a0>, 'T')]",100,1.3,0.1,10,86,0.1,0.07517108483823635,9.47,16.86,8.34,0,4.0,0,8445629.0,0.0,25
188819,7.104405317883605e-06,"[(<tree.SEQ object at 0x7ff3718c1c90>, 'V'), (<tree.SEQ object at 0x7ff3718c2710>, 'K'), (<tree.SEQ object at 0x7ff3718c3430>, 'G')]",100,1.3,0.1,10,59,0.1,0.07878638455749874,4.06,18.66,19.41,0,3.0,0,21167403402.0,0.0,25
7236689,0.0583005466517944,[],100,1.3,0.2,10,45,0.1,0.07961024356296337,3.71,15.39,4.67,0,2.0,0,12948085.0,0.0,25
5787104,0.0032406979953410937,"[(<tree.SEQ object at 0x7f975770d930>, 'T'), (<tree.AND object at 0x7f975770d030>, 'A')]",100,1.3,0.1,10,52,0.1,0.08234570131741581,3.65,18.060000000000002,4.69,0,3.5,0,910453290.0,0.0,25
6736465,3.890997467130356e-09,"[(<tree.SEQ object at 0x7fb40480d540>, 'P'), (<tree.SEQ object at 0x7fb40480d240>, 'P'), (<tree.AND object at 0x7fb40480c100>, 'S')]",100,1.3,0.2,10,100,0.1,0.07992758343551254,10.23,15.620000000000001,13.11,0,4.0,0,1117556273311667.0,0.0,25
