ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6741076,0.0014946533598688965,"[(<tree.SEQ object at 0x7f9d0ba810f0>, 'E'), (<tree.SEQ object at 0x7f9d0ba83670>, 'D'), (<tree.AND object at 0x7f9d0ba820b0>, 'D'), (<tree.SEQ object at 0x7f9d0ba821d0>, 'D'), (<tree.SEQ object at 0x7f9d0ba82470>, 'E'), (<tree.AND object at 0x7f9d0ba81390>, 'D'), (<tree.SEQ object at 0x7f9d0ba82470>, 'E'), (<tree.SEQ object at 0x7f9d0ba82710>, 'D'), (<tree.SEQ object at 0x7f9d0ba839d0>, 'E')]",20,1.3,0.5,20,72,0.1,0.05739958015936466,12.34,3.15,0.36,0,4.0,0,229745846.0,0.0,6
9713497,0.1439511985106518,"[(<tree.SEQ object at 0x7fd957ff6350>, 'A'), (<tree.SEQ object at 0x7fd957ff6350>, 'A'), (<tree.SEQ object at 0x7fd957ff7250>, 'D'), (<tree.AND object at 0x7fd957ff5b70>, 'D')]",20,1.3,0.5,20,41,0.1,0.06131970912223261,0.97,3.15,0.59,0,2.5,0,229745846.0,0.0,6
8639765,1.000000931144819,"[(<tree.SEQ object at 0x7f0e7e9999c0>, 'D'), (<tree.SEQ object at 0x7f0e7e9990c0>, 'E'), (<tree.SEQ object at 0x7f0e7e9990c0>, 'E'), (<tree.AND object at 0x7f0e7e999de0>, 'D'), (<tree.AND object at 0x7f0e7e999f60>, 'D')]",20,1.3,0.5,20,68,0.1,0.0540137749307355,6.39,3.15,0.16,0,3.5,0,229745846.0,0.0,6
6695987,1.0,"[(<tree.SEQ object at 0x7fbf7be2d930>, 'D'), (<tree.SEQ object at 0x7fbf7be2f430>, 'D'), (<tree.SEQ object at 0x7fbf7be2dc30>, 'E'), (<tree.SEQ object at 0x7fbf7be2fa30>, 'D')]",20,1.3,0.5,20,76,0.1,0.09002525481160582,14.74,3.15,0.12,0,4.5,0,229745846.0,0.0,6
2516760,0.07845945392427815,"[(<tree.SEQ object at 0x7f35cc5d1210>, 'E'), (<tree.SEQ object at 0x7f35cc5c2890>, 'D'), (<tree.SEQ object at 0x7f35cc5c2c50>, 'D'), (<tree.SEQ object at 0x7f35cc5c2890>, 'D'), (<tree.SEQ object at 0x7f35cc5c3250>, 'D'), (<tree.SEQ object at 0x7f35cc5d0a30>, 'E'), (<tree.SEQ object at 0x7f35cc5d1b10>, 'D'), (<tree.AND object at 0x7f35cc5d1690>, 'D')]",20,1.3,0.5,20,85,0.1,0.050789712663124875,12.87,3.15,0.58,0,3.0,0,229745846.0,0.0,6
917911,0.0007740745923342019,"[(<tree.SEQ object at 0x7fe8d54fcd60>, 'D'), (<tree.SEQ object at 0x7fe8d54fc940>, 'E'), (<tree.SEQ object at 0x7fe8d54fc940>, 'E'), (<tree.SEQ object at 0x7fe8d54fe7a0>, 'D'), (<tree.SEQ object at 0x7fe8d54fd480>, 'D')]",20,1.3,0.5,20,34,0.1,0.058277041019607415,0.73,3.15,0.43,0,2.0,0,229745846.0,0.0,6
7354277,0.001316826385678155,[],20,1.3,0.5,20,36,0.1,1.0,0.99,3.15,0.38,0,2.5,0,229745846.0,0.0,6
128584,1.0000086874841045,"[(<tree.AND object at 0x7f314a391d20>, 'D'), (<tree.SEQ object at 0x7f314a391e40>, 'D'), (<tree.SEQ object at 0x7f314a393820>, 'D'), (<tree.AND object at 0x7f314a3916c0>, 'D'), (<tree.SEQ object at 0x7f314a391e40>, 'D'), (<tree.AND object at 0x7f314a392200>, 'D'), (<tree.AND object at 0x7f314a3916c0>, 'D'), (<tree.AND object at 0x7f314a3916c0>, 'D'), (<tree.AND object at 0x7f314a3914e0>, 'D'), (<tree.AND object at 0x7f314a3916c0>, 'D')]",20,1.3,0.5,20,31,0.1,1.0,2.18,3.15,0.19,0,2.5,0,229745846.0,0.0,6
6389,0.12416225261897675,"[(<tree.SEQ object at 0x7f42163fd5a0>, 'E'), (<tree.AND object at 0x7f42163fe740>, 'E'), (<tree.AND object at 0x7f42163fe860>, 'E'), (<tree.AND object at 0x7f42163fd0c0>, 'D'), (<tree.AND object at 0x7f42163fd900>, 'D'), (<tree.AND object at 0x7f42163fd0c0>, 'D'), (<tree.SEQ object at 0x7f421640c5e0>, 'D')]",20,1.3,0.5,20,67,0.1,0.06067714984891187,5.36,3.15,0.72,0,2.5,0,229745846.0,0.0,6
8358392,1.0000003822045236,"[(<tree.AND object at 0x7f48ab2a2f20>, 'D'), (<tree.SEQ object at 0x7f48ab2a3ca0>, 'D'), (<tree.SEQ object at 0x7f48ab2b03a0>, 'D'), (<tree.SEQ object at 0x7f48ab2a1de0>, 'E'), (<tree.SEQ object at 0x7f48ab2a1de0>, 'E'), (<tree.SEQ object at 0x7f48ab2a1de0>, 'E'), (<tree.AND object at 0x7f48ab2a3760>, 'D'), (<tree.AND object at 0x7f48ab2a21a0>, 'D')]",20,1.3,0.5,20,37,0.1,0.08587670832380004,1.51,3.15,0.13,0,2.5,0,229745846.0,0.0,6
6185871,1.0000281790698988,"[(<tree.AND object at 0x7f00cec41870>, 'E'), (<tree.AND object at 0x7f00cec433d0>, 'A')]",20,1.3,0.5,20,30,0.1,1.0,0.62,3.15,0.24,0,1.5,0,229745846.0,0.0,6
5839548,0.0014091044217165148,"[(<tree.AND object at 0x7f3728773220>, 'D'), (<tree.AND object at 0x7f3728773220>, 'D')]",20,1.3,0.5,20,33,0.1,0.08744508464471838,0.59,3.15,0.28,0,2.5,0,229745846.0,0.0,6
253843,0.0016978330551397612,"[(<tree.SEQ object at 0x7fd7efc00490>, 'D'), (<tree.SEQ object at 0x7fd7efc00970>, 'E'), (<tree.SEQ object at 0x7fd7efc01330>, 'D'), (<tree.SEQ object at 0x7fd7efc01330>, 'D'), (<tree.SEQ object at 0x7fd7efbf7eb0>, 'D'), (<tree.SEQ object at 0x7fd7efbf7eb0>, 'D')]",20,1.3,0.5,20,58,0.1,1.0,11.24,3.15,0.36,0,3.5,0,229745846.0,0.0,6
5846315,1.0000018886473447,"[(<tree.AND object at 0x7f88ce668fa0>, 'E'), (<tree.SEQ object at 0x7f88ce6694e0>, 'D')]",20,1.3,0.5,20,42,0.1,0.09395049318409114,0.62,3.15,0.18,0,2.5,0,229745846.0,0.0,6
5801661,0.001996838435897653,"[(<tree.SEQ object at 0x7fbedb32fa30>, 'D'), (<tree.SEQ object at 0x7fbedb33e410>, 'A'), (<tree.AND object at 0x7fbedb32f370>, 'D'), (<tree.SEQ object at 0x7fbedb32f490>, 'D'), (<tree.SEQ object at 0x7fbedb33ca90>, 'D'), (<tree.SEQ object at 0x7fbedb33ca90>, 'D'), (<tree.SEQ object at 0x7fbedb33c910>, 'D'), (<tree.AND object at 0x7fbedb32f370>, 'D')]",20,1.3,0.5,20,56,0.1,0.06050449985137882,2.48,3.15,0.36,0,2.5,0,229745846.0,0.0,6
8480120,0.6737957081480118,"[(<tree.AND object at 0x7fb31cbc4df0>, 'D'), (<tree.AND object at 0x7fb31cbc4f70>, 'D')]",20,1.3,0.5,20,32,0.1,0.09201347821118017,0.42,3.15,0.56,0,1.5,0,229745846.0,0.0,6
8419817,1.000113429359682,"[(<tree.SEQ object at 0x7f58befd0040>, 'D'), (<tree.SEQ object at 0x7f58befd0040>, 'D'), (<tree.AND object at 0x7f58befc7340>, 'D'), (<tree.AND object at 0x7f58befc7460>, 'D'), (<tree.AND object at 0x7f58befc7340>, 'D'), (<tree.AND object at 0x7f58befc7460>, 'D'), (<tree.AND object at 0x7f58befc7ac0>, 'D')]",20,1.3,0.5,20,46,0.1,0.08941376240182257,7.32,3.15,0.44,0,2.5,0,229745846.0,0.0,6
1777797,0.0013608857779672937,"[(<tree.SEQ object at 0x7f3a24fea590>, 'E'), (<tree.SEQ object at 0x7f3a24ff8c70>, 'D'), (<tree.SEQ object at 0x7f3a24feb2b0>, 'D'), (<tree.SEQ object at 0x7f3a24feba90>, 'E'), (<tree.SEQ object at 0x7f3a24feba90>, 'E'), (<tree.SEQ object at 0x7f3a24ff8a90>, 'D')]",20,1.3,0.5,20,65,0.1,0.0508038968479049,7.53,3.15,0.29,0,3.5,0,229745846.0,0.0,6
5941452,1.0000034803972873,"[(<tree.AND object at 0x7fb34817c790>, 'D'), (<tree.AND object at 0x7fb34817c430>, 'A'), (<tree.AND object at 0x7fb34817c5b0>, 'D')]",20,1.3,0.5,20,40,0.1,0.08283138149039088,1.67,3.15,0.43,0,2.5,0,229745846.0,0.0,6
7312281,0.001334001210496158,"[(<tree.SEQ object at 0x7f22d0c07bb0>, 'E'), (<tree.AND object at 0x7f22d0c05bd0>, 'E')]",20,1.3,0.5,20,47,0.1,0.07186080336553843,1.76,3.15,0.4,0,3.0,0,229745846.0,0.0,6
4164609,0.009763475073592568,"[(<tree.AND object at 0x7f1c158ef400>, 'D')]",20,1.3,0.5,20,34,0.1,0.08057925121757818,0.35,3.15,0.5,0,1.5,0,229745846.0,0.0,6
6710223,0.07225480963707491,"[(<tree.AND object at 0x7f575b5f1900>, 'D'), (<tree.SEQ object at 0x7f575b5f2a40>, 'E'), (<tree.SEQ object at 0x7f575b5f2ce0>, 'D'), (<tree.AND object at 0x7f575b600d60>, 'D'), (<tree.AND object at 0x7f575b5f31c0>, 'E'), (<tree.AND object at 0x7f575b600be0>, 'D'), (<tree.AND object at 0x7f575b5f31c0>, 'E'), (<tree.AND object at 0x7f575b600880>, 'D'), (<tree.AND object at 0x7f575b5f3940>, 'E'), (<tree.AND object at 0x7f575b6004c0>, 'D'), (<tree.AND object at 0x7f575b600640>, 'D')]",20,1.3,0.5,20,75,0.1,0.055420260339383486,12.94,3.15,0.61,0,4.0,0,229745846.0,0.0,6
4178408,0.8038178723282103,"[(<tree.SEQ object at 0x7f09da1cb760>, 'E'), (<tree.AND object at 0x7f09da1d02e0>, 'D'), (<tree.AND object at 0x7f09da1cabc0>, 'D'), (<tree.AND object at 0x7f09da1cabc0>, 'D'), (<tree.AND object at 0x7f09da1cbee0>, 'D')]",20,1.3,0.5,20,28,0.1,1.0,0.59,3.15,0.44,0,1.5,0,229745846.0,0.0,6
762121,0.0004102314445324684,"[(<tree.SEQ object at 0x7f01c3ffa500>, 'E'), (<tree.SEQ object at 0x7f01c3ffae00>, 'E'), (<tree.SEQ object at 0x7f01c3ffa500>, 'E'), (<tree.SEQ object at 0x7f01c3ffae00>, 'E'), (<tree.SEQ object at 0x7f01c40059c0>, 'D'), (<tree.SEQ object at 0x7f01c4004ee0>, 'D'), (<tree.SEQ object at 0x7f01c3ffbe80>, 'E')]",20,1.3,0.5,20,59,0.1,0.06536238880382375,4.58,3.15,0.49,0,3.0,0,229745846.0,0.0,6
7954914,0.9742560456841796,"[(<tree.AND object at 0x7f6f49c81390>, 'D'), (<tree.SEQ object at 0x7f6f49c82b30>, 'D'), (<tree.AND object at 0x7f6f49c81390>, 'D'), (<tree.AND object at 0x7f6f49c80c70>, 'E'), (<tree.AND object at 0x7f6f49c811b0>, 'D')]",20,1.3,0.5,20,42,0.1,0.0611829658906396,1.13,3.15,0.77,0,2.0,0,229745846.0,0.0,6
7986050,0.0013585683879958268,"[(<tree.SEQ object at 0x7ff960d0e620>, 'D'), (<tree.AND object at 0x7ff960d0d960>, 'D'), (<tree.AND object at 0x7ff960d0da80>, 'D'), (<tree.SEQ object at 0x7ff960d0df60>, 'D'), (<tree.AND object at 0x7ff960d0da80>, 'D')]",20,1.3,0.5,20,66,0.1,0.07154454705056935,13.55,3.15,0.33,0,3.0,0,229745846.0,0.0,6
4151077,1.0000010584044763,"[(<tree.SEQ object at 0x7f9e7ab70250>, 'D'), (<tree.SEQ object at 0x7f9e7ab70b50>, 'D'), (<tree.SEQ object at 0x7f9e7ab67b20>, 'E'), (<tree.SEQ object at 0x7f9e7ab70850>, 'D'), (<tree.SEQ object at 0x7f9e7ab71330>, 'A'), (<tree.AND object at 0x7f9e7ab71450>, 'E'), (<tree.SEQ object at 0x7f9e7ab70850>, 'D'), (<tree.SEQ object at 0x7f9e7ab72050>, 'D')]",20,1.3,0.5,20,48,0.1,0.08080517208923314,1.14,3.15,0.06,0,1.5,0,229745846.0,0.0,6
6423059,0.0024105465641824524,"[(<tree.SEQ object at 0x7fa983f58f70>, 'D'), (<tree.AND object at 0x7fa983f5a590>, 'E'), (<tree.AND object at 0x7fa983f4f730>, 'D'), (<tree.AND object at 0x7fa983f4f730>, 'D'), (<tree.SEQ object at 0x7fa983f5a170>, 'E'), (<tree.SEQ object at 0x7fa983f59ff0>, 'E'), (<tree.AND object at 0x7fa983f4f5b0>, 'D'), (<tree.SEQ object at 0x7fa983f4fbb0>, 'D'), (<tree.AND object at 0x7fa983f4f5b0>, 'D'), (<tree.AND object at 0x7fa983f4f5b0>, 'D'), (<tree.SEQ object at 0x7fa983f4f070>, 'D'), (<tree.AND object at 0x7fa983f4f2b0>, 'D')]",20,1.3,0.5,20,84,0.1,0.07360196629270357,16.41,3.15,0.53,0,3.5,0,229745846.0,0.0,6
7626140,1.0000019266030844,"[(<tree.AND object at 0x7f9ff75d6770>, 'D'), (<tree.AND object at 0x7f9ff75d6ad0>, 'E'), (<tree.SEQ object at 0x7f9ff75d4a30>, 'D'), (<tree.AND object at 0x7f9ff75d4c10>, 'D')]",20,1.3,0.5,20,40,0.1,0.0725456653174695,2.25,3.15,0.19,0,2.5,0,229745846.0,0.0,6
5636905,1.0000003652667806,"[(<tree.SEQ object at 0x7efca4b975e0>, 'D'), (<tree.SEQ object at 0x7efca4b975e0>, 'D'), (<tree.AND object at 0x7efca4ba0520>, 'D'), (<tree.SEQ object at 0x7efca4ba0880>, 'D'), (<tree.SEQ object at 0x7efca4ba09a0>, 'D'), (<tree.SEQ object at 0x7efca4ba0040>, 'E')]",20,1.3,0.5,20,64,0.1,0.07431061715988083,5.46,3.15,0.15,0,2.5,0,229745846.0,0.0,6
239137,0.009775940408767019,"[(<tree.SEQ object at 0x7f1bbb3659c0>, 'A'), (<tree.SEQ object at 0x7f1bbb3659c0>, 'A'), (<tree.SEQ object at 0x7f1bbb3741c0>, 'D'), (<tree.AND object at 0x7f1bbb367280>, 'D'), (<tree.AND object at 0x7f1bbb367280>, 'D'), (<tree.SEQ object at 0x7f1bbb366b00>, 'D'), (<tree.AND object at 0x7f1bbb367820>, 'A'), (<tree.AND object at 0x7f1bbb3679a0>, 'E')]",20,1.3,0.5,20,66,0.1,0.04282283858683944,4.55,3.15,0.46,0,3.0,0,229745846.0,0.0,6
5220390,0.04369415746726074,"[(<tree.SEQ object at 0x7f22ab214250>, 'E'), (<tree.SEQ object at 0x7f22ab214c70>, 'E'), (<tree.SEQ object at 0x7f22ab2153f0>, 'D'), (<tree.AND object at 0x7f22ab207970>, 'D'), (<tree.AND object at 0x7f22ab207a90>, 'D'), (<tree.SEQ object at 0x7f22ab214fd0>, 'D'), (<tree.AND object at 0x7f22ab207a90>, 'D'), (<tree.AND object at 0x7f22ab206ef0>, 'E')]",20,1.3,0.5,20,36,0.1,0.0758347416065229,0.78,3.15,0.96,0,2.5,0,229745846.0,0.0,6
7977998,1.0000518671530656,"[(<tree.SEQ object at 0x7f8944ca11e0>, 'E'), (<tree.SEQ object at 0x7f8944ca0640>, 'D'), (<tree.SEQ object at 0x7f8944ca0640>, 'D'), (<tree.SEQ object at 0x7f8944ca1b40>, 'D'), (<tree.SEQ object at 0x7f8944ca20e0>, 'D'), (<tree.SEQ object at 0x7f8944ca0640>, 'D'), (<tree.AND object at 0x7f8944ca2740>, 'E')]",20,1.3,0.5,20,50,0.1,0.0886485454936512,3.04,3.15,0.52,0,2.5,0,229745846.0,0.0,6
9683091,1.000001005438657,"[(<tree.AND object at 0x7fdaa15d0e20>, 'D'), (<tree.AND object at 0x7fdaa15d0e20>, 'D'), (<tree.AND object at 0x7fdaa15d2aa0>, 'D')]",20,1.3,0.5,20,35,0.1,0.08774987193592355,0.89,3.15,0.09,0,2.5,0,229745846.0,0.0,6
