ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5717253,1.0576551353087449,[],20,1.3,0.5,20,76,0.1,0.07779004541417961,6.06,4.1,0.14,0,2.5,0,648.0,0.0,6
8185606,1.539451706413313,"[(<tree.SEQ object at 0x7f218c882560>, 'D'), (<tree.AND object at 0x7f218c8838e0>, 'B'), (<tree.AND object at 0x7f218c883a60>, 'B')]",20,1.3,0.5,20,70,0.1,0.0684057794619767,2.78,4.1,0.45,0,2.5,0,648.0,0.0,6
4154168,1.0715126769320904,[],20,1.3,0.5,20,85,0.1,0.06462936106497483,4.7,4.1,0.11,0,2.5,0,648.0,0.0,6
6324193,1.140149785707204,[],20,1.3,0.5,20,61,0.1,0.06735546613544648,1.53,4.1,0.08,0,2.5,0,648.0,0.0,6
4520153,1.0207462872872481,[],20,1.3,0.5,20,115,0.1,0.06273856051052565,27.75,4.1,0.14,0,3.5,0,648.0,0.0,6
8882160,1.3388234432506931,"[(<tree.AND object at 0x7fe057d49de0>, 'B'), (<tree.AND object at 0x7fe057d49f00>, 'B')]",20,1.3,0.5,20,77,0.1,0.04892532281375524,2.67,4.1,0.15,0,2.5,0,648.0,0.0,6
8215116,1.0127783727030994,[],20,1.3,0.5,20,60,0.1,0.0726003337180265,3.09,4.1,0.06,0,3.5,0,648.0,0.0,6
422963,1.2321445606408412,[],20,1.3,0.5,20,101,0.1,1.0,15.91,4.1,0.14,0,4.5,0,648.0,0.0,6
3785211,1.1748451052664446,[],20,1.3,0.5,20,86,0.1,0.0593424849093494,6.39,4.1,0.12,0,3.5,0,648.0,0.0,6
2042731,1.0330134808559186,[],20,1.3,0.5,20,83,0.1,0.07038868152711375,5.23,4.1,0.12,0,3.5,0,648.0,0.0,6
2520802,1.3512359586721965,[],20,1.3,0.5,20,88,0.1,0.09090607787146779,20.9,4.1,0.48,0,4.5,0,648.0,0.0,6
464156,1.0508328048168916,[],20,1.3,0.5,20,60,0.1,0.051839140204760756,2.53,4.1,0.1,0,2.5,0,648.0,0.0,6
5208806,0.7525119259423761,[],20,1.3,0.5,20,110,0.1,0.08141134858552855,20.82,4.1,0.37,0,4.5,0,648.0,0.0,6
806647,1.2033025188789066,"[(<tree.AND object at 0x7fc19456cee0>, 'E')]",20,1.3,0.5,20,63,0.1,0.0830729648776529,3.62,4.1,0.21,0,3.5,0,648.0,0.0,6
8093728,1.0208467901566376,[],20,1.3,0.5,20,68,0.1,0.07557064259518745,8.53,4.1,0.08,0,4.5,0,648.0,0.0,6
7658271,1.042207834846246,[],20,1.3,0.5,20,162,0.1,0.07046076324186112,99.24,4.1,0.16,0,3.5,0,648.0,0.0,6
8654157,1.3047289473797838,[],20,1.3,0.5,20,70,0.1,0.07085583845250722,1.74,4.1,0.21,0,2.5,0,648.0,0.0,6
1420918,1.495181015736188,[],20,1.3,0.5,20,57,0.1,0.09072389998489497,0.86,4.1,0.17,0,1.5,0,648.0,0.0,6
5951618,1.0402145675486674,[],20,1.3,0.5,20,85,0.1,0.09309671320773909,5.91,4.1,0.13,0,2.5,0,648.0,0.0,6
1662715,1.1213057951086094,[],20,1.3,0.5,20,78,0.1,0.08639811327274224,9.19,4.1,0.1,0,4.5,0,648.0,0.0,6
3255504,1.0,"[(<tree.AND object at 0x7f35d3ea9ae0>, 'B')]",20,1.3,0.5,20,63,0.1,0.08201708908368056,2.84,4.1,0.1,0,3.5,0,648.0,0.0,6
6422991,1.0548961668997998,[],20,1.3,0.5,20,44,0.1,1.0,1.13,4.1,0.09,0,3.5,0,648.0,0.0,6
9938883,1.4552930673159548,"[(<tree.AND object at 0x7f9b064c5f30>, 'D')]",20,1.3,0.5,20,116,0.1,0.07468863978645002,32.74,4.1,0.26,0,3.5,0,648.0,0.0,6
5699442,1.1575547589362591,[],20,1.3,0.5,20,74,0.1,0.07787218318468306,3.12,4.1,0.12,0,2.5,0,648.0,0.0,6
7460493,1.1806378268437991,"[(<tree.AND object at 0x7f8d26ef14e0>, 'B')]",20,1.3,0.5,20,64,0.1,0.06015446148386911,1.51,4.1,0.1,0,2.5,0,648.0,0.0,6
5120101,1.5741331332084707,[],20,1.3,0.5,20,99,0.1,0.05118046323400349,10.66,4.1,0.48,0,3.5,0,648.0,0.0,6
9046575,1.089152829419463,"[(<tree.AND object at 0x7fd811077b20>, 'B')]",20,1.3,0.5,20,60,0.1,0.07625955698283815,1.68,4.1,0.17,0,2.5,0,648.0,0.0,6
6601156,1.0154320987654322,"[(<tree.AND object at 0x7fdcdeea3940>, 'B'), (<tree.AND object at 0x7fdcdeea3940>, 'B')]",20,1.3,0.5,20,98,0.1,1.0,12.2,4.1,0.12,0,3.5,0,648.0,0.0,6
2582947,1.1296296296296295,[],20,1.3,0.5,20,52,0.1,0.09603581713787818,0.88,4.1,0.09,0,2.5,0,648.0,0.0,6
2245299,1.2332692477230458,[],20,1.3,0.5,20,78,0.1,0.04841748901103842,2.74,4.1,0.11,0,3.5,0,648.0,0.0,6
4368087,1.1499433036937303,[],20,1.3,0.5,20,44,0.1,0.05967837065467562,1.19,4.1,0.1,0,2.5,0,648.0,0.0,6
7486043,1.0515363872037284,"[(<tree.AND object at 0x7ff8363ef100>, 'D'), (<tree.AND object at 0x7ff8363ef400>, 'B')]",20,1.3,0.5,20,70,0.1,0.08601935616583177,4.56,4.1,0.15,0,3.5,0,648.0,0.0,6
7156945,1.21745376334233,[],20,1.3,0.5,20,79,0.1,0.06767908588074854,3.92,4.1,0.12,0,2.5,0,648.0,0.0,6
2499511,1.3480765512040604,"[(<tree.AND object at 0x7f7c463f2c50>, 'D')]",20,1.3,0.5,20,114,0.1,0.09570582399199727,28.5,4.1,0.21,0,4.5,0,648.0,0.0,6
5119593,1.3641975308641976,[],20,1.3,0.5,20,63,0.1,1.0,3.45,4.1,0.15,0,2.5,0,648.0,0.0,6
9904083,1.2139509867647464,"[(<tree.AND object at 0x7f147971f6a0>, 'E'), (<tree.AND object at 0x7f147971f4c0>, 'D')]",20,1.3,0.5,20,100,0.1,0.07417715528983546,19.91,4.1,0.16,0,4.5,0,648.0,0.0,6
9646305,1.537037037037037,[],20,1.3,0.5,20,56,0.1,1.0,1.4,4.1,0.17,0,2.5,0,648.0,0.0,6
432402,1.1871350787538228,[],20,1.3,0.5,20,59,0.1,0.06080379030971212,1.51,4.1,0.09,0,3.5,0,648.0,0.0,6
