ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6258504,1.2685469762545911,[],20,1.3,0.5,5,8,0.1,0.08476718957304553,0.03,5.449999999999999,0.15,0,1.5,0,3384.0,0.0,6
7280176,1.0012484394506866,[],20,1.3,0.5,5,5,0.1,0.0845203319511863,0.03,5.449999999999999,0.05,0,0.5,0,3204.0,0.0,6
4799953,1.283096926713948,[],20,1.3,0.5,5,8,0.1,0.09281853636664719,0.05,5.449999999999999,0.14,0,0.5,0,3384.0,0.0,6
4898842,0.8166607792847098,[],20,1.3,0.5,5,8,0.1,1.0,0.05,5.449999999999999,0.1,0,2.5,0,3384.0,0.0,6
901971,1.3026004728132388,[],20,1.3,0.5,5,21,0.1,0.08722405201505191,0.12,5.449999999999999,0.15,0,0.5,0,3384.0,0.0,6
31106,1.4153333333333333,[],20,1.3,0.5,5,9,0.1,0.08458871597231056,0.04,5.449999999999999,0.13,0,1.5,0,3000.0,0.0,6
2896257,1.0,[],20,1.3,0.5,5,5,0.1,0.09677689435061826,0.01,5.449999999999999,0.05,0,0.5,0,3384.0,0.0,6
9786927,0.6409590259409413,[],20,1.3,0.5,5,7,0.1,0.08280447685517184,0.04,5.449999999999999,0.19,0,1.0,0,3384.0,0.0,6
6484904,1.0,[],20,1.3,0.5,5,7,0.1,0.0855751892267701,0.03,5.449999999999999,0.05,0,0.5,0,3204.0,0.0,6
9850697,1.2677304964539007,[],20,1.3,0.5,5,8,0.1,0.08138892565773882,0.04,5.449999999999999,0.11,0,1.5,0,3384.0,0.0,6
7374430,1.0833333333333333,[],20,1.3,0.5,5,7,0.1,0.0856813991084127,0.04,5.449999999999999,0.02,0,1.5,0,3384.0,0.0,6
7780234,0.882523798796927,[],20,1.3,0.5,5,6,0.1,1.0,0.03,5.449999999999999,0.12,0,1.0,0,3384.0,0.0,6
5256342,1.287825059101655,[],20,1.3,0.5,5,8,0.1,0.09513979961701632,0.04,5.449999999999999,0.13,0,0.5,0,3384.0,0.0,6
1524029,1.4580378250591017,[],20,1.3,0.5,5,6,0.1,1.0,0.03,5.449999999999999,0.18,0,0.5,0,3384.0,0.0,6
8870980,1.0,[],20,1.3,0.5,5,11,0.1,0.08976169319490629,0.08,5.449999999999999,0.05,0,2.5,0,3384.0,0.0,6
7941832,1.0,[],20,1.3,0.5,5,36,0.1,0.05836086788264135,0.45,5.449999999999999,0.05,0,2.5,0,3384.0,0.0,6
6079144,1.0,[],20,1.3,0.5,5,8,0.1,0.07657479465404028,0.04,5.449999999999999,0.04,0,1.5,0,3384.0,0.0,6
1998176,1.0,[],20,1.3,0.5,5,6,0.1,0.09376468202828811,0.02,5.449999999999999,0.04,0,0.5,0,3384.0,0.0,6
400859,1.0632387706855793,[],20,1.3,0.5,5,5,0.1,0.08486632645107665,0.03,5.449999999999999,0.04,0,0.5,0,3384.0,0.0,6
8206335,1.0236406619385343,[],20,1.3,0.5,5,6,0.1,0.08662406929675623,0.03,5.449999999999999,0.05,0,0.5,0,3384.0,0.0,6
2849130,1.2570921985815602,[],20,1.3,0.5,5,16,0.1,0.055739594947846194,0.07,5.449999999999999,0.04,0,1.5,0,3384.0,0.0,6
3233368,1.049645390070922,[],20,1.3,0.5,5,6,0.1,0.06018688833597777,0.02,5.449999999999999,0.03,0,0.5,0,3384.0,0.0,6
8780473,1.2677304964539007,[],20,1.3,0.5,5,6,0.1,0.09488043487711825,0.02,5.449999999999999,0.11,0,1.5,0,3384.0,0.0,6
509380,1.3079538684018046,[],20,1.3,0.5,5,30,0.1,0.09440107131733835,0.96,5.449999999999999,0.73,0,3.5,0,3384.0,0.0,6
449936,1.0,[],20,1.3,0.5,5,10,0.1,0.039398069724205974,0.05,5.449999999999999,0.04,0,1.5,0,3384.0,0.0,6
4083686,0.9946808510638298,[],20,1.3,0.5,5,10,0.1,0.07642224741061826,0.03,5.449999999999999,0.05,0,0.5,0,3384.0,0.0,6
5138783,1.0,[],20,1.3,0.5,5,16,0.1,0.07935656367635446,0.16,5.449999999999999,0.05,0,3.5,0,3384.0,0.0,6
