ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,TransmissionRatioOperatorPlacement,TransmissionRatioCentral,PushPullTime,MaxPushPullLatency
1118102,0.6000997954193903,200410.0,120266.0,[],50,1.3,0.5,10,10,0.1,0.05405383588512429,0.1,2.66,1.97,5,0.5,200410.0,0.0,5,5,15436.778469484054,0.12835529966477685,0.07702598906982712,0.08499026298522949,11
5596963,0.8000463048712725,215960.0,172778.0,[],50,1.3,0.5,10,10,0.1,0.07091489457723152,0.07,2.76,1.97,5,0.5,215960.0,0.0,5,5,46933.05888983854,0.2716379335901477,0.21732292503166578,0.08887434005737305,13
2557204,0.6000937075387714,213430.0,128078.0,[],50,1.3,0.5,10,10,0.1,0.08204078373254295,0.04,2.76,2.01,5,0.5,213430.0,0.0,5,5,13278.0,0.10367120036227924,0.06221243499039498,0.01855754852294922,11
6841471,0.6000915983919394,196510.0,117924.0,[],50,1.3,0.5,10,9,0.1,0.5267373557402336,0.04,2.74,1.83,5,0.5,196510.0,0.0,5,5,60547.588369823876,0.5134458496135127,0.30811454058228016,0.021327495574951172,11
326061,0.6001205545509343,165900.0,99560.0,[],50,1.3,0.5,10,10,0.1,0.07562242742733152,0.05,2.7,1.93,5,0.5,165900.0,0.0,5,5,14493.220215189542,0.14557272212926417,0.08736118273170308,0.08592796325683594,11
8555462,0.6000889393976826,202385.0,121449.0,[],50,1.3,0.5,10,9,0.1,0.08844542390235308,0.04,2.84,1.65,5,0.5,202385.0,0.0,5,5,52455.817038323716,0.43191641790647695,0.259188265129944,0.028393983840942383,11
731373,0.6000996412913512,200720.0,120452.0,[],50,1.3,0.5,10,10,0.1,0.05986832718191472,0.05,2.7,2.02,5,0.5,200720.0,0.0,5,5,39743.2238095105,0.3299507173771336,0.19800330714184186,0.03395366668701172,11
6106793,0.795249632215495,205963.0,163792.0,[],50,1.3,0.5,10,10,0.1,0.545939188219433,0.05,2.68,2.09,5,0.5,205963.0,0.0,5,5,43488.38118582335,0.26550980014789094,0.21114657091721986,0.05424976348876953,13
7574576,0.6000857530787738,209905.0,125961.0,[],50,1.3,0.5,10,9,0.1,0.0670152971089171,0.03,2.72,1.78,5,0.5,209905.0,0.0,5,5,37552.65910565483,0.29812925513178545,0.17890311858057134,0.0629262924194336,11
7369884,0.6001067720150548,187315.0,112409.0,[],50,1.3,0.5,10,10,0.1,0.5293110972372946,0.06,2.78,2.07,5,0.5,187315.0,0.0,5,5,19459.589981043668,0.1731141632880256,0.10388698172086415,0.047815799713134766,11
4740208,0.6000867846294778,207410.0,124464.0,[],50,1.3,0.5,10,9,0.1,0.05354642531524592,0.05,2.72,1.87,5,0.5,207410.0,0.0,5,5,45800.272474493984,0.3679800783720111,0.22081998203796338,0.06930303573608398,11
4831927,0.7935209887297872,183670.0,145746.0,[],50,1.3,0.5,10,10,0.1,0.0701943300249572,0.06,2.66,1.96,5,0.5,183670.0,0.0,5,5,18409.409650701673,0.12631159449111243,0.10023090134862347,0.06155204772949219,13
2190455,0.6000875024610067,228565.0,137159.0,[],50,1.3,0.5,10,10,0.1,0.0817785669600053,0.07,2.54,2.2,5,0.5,228565.0,0.0,5,5,27302.22439920139,0.19905528911118767,0.11945059129438623,0.07666444778442383,11
3618719,0.5850875607337902,182559.0,106813.0,[],50,1.3,0.5,10,10,0.1,0.0772374212527002,0.05,2.82,1.81,5,0.5,182559.0,0.0,5,5,15815.54777962013,0.14806763015382146,0.08663252855033239,0.03806638717651367,11
4883730,1.0,196776.0,196776.0,[],50,1.3,0.5,10,10,0.1,0.047915812677038414,0.05,2.58,2.0,5,0.5,196776.0,0.0,5,5,45845.337130869855,0.23298236131880848,0.23298236131880848,0.0816187858581543,15
4322080,0.40012839168021913,233660.0,93494.0,[],50,1.3,0.5,10,10,0.1,0.07375860780766325,0.04,2.48,2.15,5,0.5,233660.0,0.0,5,5,31719.856073502233,0.3392715690151478,0.13575218725285557,0.019713163375854492,9
8067862,0.7974084160590355,227660.0,181538.0,[],50,1.3,0.5,10,10,0.1,0.03061756418222194,0.08,2.76,1.87,5,0.5,227660.0,0.0,5,5,15345.588376723383,0.08453099834042119,0.06740572949452421,0.11094975471496582,13
7647811,0.789062022609227,163650.0,129130.0,[],50,1.3,0.5,10,10,0.1,0.5436180286311244,0.04,2.64,1.9,5,0.5,163650.0,0.0,5,5,31511.37411846623,0.24402829798239162,0.19255346237987309,0.05201315879821777,13
2723799,0.6000927407201317,215655.0,129413.0,[],50,1.3,0.5,10,10,0.1,0.04843341883634793,0.06,2.58,2.01,5,0.5,215655.0,0.0,5,5,53031.81478173743,0.4097873844338469,0.24591043463744142,0.047120094299316406,11
7648720,0.7868499438449144,204790.0,161139.0,[],50,1.3,0.5,10,10,0.1,0.0827571746561396,0.06,2.7,2.1,5,0.5,204790.0,0.0,5,5,16218.513098248799,0.10064921029824436,0.07919582547120856,0.05619049072265625,13
9127605,0.600106317943811,188115.0,112889.0,[],50,1.3,0.5,10,10,0.1,0.08409792266401078,0.02,2.84,1.85,5,0.5,188115.0,0.0,5,5,43762.05055340153,0.38765557807582257,0.2326345615894614,0.02437448501586914,11
7564812,0.40016635859519406,162300.0,64947.0,[],50,1.3,0.5,10,9,0.1,0.03860230000853136,0.03,2.58,1.79,5,0.5,162300.0,0.0,5,5,31108.264695586884,0.4789792399277393,0.19167137828457723,0.0897223949432373,9
4012817,0.7953433751310222,206072.0,163898.0,[],50,1.3,0.5,10,10,0.1,0.036267546099883266,0.07,2.78,1.97,5,0.5,206072.0,0.0,5,5,38687.49801301153,0.23604618734219776,0.18773777132755312,0.14565730094909668,13
8722831,0.6000734334203656,245120.0,147090.0,[],50,1.3,0.5,10,9,0.1,0.07828391841572294,0.05,2.62,1.84,5,0.5,245120.0,0.0,5,5,20225.287041649663,0.13750280128934436,0.08251177807461514,0.057819366455078125,11
8223559,0.7949789029535865,237000.0,188410.0,[],50,1.3,0.5,10,10,0.1,0.06531038209943618,0.05,2.74,1.93,5,0.5,237000.0,0.0,5,5,43665.605348672165,0.2317584276241822,0.18424306054292053,0.06414365768432617,13
2075818,0.4001685582649736,177980.0,71222.0,[],50,1.3,0.5,10,10,0.1,0.0941474526569494,0.03,2.62,2.03,5,0.5,177980.0,0.0,5,5,19829.63055213937,0.27842001842323116,0.1114149373645318,0.016707181930541992,9
6640756,1.0,162484.0,162484.0,[],50,1.3,0.5,10,9,0.1,0.08377446253580023,0.04,2.7,1.67,5,0.5,162484.0,0.0,5,5,60529.077721628826,0.3725233113514489,0.3725233113514489,0.06883597373962402,15
3660507,0.6000508462264836,275340.0,165218.0,[],50,1.3,0.5,10,7,0.1,0.0811115010878246,0.04,2.58,1.52,5,0.5,275340.0,0.0,5,5,48601.05058065724,0.29416316975545787,0.17651285894042726,0.020711421966552734,11
1959966,0.791595707217947,173221.0,137121.0,[],50,1.3,0.5,10,10,0.1,1.0,0.04,2.56,2.03,5,0.5,173221.0,0.0,5,5,32667.847434737294,0.23824102387480614,0.18859057178250496,0.024315595626831055,13
4482857,0.40016162922256343,185610.0,74274.0,[],50,1.3,0.5,10,10,0.1,0.05828511867206014,0.03,2.54,2.19,5,0.5,185610.0,0.0,5,5,25495.926141602074,0.3432685211729821,0.13736289069340055,0.06638121604919434,9
6980775,0.5942170454695352,227427.0,135141.0,[],50,1.3,0.5,10,10,0.1,0.08528514340213378,0.07,2.98,1.75,5,0.5,227427.0,0.0,5,5,39612.809930040705,0.2931220719843771,0.174178131576465,0.05621767044067383,11
5097177,0.6001245019920318,160640.0,96404.0,[],50,1.3,0.5,10,10,0.1,0.09192753995907516,0.04,2.64,2.05,5,0.5,160640.0,0.0,5,5,30478.65989324065,0.31615555260404804,0.18973269355852,0.025013208389282227,11
1788209,0.6000920810313075,217200.0,130340.0,[],50,1.3,0.5,10,10,0.1,0.5490811029875559,0.06,2.7,1.97,5,0.5,217200.0,0.0,5,5,45168.53105753451,0.3465438933369227,0.20795824612124542,0.021959304809570312,11
2427154,0.6000888355875363,225135.0,135101.0,[],50,1.3,0.5,10,10,0.1,0.07028411413290447,0.07,2.76,1.96,5,0.5,225135.0,0.0,5,5,46086.600662652796,0.34112701358726283,0.20470651237103424,0.06427383422851562,11
5765867,0.7926227988878591,242775.0,192429.0,[],50,1.3,0.5,10,9,0.1,0.053682366806505705,0.04,2.98,1.58,5,0.5,242775.0,0.0,5,5,42525.37116454624,0.2209925279689976,0.17516371605209036,0.07797765731811523,13
7080752,1.0,234766.0,234766.0,[],50,1.3,0.5,10,10,0.1,0.0704726226016653,0.09,2.62,1.94,5,0.5,234766.0,0.0,5,5,27279.468046394963,0.11619854683555099,0.11619854683555099,0.07876467704772949,15
3763358,0.6001104362230811,181100.0,108680.0,[],50,1.3,0.5,10,10,0.1,0.08309244036732147,0.07,2.86,1.77,5,0.5,181100.0,0.0,5,5,24327.401493661597,0.22384432732482146,0.13433131691696076,0.05669760704040527,11
6800095,0.590923899166175,227146.0,134226.0,[],50,1.3,0.5,10,10,0.1,0.0713152355151663,0.04,2.76,1.96,5,0.5,227146.0,0.0,5,5,29837.65588446639,0.22229415973407826,0.13135893163193008,0.09544610977172852,11
4901282,0.6001129177958446,177120.0,106292.0,[],50,1.3,0.5,10,10,0.1,0.05396076173616102,0.04,2.72,2.09,5,0.5,177120.0,0.0,5,5,19967.03591413996,0.18785078758645957,0.11273168424875768,0.07122182846069336,11
487391,0.5925941134802739,194818.0,115448.0,[],50,1.3,0.5,10,9,0.1,1.0,0.03,2.58,1.86,5,0.5,194818.0,0.0,5,5,41344.240128180514,0.35812002051296266,0.21221981607541662,0.018758058547973633,11
9024184,1.0,185614.0,185614.0,[],50,1.3,0.5,10,10,0.1,0.0839006909808834,0.03,2.66,2.03,5,0.5,185614.0,0.0,5,5,77388.75032763602,0.4169337998622734,0.4169337998622734,0.026659488677978516,15
