ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs,TransmissionRatioINEv,TransmissionRatioCentral
533699,1.0,497008.0,497008.0,[],50,0.1,0.5,10,10,0.1,0.0759664959468809,0.09,2.98,1.86,0,0.5,0,497008.0,0.0,10,4,0.0,0.0,0.0,153827.15221900615,0.3095063906798405,0.3095063906798405
8503792,1.0,396820.0,396820.0,[],50,0.1,0.5,10,10,0.1,0.0875753125991944,0.02,2.82,1.83,0,0.5,0,396820.0,0.0,10,4,0.0,0.0,0.0,125485.00641967446,0.3162265168582089,0.3162265168582089
8345283,1.0,456026.0,456026.0,[],50,0.1,0.5,10,10,0.1,0.0830861244569565,0.03,3.06,1.69,0,0.5,0,456026.0,0.0,10,4,0.0,0.0,0.0,55938.0894445841,0.1226642547674564,0.1226642547674564
6386520,0.6000482980958476,414095.0,248477.0,[],50,0.1,0.5,10,10,0.1,0.0639027866508825,0.08,2.74,1.97,0,0.5,0,414095.0,0.0,10,4,0.0,0.0,0.0,74652.5562987098,0.3004405087742922,0.1802788159690646
6529953,0.7929169735478797,400535.0,317591.0,[],50,0.2,0.5,10,10,0.1,0.0681835828058733,0.05,2.98,1.68,0,0.5,0,400535.0,0.0,10,4,0.0,0.0,0.0,34355.88790069418,0.1081765160243652,0.0857749956949933
5599171,0.7937157459328414,473119.0,375522.0,[],50,0.2,0.5,10,10,0.1,0.0897915561825268,0.05,3.2,1.59,0,0.5,0,473119.0,0.0,10,4,0.0,0.0,0.0,86858.58019284674,0.2313009096480279,0.1835871740362292
3812729,0.6000468504767036,426890.0,256154.0,[],50,0.2,0.5,10,10,0.1,0.0712723390447424,0.05,3.14,1.78,0,0.5,0,426890.0,0.0,10,4,0.0,0.0,0.0,111915.73300331808,0.4369080045727104,0.2621652720919161
5552956,1.0,371469.0,371469.0,[],50,0.2,0.5,10,10,0.1,0.0768337400396083,0.03,2.98,1.71,0,0.5,0,371469.0,0.0,10,4,0.0,0.0,0.0,78351.8757506338,0.2109243994805321,0.2109243994805321
7401978,0.6000545598385029,366570.0,219962.0,[],50,0.3,0.5,10,10,0.1,0.087568556377369,0.05,3.16,1.69,0,0.5,0,366570.0,0.0,10,4,0.0,0.0,0.0,67974.63188947522,0.3090289772300453,0.1854342469091175
4866079,0.7946222840058652,420104.0,333824.0,[],50,0.3,0.5,10,10,0.1,0.0877616422562386,0.07,2.78,1.96,0,0.5,0,420104.0,0.0,10,4,0.0,0.0,0.0,57024.360267918266,0.1708216313623893,0.1357386748707897
3173529,0.7884073196865914,430237.0,339202.0,[],50,0.3,0.5,10,10,0.1,0.0637456097023837,0.05,2.82,1.76,0,0.5,0,430237.0,0.0,10,4,0.0,0.0,0.0,103021.66385425584,0.3037177370836724,0.239453287035415
8106451,0.6000486801591841,410845.0,246527.0,[],50,0.3,0.5,10,10,0.1,0.0623110403226997,0.08,3.02,1.8,0,0.5,0,410845.0,0.0,10,4,0.0,0.0,0.0,46438.63203911334,0.1883713834148525,0.1130319999978418
7174962,0.7940594011289276,411541.0,326788.0,[],50,0.4,0.5,10,10,0.1,0.093779317536394,0.03,2.9,2.09,0,0.5,0,411541.0,0.0,10,4,0.0,0.0,0.0,83666.14984223395,0.2560257715773956,0.2032996708523183
7816152,0.8000236708800833,422460.0,337978.0,[],50,0.4,0.5,10,10,0.1,0.0745005045683753,0.05,3.14,1.68,0,0.5,0,422460.0,0.0,10,4,0.0,0.0,0.0,75188.75355716502,0.2224664136635077,0.1779783969066066
2891079,0.8000235003818812,425525.0,340430.0,[],50,0.4,0.5,10,10,0.1,0.0672241350055822,0.04,2.88,1.79,0,0.5,0,425525.0,0.0,10,4,0.0,0.0,0.0,74683.68812805453,0.2193804545076947,0.175509519130614
2964368,1.0,444762.0,444762.0,[],50,0.4,0.5,10,10,0.1,0.0710019758891797,0.04,2.9,1.75,0,0.5,0,444762.0,0.0,10,4,0.0,0.0,0.0,140146.83450331117,0.315105234942084,0.315105234942084
1234337,0.7959049352626004,388956.0,309572.0,[],50,0.5,0.5,10,10,0.1,0.0677525736147991,0.05,2.96,1.76,0,0.5,0,388956.0,0.0,10,4,0.0,0.0,0.0,31023.54324659376,0.1002143063539136,0.079761061010998
6512125,0.6000462957604658,432005.0,259223.0,[],50,0.5,0.5,10,10,0.1,0.0846819916969807,0.04,2.88,1.92,0,0.5,0,432005.0,0.0,10,4,0.0,0.0,0.0,38856.82017032999,0.1498972705752575,0.0899453019532875
111770,0.5912033289518307,403971.0,238829.0,[],50,0.5,0.5,10,10,0.1,0.0747877277377913,0.04,2.86,1.82,0,0.5,0,403971.0,0.0,10,4,0.0,0.0,0.0,46318.4280120332,0.193939714239197,0.11465780467418
7613491,1.0,418769.0,418769.0,[],50,0.5,0.5,10,10,0.1,0.0742511823986553,0.02,2.9,1.79,0,0.5,0,418769.0,0.0,10,4,0.0,0.0,0.0,183714.21754519083,0.4387006142890014,0.4387006142890014
3919666,0.7954869142027263,427601.0,340151.0,[],50,0.6,0.5,10,10,0.1,0.071712908974241,0.06,2.94,1.69,0,0.5,0,427601.0,0.0,10,4,0.0,0.0,0.0,46139.89587138972,0.1356453336059271,0.1079040878561783
5799792,0.6000596370658564,352130.0,211299.0,[],50,0.6,0.5,10,10,0.1,0.0794107867934566,0.03,2.78,1.86,0,0.5,0,352130.0,0.0,10,4,0.0,0.0,0.0,30566.271633503733,0.1446588560925689,0.0868039406852689
9814624,1.0,407062.0,407062.0,[],50,0.6,0.5,10,10,0.1,0.0543711386567986,0.04,3.14,1.61,0,0.5,0,407062.0,0.0,10,4,0.0,0.0,0.0,132078.6465190958,0.3244681314372155,0.3244681314372155
7589003,0.7973931942260356,326223.0,260128.0,[],50,0.6,0.5,10,10,0.1,0.0733798333331773,0.06,3.16,1.66,0,0.5,0,326223.0,0.0,10,4,0.0,0.0,0.0,45890.18329409094,0.1764138550793876,0.1406712074074818
2050569,1.0,370661.0,370661.0,[],50,0.7,0.5,10,10,0.1,0.0731720463396974,0.05,2.84,1.86,0,0.5,0,370661.0,0.0,10,4,0.0,0.0,0.0,136932.55439096445,0.3694280066987475,0.3694280066987475
7989736,0.6000668907506814,298995.0,179417.0,[],50,0.7,0.5,10,10,0.1,0.0852618255477765,0.06,2.98,1.77,0,0.5,0,298995.0,0.0,10,4,0.0,0.0,0.0,70015.91603484305,0.3902412593836874,0.2341708591609995
9240902,1.0,354212.0,354212.0,[],50,0.7,0.5,10,10,0.1,0.0775260681721924,0.06,3.06,1.61,0,0.5,0,354212.0,0.0,10,4,0.0,0.0,0.0,94870.44159681976,0.2678351992502223,0.2678351992502223
939275,0.9622825574344808,371075.0,357079.0,[],50,0.7,0.5,10,10,0.1,0.0753374592243302,0.03,2.78,1.9,0,0.5,0,371075.0,0.0,10,4,0.0,0.0,0.0,174172.14859692694,0.4877692292095781,0.4693718213216383
6262635,0.7961809181528446,368675.0,293532.0,[],50,0.8,0.5,10,10,0.1,0.0865752885310082,0.03,2.98,1.8,0,0.5,0,368675.0,0.0,10,4,0.0,0.0,0.0,123550.76333303266,0.420910712743526,0.3351210777325087
8556887,0.6000572172395543,349545.0,209747.0,[],50,0.8,0.5,10,10,0.1,0.0758702668198285,0.03,2.92,1.77,0,0.5,0,349545.0,0.0,10,4,0.0,0.0,0.0,77891.47022614355,0.3713591623534236,0.2228367455582072
4809201,0.792232573456317,324921.0,257413.0,[],50,0.8,0.5,10,10,0.1,0.0662988207758871,0.04,2.84,1.81,0,0.5,0,324921.0,0.0,10,4,0.0,0.0,0.0,72960.477152608,0.2834374221682976,0.224548358378215
