ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents
367773,1.0,"(139668.0, 0, 5, {'B': {'B6': [6, 0], 'B15': [15, 3, 0], 'B20': [20, 8, 1, 0], 'B32': [32, 30, 17, 14, 1, 0], 'B35': [35, 27, 22, 8, 1, 0], 'B40': [40, 30, 17, 14, 1, 0], 'B41': [41, 25, 18, 9, 1, 0], 'B47': [47, 28, 16, 10, 1, 0], 'B48': [48, 27, 22, 8, 1, 0], 'B49': [49, 26, 16, 10, 1, 0]}, 'C': {'C31': [31, 18, 9, 1, 0], 'C32': [32, 30, 17, 14, 1, 0], 'C34': [34, 28, 16, 10, 1, 0], 'C35': [35, 27, 22, 8, 1, 0], 'C38': [38, 25, 18, 9, 1, 0], 'C39': [39, 26, 16, 10, 1, 0], 'C40': [40, 30, 17, 14, 1, 0], 'C42': [42, 26, 16, 10, 1, 0], 'C43': [43, 27, 22, 8, 1, 0], 'C47': [47, 28, 16, 10, 1, 0], 'C49': [49, 26, 16, 10, 1, 0]}, 'D': {'D13': [13, 4, 0], 'D15': [15, 3, 0], 'D20': [20, 8, 1, 0], 'D36': [36, 25, 18, 9, 1, 0], 'D37': [37, 29, 16, 10, 1, 0], 'D38': [38, 25, 18, 9, 1, 0], 'D40': [40, 30, 17, 14, 1, 0], 'D44': [44, 28, 16, 10, 1, 0], 'D45': [45, 25, 18, 9, 1, 0], 'D46': [46, 24, 23, 9, 1, 0], 'D47': [47, 28, 16, 10, 1, 0], 'D48': [48, 27, 22, 8, 1, 0]}})",139668.0,[],50,1.4,0.5,1,1,0.1,0.09476701045116237,0.01,4.14,0.13,0,0.5,0,139668.0,0.9280230260331643,4,2
5326196,1.0,"(182481.0, 0, 5, {'A': {'A6': [6, 0], 'A13': [13, 5, 0], 'A15': [15, 2, 0], 'A21': [21, 12, 2, 0], 'A33': [33, 31, 19, 8, 1, 0], 'A34': [34, 25, 17, 12, 2, 0], 'A35': [35, 24, 19, 8, 1, 0], 'A42': [42, 31, 19, 8, 1, 0], 'A43': [43, 26, 23, 11, 4, 0], 'A46': [46, 24, 19, 8, 1, 0], 'A47': [47, 31, 19, 8, 1, 0], 'A48': [48, 31, 19, 8, 1, 0]}, 'B': {'B6': [6, 0], 'B21': [21, 12, 2, 0], 'B32': [32, 24, 19, 8, 1, 0], 'B35': [35, 24, 19, 8, 1, 0], 'B38': [38, 24, 19, 8, 1, 0], 'B39': [39, 29, 19, 8, 1, 0], 'B41': [41, 27, 16, 11, 4, 0], 'B42': [42, 31, 19, 8, 1, 0], 'B43': [43, 26, 23, 11, 4, 0], 'B44': [44, 27, 16, 11, 4, 0], 'B46': [46, 24, 19, 8, 1, 0], 'B49': [49, 24, 19, 8, 1, 0]}, 'D': {'D6': [6, 0], 'D15': [15, 2, 0], 'D21': [21, 12, 2, 0], 'D32': [32, 24, 19, 8, 1, 0], 'D34': [34, 25, 17, 12, 2, 0], 'D36': [36, 26, 23, 11, 4, 0], 'D41': [41, 27, 16, 11, 4, 0], 'D43': [43, 26, 23, 11, 4, 0], 'D44': [44, 27, 16, 11, 4, 0], 'D47': [47, 31, 19, 8, 1, 0]}, 'C': {'C6': [6, 0], 'C32': [32, 24, 19, 8, 1, 0], 'C33': [33, 31, 19, 8, 1, 0], 'C34': [34, 25, 17, 12, 2, 0], 'C37': [37, 30, 17, 12, 2, 0], 'C38': [38, 24, 19, 8, 1, 0], 'C40': [40, 31, 19, 8, 1, 0], 'C42': [42, 31, 19, 8, 1, 0], 'C47': [47, 31, 19, 8, 1, 0], 'C48': [48, 31, 19, 8, 1, 0]}})",182481.0,[],50,1.4,0.5,1,1,0.1,0.5378543420279991,0.01,3.98,0.13,0,0.5,0,182481.0,0.9249828749294446,4,2
6109164,1.0,"(175760.0, 0, 5, {'D': {'D6': [6, 0], 'D7': [7, 0], 'D11': [11, 4, 0], 'D16': [16, 15, 1, 0], 'D21': [21, 9, 3, 0], 'D32': [32, 28, 20, 12, 2, 0], 'D33': [33, 24, 20, 12, 2, 0], 'D34': [34, 24, 20, 12, 2, 0], 'D35': [35, 30, 19, 15, 1, 0], 'D37': [37, 31, 20, 12, 2, 0], 'D39': [39, 27, 17, 9, 3, 0], 'D41': [41, 24, 20, 12, 2, 0], 'D45': [45, 27, 17, 9, 3, 0], 'D47': [47, 25, 22, 12, 2, 0], 'D48': [48, 30, 19, 15, 1, 0]}, 'C': {'C11': [11, 4, 0], 'C16': [16, 15, 1, 0], 'C18': [18, 15, 1, 0], 'C21': [21, 9, 3, 0], 'C26': [26, 23, 15, 1, 0], 'C32': [32, 28, 20, 12, 2, 0], 'C33': [33, 24, 20, 12, 2, 0], 'C34': [34, 24, 20, 12, 2, 0], 'C35': [35, 30, 19, 15, 1, 0], 'C37': [37, 31, 20, 12, 2, 0], 'C39': [39, 27, 17, 9, 3, 0], 'C41': [41, 24, 20, 12, 2, 0], 'C43': [43, 29, 22, 12, 2, 0], 'C44': [44, 30, 19, 15, 1, 0], 'C45': [45, 27, 17, 9, 3, 0], 'C46': [46, 31, 20, 12, 2, 0], 'C47': [47, 25, 22, 12, 2, 0], 'C48': [48, 30, 19, 15, 1, 0], 'C49': [49, 24, 20, 12, 2, 0]}, 'A': {'A6': [6, 0], 'A7': [7, 0], 'A8': [8, 5, 0], 'A11': [11, 4, 0], 'A18': [18, 15, 1, 0], 'A26': [26, 23, 15, 1, 0], 'A32': [32, 28, 20, 12, 2, 0], 'A37': [37, 31, 20, 12, 2, 0], 'A38': [38, 28, 20, 12, 2, 0], 'A43': [43, 29, 22, 12, 2, 0], 'A45': [45, 27, 17, 9, 3, 0], 'A48': [48, 30, 19, 15, 1, 0]}})",175760.0,[],50,1.4,0.5,1,1,0.1,0.09691239128767937,0.02,3.96,0.14,0,0.5,0,175760.0,0.9674692762858443,4,2
5510464,1.0,"(157350.0, 0, 5, {'A': {'A20': [20, 15, 2, 0], 'A34': [34, 29, 21, 15, 2, 0], 'A38': [38, 28, 18, 10, 1, 0], 'A39': [39, 29, 21, 15, 2, 0], 'A40': [40, 30, 22, 8, 1, 0], 'A41': [41, 30, 22, 8, 1, 0], 'A44': [44, 31, 22, 8, 1, 0], 'A46': [46, 25, 22, 8, 1, 0], 'A47': [47, 24, 16, 13, 2, 0], 'A48': [48, 25, 22, 8, 1, 0]}, 'B': {'B7': [7, 0], 'B9': [9, 5, 0], 'B20': [20, 15, 2, 0], 'B32': [32, 30, 22, 8, 1, 0], 'B33': [33, 26, 19, 15, 2, 0], 'B34': [34, 29, 21, 15, 2, 0], 'B35': [35, 27, 16, 13, 2, 0], 'B40': [40, 30, 22, 8, 1, 0], 'B41': [41, 30, 22, 8, 1, 0], 'B42': [42, 30, 22, 8, 1, 0], 'B43': [43, 27, 16, 13, 2, 0], 'B44': [44, 31, 22, 8, 1, 0], 'B45': [45, 29, 21, 15, 2, 0], 'B46': [46, 25, 22, 8, 1, 0], 'B48': [48, 25, 22, 8, 1, 0]}, 'D': {'D6': [6, 0], 'D33': [33, 26, 19, 15, 2, 0], 'D34': [34, 29, 21, 15, 2, 0], 'D35': [35, 27, 16, 13, 2, 0], 'D37': [37, 30, 22, 8, 1, 0], 'D38': [38, 28, 18, 10, 1, 0], 'D42': [42, 30, 22, 8, 1, 0], 'D43': [43, 27, 16, 13, 2, 0], 'D45': [45, 29, 21, 15, 2, 0], 'D46': [46, 25, 22, 8, 1, 0], 'D47': [47, 24, 16, 13, 2, 0]}})",157350.0,[],50,1.4,0.5,1,1,0.1,0.06346711045424065,0.01,3.98,0.13,0,0.5,0,157350.0,0.8688465204957102,4,2
1479256,1.0,"(235290.0, 0, 5, {'B': {'B17': [17, 15, 2, 0], 'B32': [32, 30, 21, 15, 2, 0], 'B33': [33, 26, 21, 15, 2, 0], 'B34': [34, 26, 21, 15, 2, 0], 'B35': [35, 27, 20, 15, 2, 0], 'B36': [36, 27, 20, 15, 2, 0], 'B38': [38, 30, 21, 15, 2, 0], 'B40': [40, 27, 20, 15, 2, 0], 'B41': [41, 30, 21, 15, 2, 0], 'B43': [43, 29, 22, 9, 6, 0], 'B48': [48, 27, 20, 15, 2, 0]}, 'A': {'A5': [5, 0], 'A8': [8, 3, 0], 'A10': [10, 2, 0], 'A12': [12, 3, 0], 'A18': [18, 15, 2, 0], 'A19': [19, 13, 3, 0], 'A32': [32, 30, 21, 15, 2, 0], 'A34': [34, 26, 21, 15, 2, 0], 'A36': [36, 27, 20, 15, 2, 0], 'A39': [39, 24, 22, 9, 6, 0], 'A40': [40, 27, 20, 15, 2, 0], 'A41': [41, 30, 21, 15, 2, 0], 'A42': [42, 25, 23, 14, 7, 0], 'A43': [43, 29, 22, 9, 6, 0], 'A44': [44, 31, 21, 15, 2, 0], 'A47': [47, 30, 21, 15, 2, 0], 'A49': [49, 31, 21, 15, 2, 0]}, 'C': {'C11': [11, 1, 0], 'C12': [12, 3, 0], 'C17': [17, 15, 2, 0], 'C32': [32, 30, 21, 15, 2, 0], 'C33': [33, 26, 21, 15, 2, 0], 'C34': [34, 26, 21, 15, 2, 0], 'C35': [35, 27, 20, 15, 2, 0], 'C36': [36, 27, 20, 15, 2, 0], 'C38': [38, 30, 21, 15, 2, 0], 'C40': [40, 27, 20, 15, 2, 0], 'C43': [43, 29, 22, 9, 6, 0], 'C44': [44, 31, 21, 15, 2, 0], 'C45': [45, 24, 22, 9, 6, 0], 'C48': [48, 27, 20, 15, 2, 0]}, 'D': {'D11': [11, 1, 0], 'D18': [18, 15, 2, 0], 'D19': [19, 13, 3, 0], 'D32': [32, 30, 21, 15, 2, 0], 'D33': [33, 26, 21, 15, 2, 0], 'D36': [36, 27, 20, 15, 2, 0], 'D38': [38, 30, 21, 15, 2, 0], 'D40': [40, 27, 20, 15, 2, 0], 'D41': [41, 30, 21, 15, 2, 0], 'D42': [42, 25, 23, 14, 7, 0], 'D43': [43, 29, 22, 9, 6, 0], 'D44': [44, 31, 21, 15, 2, 0], 'D48': [48, 27, 20, 15, 2, 0], 'D49': [49, 31, 21, 15, 2, 0]}})",235290.0,[],50,1.4,0.5,1,1,0.1,0.07547355338781539,0.01,3.94,0.13,0,0.5,0,235290.0,0.8978826129457265,4,2
1731287,1.0,"(159112.0, 0, 5, {'D': {'D19': [19, 13, 1, 0], 'D22': [22, 14, 5, 0], 'D34': [34, 29, 16, 13, 1, 0], 'D35': [35, 29, 16, 13, 1, 0], 'D37': [37, 27, 18, 15, 3, 0], 'D38': [38, 28, 23, 10, 3, 0], 'D40': [40, 31, 18, 15, 3, 0], 'D41': [41, 24, 23, 10, 3, 0], 'D42': [42, 27, 18, 15, 3, 0], 'D43': [43, 31, 18, 15, 3, 0], 'D48': [48, 27, 18, 15, 3, 0], 'D49': [49, 31, 18, 15, 3, 0]}, 'A': {'A17': [17, 12, 1, 0], 'A19': [19, 13, 1, 0], 'A34': [34, 29, 16, 13, 1, 0], 'A35': [35, 29, 16, 13, 1, 0], 'A36': [36, 31, 18, 15, 3, 0], 'A37': [37, 27, 18, 15, 3, 0], 'A39': [39, 25, 21, 14, 5, 0], 'A42': [42, 27, 18, 15, 3, 0], 'A44': [44, 25, 21, 14, 5, 0], 'A45': [45, 24, 23, 10, 3, 0], 'A48': [48, 27, 18, 15, 3, 0], 'A49': [49, 31, 18, 15, 3, 0]}, 'C': {'C9': [9, 2, 0], 'C11': [11, 6, 0], 'C32': [32, 26, 21, 14, 5, 0], 'C35': [35, 29, 16, 13, 1, 0], 'C37': [37, 27, 18, 15, 3, 0], 'C38': [38, 28, 23, 10, 3, 0], 'C40': [40, 31, 18, 15, 3, 0], 'C41': [41, 24, 23, 10, 3, 0], 'C42': [42, 27, 18, 15, 3, 0], 'C45': [45, 24, 23, 10, 3, 0], 'C47': [47, 27, 18, 15, 3, 0], 'C48': [48, 27, 18, 15, 3, 0]}})",159112.0,[],50,1.4,0.5,1,1,0.1,0.07365753924712347,0.01,4.22,0.12,0,0.5,0,159112.0,0.9156523706571471,4,2
8010986,1.0,"(144030.0, 0, 5, {'C': {'C12': [12, 2, 0], 'C32': [32, 29, 17, 8, 6, 0], 'C33': [33, 24, 17, 8, 6, 0], 'C34': [34, 29, 17, 8, 6, 0], 'C35': [35, 27, 16, 10, 2, 0], 'C39': [39, 31, 20, 15, 3, 0], 'C41': [41, 27, 16, 10, 2, 0], 'C42': [42, 28, 16, 10, 2, 0]}, 'D': {'D13': [13, 7, 0], 'D33': [33, 24, 17, 8, 6, 0], 'D34': [34, 29, 17, 8, 6, 0], 'D35': [35, 27, 16, 10, 2, 0], 'D36': [36, 30, 17, 8, 6, 0], 'D37': [37, 28, 16, 10, 2, 0], 'D40': [40, 27, 16, 10, 2, 0], 'D41': [41, 27, 16, 10, 2, 0], 'D42': [42, 28, 16, 10, 2, 0], 'D44': [44, 24, 17, 8, 6, 0], 'D48': [48, 25, 18, 10, 2, 0], 'D49': [49, 27, 16, 10, 2, 0]}, 'B': {'B12': [12, 2, 0], 'B13': [13, 7, 0], 'B23': [23, 10, 2, 0], 'B33': [33, 24, 17, 8, 6, 0], 'B34': [34, 29, 17, 8, 6, 0], 'B35': [35, 27, 16, 10, 2, 0], 'B37': [37, 28, 16, 10, 2, 0], 'B38': [38, 26, 19, 10, 2, 0], 'B39': [39, 31, 20, 15, 3, 0], 'B40': [40, 27, 16, 10, 2, 0], 'B43': [43, 25, 18, 10, 2, 0], 'B45': [45, 29, 17, 8, 6, 0], 'B46': [46, 28, 16, 10, 2, 0], 'B48': [48, 25, 18, 10, 2, 0]}})",144030.0,[],50,1.4,0.5,1,1,0.1,0.5498296324626026,0.01,4.48,0.12,0,0.5,0,144030.0,0.979173783239603,4,2
9915203,1.0,"(142079.0, 0, 5, {'A': {'A3': [3, 0], 'A20': [20, 12, 1, 0], 'A27': [27, 21, 11, 5, 0], 'A34': [34, 31, 22, 8, 2, 0], 'A36': [36, 28, 19, 8, 2, 0], 'A39': [39, 24, 16, 8, 2, 0], 'A40': [40, 30, 17, 12, 1, 0], 'A41': [41, 28, 19, 8, 2, 0], 'A43': [43, 31, 22, 8, 2, 0], 'A46': [46, 30, 17, 12, 1, 0], 'A48': [48, 30, 17, 12, 1, 0], 'A49': [49, 31, 22, 8, 2, 0]}, 'B': {'B3': [3, 0], 'B20': [20, 12, 1, 0], 'B32': [32, 24, 16, 8, 2, 0], 'B33': [33, 24, 16, 8, 2, 0], 'B34': [34, 31, 22, 8, 2, 0], 'B35': [35, 30, 17, 12, 1, 0], 'B36': [36, 28, 19, 8, 2, 0], 'B40': [40, 30, 17, 12, 1, 0], 'B42': [42, 24, 16, 8, 2, 0], 'B44': [44, 26, 17, 12, 1, 0], 'B45': [45, 24, 16, 8, 2, 0], 'B46': [46, 30, 17, 12, 1, 0], 'B48': [48, 30, 17, 12, 1, 0], 'B49': [49, 31, 22, 8, 2, 0]}, 'D': {'D3': [3, 0], 'D10': [10, 4, 0], 'D20': [20, 12, 1, 0], 'D35': [35, 30, 17, 12, 1, 0], 'D41': [41, 28, 19, 8, 2, 0], 'D47': [47, 26, 17, 12, 1, 0], 'D48': [48, 30, 17, 12, 1, 0], 'D49': [49, 31, 22, 8, 2, 0]}})",142079.0,[],50,1.4,0.5,1,1,0.1,0.05956231428432097,0.01,4.52,0.12,0,0.5,0,142079.0,1.0330410546245397,4,2
6182781,1.0,"(138268.0, 0, 5, {'D': {'D8': [8, 3, 0], 'D9': [9, 6, 0], 'D35': [35, 28, 21, 14, 3, 0], 'D36': [36, 27, 22, 13, 2, 0], 'D38': [38, 31, 18, 10, 2, 0], 'D40': [40, 24, 22, 13, 2, 0], 'D42': [42, 25, 17, 13, 2, 0], 'D46': [46, 31, 18, 10, 2, 0], 'D47': [47, 28, 21, 14, 3, 0], 'D48': [48, 28, 21, 14, 3, 0]}, 'C': {'C1': [1, 0], 'C8': [8, 3, 0], 'C9': [9, 6, 0], 'C33': [33, 25, 17, 13, 2, 0], 'C34': [34, 26, 17, 13, 2, 0], 'C36': [36, 27, 22, 13, 2, 0], 'C37': [37, 27, 22, 13, 2, 0], 'C38': [38, 31, 18, 10, 2, 0], 'C41': [41, 25, 17, 13, 2, 0], 'C43': [43, 29, 16, 11, 3, 0], 'C44': [44, 29, 16, 11, 3, 0], 'C45': [45, 31, 18, 10, 2, 0]}, 'A': {'A8': [8, 3, 0], 'A9': [9, 6, 0], 'A15': [15, 5, 0], 'A33': [33, 25, 17, 13, 2, 0], 'A35': [35, 28, 21, 14, 3, 0], 'A36': [36, 27, 22, 13, 2, 0], 'A37': [37, 27, 22, 13, 2, 0], 'A40': [40, 24, 22, 13, 2, 0], 'A45': [45, 31, 18, 10, 2, 0], 'A46': [46, 31, 18, 10, 2, 0], 'A48': [48, 28, 21, 14, 3, 0], 'A49': [49, 25, 17, 13, 2, 0]}})",138268.0,[],50,1.4,0.5,1,1,0.1,0.5315466745753058,0.01,4.18,0.12,0,0.5,0,138268.0,0.98160528828073,4,2
5214235,1.0,"(116420.0, 0, 5, {'B': {'B32': [32, 27, 22, 9, 1, 0], 'B39': [39, 28, 22, 9, 1, 0], 'B40': [40, 24, 20, 11, 1, 0]}, 'D': {'D33': [33, 28, 22, 9, 1, 0], 'D34': [34, 24, 20, 11, 1, 0], 'D37': [37, 29, 22, 9, 1, 0], 'D38': [38, 28, 22, 9, 1, 0], 'D39': [39, 28, 22, 9, 1, 0], 'D40': [40, 24, 20, 11, 1, 0], 'D41': [41, 29, 22, 9, 1, 0], 'D43': [43, 31, 22, 9, 1, 0], 'D44': [44, 28, 22, 9, 1, 0], 'D48': [48, 26, 20, 11, 1, 0], 'D49': [49, 30, 18, 11, 1, 0]}, 'A': {'A5': [5, 0], 'A8': [8, 1, 0], 'A15': [15, 1, 0], 'A32': [32, 27, 22, 9, 1, 0], 'A33': [33, 28, 22, 9, 1, 0], 'A34': [34, 24, 20, 11, 1, 0], 'A35': [35, 26, 20, 11, 1, 0], 'A36': [36, 24, 20, 11, 1, 0], 'A37': [37, 29, 22, 9, 1, 0], 'A38': [38, 28, 22, 9, 1, 0], 'A42': [42, 29, 22, 9, 1, 0], 'A45': [45, 30, 18, 11, 1, 0], 'A47': [47, 29, 22, 9, 1, 0]}})",116420.0,[],50,1.4,0.5,1,1,0.1,0.05587321466003733,0.01,3.78,0.13,0,0.5,0,116420.0,0.8209372959972513,4,2
