ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5481210,0.9957976599704383,[],20,1.4,0.5,1,4,0.1,0.036331838122364894,0.02,4.15,0.02,0,1.0,0,181.0,0.3668508287292818,4
1698764,1.0,[],20,1.4,0.5,1,9,0.1,0.05941871350216675,0.06,3.45,0.03,0,2.0,0,1638.0,0.018693556533587247,4
7552607,1.0466168450399362,[],20,1.4,0.5,1,2,0.1,0.06045246213879191,0.01,3.8499999999999996,0.02,0,1.0,0,99.0,0.5444444444444444,4
4260548,1.0132485116353733,[],20,1.4,0.5,1,4,0.1,0.07235823783896747,0.03,4.050000000000001,0.02,0,1.0,0,228.0,0.3552631578947369,4
1742292,1.0003498341336017,[],20,1.4,0.5,1,3,0.1,0.06922753398375225,0.02,3.85,0.02,0,1.0,0,1361.0,0.048089639970609846,4
8274089,1.0064132934497145,[],20,1.4,0.5,1,8,0.1,0.08049544456083395,0.05,3.95,0.03,0,2.0,0,351.0,0.1158099602887642,4
1447665,1.0,[],20,1.4,0.5,1,2,0.1,0.5497117138223825,0.01,3.95,0.02,0,1.0,0,368.0,0.21467391304347827,4
8431793,1.0,"[(<tree.AND object at 0x7f16d4751de0>, 'D')]",20,1.4,0.5,1,3,0.1,0.06609881040975313,0.02,3.5999999999999996,0.02,0,1.0,0,21558.0,0.027088097315929406,4
8000900,0.9894883924276672,[],20,1.4,0.5,1,7,0.1,0.5430256366690817,0.03,3.95,0.04,0,2.0,0,78.0,0.21331880023030392,4
2443459,1.0,[],20,1.4,0.5,1,1,0.1,0.03798912670028799,0.01,3.8499999999999996,0.01,0,0.0,0,1857.0,0.18659127625201935,4
5181964,0.5052572332350491,[],20,1.4,0.5,1,3,0.1,0.08018686354392573,0.01,4.35,0.01,0,1.0,0,452.0,0.15137786577682655,4
2024055,1.0,[],20,1.4,0.5,1,2,0.1,1.0,0.02,3.9,0.02,0,1.0,0,390.0,0.23,4
