ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
156595,0.01668204727763186,[],20,1.4,0.5,1,2,0.1,0.06519877714453927,0.01,4.05,0.04,0,0.0,0,28174.0,0.004599985802512955,4
9881426,0.030262802008274296,[],20,1.4,0.5,1,3,0.1,0.05775426760941124,0.02,3.7,0.02,0,1.0,0,7628.0,0.011641321447299425,4
5732404,0.0019376655040785526,[],20,1.4,0.5,1,10,0.1,0.0319181978949153,0.06,4.25,0.07,0,2.0,0,76690.0,0.000513026523782041,4
8123995,1.0,[],20,1.4,0.5,1,3,0.1,0.0619242398687807,0.02,3.8,0.01,0,0.5,0,116.0,1.2448275862068967,4
5021490,0.2946735112669785,[],20,1.4,0.5,1,9,0.1,0.05305581094572892,0.05,4.4,0.04,0,2.0,0,207.0,0.1402080761964407,4
561277,1.1921201289939938,[],20,1.4,0.5,1,3,0.1,0.07955948490163403,0.01,3.65,0.02,0,1.0,0,119.0,1.31890756302521,4
8460641,1.0,[],20,1.4,0.5,1,1,0.1,1.0,0.01,3.7,0.01,0,0.5,0,1448.0,1.392610497237569,4
5920256,0.5878874941575858,[],20,1.4,0.5,1,10,0.1,0.08007937748234595,0.05,3.9000000000000004,0.06,0,2.0,0,144.0,0.597239143212252,4
3092665,1.0,[],20,1.4,0.5,1,1,0.1,0.5469367774549818,0.01,3.45,0.01,0,0.5,0,2213.0,1.484139177586986,4
9607338,0.5570492100110387,[],20,1.4,0.5,1,2,0.1,0.5493462375736248,0.01,4.050000000000001,0.02,0,1.0,0,31.0,0.653225806451613,4
9391374,1.0,[],20,1.4,0.5,1,1,0.1,0.5366440935346498,0.01,4.2,0.01,0,0.5,0,609.0,1.1724137931034482,4
2476379,0.3516967826752335,[],20,1.4,0.5,1,3,0.1,0.0743879835915929,0.02,3.95,0.02,0,1.0,0,118.0,0.3347457627118644,4
3077948,0.06678675477459863,[],20,1.4,0.5,1,3,0.1,0.0942127861367516,0.02,3.45,0.02,0,1.0,0,1909.0,0.03253012048192771,4
6662051,0.7676675973756182,[],20,1.4,0.5,1,2,0.1,0.5429494005654277,0.01,4.2,0.02,0,1.0,0,147.0,1.1142857142857143,4
222323,0.20028559683876548,[],20,1.4,0.5,1,4,0.1,0.054970822798436944,0.02,3.95,0.02,0,1.0,0,344.0,0.11482558139534883,4
6467443,1.143698668318025,[],20,1.4,0.5,1,2,0.1,0.5388073262593585,0.01,3.75,0.03,0,1.0,0,45.0,1.5833333333333333,4
959763,0.2634014078016031,[],20,1.4,0.5,1,4,0.1,0.059448249952214455,0.02,4.05,0.03,0,1.0,0,127.0,0.1906760330983652,4
4531206,0.3671732826020558,[],20,1.4,0.5,1,9,0.1,0.04551869149867783,0.04,3.8499999999999996,0.05,0,2.0,0,92.0,0.20636523609609728,4
2168270,0.06265056297945823,[],20,1.4,0.5,1,4,0.1,0.05180036806049789,0.02,4.15,0.02,0,1.0,0,1442.0,0.048925104022191405,4
7892574,1.0,[],20,1.4,0.5,1,6,0.1,0.5481600373864572,0.03,4.1,0.01,0,0.5,0,114.0,1.3666666666666665,4
2783331,0.0786045144006331,[],20,1.4,0.5,1,1,0.1,0.5498523111349386,0.01,3.95,0.05,0,0.0,0,550948.0,0.019013409613974457,4
347919,0.3353336283030058,[],20,1.4,0.5,1,4,0.1,0.030794529531002285,0.02,3.8499999999999996,0.02,0,1.0,0,256.0,0.25566406249999996,4
8068347,0.012641647254350427,"[(<tree.SEQ object at 0x7f8e6ec1ee30>, 'A')]",20,1.4,0.5,1,3,0.1,0.07931562479754084,0.02,3.7,0.04,0,1.0,0,209275.0,0.007054354318480469,4
549811,0.7549019607843137,[],20,1.4,0.5,1,2,0.1,0.0887686028870151,0.01,3.85,0.03,0,0.0,0,102.0,0.37745098039215685,4
2582719,1.0,[],20,1.4,0.5,1,1,0.1,1.0,0.01,4.2,0.01,0,0.5,0,1117.0,1.1618621307072514,4
6528007,0.38046021637308997,[],20,1.4,0.5,1,3,0.1,0.06510102537832044,0.02,3.9000000000000004,0.02,0,1.0,0,1142.0,0.11269702276707533,4
121565,0.9733727810650887,[],20,1.4,0.5,1,2,0.1,0.5456549754353468,0.01,3.35,0.05,0,0.0,0,1014.0,0.2493966000652516,4
859491,0.040614961724705544,[],20,1.4,0.5,1,1,0.1,0.04092066733584902,0.01,4.050000000000001,0.05,0,0.0,0,312865.0,0.012763652054400462,4
2981494,1.0,[],20,1.4,0.5,1,2,0.1,0.09888409780705067,0.01,4.0,0.01,0,0.5,0,2940.0,0.2857142857142857,4
8062362,1.0,[],20,1.4,0.5,1,1,0.1,0.08564367494746944,0.01,3.65,0.01,0,0.5,0,2022.0,1.2293026706231454,4
8162098,5.978403965645563e-05,[],20,1.4,0.5,1,3,0.1,0.08406867844205035,0.02,3.65,0.04,0,1.0,0,1203657.0,1.8772279359708217e-05,4
7368921,0.15555555555555556,[],20,1.4,0.5,1,2,0.1,1.0,0.01,3.35,0.04,0,0.0,0,990.0,0.03383838383838384,4
4892123,0.07706791767983813,[],20,1.4,0.5,1,4,0.1,0.5420022551391868,0.03,4.1,0.05,0,2.0,0,4159.0,0.021162037230660773,4
7175622,0.5461584276354973,[],20,1.4,0.5,1,3,0.1,0.5408812717417388,0.02,4.35,0.05,0,0.0,0,3358.0,0.16322215604526502,4
7293907,0.015282393921013387,[],20,1.4,0.5,1,4,0.1,0.07885272815849362,0.02,4.35,0.02,0,1.0,0,1542.0,0.016926070038910505,4
1931746,0.5182186234817814,[],20,1.4,0.5,1,2,0.1,0.5364501276174872,0.01,3.95,0.03,0,0.0,0,494.0,0.17591093117408907,4
799390,1.0,[],20,1.4,0.5,1,5,0.1,0.08973651971483329,0.02,4.2,0.02,0,0.5,0,1547.0,0.2909516578545769,4
3727228,0.6125177596064159,[],20,1.4,0.5,1,3,0.1,0.06593473819044583,0.02,3.65,0.02,0,1.0,0,134.0,0.35410447761194025,4
4157489,0.00014806602985618613,[],20,1.4,0.5,1,2,0.1,1.0,0.01,3.9,0.04,0,0.0,0,263396.0,5.922641194247445e-05,4
365136,0.2939424381263794,[],20,1.4,0.5,1,3,0.1,0.5473938769133494,0.02,4.25,0.04,0,1.0,0,1080.0,0.07894688118280055,4
9375547,0.706081081081081,[],20,1.4,0.5,1,1,0.1,1.0,0.01,3.95,0.02,0,0.0,0,592.0,0.28023648648648647,4
802447,1.029970156349552,[],20,1.4,0.5,1,3,0.1,0.07578338118105697,0.02,4.2,0.02,0,1.0,0,35.0,1.32,4
8209577,0.23503526725250942,[],20,1.4,0.5,1,2,0.1,0.08815492264119643,0.02,4.15,0.02,0,1.0,0,1136.0,0.08767605633802818,4
6575806,0.6503932933305655,[],20,1.4,0.5,1,4,0.1,0.5429411439230885,0.02,3.85,0.02,0,1.0,0,152.0,0.506578947368421,4
8806851,0.6697722254186536,[],20,1.4,0.5,1,3,0.1,0.05693466373688283,0.01,3.65,0.02,0,1.0,0,76.0,0.5763157894736842,4
3494481,2.728102432622836e-06,[],20,1.4,0.5,1,2,0.1,0.05748265560124581,0.01,4.05,0.02,0,1.0,0,629924458.0,1.080129516101437e-06,4
2485054,0.8425324675324676,[],20,1.4,0.5,1,3,0.1,0.04280727952759421,0.02,3.65,0.05,0,0.0,0,616.0,0.17775974025974026,4
6247313,0.030126088983533653,"[(<tree.AND object at 0x7fc33e18e9e0>, 'A')]",20,1.4,0.5,1,3,0.1,0.08656408182100361,0.02,3.8499999999999996,0.05,0,1.0,0,10101.0,0.016765236701090844,4
3168347,0.004713128837522622,[],20,1.4,0.5,1,2,0.1,0.042053338167858174,0.02,3.95,0.05,0,1.0,0,42701.0,0.0011840348795689867,4
2783894,0.0023855048940940337,[],20,1.4,0.5,1,1,0.1,0.06852548237157763,0.01,3.8,0.05,0,0.0,0,1588343.0,0.0006220318910965704,4
5639627,0.004976201952592136,[],20,1.4,0.5,1,6,0.1,0.5371410323664546,0.04,3.95,0.04,0,2.0,0,5131.0,0.004171647106473798,4
8384094,0.10708898944193061,[],20,1.4,0.5,1,3,0.1,0.06456051119507074,0.02,4.1,0.04,0,0.0,0,1326.0,0.03401206636500754,4
772367,0.00283854363535454,[],20,1.4,0.5,1,9,0.1,0.059350159647464845,0.06,3.9000000000000004,0.05,0,2.0,0,27773.0,0.002408343140327164,4
