ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4838754,0.9505508672434079,[],20,1.3,0.2,10,63,0.1,0.083211594431195,0.97,4.2,0.14,0,3.5,0,52768.0,0.0,25
7337705,0.970790914310108,"[(<tree.AND object at 0x7fb07e8619c0>, 'Y'), (<tree.AND object at 0x7fb07e861660>, 'C')]",20,1.3,0.2,10,61,0.1,0.083211594431195,0.92,3.95,0.1,0,3.0,0,9296.0,0.0,25
5560426,0.9344429873568104,[],20,1.3,0.2,10,76,0.1,0.083211594431195,1.43,3.35,0.15,0,3.0,0,466266.0,0.0,25
6069258,0.9571378558456918,"[(<tree.SEQ object at 0x7f272d1c8490>, 'H'), (<tree.SEQ object at 0x7f272d1c9330>, 'L'), (<tree.SEQ object at 0x7f272d1c9c30>, 'U')]",20,1.3,0.2,10,82,0.1,0.083211594431195,1.63,3.95,0.14,0,3.0,0,6290713.0,0.0,25
7736616,0.9956108192013381,[],20,1.3,0.2,10,76,0.1,0.083211594431195,1.22,3.8,0.12,0,3.5,0,2396837.0,0.0,25
4246005,0.21593864413158675,"[(<tree.SEQ object at 0x7f8098728f40>, 'Y')]",20,1.3,0.2,10,78,0.1,0.083211594431195,1.18,3.95,0.15,0,3.0,0,14655.0,0.0,25
9753355,0.9548679188843452,[],20,1.3,0.2,10,74,0.1,0.083211594431195,1.07,4.3,0.13,0,3.0,0,74072.0,0.0,25
479588,0.9994203735234111,"[(<tree.SEQ object at 0x7f11c6f751b0>, 'R'), (<tree.AND object at 0x7f11c6f752d0>, 'C')]",20,1.3,0.3,10,58,0.1,0.083211594431195,0.88,4.2,0.13,0,3.5,0,11927116.0,0.0,25
1334144,0.9990993011701723,"[(<tree.SEQ object at 0x7f5bfb67afb0>, 'E')]",20,1.3,0.3,10,63,0.1,0.083211594431195,1.0,4.35,0.15,0,3.0,0,869738.0,0.0,25
4811255,0.9779219076066907,"[(<tree.SEQ object at 0x7f1d3e336950>, 'I'), (<tree.AND object at 0x7f1d3e337370>, 'T'), (<tree.SEQ object at 0x7f1d3e3367d0>, 'I'), (<tree.AND object at 0x7f1d3e335c90>, 'F'), (<tree.SEQ object at 0x7f1d3e335db0>, 'F')]",20,1.3,0.3,10,43,0.1,0.083211594431195,0.5,4.35,0.12,0,2.5,0,183808.0,0.0,25
1023654,1.020079629757621,[],20,1.3,0.3,10,74,0.1,0.083211594431195,1.03,4.3,0.12,0,2.5,0,2168186.0,0.0,25
3134978,0.9999730885356586,[],20,1.3,0.3,10,65,0.1,0.083211594431195,0.91,4.05,0.14,0,3.0,0,52525431.0,0.0,25
7457569,0.9902637682317379,"[(<tree.SEQ object at 0x7fe6e2cba6b0>, 'W')]",20,1.3,0.3,10,68,0.1,0.083211594431195,1.09,3.5999999999999996,0.14,0,3.0,0,38993330.0,0.0,25
2801037,0.9987061734334055,[],20,1.3,0.3,10,76,0.1,0.083211594431195,1.02,3.95,0.15,0,3.0,0,30042.0,0.0,25
9764110,0.9998586846835146,[],20,1.3,0.3,10,73,0.1,0.083211594431195,1.02,3.95,0.15,0,2.5,0,7780172.0,0.0,25
2003587,0.6045772506338984,[],20,1.3,0.3,10,57,0.1,0.083211594431195,0.77,4.050000000000001,0.16,0,3.0,0,21987.0,0.0,25
1521338,0.9998020497413661,"[(<tree.AND object at 0x7efdef613b80>, 'Y'), (<tree.AND object at 0x7efdef613d00>, 'Y'), (<tree.SEQ object at 0x7efdef61d1e0>, 'G')]",20,1.3,0.3,10,54,0.1,0.083211594431195,0.73,4.2,0.18,0,2.0,0,137762340.0,0.0,25
5017282,0.9999750431936077,"[(<tree.SEQ object at 0x7f6ea56feaa0>, 'E'), (<tree.AND object at 0x7f6ea56fdf60>, 'Y'), (<tree.SEQ object at 0x7f6ea56fe620>, 'T')]",20,1.3,0.3,10,61,0.1,0.083211594431195,0.93,3.8,0.16,0,3.0,0,250650125.0,0.0,25
7792522,0.8310614464030623,[],20,1.3,0.3,10,79,0.1,0.083211594431195,1.25,3.95,0.16,0,3.0,0,12791.0,0.0,25
7000223,0.4477107599326235,"[(<tree.AND object at 0x7f66faec7040>, 'Q'), (<tree.AND object at 0x7f66faed0100>, 'C'), (<tree.AND object at 0x7f66faed0400>, 'M'), (<tree.AND object at 0x7f66faec74c0>, 'N'), (<tree.AND object at 0x7f66faec7e80>, 'C')]",20,1.3,0.3,10,52,0.1,0.083211594431195,0.58,4.15,0.12,0,2.5,0,101484.0,0.0,25
8045475,0.9576118601250992,"[(<tree.SEQ object at 0x7f60c0dab640>, 'B')]",20,1.3,0.3,10,50,0.1,0.083211594431195,0.46,4.2,0.14,0,3.0,0,224507.0,0.0,25
4405347,0.9774050882558206,"[(<tree.SEQ object at 0x7fb9a11041c0>, 'H')]",20,1.3,0.3,10,80,0.1,0.083211594431195,1.21,3.8499999999999996,0.15,0,3.5,0,1645190.0,0.0,25
3826828,0.9996675794195766,[],20,1.3,0.3,10,76,0.1,0.083211594431195,1.27,3.45,0.15,0,3.0,0,597854.0,0.0,25
2656611,0.9999834130372465,"[(<tree.AND object at 0x7fcce1099900>, 'U'), (<tree.AND object at 0x7fcce109a4a0>, 'T'), (<tree.AND object at 0x7fcce10996c0>, 'U')]",20,1.3,0.3,10,62,0.1,0.083211594431195,0.7,3.95,0.16,0,3.5,0,5503792.0,0.0,25
5812803,0.999982346806759,[],20,1.3,0.3,10,65,0.1,0.083211594431195,1.0,3.95,0.17,0,3.0,0,1233294.0,0.0,25
7270242,0.5533993148210986,[],20,1.3,0.3,10,66,0.1,0.083211594431195,0.99,3.9000000000000004,0.15,0,3.0,0,167920.0,0.0,25
6381751,0.9990844532322103,[],20,1.3,0.3,10,52,0.1,0.083211594431195,0.67,3.45,0.11,0,3.0,0,10794739.0,0.0,25
2030661,0.9955495407268049,"[(<tree.SEQ object at 0x7fc399a9ec80>, 'Q')]",20,1.3,0.3,10,63,0.1,0.083211594431195,1.19,4.05,0.14,0,3.5,0,178960.0,0.0,25
4384378,0.8623078791189916,[],20,1.3,0.3,10,76,0.1,0.083211594431195,1.12,4.35,0.13,0,3.0,0,218511.0,0.0,25
5485617,0.8857550934206055,[],20,1.3,0.3,10,58,0.1,0.083211594431195,0.84,3.95,0.12,0,3.5,0,2496386.0,0.0,25
