ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4545359,0.46434687520071427,"[(<tree.SEQ object at 0x7f2d6ccf4a30>, 'F')]",20,1.3,0.6,10,70,0.1,0.07828740604215088,1.41,4.2,0.28,0,3.5,0,26808.0,0.0,25
5182216,0.00020856684687426007,[],20,1.3,0.6,10,78,0.1,0.07828740604215088,1.36,4.05,0.45,0,3.5,0,238669585.0,0.0,25
9624887,0.06799659034273939,"[(<tree.SEQ object at 0x7f6efe701d50>, 'D'), (<tree.SEQ object at 0x7f6efe700550>, 'K'), (<tree.SEQ object at 0x7f6efe7006d0>, 'K'), (<tree.SEQ object at 0x7f6efe700370>, 'K')]",20,1.3,0.6,10,49,0.1,0.07828740604215088,0.49,4.2,0.51,0,3.0,0,6935656.0,0.0,25
4053575,0.0015821732115280946,"[(<tree.SEQ object at 0x7fc0917b5e40>, 'R'), (<tree.AND object at 0x7fc0917b7a60>, 'N'), (<tree.SEQ object at 0x7fc0917b5cc0>, 'R'), (<tree.SEQ object at 0x7fc0917b6140>, 'R'), (<tree.SEQ object at 0x7fc0917b7400>, 'E'), (<tree.SEQ object at 0x7fc0917b5720>, 'W'), (<tree.SEQ object at 0x7fc0917b5840>, 'W')]",20,1.3,0.7,10,58,0.1,0.07828740604215088,1.1,3.35,0.58,0,3.0,0,7497006.0,0.0,25
1992656,0.9514569083877031,[],20,1.3,0.7,10,35,0.1,0.07828740604215088,0.32,4.35,0.32,0,2.0,0,4806510.0,0.0,25
9165636,0.2975824965642562,"[(<tree.SEQ object at 0x7f53617115a0>, 'E'), (<tree.AND object at 0x7f5361711f60>, 'V')]",20,1.3,0.7,10,75,0.1,0.07828740604215088,1.71,4.2,0.43,0,3.0,0,40472.0,0.0,25
1519613,0.0011447895471286729,"[(<tree.SEQ object at 0x7fd40bd61600>, 'J')]",20,1.3,0.7,10,57,0.1,0.07828740604215088,0.94,3.8499999999999996,0.54,0,3.0,0,17585555.0,0.0,25
3540219,0.0006684434197405711,[],20,1.3,0.7,10,78,0.1,0.07828740604215088,1.38,3.5,0.48,0,3.5,0,48989642.0,0.0,25
6607930,0.25284913934914177,"[(<tree.SEQ object at 0x7fd730f640d0>, 'S')]",20,1.3,0.7,10,72,0.1,0.07828740604215088,1.23,4.05,0.44,0,3.0,0,17212.0,0.0,25
7721358,0.05870784399320865,"[(<tree.SEQ object at 0x7f1c9615e860>, 'E'), (<tree.SEQ object at 0x7f1c9615d1e0>, 'O'), (<tree.SEQ object at 0x7f1c9615cb80>, 'J')]",20,1.3,0.7,10,52,0.1,0.07828740604215088,0.84,3.75,0.45,0,3.0,0,379311.0,0.0,25
1498463,0.1892760018274445,"[(<tree.AND object at 0x7f2d238db4f0>, 'P')]",20,1.3,0.7,10,56,0.1,0.07828740604215088,1.0,3.45,0.54,0,3.5,0,172929.0,0.0,25
7147129,0.03224928234809112,"[(<tree.SEQ object at 0x7f2f9d1146d0>, 'P')]",20,1.3,0.7,10,47,0.1,0.07828740604215088,0.89,4.05,0.45,0,3.5,0,2717201.0,0.0,25
4061292,0.0549131897065758,[],20,1.3,0.7,10,56,0.1,0.07828740604215088,0.81,3.95,0.49,0,3.0,0,334611.0,0.0,25
8034363,0.00021279525841485765,"[(<tree.SEQ object at 0x7f8d7ad5ac20>, 'F')]",20,1.3,0.7,10,63,0.1,0.07828740604215088,0.63,4.25,0.31,0,3.5,0,7805302746.0,0.0,25
231082,0.9408549852980903,"[(<tree.SEQ object at 0x7faa36e86620>, 'E'), (<tree.SEQ object at 0x7faa36e86020>, 'S')]",20,1.3,0.7,10,56,0.1,0.07828740604215088,0.86,3.85,0.42,0,3.5,0,162006.0,0.0,25
1101359,0.05006973003666089,[],20,1.3,0.7,10,76,0.1,0.07828740604215088,1.39,4.0,0.41,0,3.5,0,659252.0,0.0,25
7513518,0.00019173638123668325,"[(<tree.SEQ object at 0x7fbe1ecf4310>, 'P'), (<tree.SEQ object at 0x7fbe1ecf4d30>, 'H'), (<tree.SEQ object at 0x7fbe1eceb9d0>, 'W'), (<tree.SEQ object at 0x7fbe1ecf4a90>, 'H')]",20,1.3,0.5,10,44,0.1,0.07577532028786607,0.55,3.25,1.22,0,3.0,0,535598507.0,0.0,25
1457146,0.002700576013168478,[],20,1.3,0.7,10,132,0.1,0.07577532028786607,11.71,3.95,0.69,0,4.0,0,2362748.0,0.0,25
8160435,0.002700576013168478,[],20,1.3,0.7,10,132,0.1,0.07577532028786607,11.71,3.95,0.75,0,4.0,0,2362748.0,0.0,25
