ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4455489,0.9054810987879525,"[(<tree.SEQ object at 0x7fc3dcd5cbb0>, 'I'), (<tree.AND object at 0x7fc3dcd5f970>, 'H'), (<tree.AND object at 0x7fc3dcd6c730>, 'M'), (<tree.AND object at 0x7fc3dcd6d510>, 'E'), (<tree.AND object at 0x7fc3dcd6e530>, 'P'), (<tree.AND object at 0x7fc3dcd6db70>, 'J')]",100,1.3,0.2,20,168,0.1,0.07852409502278042,16.57,15.3,9.48,0,4.5,0,5065517.0,0.0,25
1891937,0.5390919472280956,"[(<tree.AND object at 0x7f33dc1a2050>, 'K')]",100,1.3,0.2,20,154,0.1,0.07852409502278042,11.04,17.07,11.65,0,4.5,0,3042852.0,0.0,25
9861505,0.8322319590482313,[],100,1.3,0.2,10,51,0.1,0.07744001367157097,3.45,18.09,5.19,0,3.0,0,2601859.0,0.0,25
1330734,0.4414999652942361,[],100,1.3,0.2,10,103,0.1,0.0761906125265848,8.12,13.5,5.61,0,3.5,0,122205.0,0.0,25
8167704,0.00622757570372238,"[(<tree.SEQ object at 0x7fa3a46f3fd0>, 'T')]",100,1.3,0.1,10,86,0.1,0.07517108483823635,9.47,16.86,8.11,0,4.0,0,8445629.0,0.0,25
8706771,0.035311815931580025,"[(<tree.SEQ object at 0x7fe8fc123fd0>, 'R'), (<tree.AND object at 0x7fe8fc12c430>, 'W')]",100,1.3,0.2,10,59,0.1,0.07878638455749874,4.06,15.56,7.32,0,3.5,0,234140234.0,0.0,25
9746436,0.0583005466517944,[],100,1.3,0.2,10,45,0.1,0.07961024356296337,3.71,15.39,4.7,0,2.0,0,12948085.0,0.0,25
1606665,0.0032406979953410937,"[(<tree.SEQ object at 0x7f76817c58a0>, 'T'), (<tree.AND object at 0x7f76817c4fa0>, 'A')]",100,1.3,0.2,10,52,0.1,0.08234570131741581,3.65,18.060000000000002,4.77,0,3.5,0,910453290.0,0.0,25
6328457,3.890997467130356e-09,"[(<tree.SEQ object at 0x7fe5ae6254b0>, 'P'), (<tree.SEQ object at 0x7fe5ae6251b0>, 'P'), (<tree.AND object at 0x7fe5ae624070>, 'S')]",100,1.3,0.2,10,100,0.1,0.07992758343551254,10.23,15.620000000000001,13.07,0,4.0,0,1117556273311667.0,0.0,25
5833143,0.04769115675479914,"[(<tree.AND object at 0x7f9524944550>, 'V')]",100,1.3,0.1,10,82,0.1,0.07356082805286937,4.11,15.18,5.47,0,4.5,0,47831017.0,0.0,25
6493934,0.026123678121308443,"[(<tree.SEQ object at 0x7f790eccc550>, 'A')]",100,1.3,0.1,10,74,0.1,0.07771755649936138,12.63,12.035,6.27,0,3.0,0,1555051693.0,0.0,25
3272573,5.05851399955497e-05,"[(<tree.SEQ object at 0x7f0ccd36f760>, 'B'), (<tree.AND object at 0x7f0ccd378220>, 'I'), (<tree.AND object at 0x7f0ccd378220>, 'I'), (<tree.AND object at 0x7f0ccd378ca0>, 'S')]",100,1.3,0.2,10,49,0.1,0.07895114153323551,6.51,15.594999999999999,14.31,0,3.5,0,5030937660173.0,0.0,25
6238215,0.7115893154626872,"[(<tree.SEQ object at 0x7f98a0693fa0>, 'E')]",100,1.3,0.2,10,49,0.1,0.07683753793595449,2.66,14.39,6.19,0,2.0,0,195853.0,0.0,25
3632161,1.1106881799448205,[],100,1.3,0.2,10,17,0.1,0.07599486185608129,1.59,18.18,13.78,0,1.5,0,4044262.0,0.0,25
9760931,0.03201660856335183,"[(<tree.SEQ object at 0x7ff24ea52830>, 'C'), (<tree.SEQ object at 0x7ff24ea53430>, 'C')]",100,1.3,0.2,10,69,0.1,0.07753022003224766,5.44,17.53,21.59,0,3.0,0,12033109.0,0.0,25
5777487,0.041018693211872126,"[(<tree.AND object at 0x7fda7d5efdf0>, 'Y')]",100,1.3,0.2,10,50,0.1,0.07756687088973444,3.24,15.08,13.23,0,2.5,0,93049628.0,0.0,25
600862,0.9950409481766376,[],100,1.3,0.2,10,88,0.1,0.0756790213198356,4.92,17.96,2.93,0,3.5,0,77786.0,0.0,25
6093388,0.0003784656939422399,[],100,1.3,0.2,10,21,0.1,0.07994741708114667,1.31,15.18,8.7,0,0.5,0,375579616.0,0.0,25
450592,5.970259824524474e-05,[],100,1.3,0.2,10,62,0.1,0.07994741708114667,3.25,14.52,8.69,0,3.0,0,758501418.0,0.0,25
2987791,0.0007300283845731623,[],100,1.3,0.2,10,46,0.1,0.07969313116709817,1.98,17.549999999999997,3.61,0,3.5,0,148249216.0,0.0,25
2040411,0.9996149244581797,"[(<tree.SEQ object at 0x7fbbcc46ca30>, 'O'), (<tree.SEQ object at 0x7fbbcc46cb50>, 'O')]",100,1.3,0.2,10,65,0.1,0.08049202362810387,7.83,14.72,5.26,0,3.5,0,26621844.0,0.0,25
8233522,0.002111257617473011,"[(<tree.SEQ object at 0x7fe089a67d60>, 'E')]",100,1.3,0.2,10,152,0.1,0.07614764790124762,16.91,19.67,7.18,0,4.5,0,27902320.0,0.0,25
