ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
8368764,0.32903117997537523,[],20,1.3,0.6,20,85,0.1,0.07769220246029332,1.9,3.8,0.5,0,3.5,0,18124660.0,0.0,25
2993893,0.010675693357851962,"[(<tree.AND object at 0x7f90e30f57b0>, 'E'), (<tree.SEQ object at 0x7f90e30e7310>, 'A'), (<tree.SEQ object at 0x7f90e30e7610>, 'T'), (<tree.SEQ object at 0x7f90e30f53f0>, 'A'), (<tree.SEQ object at 0x7f90e30f5510>, 'A'), (<tree.AND object at 0x7f90e30e6110>, 'K')]",20,1.3,0.6,20,97,0.1,0.07769220246029332,2.02,4.125,1.04,0,3.5,0,25920123.0,0.0,25
2611571,0.08077754730823758,"[(<tree.AND object at 0x7f7526517e50>, 'D'), (<tree.SEQ object at 0x7f7526524310>, 'J'), (<tree.SEQ object at 0x7f7526524430>, 'J'), (<tree.SEQ object at 0x7f7526524550>, 'J'), (<tree.SEQ object at 0x7f7526516c50>, 'J')]",20,1.3,0.6,20,69,0.1,0.07769220246029332,1.0,4.375,0.75,0,3.5,0,85462666.0,0.0,25
4979953,1.4336406126752372e-06,[],20,1.3,0.6,20,140,0.1,0.07769220246029332,4.13,4.0,0.5,0,3.5,0,4912940884.0,0.0,25
8790104,0.3350097563180523,"[(<tree.SEQ object at 0x7fa623438c70>, 'M'), (<tree.SEQ object at 0x7fa623438d90>, 'M'), (<tree.SEQ object at 0x7fa623438eb0>, 'M'), (<tree.SEQ object at 0x7fa623439f30>, 'K'), (<tree.SEQ object at 0x7fa6234399f0>, 'J'), (<tree.AND object at 0x7fa6234380d0>, 'L'), (<tree.SEQ object at 0x7fa623439510>, 'J'), (<tree.SEQ object at 0x7fa6234396f0>, 'J')]",20,1.3,0.6,20,74,0.1,0.07769220246029332,1.21,4.95,1.08,0,3.5,0,680893.0,0.0,25
5882005,0.02236041342009952,[],20,1.3,0.6,20,116,0.1,0.07769220246029332,3.01,4.775,0.82,0,3.5,0,1245617.0,0.0,25
8790952,0.17716863457358079,"[(<tree.SEQ object at 0x7f248995eb90>, 'V')]",20,1.3,0.6,20,110,0.1,0.07769220246029332,1.93,5.5,1.09,0,3.5,0,142694.0,0.0,25
6826830,0.11140714068889919,"[(<tree.SEQ object at 0x7efda5cb3d60>, 'Y'), (<tree.AND object at 0x7efda5cbc280>, 'Y'), (<tree.SEQ object at 0x7efda5cbcbe0>, 'Q'), (<tree.SEQ object at 0x7efda5cbd300>, 'P')]",20,1.3,0.6,20,72,0.1,0.07769220246029332,1.02,4.075,0.67,0,4.5,0,343800.0,0.0,25
1726517,0.02260008375208767,"[(<tree.AND object at 0x7feaafe1da50>, 'K'), (<tree.AND object at 0x7feaafe1d810>, 'K')]",20,1.3,0.6,20,62,0.1,0.07769220246029332,0.74,4.75,0.97,0,3.5,0,23223926.0,0.0,25
4822702,0.004305095320225809,"[(<tree.AND object at 0x7f1d48d63a00>, 'K')]",20,1.3,0.6,20,120,0.1,0.07769220246029332,2.26,4.5,0.89,0,3.0,0,104041976.0,0.0,25
4035206,0.1187585001682115,"[(<tree.SEQ object at 0x7feda0c9ae00>, 'L'), (<tree.SEQ object at 0x7feda0ca8d60>, 'I'), (<tree.AND object at 0x7feda0ca8040>, 'G'), (<tree.SEQ object at 0x7feda0ca84c0>, 'L')]",20,1.3,0.6,20,97,0.1,0.07769220246029332,2.41,4.075,1.07,0,2.5,0,1082861.0,0.0,25
917650,0.081779747978112,"[(<tree.AND object at 0x7feada550820>, 'V'), (<tree.SEQ object at 0x7feada552bc0>, 'L'), (<tree.SEQ object at 0x7feada552a40>, 'L'), (<tree.AND object at 0x7feada553c40>, 'A'), (<tree.SEQ object at 0x7feada551f60>, 'S')]",20,1.3,0.6,20,146,0.1,0.07769220246029332,6.32,4.449999999999999,0.45,0,3.5,0,1410849.0,0.0,25
6965265,0.008627168463192223,"[(<tree.AND object at 0x7fd5f4882500>, 'D')]",20,1.3,0.6,20,190,0.1,0.07769220246029332,8.21,6.05,0.49,0,3.5,0,356850.0,0.0,25
5124771,0.1382213389299918,"[(<tree.AND object at 0x7fcbcc55f6a0>, 'D')]",20,1.3,0.6,20,128,0.1,0.07769220246029332,3.37,19.9825,500.32,0,1.0,0,100027520.0,0.0,25
8650058,0.0038596273826630224,"[(<tree.SEQ object at 0x7f06a565d330>, 'G'), (<tree.SEQ object at 0x7f06a564f610>, 'S'), (<tree.SEQ object at 0x7f06a565c7f0>, 'L')]",20,1.3,0.7,20,107,0.1,0.07769220246029332,3.25,4.300000000000001,1.3,0,3.0,0,715530023.0,0.0,25
9271854,5.093260940472826e-05,"[(<tree.SEQ object at 0x7f3dc1753d00>, 'Q')]",20,1.3,0.7,20,67,0.1,0.07769220246029332,1.39,4.449999999999999,1.79,0,3.5,0,2485308957.0,0.0,25
9308851,0.5576963725771056,[],20,1.3,0.7,20,95,0.1,0.07769220246029332,2.06,4.3,0.97,0,2.5,0,111034.0,0.0,25
1067872,0.14362089144201168,"[(<tree.AND object at 0x7f0a565290f0>, 'G'), (<tree.SEQ object at 0x7f0a56529690>, 'J'), (<tree.AND object at 0x7f0a56528eb0>, 'K')]",20,1.3,0.7,20,87,0.1,0.07769220246029332,1.77,4.925000000000001,1.25,0,3.5,0,2928425.0,0.0,25
