ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4827462,0.002832865652879764,"[(<tree.AND object at 0x7fa9f7f03970>, 'H')]",20,1.3,0.2,5,75,0.1,0.07930330539261327,4.5,3.95,0.23,0,3.0,0,3593945.0,0.0,25
3147748,0.006464448940412661,[],20,1.3,0.2,5,108,0.1,0.07930330539261327,5.75,3.5999999999999996,0.17,0,3.0,0,14518.0,0.0,25
4236895,2.4478303707368436e-05,[],20,1.3,0.2,5,82,0.1,0.07930330539261327,3.44,3.8,0.15,0,4.0,0,43182219.0,0.0,25
5664509,0.015459837286832501,[],20,1.3,0.2,5,100,0.1,0.07930330539261327,4.95,3.45,0.19,0,4.0,0,25143.0,0.0,25
3235328,0.000627539754399836,"[(<tree.AND object at 0x7faf538f2ef0>, 'R')]",20,1.3,0.2,5,98,0.1,0.07930330539261327,4.44,4.050000000000001,0.24,0,4.5,0,2204992.0,0.0,25
9259153,0.0015032592340132043,"[(<tree.SEQ object at 0x7fb6ce808a60>, 'B')]",20,1.3,0.2,5,86,0.1,0.07930330539261327,3.85,3.95,0.19,0,4.0,0,557707.0,0.0,25
6482416,0.02270698551327224,[],20,1.3,0.2,5,95,0.1,0.07930330539261327,4.59,3.95,0.21,0,3.0,0,33469.0,0.0,25
1746450,0.25465199933753513,[],20,1.3,0.2,5,58,0.1,0.07930330539261327,1.55,3.8499999999999996,0.2,0,4.0,0,3722173.0,0.0,25
9138696,0.0015173409570933924,[],20,1.3,0.2,5,84,0.1,0.07930330539261327,4.18,4.0,0.21,0,3.0,0,417148.0,0.0,25
725304,0.0005243361033270283,"[(<tree.SEQ object at 0x7feea4b6b7c0>, 'N')]",20,1.3,0.2,5,94,0.1,0.07930330539261327,5.74,3.8499999999999996,0.26,0,3.0,0,956703.0,0.0,25
6330268,0.004835399976595781,[],20,1.3,0.2,5,104,0.1,0.07930330539261327,5.46,4.25,0.2,0,3.0,0,22971.0,0.0,25
3515531,0.023693610523044497,[],20,1.3,0.3,5,87,0.1,0.07930330539261327,3.64,3.85,0.21,0,4.0,0,14251.0,0.0,25
1110644,0.007143373728331515,"[(<tree.SEQ object at 0x7fb9e21e0fa0>, 'B')]",20,1.3,0.3,5,87,0.1,0.07930330539261327,5.21,4.15,0.21,0,3.5,0,261164.0,0.0,25
9343922,0.0021692275054592093,[],20,1.3,0.3,5,100,0.1,0.07930330539261327,5.31,4.1,0.24,0,3.5,0,265971.0,0.0,25
80956,0.00013314446073371477,[],20,1.3,0.3,5,96,0.1,0.07930330539261327,5.3,3.95,0.33,0,3.0,0,1477561.0,0.0,25
3184856,0.01183442749968601,[],20,1.3,0.3,5,84,0.1,0.07930330539261327,3.85,3.65,0.23,0,4.0,0,78451.0,0.0,25
9122717,0.0012185557220208527,[],20,1.3,0.3,5,80,0.1,0.07930330539261327,3.46,4.15,0.27,0,3.0,0,421138.0,0.0,25
8889638,3.6210569302372524e-06,"[(<tree.SEQ object at 0x7ff5bf991fc0>, 'J')]",20,1.3,0.3,5,91,0.1,0.07930330539261327,4.0,3.9000000000000004,0.25,0,4.0,0,8378493823.0,0.0,25
281710,0.03633886944946127,[],20,1.3,0.3,5,96,0.1,0.07930330539261327,5.7,3.45,0.18,0,3.5,0,19815.0,0.0,25
6780893,0.00011521405950546635,[],20,1.3,0.3,5,101,0.1,0.07930330539261327,5.82,3.95,0.24,0,4.0,0,4610779.0,0.0,25
6705261,0.08043201963219673,[],20,1.3,0.3,5,87,0.1,0.07930330539261327,4.64,3.65,0.28,0,3.0,0,43595.0,0.0,25
9444915,7.4236210624441925e-06,[],20,1.3,0.3,5,88,0.1,0.07930330539261327,4.47,3.75,0.25,0,3.0,0,80999375.0,0.0,25
8091094,0.00018526552534153882,"[(<tree.SEQ object at 0x7f2f4fdddbd0>, 'L')]",20,1.3,0.3,5,90,0.1,0.07930330539261327,4.95,3.75,0.2,0,3.0,0,5429650.0,0.0,25
39119,0.038134252836755825,"[(<tree.AND object at 0x7f1f040f9c90>, 'H')]",20,1.3,0.3,5,90,0.1,0.07930330539261327,4.98,3.85,0.19,0,3.0,0,253609.0,0.0,25
6042089,0.053630537628314,[],20,1.3,0.3,5,66,0.1,0.07930330539261327,3.36,4.2,0.17,0,4.0,0,106938.0,0.0,25
7951485,0.06667786153745274,[],20,1.3,0.3,5,91,0.1,0.07930330539261327,4.58,4.15,0.19,0,4.0,0,14420.0,0.0,25
