ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
8714173,0.31102087811701506,"[(<tree.SEQ object at 0x7ff7783dd160>, 'G'), (<tree.AND object at 0x7ff7783d8ac0>, 'N'), (<tree.AND object at 0x7ff7783d8c10>, 'N'), (<tree.SEQ object at 0x7ff7783daf10>, 'G')]",20,1.1,0.5,10,44,0.1,0.08295044091151052,1.75,3.8499999999999996,0.69,0,3.0,0,8.599063367432012e+17,0.0,25
5897374,5.629770249468548e-05,"[(<tree.AND object at 0x7fb047b0cd90>, 'O'), (<tree.AND object at 0x7fb047b0ebe0>, 'O'), (<tree.SEQ object at 0x7fb047b11040>, 'A'), (<tree.SEQ object at 0x7fb047b11190>, 'A'), (<tree.SEQ object at 0x7fb047b112e0>, 'A')]",20,1.1,0.5,10,24,0.1,0.08295044091151052,0.24,3.5,0.94,0,1.0,0,3475192911116865.0,0.0,25
3092233,1.0205010083244733e-07,"[(<tree.AND object at 0x7f439e911be0>, 'W'), (<tree.AND object at 0x7f439e911250>, 'W'), (<tree.AND object at 0x7f439e9141c0>, 'O'), (<tree.AND object at 0x7f439e918640>, 'Y'), (<tree.SEQ object at 0x7f439e914ca0>, 'Y'), (<tree.AND object at 0x7f439e918310>, 'Y'), (<tree.SEQ object at 0x7f439e914730>, 'Y'), (<tree.SEQ object at 0x7f439e9148e0>, 'Y')]",20,1.1,0.5,10,37,0.1,0.08295044091151052,1.49,4.7,1.32,0,3.0,0,4.225252589011046e+16,0.0,25
9328007,0.3807277949797352,"[(<tree.SEQ object at 0x7f011af99a90>, 'P'), (<tree.SEQ object at 0x7f011af99c40>, 'P'), (<tree.AND object at 0x7f011af96040>, 'N'), (<tree.AND object at 0x7f011af99160>, 'O'), (<tree.SEQ object at 0x7f011af99820>, 'P'), (<tree.AND object at 0x7f011af96e50>, 'O')]",20,1.1,0.5,10,41,0.1,0.08295044091151052,0.99,4.35,1.08,0,3.5,0,1222368884030974.0,0.0,25
720532,0.1263077769604726,"[(<tree.AND object at 0x7f6109655a90>, 'Y'), (<tree.SEQ object at 0x7f6109655070>, 'Y'), (<tree.SEQ object at 0x7f61096551c0>, 'Y'), (<tree.SEQ object at 0x7f6109655310>, 'Y'), (<tree.SEQ object at 0x7f6109655460>, 'Y')]",20,1.1,0.5,10,33,0.1,0.08295044091151052,0.5,4.3,1.37,0,3.5,0,103493248797347.0,0.0,25
6158127,0.00017663274083293588,"[(<tree.AND object at 0x7f9a845330a0>, 'J'), (<tree.AND object at 0x7f9a845331f0>, 'J'), (<tree.AND object at 0x7f9a84531880>, 'F')]",20,1.1,0.5,10,93,0.1,0.08295044091151052,4.21,4.95,0.89,0,4.0,0,35918845446.0,0.0,25
4360007,0.003203685693391632,"[(<tree.SEQ object at 0x7fb8085103a0>, 'Y'), (<tree.AND object at 0x7fb8085109a0>, 'Y'), (<tree.AND object at 0x7fb80850d940>, 'O'), (<tree.SEQ object at 0x7fb8085101c0>, 'Y'), (<tree.AND object at 0x7fb80850d670>, 'O'), (<tree.SEQ object at 0x7fb8085101c0>, 'Y'), (<tree.SEQ object at 0x7fb80850dd90>, 'Y'), (<tree.SEQ object at 0x7fb80850df70>, 'Y')]",20,1.1,0.5,10,30,0.1,0.08295044091151052,0.59,5.15,1.28,0,3.0,0,185589913355.0,0.0,25
8434197,2.674406779188011e-10,"[(<tree.AND object at 0x7f2842de5400>, 'W'), (<tree.AND object at 0x7f2842de5d60>, 'C'), (<tree.AND object at 0x7f2842de2550>, 'Q'), (<tree.AND object at 0x7f2842de5a00>, 'C')]",20,1.1,0.5,10,64,0.1,0.08295044091151052,1.92,4.85,0.92,0,3.0,0,1.266509006089163e+17,0.0,25
235676,2.6812108228122673e-12,"[(<tree.SEQ object at 0x7f8334f607c0>, 'V'), (<tree.SEQ object at 0x7f8334f60910>, 'V'), (<tree.AND object at 0x7f8334f5c760>, 'N'), (<tree.AND object at 0x7f8334f67490>, 'N'), (<tree.AND object at 0x7f8334f641f0>, 'H'), (<tree.SEQ object at 0x7f8334f5cd00>, 'H'), (<tree.SEQ object at 0x7f8334f5cf40>, 'H'), (<tree.AND object at 0x7f8334f60ee0>, 'H')]",20,1.1,0.5,10,66,0.1,0.08295044091151052,2.28,4.05,1.79,0,4.0,0,1.0864621975693308e+18,0.0,25
4235193,1.1560318263365242e-07,"[(<tree.AND object at 0x7fc780ed6100>, 'M')]",20,1.1,0.5,10,39,0.1,0.08295044091151052,1.05,3.75,0.75,0,3.0,0,8200083104587129.0,0.0,25
7898946,1.7888336120174836e-11,"[(<tree.AND object at 0x7f34c45506d0>, 'M'), (<tree.AND object at 0x7f34c4550820>, 'M'), (<tree.AND object at 0x7f34c4550970>, 'M'), (<tree.AND object at 0x7f34c45558e0>, 'M'), (<tree.SEQ object at 0x7f34c4552ee0>, 'A')]",20,1.1,0.5,10,35,0.1,0.08295044091151052,1.09,3.85,0.84,0,4.0,0,9.492032580843043e+17,0.0,25
