ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3861831,0.28663592204861615,[],100,1.3,1.0,10,229,0.1,0.07376101568973947,27.93,15.274999999999999,21.48,0,0.5,0,5.2045348209200557e+17,0.0,25
3213992,0.00421109003813981,[],100,1.3,0.1,10,10,0.1,0.07376101568973947,0.64,12.940000000000001,44.96,0,0.5,0,4.91310918429396e+16,0.0,25
1046529,1.1377871077141778e-05,[],100,1.3,0.1,10,10,0.1,0.07376101568973947,1.21,13.515,57.9,0,0.5,0,1.594829462163011e+19,0.0,25
1128808,2.7694051521458473e-08,[],100,1.3,0.1,10,30,0.1,0.07376101568973947,2.79,16.4,49.87,0,3.0,0,1.6718988556715168e+17,0.0,25
3943643,3.179150791152321e-05,"[(<tree.AND object at 0x7f5f1929d870>, 'F'), (<tree.AND object at 0x7f5f1929cdf0>, 'O')]",100,1.3,1.0,10,16,0.1,0.07376101568973947,1.64,18.134999999999998,65.14,0,2.5,0,6.165131760958651e+16,0.0,25
5925659,8.435999992381428e-06,"[(<tree.AND object at 0x7fe5e3290280>, 'G')]",100,1.1,0.5,10,12,0.1,0.07376101568973947,1.54,15.33,40.65,0,1.0,0,5408688766740644.0,0.0,25
9201246,0.9862080828899911,[],100,1.3,0.1,10,30,0.1,0.07376101568973947,2.94,14.04,60.08,0,0.5,0,3699672247736551.0,0.0,25
9398489,0.0003823793215805883,"[(<tree.AND object at 0x7f8d145e4280>, 'Q')]",100,1.3,0.1,10,14,0.1,0.07376101568973947,2.13,16.68,27.98,0,1.5,0,5.495798256727947e+20,0.0,25
4584348,0.00020508411535660398,[],100,1.1,0.5,10,14,0.1,0.07376101568973947,2.25,19.67,68.42,0,1.0,0,1.0888527150056602e+20,0.0,25
4362661,5.988809940855341e-07,[],100,1.3,0.1,10,13,0.1,0.07376101568973947,2.33,14.31,140.97,0,0.5,0,311354425739830.0,0.0,25
9800488,0.006969434728993135,[],100,1.3,0.1,10,121,0.1,0.07376101568973947,7.5,14.82,72.65,0,0.0,0,239327013529542.0,0.0,25
9820439,7.131647467383943e-06,"[(<tree.AND object at 0x7f2b32543e20>, 'N'), (<tree.AND object at 0x7f2b32543b80>, 'N')]",100,1.3,0.1,10,26,0.1,0.07376101568973947,2.39,14.68,55.11,0,3.5,0,8.452242197358477e+16,0.0,25
1199338,8.857955936389062e-07,[],100,1.3,0.1,10,10,0.1,0.07376101568973947,0.63,15.735,70.13,0,0.5,0,3.6789481538428664e+16,0.0,25
268217,2.100112275262371e-08,"[(<tree.AND object at 0x7fc7cc0cebc0>, 'C'), (<tree.AND object at 0x7fc7cc0cd7e0>, 'Q'), (<tree.AND object at 0x7fc7cc0cdd80>, 'I'), (<tree.SEQ object at 0x7fc7cc0ce3e0>, 'H')]",100,1.3,0.1,10,94,0.1,0.07376101568973947,5.55,12.14,9.61,0,3.5,0,34655348389666.0,0.0,25
2250840,0.002335154714767619,[],100,1.1,0.5,1,1,0.01,0.01,0.21,14.18,9.76,0,0.0,0,997367196388.0,0.000376009951799245,7
8580739,1.0,[],100,1.1,0.5,1,1,0.01,0.01,0.14,14.56,0.33,0,0.5,0,11444732.0,1.4771729875369735,7
4243413,1.0,[],100,1.1,0.5,1,3,0.01,0.01,0.27,14.120000000000001,0.72,0,0.5,0,9626128.0,0.2649538007728549,7
9224548,6.163075496270218e-05,[],100,1.1,0.5,1,1,0.01,0.01,0.16,16.27,9.79,0,0.0,0,1.0792836151715962e+17,1.1254725393693605e-05,7
5626241,0.0001388553398898578,"[(<tree.AND object at 0x7f87b38fb580>, 'E')]",100,1.3,0.1,1,3,0.01,0.01,0.25,11.684999999999999,10.01,0,1.0,0,7216284266.0,0.0002166557602152199,25
8863400,0.05043672371944676,"[(<tree.SEQ object at 0x7fab9dccb250>, 'F')]",100,1.3,0.1,1,3,0.01,0.01,0.37,11.75,5.36,0,1.0,0,5850267806884.0,0.00013876349755215516,25
781665,0.29312740647950314,[],100,1.3,0.1,1,1,0.01,0.01,0.12,12.07,9.63,0,0.0,0,3175558526197.0,0.04304595355977072,25
2745423,0.000767938221451641,"[(<tree.AND object at 0x7fb9713dc9d0>, 'C'), (<tree.AND object at 0x7fb9713dc730>, 'C')]",100,1.3,0.1,1,6,0.01,0.01,0.62,14.24,11.27,0,2.0,0,5854886361.0,0.006833166891588795,25
8032767,0.07019269511776534,[],100,1.3,0.1,1,9,0.01,0.01,0.77,13.34,4.27,0,2.0,0,61181.0,0.0255240047596476,25
8818272,0.0021967891631217385,[],100,1.3,0.1,1,1,0.01,0.01,0.11,13.11,8.51,0,0.0,0,749117939776.0,0.000354597389323542,25
5721832,6.81345026154368e-06,[],100,1.1,0.5,1,3,0.01,0.01,0.33,20.185000000000002,11.66,0,1.0,0,31672787166.0,1.5607488212551584e-06,7
700388,2.716561157170201e-14,[],100,1.3,0.1,1,8,0.01,0.01,0.63,14.865,3.25,0,2.0,0,9.524579899004613e+17,2.1244231466959107e-15,25
8769557,0.0410947126070313,"[(<tree.SEQ object at 0x7fe9c2d27d60>, 'F')]",100,1.3,0.1,1,3,0.01,0.01,0.41,15.84,11.32,0,1.0,0,150695989520.0,0.017489495322452565,25
1974364,0.0005586130220606877,"[(<tree.AND object at 0x7f1250a9c1c0>, 'D')]",100,1.3,0.1,1,6,0.01,0.01,0.46,13.74,3.63,0,1.0,0,241986220.0,0.00028535267107358434,25
4537118,0.6569470810908727,[],100,1.1,0.5,1,1,0.01,0.01,0.14,14.175,9.5,0,0.0,0,18279110491.0,0.11062745304103541,7
5691613,1.3125797033804435e-12,"[(<tree.SEQ object at 0x7f4912767e50>, 'E'), (<tree.SEQ object at 0x7f491278c310>, 'E')]",100,1.1,0.5,1,4,0.01,0.01,0.62,13.66,10.78,0,1.0,0,4.855431349943577e+20,6.4957792266605756e-12,7
6669674,0.020288714731142268,[],100,1.1,0.5,1,3,0.01,0.01,0.36,13.920000000000002,9.89,0,1.0,0,2737656.0,0.0034546677046349145,7
7787279,0.0023940604266491443,"[(<tree.AND object at 0x7f2c7dd34310>, 'C'), (<tree.AND object at 0x7f2c7dd34190>, 'C')]",100,1.1,0.5,1,4,0.01,0.01,0.58,13.665,10.63,0,1.0,0,3603495567692.0,0.0018611043145112369,7
7342635,0.0670413143483023,[],100,1.1,0.5,1,11,0.01,0.01,0.31,11.25,0.58,0,2.0,0,1826.0,0.03739041621029573,7
3297805,0.5800000417714487,[],100,1.1,0.5,1,8,0.01,0.01,0.61,11.3,4.53,0,2.5,0,182245534698.0,6.026814329470941e-08,7
4042603,0.0018136356429255848,"[(<tree.AND object at 0x7f4d6290bb80>, 'E'), (<tree.SEQ object at 0x7f4d629285e0>, 'E')]",100,1.1,0.5,1,11,0.01,0.01,0.36,13.305,16.58,0,2.5,0,1810914298.0,7.196060693977689e-06,7
5679810,0.3612562727272727,[],100,1.1,0.5,1,11,0.01,0.01,0.31,12.86,0.69,0,2.0,0,440.0,0.23405246763636361,7
6675592,0.00031829452377712286,[],100,1.1,0.5,1,1,0.01,0.01,0.2,14.719999999999999,8.89,0,0.0,0,86025332057466.0,5.375101649675869e-05,7
8287079,0.022862359466941862,[],100,1.1,0.5,1,1,0.01,0.01,0.16,14.690000000000001,1.69,0,0.0,0,705439.0,0.0010613998171351458,7
3960878,1.0,[],100,1.1,0.5,1,1,0.01,0.01,0.11,11.56,0.28,0,0.5,0,5198486507.0,1.4771399468710789,7
547028,0.08265170489450643,[],100,1.1,0.5,1,7,0.01,0.01,0.29,10.594999999999999,3.3,0,2.0,0,151905.0,0.013729096763371843,7
2271999,1.17760953459228,[],100,1.1,0.5,1,1,0.01,0.01,0.16,16.810000000000002,8.39,0,0.0,0,142058387.0,0.2492630863815172,7
6900881,0.000518678346352186,[],100,1.1,0.5,1,10,0.01,0.01,0.53,15.010000000000002,1.37,0,2.0,0,5029245.0,0.0002351533687462035,7
4684894,0.11398822451317298,[],100,1.1,0.5,1,11,0.01,0.01,0.46,12.22,1.31,0,2.0,0,4365.0,0.03767711553264605,7
4786747,0.829751200160107,[],100,1.1,0.5,1,1,0.01,0.01,0.19,15.48,8.51,0,0.0,0,15974327.0,0.1619513635848321,7
2339759,4.349745940476919e-06,"[(<tree.AND object at 0x7f9ec828b760>, 'F')]",100,1.1,0.5,1,6,0.01,0.01,0.7,16.87,8.32,0,2.0,0,7309761091.0,1.1949243061793525e-06,7
7962198,0.0033191262271947373,[],100,1.3,0.2,1,10,0.01,0.01,0.56,13.64,1.4,0,2.0,0,196994.0,0.002990721048559854,25
1061708,0.02428286097719392,[],100,1.1,0.5,1,2,0.01,0.01,0.24,14.79,7.6,0,0.0,0,5781484856.0,0.0044812781327468725,7
1216352,0.33104145845786004,[],100,1.3,0.2,1,9,0.01,0.01,0.73,14.86,3.89,0,2.0,0,13384.0,0.13821437886431562,25
9329326,3.535746410504141e-05,[],100,1.1,0.5,1,4,0.01,0.01,0.49,11.620000000000001,12.05,0,1.0,0,3662739913.0,4.775927533896946e-06,7
3208804,0.13199635393802944,[],100,1.3,0.2,1,8,0.01,0.01,0.41,16.48,11.63,0,0.0,0,1948263453934.0,0.025552055425911838,25
8449544,0.01418634216913531,[],100,1.3,0.2,1,5,0.01,0.01,0.52,11.879999999999999,6.14,0,2.0,0,6737966.0,0.0013787781060337794,25
8652476,0.3580400704225352,[],100,1.3,0.2,1,11,0.01,0.01,0.41,13.58,1.24,0,2.0,0,2272.0,0.08613841816901409,25
2088110,3.0309563665985077e-05,[],100,1.2,0.5,1,11,0.01,0.01,0.47,13.73,1.35,0,2.0,0,25339143.0,4.6599050330944496e-05,7
2326290,2.4589433366767666e-12,[],100,1.2,0.5,1,7,0.01,0.01,0.68,14.725000000000001,0.8,0,1.0,0,3147030338022476.0,3.2098038197964957e-12,7
3621335,8.173616247267015e-06,[],100,1.2,0.5,1,8,0.01,0.01,0.71,13.26,3.58,0,2.0,0,1225758645.0,1.6188938309629462e-06,7
3604172,0.007587138331353061,[],100,1.2,0.5,1,9,0.01,0.01,0.47,12.52,1.24,0,2.0,0,172535.0,0.0061821235464108735,7
4576054,0.4845797867056245,[],100,1.2,0.5,1,10,0.01,0.01,0.66,13.43,0.56,0,1.0,0,5476.0,0.24740677329437546,7
5270651,0.05200769264544457,[],100,1.2,0.5,1,8,0.01,0.01,0.41,13.09,2.87,0,2.0,0,98388.0,0.011250351292840593,7
4029086,0.884480213771055,[],100,1.2,0.5,1,8,0.01,0.01,0.75,14.18,0.79,0,1.0,0,20957.0,0.3754596923147397,7
8633637,0.0006090042964689397,"[(<tree.AND object at 0x7f1e7038c370>, 'F')]",100,1.2,0.5,1,5,0.01,0.01,0.54,18.77,17.86,0,1.5,0,294358623.0,1.0785546495779063e-05,7
8073889,0.10747956153916936,"[(<tree.AND object at 0x7f9e34474700>, 'C')]",100,1.2,0.5,1,6,0.01,0.01,0.47,12.77,3.54,0,1.0,0,6710243.0,0.11853116928049254,25
8513227,1.0,[],100,1.3,0.2,1,1,0.01,0.01,0.15,15.43,0.5,0,0.5,0,2428.0,0.08383802800658978,25
1603815,0.7286040892440891,[],100,1.2,0.5,1,10,0.01,0.01,0.55,13.059999999999999,3.58,0,2.0,0,3003.0,0.3791844662004661,7
9286005,0.0009081342999254026,"[(<tree.AND object at 0x7fe2e0134820>, 'C'), (<tree.AND object at 0x7fe2e0134880>, 'C')]",100,1.2,0.5,1,6,0.01,0.01,0.73,12.1,14.69,0,2.5,0,51869938.0,6.111825311994782e-05,7
4591337,1.3794109960582498e-07,[],100,1.2,0.5,1,9,0.01,0.01,0.79,12.525,0.65,0,1.0,0,22645984474.0,1.8362195756047485e-07,7
8665847,0.18257407899013584,"[(<tree.AND object at 0x7eff50f53cd0>, 'C')]",100,1.2,0.5,1,3,0.01,0.01,0.44,14.68,3.94,0,1.0,0,973912.0,0.23565488463023354,25
8183311,0.18605270935466015,[],100,1.2,0.5,1,7,0.01,0.01,0.56,14.38,0.67,0,1.0,0,290839.0,0.1834341336615791,25
4011717,0.027699245897877225,[],100,1.3,0.2,1,10,0.01,0.01,0.65,14.780000000000001,1.73,0,2.0,0,34860.0,0.02092012586574871,25
6982872,0.009934680195194215,[],100,1.2,0.5,1,10,0.01,0.01,0.54,12.68,1.29,0,2.0,0,91806.0,0.006774979827026556,7
4472091,0.32676161845017815,"[(<tree.SEQ object at 0x7f16d2f02f80>, 'F')]",100,1.2,0.5,1,3,0.01,0.01,0.35,14.835,3.65,0,1.0,0,342270.0,1.5870030239284776,7
5899610,0.7595553436185133,[],100,1.2,0.5,1,9,0.01,0.01,0.44,13.98,3.97,0,2.0,0,6417.0,0.21389238784478729,7
940967,0.008693927767625058,[],100,1.2,0.5,1,8,0.01,0.01,0.51,16.869999999999997,3.46,0,2.0,0,440495.0,0.0020609370432808543,7
1415398,3.5584222788976234e-07,[],100,1.2,0.5,1,1,0.01,0.01,0.15,17.2,8.98,0,0.0,0,8383212463823.0,7.106335459954748e-08,7
3129161,0.4090240941624863,[],100,1.2,0.5,1,8,0.01,0.01,0.52,14.899999999999999,3.52,0,2.0,0,35683.0,0.034687250107894516,7
8116722,1.0,[],100,1.2,0.5,1,1,0.01,0.01,0.14,17.945,0.5,0,0.5,0,20054257.0,1.4521179218955855,7
7664939,0.28987066493384245,[],100,1.2,0.5,1,3,0.01,0.01,0.53,20.07,10.94,0,0.0,0,4228165.0,0.06389586735616988,7
1155824,1.0,[],100,1.2,0.5,1,3,0.01,0.01,0.35,16.95,0.49,0,0.5,0,90300.0,1.3603172757475082,7
9197133,0.2617609859391189,[],100,1.2,0.5,1,5,0.01,0.01,0.63,13.77,9.2,0,1.0,0,81076.0,0.04290486750111007,7
3772041,0.6241358288492707,[],100,1.2,0.5,1,8,0.01,0.01,0.63,13.504999999999999,0.62,0,1.0,0,6170.0,0.103968879445705,7
8960571,0.07399987237890204,[],100,1.2,0.5,1,10,0.01,0.01,0.77,15.49,0.67,0,1.0,0,23225.0,0.10004305705059204,7
4852293,0.0002342782323235441,[],100,1.2,0.5,1,7,0.01,0.01,0.68,12.21,0.74,0,1.0,0,8585983.0,0.00036120965997719776,7
1483374,0.0011772222778568416,[],100,1.3,0.2,1,10,0.01,0.01,0.88,15.08,3.67,0,2.0,0,2126973.0,0.0016377640900942325,25
1740071,0.5212280958358347,[],100,1.3,0.5,1,8,0.01,0.01,0.74,12.84,0.67,0,1.0,0,18323.0,0.36455929531190306,7
825529,0.24973499647115635,[],100,1.3,0.5,1,8,0.01,0.01,0.89,16.990000000000002,0.81,0,1.0,0,26921.0,0.3243883956762379,7
8041472,1.0,[],100,1.3,0.5,1,1,0.01,0.01,0.18,15.98,0.42,0,0.5,0,3950853.0,1.4200159762967643,7
3771109,0.00010286026428577957,[],100,1.3,0.5,1,8,0.01,0.01,0.61,12.55,3.32,0,2.0,0,18922471.0,2.18907088825767e-05,7
1430853,0.036692433791517876,[],100,1.3,0.5,1,10,0.01,0.01,0.76,12.34,3.83,0,2.0,0,81772.0,0.045724942523113044,7
4860658,2.381396114148517e-05,[],100,1.3,0.5,1,8,0.01,0.01,0.78,14.52,4.07,0,2.0,0,584993742.0,3.986217001275203e-05,7
8175292,0.0013840552320374853,"[(<tree.AND object at 0x7f5a6379c670>, 'C')]",100,1.3,0.5,1,8,0.01,0.01,0.59,12.41,3.95,0,1.0,0,28454467.0,0.0011051670727130472,7
5649444,0.3303091453657736,[],100,1.3,0.5,1,6,0.01,0.01,0.4,14.579999999999998,0.36,0,1.0,0,24373.0,0.4994994461083986,7
2164719,0.22744267303754265,[],100,1.3,0.2,1,11,0.01,0.01,0.44,15.635,0.42,0,1.0,0,5860.0,0.1093399946996587,25
5190127,0.012972305399761007,[],100,1.3,0.5,1,7,0.01,0.01,0.78,15.0,2.6,0,2.5,0,633491.0,0.0037998961311210416,7
1280014,0.00045932802563082695,[],100,1.3,0.5,1,10,0.01,0.01,0.94,18.21,0.9,0,1.0,0,4575740.0,0.0005889932557356843,7
6941550,0.00883650568986016,[],100,1.3,0.5,1,8,0.01,0.01,0.54,11.64,0.58,0,1.0,0,971465.0,0.011874066487212611,7
9120881,0.4953166389035319,[],100,1.3,0.5,1,11,0.01,0.01,0.51,15.715,1.45,0,2.0,0,1897.0,0.18351865992619928,7
8779864,0.37318787966028505,[],100,1.3,0.5,1,8,0.01,0.01,0.65,13.195,4.05,0,2.0,0,34735.0,0.07824633100618972,7
7469601,0.0008180375857037319,[],100,1.3,0.5,1,9,0.01,0.01,0.8,17.85,0.84,0,1.0,0,4522411.0,0.0010025404590604439,7
5430786,0.007597457168794544,[],100,1.3,0.5,1,9,0.01,0.01,0.73,14.68,4.39,0,2.0,0,828368.0,0.0027991751298939603,7
4550138,0.013028353110335128,[],100,1.3,0.5,1,9,0.01,0.01,0.77,17.1,5.08,0,2.0,0,506312.0,0.00518621555088562,7
1290328,0.009288670140207329,[],100,1.3,0.2,1,8,0.01,0.01,0.42,15.370000000000001,1.39,0,2.0,0,350267.0,0.013208124088195576,25
6367921,0.6532072401756559,[],100,1.3,0.5,1,6,0.01,0.01,0.82,13.32,0.64,0,1.0,0,17762.0,1.52232856660286,7
6725638,0.1806239891923188,[],100,1.3,0.5,1,10,0.01,0.01,0.59,15.44,1.64,0,2.0,0,10363.0,0.09134944663900414,7
6160121,0.14507754854465485,[],100,1.3,0.5,1,3,0.01,0.01,0.31,11.95,10.88,0,1.0,0,2011344.0,0.02007777811254564,7
6391579,0.0020910477123757707,[],100,1.3,0.5,1,6,0.01,0.01,0.54,15.01,3.99,0,2.0,0,26662705.0,0.0002675404614798086,7
4742004,0.005946774826931036,[],100,1.3,0.5,1,9,0.01,0.01,0.72,20.89,2.44,0,2.0,0,850528.0,0.003471147917528876,7
7695751,0.2567380506765068,[],100,1.3,0.5,1,8,0.01,0.01,0.77,15.16,3.81,0,2.0,0,24390.0,0.0727662223206232,7
6923026,0.00941955999215486,[],100,1.3,0.3,1,8,0.01,0.01,0.67,16.37,0.54,0,1.0,0,841285.0,0.002322561049061852,25
2837075,0.011204890113599401,[],100,1.3,0.5,1,7,0.01,0.01,0.8,15.455,0.88,0,1.0,0,2118233.0,0.013497924921384947,7
4034880,0.0267348103043112,[],100,1.3,0.3,1,10,0.01,0.01,0.75,15.0,3.49,0,2.0,0,135322.0,0.03136962208657868,25
4044315,0.5252986142154672,[],100,1.3,0.5,1,9,0.01,0.01,0.64,13.379999999999999,3.99,0,2.0,0,22370.0,0.10102886902101027,7
4224351,0.3979642408058093,[],100,1.3,0.3,1,11,0.01,0.01,0.67,15.850000000000001,0.65,0,1.0,0,4269.0,0.353597260154603,25
1844925,0.08441913696060038,[],100,1.3,0.3,1,6,0.01,0.01,0.4,14.18,0.57,0,1.0,0,23452.0,0.12757888453010405,25
108677,0.00568889888390443,[],100,1.3,0.3,1,8,0.01,0.01,0.76,17.1,3.34,0,2.0,0,1941590.0,0.0022057385989833075,25
4982992,1.0,[],100,1.3,0.3,1,3,0.01,0.01,0.31,10.95,0.42,0,0.5,0,580439.0,0.12786158112738807,25
