ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4771711,0.9999999972253618,"[(<tree.AND object at 0x7fe3a39b9fc0>, 'H'), (<tree.SEQ object at 0x7fe3a39b9600>, 'L'), (<tree.SEQ object at 0x7fe3a39b9720>, 'L'), (<tree.SEQ object at 0x7fe3a39b9360>, 'L'), (<tree.AND object at 0x7fe3a39b9c00>, 'H'), (<tree.AND object at 0x7fe3a39b9d20>, 'H'), (<tree.SEQ object at 0x7fe3a39b9060>, 'L')]",20,1.1,0.5,5,41,0.1,0.0808463583064546,3.65,3.85,0.15,0,3.0,0,6635647347670.0,0.0,25
2746143,1.0000000000000397,"[(<tree.SEQ object at 0x7fca9c8e0910>, 'U'), (<tree.AND object at 0x7fca9c8e0a30>, 'U')]",20,1.1,0.5,5,36,0.1,0.0808463583064546,2.68,3.75,0.14,0,4.0,0,9.682656452088118e+17,0.0,25
6777847,0.9999806142910371,[],20,1.1,0.5,5,7,0.1,0.0808463583064546,0.06,3.95,0.04,0,1.0,0,1329915457274.0,0.0,25
9543515,0.9999998785533468,"[(<tree.AND object at 0x7f996d6d2590>, 'E'), (<tree.AND object at 0x7f996d6d26b0>, 'E'), (<tree.AND object at 0x7f996d6d27d0>, 'E'), (<tree.SEQ object at 0x7f996d6d1990>, 'D'), (<tree.SEQ object at 0x7f996d6d1c30>, 'D')]",20,1.1,0.5,5,24,0.1,0.0808463583064546,2.01,4.2,0.14,0,3.5,0,843899388734.0,0.0,25
8986201,1.0,"[(<tree.AND object at 0x7fa73e7fc6d0>, 'Q')]",20,1.1,0.5,5,31,0.1,0.0808463583064546,3.95,3.8499999999999996,0.13,0,3.5,0,1068362489774605.0,0.0,25
4280409,0.998029067510025,[],20,1.1,0.5,5,74,0.1,0.0808463583064546,13.22,4.1,0.21,0,4.0,0,7320545619694347.0,0.0,25
208556,0.9999999992783127,"[(<tree.SEQ object at 0x7fc0d6beae90>, 'D')]",20,1.1,0.5,5,10,0.1,0.0808463583064546,0.14,3.65,0.06,0,1.0,0,614717797513222.0,0.0,25
6849867,0.9999702341727733,"[(<tree.SEQ object at 0x7fc54deeefb0>, 'D')]",20,1.1,0.5,5,10,0.1,0.0808463583064546,0.13,4.2,0.11,0,1.5,0,307387828677.0,0.0,25
529820,0.9999999999999737,"[(<tree.AND object at 0x7fc62aafeb90>, 'S'), (<tree.SEQ object at 0x7fc62aafd9f0>, 'L'), (<tree.SEQ object at 0x7fc62aafdb10>, 'L'), (<tree.SEQ object at 0x7fc62aafdc30>, 'L')]",20,1.1,0.5,5,45,0.1,0.0808463583064546,5.48,3.95,0.17,0,3.0,0,9.494561746635488e+17,0.0,25
8401222,0.9999998889698396,"[(<tree.AND object at 0x7f7fe02e1240>, 'S'), (<tree.AND object at 0x7f7fe02e0be0>, 'H'), (<tree.AND object at 0x7f7fe02e0d00>, 'H'), (<tree.AND object at 0x7f7fe02e0e20>, 'H'), (<tree.SEQ object at 0x7f7fe02e0520>, 'W'), (<tree.SEQ object at 0x7f7fe02e0280>, 'W')]",20,1.1,0.5,5,17,0.1,0.0808463583064546,0.61,3.8,0.12,0,3.0,0,8343979759271.0,0.0,25
2448494,0.9999993681931016,"[(<tree.SEQ object at 0x7fa8fb92e410>, 'D')]",20,1.1,0.5,5,25,0.1,0.0808463583064546,3.3,3.9,0.12,0,3.5,0,866497516224739.0,0.0,25
9165799,0.9999997596328445,[],20,1.1,0.5,5,65,0.1,0.0808463583064546,9.58,4.2,0.25,0,4.0,0,280950129061.0,0.0,25
3982270,0.999999999999917,[],20,1.1,0.5,5,47,0.1,0.0808463583064546,8.88,4.1,0.11,0,3.5,0,3.4221883205477274e+17,0.0,25
6053804,0.9999949168922393,"[(<tree.AND object at 0x7fb7fa620d00>, 'H'), (<tree.SEQ object at 0x7fb7fa620640>, 'W'), (<tree.SEQ object at 0x7fb7fa6203a0>, 'W')]",20,1.1,0.5,5,17,0.1,0.0808463583064546,0.46,3.75,0.11,0,3.0,0,446267057642124.0,0.0,25
74501,1.0,[],20,1.1,0.5,5,5,0.1,0.0808463583064546,0.09,3.65,0.04,0,0.5,0,3.693680127215979e+19,0.0,25
8316461,0.9999912906480628,"[(<tree.SEQ object at 0x7fec062fa410>, 'U'), (<tree.SEQ object at 0x7fec062fa110>, 'U')]",20,1.1,0.5,5,62,0.1,0.0808463583064546,8.71,4.050000000000001,0.17,0,3.0,0,2.512211651319981e+16,0.0,25
3939048,0.999894579464504,"[(<tree.AND object at 0x7f6161571ed0>, 'Q'), (<tree.AND object at 0x7f61615720b0>, 'Q')]",20,1.1,0.5,5,43,0.1,0.0808463583064546,6.92,3.75,0.21,0,4.0,0,69008196325.0,0.0,25
8209132,1.000000000002449,"[(<tree.AND object at 0x7f08389ee7a0>, 'D'), (<tree.AND object at 0x7f08389eec80>, 'H'), (<tree.SEQ object at 0x7f08389ee200>, 'D'), (<tree.SEQ object at 0x7f08389ee3e0>, 'D')]",20,1.1,0.5,5,25,0.1,0.0808463583064546,2.21,3.95,0.18,0,2.0,0,8146437321786.0,0.0,25
8653004,0.9996686620078249,"[(<tree.AND object at 0x7f4eaf456c20>, 'E'), (<tree.AND object at 0x7f4eaf457100>, 'S')]",20,1.1,0.5,5,7,0.1,0.0808463583064546,0.09,3.65,0.07,0,1.5,0,1503283427717239.0,0.0,25
6306714,0.9999999999388776,"[(<tree.AND object at 0x7fa87175f3a0>, 'F'), (<tree.AND object at 0x7fa87175f4c0>, 'F')]",20,1.1,0.5,5,52,0.1,0.0808463583064546,8.54,4.1,0.19,0,4.0,0,8.422602819137066e+16,0.0,25
1280343,0.9878473250354672,"[(<tree.AND object at 0x7f1f6d662860>, 'E'), (<tree.AND object at 0x7f1f6d662980>, 'E')]",20,1.1,0.5,5,44,0.1,0.0808463583064546,7.05,4.25,0.14,0,4.5,0,404993230.0,0.0,25
2739541,1.0,"[(<tree.SEQ object at 0x7ff75f7b2590>, 'D')]",20,1.1,0.5,5,6,0.1,0.0808463583064546,0.09,3.95,0.07,0,1.0,0,4.353639386312851e+16,0.0,25
4541870,1.000000000000073,"[(<tree.SEQ object at 0x7fd77879f010>, 'Q'), (<tree.SEQ object at 0x7fd77879f010>, 'Q'), (<tree.AND object at 0x7fd77879ead0>, 'Q'), (<tree.SEQ object at 0x7fd77879ed70>, 'Q')]",20,1.1,0.5,5,49,0.1,0.0808463583064546,9.63,3.95,0.2,0,4.0,0,2.067467437789555e+18,0.0,25
3612691,1.0000000102365563,"[(<tree.SEQ object at 0x7f90ceebcf40>, 'B')]",20,1.1,0.5,5,38,0.1,0.0808463583064546,2.06,3.95,0.08,0,1.5,0,56336859510.0,0.0,25
3727153,0.99299422639703,"[(<tree.SEQ object at 0x7f4877007df0>, 'F')]",20,1.1,0.5,5,29,0.1,0.0808463583064546,2.15,4.3,0.19,0,4.5,0,80168259.0,0.0,25
7265783,0.9999987395650706,"[(<tree.SEQ object at 0x7f9ff93bdbd0>, 'D')]",20,1.1,0.5,5,25,0.1,0.0808463583064546,2.77,3.5999999999999996,0.16,0,4.5,0,5.428980236466808e+17,0.0,25
2480822,1.0000000000000004,"[(<tree.SEQ object at 0x7f2695966c50>, 'L'), (<tree.SEQ object at 0x7f2695966d70>, 'L')]",20,1.1,0.5,5,10,0.1,0.0808463583064546,0.12,3.55,0.07,0,1.0,0,3.809112934199563e+19,0.0,25
1714551,0.9999999315212111,"[(<tree.SEQ object at 0x7fd497dbc850>, 'U'), (<tree.SEQ object at 0x7fd497dbca30>, 'U'), (<tree.SEQ object at 0x7fd497db7b50>, 'U')]",20,1.1,0.5,5,35,0.1,0.0808463583064546,2.65,3.65,0.23,0,4.0,0,6.070347982684232e+16,0.0,25
