ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6633799,0.3040709218198431,"[(<tree.AND object at 0x7fb913a1c040>, 'J')]",100,1.1,0.5,20,88,0.001,0.007878249328083505,7.19,15.07,75.68,0,4.5,0,3937998.0,0.0,25
6939189,0.9746543262883667,"[(<tree.SEQ object at 0x7f187ac1b580>, 'K'), (<tree.AND object at 0x7f187ac1be20>, 'V')]",100,1.1,0.5,20,48,0.001,0.007878249328083505,3.19,13.54,32.3,0,4.5,0,13731144.0,0.0,25
1761513,0.6463415458209815,"[(<tree.AND object at 0x7f6dfc469bd0>, 'V')]",100,1.1,0.5,20,80,0.001,0.007878249328083505,6.89,15.879999999999999,62.11,0,4.0,0,51673767.0,0.0,25
5251188,0.04839541763225112,"[(<tree.SEQ object at 0x7f76ca351810>, 'G'), (<tree.SEQ object at 0x7f76ca352e30>, 'T')]",100,1.1,0.5,20,134,0.001,0.007878249328083505,14.73,17.810000000000002,63.87,0,3.5,0,53597415.0,0.0,25
9251779,0.674243815217202,"[(<tree.AND object at 0x7fbb74073d90>, 'Q')]",100,1.1,0.5,20,227,0.001,0.007878249328083505,23.92,15.565000000000001,49.8,0,3.5,0,489085.0,0.0,25
7363254,9.090216339372768e-10,"[(<tree.AND object at 0x7f3e6bd22680>, 'M'), (<tree.AND object at 0x7f3e6bd34220>, 'W'), (<tree.AND object at 0x7f3e6bd34340>, 'W'), (<tree.AND object at 0x7f3e6bd34460>, 'W'), (<tree.SEQ object at 0x7f3e6bd22380>, 'G'), (<tree.AND object at 0x7f3e6bd35780>, 'M'), (<tree.SEQ object at 0x7f3e6bd34c40>, 'G'), (<tree.SEQ object at 0x7f3e6bd34e20>, 'G'), (<tree.SEQ object at 0x7f3e6bd22e00>, 'W')]",100,1.1,0.5,20,120,0.001,0.007878249328083505,17.04,12.625,39.64,0,4.0,0,1.8615698608466465e+21,0.0,25
3464450,0.01118466527296715,"[(<tree.AND object at 0x7ff5698d72b0>, 'J'), (<tree.SEQ object at 0x7ff5698e8790>, 'D'), (<tree.SEQ object at 0x7ff5698e96f0>, 'T')]",100,1.1,0.5,20,50,0.001,0.007878249328083505,3.47,14.97,112.61,0,2.5,0,12666687556352.0,0.0,25
595201,8.17509451950696e-06,"[(<tree.SEQ object at 0x7fcdffbfc400>, 'K'), (<tree.SEQ object at 0x7fcdffbfd8a0>, 'K'), (<tree.SEQ object at 0x7fcdffbfd9c0>, 'K'), (<tree.AND object at 0x7fcdffbfe4a0>, 'V'), (<tree.SEQ object at 0x7fcdffbff160>, 'Y'), (<tree.AND object at 0x7fcdffbffc40>, 'Y'), (<tree.AND object at 0x7fcdffbfdcc0>, 'E')]",100,1.1,0.5,20,153,0.001,0.007878249328083505,19.67,19.880000000000003,83.78,0,3.0,0,5.97148759976122e+16,0.0,25
9501257,7.903061566475286e-09,"[(<tree.SEQ object at 0x7fad6d4c0850>, 'R'), (<tree.AND object at 0x7fad6d4aae30>, 'B'), (<tree.AND object at 0x7fad6d4c2410>, 'I'), (<tree.AND object at 0x7fad6d4aae30>, 'B'), (<tree.AND object at 0x7fad6d4aa950>, 'L'), (<tree.SEQ object at 0x7fad6d4c2cb0>, 'B'), (<tree.AND object at 0x7fad6d4c0c10>, 'B')]",100,1.1,0.5,20,146,0.001,0.007878249328083505,18.99,18.16,102.99,0,4.5,0,1.1328637213049524e+21,0.0,25
9568344,0.0003181466868479346,"[(<tree.SEQ object at 0x7fc0dcc0f520>, 'K'), (<tree.AND object at 0x7fc0dcc0e320>, 'E'), (<tree.AND object at 0x7fc0dcc0e440>, 'E'), (<tree.SEQ object at 0x7fc0dcc21ae0>, 'E'), (<tree.AND object at 0x7fc0dcc0f820>, 'K'), (<tree.AND object at 0x7fc0dcc211e0>, 'I'), (<tree.SEQ object at 0x7fc0dcc21900>, 'E'), (<tree.AND object at 0x7fc0dcc20ee0>, 'I')]",100,1.1,0.5,20,94,0.001,0.007878249328083505,11.18,11.61,63.51,0,4.5,0,159934363229037.0,0.0,25
5055802,0.013014521783742607,"[(<tree.AND object at 0x7f39d59b1660>, 'T'), (<tree.AND object at 0x7f39d599dd80>, 'G')]",100,1.3,0.7,20,185,0.001,0.007878249328083505,22.9,13.629999999999999,67.23,0,4.0,0,390511645.0,0.0,25
4474071,0.0006831544644790891,"[(<tree.AND object at 0x7f0e30f99330>, 'B')]",100,1.3,0.7,20,203,0.001,0.007878249328083505,32.91,15.469999999999999,87.99,0,4.5,0,2108984974.0,0.0,25
9440795,0.22668450144277058,"[(<tree.AND object at 0x7fa2bc9b5150>, 'F')]",100,1.2,0.5,20,131,0.001,0.007878249328083505,12.68,12.629999999999999,28.98,0,4.5,0,2952279.0,0.0,25
6937399,0.9927752603576432,"[(<tree.AND object at 0x7f919fe47b20>, 'T'), (<tree.AND object at 0x7f919fe47fa0>, 'O'), (<tree.AND object at 0x7f919fe445e0>, 'K')]",100,1.2,0.5,20,187,0.001,0.007878249328083505,21.56,14.15,39.47,0,4.0,0,2356370354.0,0.0,25
4394874,0.11559931461091652,"[(<tree.AND object at 0x7fcd085e79d0>, 'B'), (<tree.SEQ object at 0x7fcd085f62f0>, 'B')]",100,1.2,0.5,20,207,0.001,0.007878249328083505,24.86,13.26,51.54,0,3.5,0,121200843.0,0.0,25
905029,0.0751520720296012,"[(<tree.SEQ object at 0x7f30d39e3160>, 'Y'), (<tree.SEQ object at 0x7f30d39e20e0>, 'W'), (<tree.AND object at 0x7f30d39f09a0>, 'U'), (<tree.AND object at 0x7f30d39e2aa0>, 'W'), (<tree.AND object at 0x7f30d39e2c80>, 'W')]",100,1.3,0.7,20,203,0.001,0.007878249328083505,31.3,16.86,55.69,0,4.0,0,116194531.0,0.0,25
6284585,0.004726019058061038,"[(<tree.AND object at 0x7f0e18361a50>, 'T'), (<tree.AND object at 0x7f0e183525f0>, 'K')]",100,1.2,0.5,20,179,0.001,0.007878249328083505,15.98,16.89,99.68,0,3.5,0,480196229.0,0.0,25
6773881,0.6154929658043761,"[(<tree.AND object at 0x7fadb2d93550>, 'V')]",100,1.3,0.7,20,177,0.001,0.007878249328083505,18.29,14.76,32.79,0,4.0,0,23597646.0,0.0,25
9604470,0.006543028607652151,"[(<tree.SEQ object at 0x7f5104fdd810>, 'B'), (<tree.SEQ object at 0x7f5104fdd5d0>, 'B')]",100,1.2,0.5,20,213,0.001,0.007878249328083505,30.54,15.31,93.45,0,3.0,0,236504143.0,0.0,25
4524392,0.00012448525005612698,"[(<tree.AND object at 0x7f404a7cd720>, 'J'), (<tree.AND object at 0x7f404a7cd420>, 'J'), (<tree.AND object at 0x7f404a7bbb80>, 'J'), (<tree.AND object at 0x7f404a7bb640>, 'P')]",100,1.2,0.5,20,182,0.001,0.007878249328083505,19.98,16.509999999999998,48.19,0,4.5,0,129888085327.0,0.0,25
7403654,0.13312662815566004,"[(<tree.AND object at 0x7f3adb932d40>, 'R'), (<tree.AND object at 0x7f3adb91ad40>, 'N')]",100,1.2,0.5,20,141,0.001,0.007878249328083505,14.89,17.05,49.65,0,4.5,0,5962620898.0,0.0,25
2264282,0.3681025702995095,"[(<tree.AND object at 0x7fc8c68532b0>, 'G'), (<tree.AND object at 0x7fc8c6869510>, 'W'), (<tree.AND object at 0x7fc8c6869690>, 'W')]",100,1.2,0.5,20,199,0.001,0.007878249328083505,26.93,15.09,56.98,0,3.5,0,80128189.0,0.0,25
4249593,0.5072896078706661,[],100,1.3,0.7,20,191,0.001,0.007878249328083505,18.51,14.17,35.29,0,3.5,0,10658429.0,0.0,25
6525675,0.027799752149035344,[],100,1.3,0.7,20,157,0.001,0.007878249328083505,17.37,16.46,58.52,0,4.5,0,194822595.0,0.0,25
5815223,0.014305078179701365,"[(<tree.AND object at 0x7fc13713ed70>, 'S')]",100,1.3,0.7,20,229,0.001,0.007878249328083505,41.44,12.91,64.12,0,3.5,0,200001549.0,0.0,25
8506947,0.04790948603621171,"[(<tree.AND object at 0x7fd45f9dfc40>, 'I'), (<tree.AND object at 0x7fd45fa11de0>, 'J'), (<tree.AND object at 0x7fd45fa119c0>, 'J')]",100,1.3,0.5,20,174,0.001,0.007878249328083505,20.79,15.43,51.34,0,4.0,0,23461385691.0,0.0,25
1158657,0.7775470683414464,[],100,1.9,0.5,20,74,0.1,0.04504095684895986,4.36,17.63,24.65,0,2.0,0,307835.0,0.0,7
5578259,0.289224047118135,"[(<tree.AND object at 0x7fbb2c8c8ee0>, 'F'), (<tree.SEQ object at 0x7fbb2c8c93c0>, 'F'), (<tree.AND object at 0x7fbb2c8c9ea0>, 'F'), (<tree.SEQ object at 0x7fbb2c8cad40>, 'F'), (<tree.AND object at 0x7fbb2c8c8880>, 'G'), (<tree.AND object at 0x7fbb2c8c8d00>, 'F')]",100,1.9,0.5,20,61,0.1,0.04504095684895986,3.03,5.175000000000001,3.01,0,3.5,0,158054.0,0.0,7
4722146,1.01715559358205,"[(<tree.AND object at 0x7fbb96c9ce80>, 'D')]",20,1.3,0.5,20,127,0.001,0.007327766550611639,37.83,4.9,0.84,0,3.5,0,2705.0,0.0,25
2968581,1.059355973193807,[],20,1.3,0.5,20,65,0.001,0.007327766550611639,9.73,5.35,0.19,0,4.0,0,2725.0,0.0,25
8721572,1.0450185931530465,[],20,1.3,0.5,20,145,0.001,0.007327766550611639,54.77,4.5,0.36,0,4.5,0,5803.0,0.0,25
