ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4805640,0.0011961194949260726,[],20,1.1,0.5,1,20,0.001,0.00782438192552317,0.32,4.325,0.2,0,3.0,0,104467.0,0.0013491550126019476,7
9363208,2.472012165542359e-06,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.41,6.05,0.26,0,3.0,0,109671358.0,6.866992725338225e-07,25
7452054,0.3661739643483995,[],20,1.3,0.9,1,24,0.001,0.00782438192552317,0.39,4.65,0.27,0,3.5,0,34627.0,0.005448485334231835,25
41611,1.8389243499373314e-10,"[(<tree.AND object at 0x7fbf7dcaab60>, 'C'), (<tree.AND object at 0x7fbf7dcaace0>, 'C'), (<tree.AND object at 0x7fbf7dcaa860>, 'C')]",20,1.1,0.5,1,12,0.001,0.00782438192552317,0.19,3.95,0.35,0,3.0,0,11729328157752.0,8.921335967063952e-10,7
7295682,0.03848444814566214,[],20,1.3,0.9,1,22,0.001,0.00782438192552317,0.44,4.15,0.25,0,3.0,0,8942.0,0.00883517586492802,25
7456880,0.06786390111830017,[],20,1.3,0.9,1,22,0.001,0.00782438192552317,0.4,4.1,0.39,0,3.0,0,3434.0,0.020298510035072097,25
7971937,0.16584441389820542,[],20,1.3,0.9,1,13,0.001,0.00782438192552317,0.2,5.050000000000001,0.35,0,3.5,0,5942.0,0.010203626088983352,25
3425279,0.00012945413939720294,"[(<tree.AND object at 0x7fb8719eed10>, 'A'), (<tree.AND object at 0x7fb8719eea10>, 'A')]",20,1.1,0.5,1,13,0.001,0.00782438192552317,0.22,5.375,0.27,0,3.0,0,35207092.0,0.00031831624546270953,7
3988846,0.06042992494460118,[],20,1.3,0.9,1,24,0.001,0.00782438192552317,0.53,4.05,0.32,0,3.5,0,3341.0,0.020608870465705437,25
2330398,0.09829165303993279,[],20,1.3,0.9,1,24,0.001,0.00782438192552317,0.38,3.75,0.32,0,3.0,0,1615.0,0.03947605661724998,25
6727565,6.469049285563844e-07,[],20,1.3,0.6,1,12,0.001,0.00782438192552317,0.26,4.6,0.24,0,3.0,0,6517578293.0,2.399015617804237e-07,25
8506539,0.00015749831867243545,[],20,1.1,0.5,1,10,0.001,0.00782438192552317,0.09,6.2,0.25,0,3.0,0,46629342.0,1.941382032520732e-05,7
2519418,0.005948088019075767,"[(<tree.AND object at 0x7fe892ef7400>, 'E'), (<tree.AND object at 0x7fe892ef7220>, 'E')]",20,1.3,0.9,1,10,0.001,0.00782438192552317,0.14,4.025,0.46,0,3.5,0,87803063.0,3.1668010271761133e-06,25
442771,0.0014515419407120545,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.4,4.65,0.21,0,3.0,0,42478.0,0.0008760636293440107,25
2860535,2.7366704189075277e-06,[],20,1.1,0.5,1,18,0.001,0.00782438192552317,0.41,4.725,0.19,0,3.0,0,440530534.0,3.4487345378602483e-06,7
9742570,4.698921436301068e-13,"[(<tree.AND object at 0x7f44231ce6b0>, 'B'), (<tree.AND object at 0x7f44231ce530>, 'B'), (<tree.AND object at 0x7f44231ce230>, 'B')]",20,1.1,0.5,1,9,0.001,0.00782438192552317,0.1,4.7,0.31,0,3.0,0,3.2392744418155052e+16,1.1652642341371803e-12,7
7316430,0.00673331413246603,[],20,1.3,0.6,1,20,0.001,0.00782438192552317,0.35,4.05,0.33,0,3.0,0,59068.0,0.0011775000230921052,25
2643977,0.005684185906030425,[],20,1.3,0.9,1,9,0.001,0.00782438192552317,0.09,4.800000000000001,0.24,0,2.0,0,2845125.0,0.0017158143725560949,25
5614789,0.6010931901151038,"[(<tree.AND object at 0x7f91caee93f0>, 'G'), (<tree.AND object at 0x7f91caee96f0>, 'G')]",20,1.1,0.5,1,5,0.001,0.00782438192552317,0.07,4.574999999999999,0.31,0,2.0,0,1607498418154.0,1.4229941756847674e-06,7
4466291,0.34921829266692483,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.44,4.15,0.39,0,3.0,0,532.0,0.06240635042385749,25
7957983,0.3305335964775483,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.35,4.1,0.2,0,3.0,0,444.0,0.12004558797133501,25
6065510,0.0010034854201782489,[],20,1.3,0.6,1,19,0.001,0.00782438192552317,0.34,4.15,0.28,0,3.0,0,5015510.0,0.00010989833539140474,25
9385529,4.3559457320575223e-13,"[(<tree.AND object at 0x7f64766c86d0>, 'B')]",20,1.3,0.6,1,4,0.001,0.00782438192552317,0.05,5.25,0.35,0,1.0,0,3.772290773395291e+18,1.4631043489207133e-16,25
1762693,0.0003559114115916272,"[(<tree.AND object at 0x7f5cfa0a64d0>, 'B'), (<tree.AND object at 0x7f5cfa0a6590>, 'B')]",20,1.3,0.9,1,10,0.001,0.00782438192552317,0.1,5.449999999999999,0.29,0,1.0,0,1047782792.0,3.974669162620976e-05,25
7455359,0.0056784579404273085,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.54,4.55,0.27,0,3.5,0,46489.0,0.0013709867375805848,25
7914311,0.033732016979358445,"[(<tree.AND object at 0x7f16aae184f0>, 'B')]",20,1.3,0.6,1,18,0.001,0.00782438192552317,0.32,4.05,0.51,0,3.0,0,572619.0,0.00012144389112666497,25
8199520,0.0010992748155979743,"[(<tree.AND object at 0x7fa4879068f0>, 'G')]",20,1.1,0.5,1,10,0.001,0.00782438192552317,0.11,4.199999999999999,0.21,0,3.0,0,5111250.0,0.0006046312964045915,7
5721431,0.0016405162653424198,[],20,1.3,0.6,1,23,0.001,0.00782438192552317,0.35,5.05,0.28,0,3.0,0,102274.0,0.0003979862533892409,25
4559103,2.0556174152026703e-12,"[(<tree.AND object at 0x7fa0a29698d0>, 'A'), (<tree.AND object at 0x7fa0a2969b10>, 'A')]",20,1.1,0.5,1,6,0.001,0.00782438192552317,0.06,5.8,0.2,0,1.0,0,4.888864728600732e+18,0.10173130978040802,7
5947958,0.1255299304680647,[],20,1.3,0.6,1,19,0.001,0.00782438192552317,0.32,4.3,0.25,0,3.5,0,7107.0,0.015761974419624118,25
6774866,0.13797037781687593,"[(<tree.AND object at 0x7f948a45d180>, 'C')]",20,1.3,0.6,1,3,0.001,0.00782438192552317,0.03,4.35,0.25,0,1.0,0,1316948672.0,0.12254458211540536,25
4800875,0.00043751464509910566,"[(<tree.AND object at 0x7f3666beea70>, 'C'), (<tree.AND object at 0x7f3666beea70>, 'C'), (<tree.AND object at 0x7f3666bee770>, 'C'), (<tree.AND object at 0x7f3666bee8f0>, 'C'), (<tree.AND object at 0x7f3666bee470>, 'C')]",20,1.1,0.5,1,10,0.001,0.00782438192552317,0.15,3.85,0.3,0,3.0,0,22016273.0,0.0016257938231720105,7
7449761,0.006316549115240062,"[(<tree.AND object at 0x7f0c2b977dc0>, 'B')]",20,1.3,0.6,1,20,0.001,0.00782438192552317,0.47,3.4749999999999996,0.32,0,3.0,0,141704.0,0.0017426967900612345,25
1814082,0.24266129448778123,[],20,1.3,0.9,1,20,0.001,0.00782438192552317,0.41,5.075,0.41,0,3.0,0,10716.0,0.017161930490261226,25
3622978,0.031808008027659394,[],20,1.3,0.9,1,22,0.001,0.00782438192552317,0.47,5.15,0.31,0,3.5,0,8966.0,0.009197852560360351,25
1543560,7.966860679559396e-09,"[(<tree.AND object at 0x7f58eadceb60>, 'C'), (<tree.AND object at 0x7f58eadce410>, 'C')]",20,1.1,0.5,1,13,0.001,0.00782438192552317,0.2,5.5,0.25,0,2.0,0,943101934774.0,8.119491504801808e-09,7
4545253,1.758165017901259e-05,[],20,1.3,0.9,1,23,0.001,0.00782438192552317,0.46,4.25,0.27,0,3.5,0,9038440.0,2.44514431927615e-05,25
1809741,0.11057353447587215,[],20,1.3,0.9,1,23,0.001,0.00782438192552317,0.46,5.6,0.38,0,3.5,0,5080.0,0.020949976195757555,25
8370363,0.01808290622358555,[],20,1.2,0.5,1,23,0.001,0.00782438192552317,0.42,5.45,0.18,0,3.0,0,6501.0,0.00922284659703306,7
6444078,0.13316853752330512,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.5,4.95,0.2,0,3.5,0,1258.0,0.043283352588610116,25
6037342,0.002201936179936655,[],20,1.3,0.6,1,24,0.001,0.00782438192552317,0.46,5.05,0.33,0,3.0,0,129168.0,0.0005095940332356285,25
5787128,3.1533268787612044e-07,"[(<tree.AND object at 0x7f57a06c3520>, 'E')]",20,1.2,0.5,1,15,0.001,0.00782438192552317,0.2,5.0,0.23,0,3.0,0,2839151695.0,1.068669735792325e-07,7
1647335,0.028396551852584943,[],20,1.3,0.9,1,22,0.001,0.00782438192552317,0.29,5.1,0.52,0,3.0,0,23016.0,0.0042306050749619795,25
919547,0.004465660496725429,[],20,1.3,0.6,1,22,0.001,0.00782438192552317,0.29,4.925,0.2,0,3.0,0,40717.0,0.0013331555442007916,25
820115,0.0151165488864461,[],20,1.2,0.5,1,21,0.001,0.00782438192552317,0.32,4.199999999999999,0.2,0,3.0,0,21298.0,0.003191456863058808,7
3257391,1.300134070702596e-06,[],20,1.3,0.6,1,22,0.001,0.00782438192552317,0.44,4.6,0.2,0,3.5,0,69575374.0,7.780808982838309e-07,25
5451187,2.3824203326016394e-10,[],20,1.3,0.6,1,23,0.001,0.00782438192552317,0.52,4.949999999999999,0.1,0,2.0,0,607512696279.0,3.014802639556817e-10,25
9366304,5.564990312562642e-07,[],20,1.2,0.5,1,19,0.001,0.00782438192552317,0.39,5.6,0.13,0,3.0,0,249594154.0,5.826392756840365e-07,7
8054420,0.07931484809504878,[],20,1.3,0.6,1,19,0.001,0.00782438192552317,0.39,5.4,0.21,0,3.0,0,9316.0,0.01044610881328149,25
3318992,0.007893834165473769,[],20,1.3,1.0,1,24,0.001,0.00782438192552317,0.41,4.05,0.25,0,3.5,0,8125.0,0.004486371060003382,25
1545750,9.302061941833891e-06,[],20,1.2,0.5,1,23,0.001,0.00782438192552317,0.38,4.6,0.16,0,3.5,0,7610372.0,4.8543721666749104e-06,7
1383824,0.20966897118957437,[],20,1.3,0.7,1,24,0.001,0.00782438192552317,0.53,4.7,0.21,0,3.0,0,714.0,0.07240911764651481,25
9382845,0.003078266356088314,[],20,1.3,0.7,1,24,0.001,0.00782438192552317,0.43,4.8,0.32,0,3.0,0,215081.0,0.0018777834165298389,25
2946869,0.0003408960936479057,[],20,1.2,0.5,1,16,0.001,0.00782438192552317,0.29,4.9,0.19,0,3.5,0,503650.0,0.0003526256651663041,7
5139825,0.009208648520968825,"[(<tree.AND object at 0x7fbe34fdf1f0>, 'B')]",20,1.3,0.7,1,14,0.001,0.00782438192552317,0.14,5.175,0.29,0,2.0,0,1112061.0,0.006271706447182124,25
6690873,0.9972327925676836,"[(<tree.AND object at 0x7f518c2ec1f0>, 'B')]",20,1.3,1.0,1,14,0.001,0.00782438192552317,0.19,4.550000000000001,0.14,0,2.0,0,19500.0,0.004793180893627408,25
6767535,7.308379723926479e-06,[],20,1.3,0.7,1,21,0.001,0.00782438192552317,0.32,4.5,0.21,0,2.0,0,40216538.0,2.2126575412706766e-06,25
2162932,0.18726963313687658,[],20,1.3,1.0,1,24,0.001,0.00782438192552317,0.49,4.75,0.32,0,3.5,0,1005.0,0.09452794893189843,25
1618470,0.25227788718694977,[],20,1.3,1.0,1,24,0.001,0.00782438192552317,0.4,4.1,0.27,0,3.5,0,21634.0,0.0038055170510296827,25
8445807,0.0006752471474647716,"[(<tree.AND object at 0x7fdfd1ae5bd0>, 'A'), (<tree.AND object at 0x7fdfd1ae5cf0>, 'A')]",20,1.3,0.7,1,6,0.001,0.00782438192552317,0.07,5.5,0.27,0,1.0,0,230431210.0,0.003705233588094826,25
6018532,0.0013935544681464365,[],20,1.2,0.5,1,20,0.001,0.00782438192552317,0.31,4.95,0.31,0,3.5,0,214240.0,0.0003722103259732347,7
4948985,0.20794687102036316,[],20,1.3,1.0,1,18,0.001,0.00782438192552317,0.27,5.35,0.34,0,3.0,0,6384.0,0.03374604290901289,25
9344319,0.007154418474955714,[],20,1.3,0.7,1,17,0.001,0.00782438192552317,0.27,4.6,0.2,0,3.5,0,199867.0,0.009378897411629639,25
4890852,0.00121095817806927,[],20,1.3,1.0,1,20,0.001,0.00782438192552317,0.34,5.775,0.34,0,3.5,0,397029.0,0.0008753734252513285,25
6417372,0.015911162404502636,[],20,1.3,1.0,1,24,0.001,0.00782438192552317,0.39,5.8,0.47,0,3.0,0,18952.0,0.006121854723825122,25
4857532,0.0007519761970611469,[],20,1.3,1.0,1,6,0.001,0.00782438192552317,0.1,4.175000000000001,0.74,0,0.0,0,105109710.0,1.135303948094945e-06,25
2486425,0.5192682727590746,[],20,1.3,0.7,1,24,0.001,0.00782438192552317,0.51,5.300000000000001,0.34,0,3.5,0,434506.0,0.0019168516367522698,25
8103640,0.0007517379637591837,[],20,1.2,0.5,1,20,0.001,0.00782438192552317,0.29,3.9000000000000004,0.19,0,3.5,0,138052.0,0.0007346375758364641,7
4295382,0.2845129548776405,[],20,1.3,1.0,1,24,0.001,0.00782438192552317,0.27,4.050000000000001,0.28,0,3.5,0,1537.0,0.05270684990559152,25
6135995,0.3819090908564953,[],20,1.3,0.7,1,24,0.001,0.00782438192552317,0.32,4.800000000000001,0.35,0,3.0,0,569.0,0.11810213837340978,25
908646,0.0003870399131165363,[],20,1.2,0.5,1,21,0.001,0.00782438192552317,0.28,4.85,0.23,0,2.0,0,1850161.0,0.00013249989862090626,7
7839691,0.0007855648680417017,[],20,1.3,0.7,1,21,0.001,0.00782438192552317,0.36,3.85,0.22,0,3.0,0,175119.0,0.0002782126816031685,25
4294997,0.06447386087662306,"[(<tree.AND object at 0x7fc0f9b57d00>, 'C'), (<tree.AND object at 0x7fc0f9b57b80>, 'C')]",20,1.3,0.7,1,21,0.001,0.00782438192552317,0.36,4.05,0.27,0,3.0,0,32430.0,0.009048157432636211,25
863616,8.881271130417402e-07,[],20,1.3,1.0,1,23,0.001,0.00782438192552317,0.44,4.15,0.27,0,3.5,0,153681304.0,8.707210434732758e-07,25
8896523,0.002289578578224643,[],20,1.2,0.5,1,21,0.001,0.00782438192552317,0.39,5.1,0.22,0,2.5,0,310792.0,0.0006256211646277301,7
1567150,4.028159567110249e-06,[],20,1.3,0.7,1,19,0.001,0.00782438192552317,0.44,4.1,0.24,0,3.5,0,31909088.0,7.967109267239949e-06,25
4869130,0.23773188803736525,[],20,1.3,0.7,1,19,0.001,0.00782438192552317,0.42,4.75,0.31,0,3.5,0,619.0,0.08441066339164337,25
564216,8.374091858091068e-06,"[(<tree.AND object at 0x7f48de7bf9a0>, 'B')]",20,1.3,0.5,1,19,0.001,0.00782438192552317,0.34,4.05,0.29,0,3.5,0,163112235.0,5.080371030466087e-06,7
3778682,0.0409398667727045,"[(<tree.AND object at 0x7f220acef430>, 'A')]",20,1.3,0.7,1,15,0.001,0.00782438192552317,0.14,4.45,0.39,0,2.0,0,192923.0,0.010188710761362896,25
7402381,6.336493050711599e-06,"[(<tree.AND object at 0x7f487e507130>, 'C')]",20,1.3,0.5,1,13,0.001,0.00782438192552317,0.2,4.65,0.25,0,3.0,0,135887860.0,3.5967511058358004e-06,7
2560522,0.04755242886157425,[],20,1.3,0.5,1,24,0.001,0.00782438192552317,0.47,4.4,0.14,0,3.0,0,1357.0,0.022697214908396886,7
6611758,0.03626238270592153,[],20,1.3,1.0,1,17,0.001,0.00782438192552317,0.28,4.25,0.3,0,3.5,0,22098.0,0.003925497626165398,25
2960682,0.3541726896905287,[],20,1.3,0.7,1,17,0.001,0.00782438192552317,0.33,3.75,0.36,0,3.5,0,530.0,0.09905722278869433,25
6186394,0.5605877571581366,[],20,1.3,0.7,1,24,0.001,0.00782438192552317,0.47,3.75,0.25,0,3.5,0,1612.0,0.02791609739402816,25
263329,1.917243695401607e-05,[],20,1.3,1.0,1,22,0.001,0.00782438192552317,0.39,4.65,0.2,0,3.5,0,3131267.0,2.5405623377376508e-05,25
