ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5703248,0.0,[],20,1.3,0.9,20,205,0.001,0.007896970909167689,15.18,3.85,1.29,0,4.5,0,13958.0,0.0,25
9776198,0.0,[],20,1.3,0.9,20,221,0.001,0.007896970909167689,22.72,4.05,0.56,0,3.5,0,812983.0,0.0,25
1759122,0.0,[],20,1.3,0.9,20,211,0.001,0.007896970909167689,19.79,4.0,1.05,0,3.5,0,500779.0,0.0,25
4068639,0.0,[],20,1.3,0.9,20,203,0.001,0.007896970909167689,17.78,3.9000000000000004,1.17,0,3.5,0,191650.0,0.0,25
2107526,0.0,[],20,1.3,0.9,20,227,0.001,0.007896970909167689,21.37,3.65,1.09,0,3.5,0,358712.0,0.0,25
866417,0.0,[],20,1.3,0.9,20,219,0.001,0.007896970909167689,25.59,4.2,0.94,0,3.5,0,817403.0,0.0,25
4752941,0.0,[],20,1.3,0.9,20,226,0.001,0.007896970909167689,21.0,4.449999999999999,0.58,0,3.5,0,73345.0,0.0,25
5640200,0.0,[],20,1.3,1.0,20,179,0.001,0.007896970909167689,18.91,3.5999999999999996,0.67,0,3.5,0,678049.0,0.0,25
1995575,0.0,[],20,1.3,1.0,20,203,0.001,0.007896970909167689,21.08,4.15,0.71,0,3.5,0,1660560.0,0.0,25
7799652,0.0,[],20,1.3,1.0,20,215,0.001,0.007896970909167689,16.51,4.05,1.59,0,3.5,0,28446.0,0.0,25
1768270,0.0,[],20,1.3,1.0,20,215,0.001,0.007896970909167689,18.49,3.75,1.28,0,3.5,0,1211040.0,0.0,25
2259924,0.0,[],20,1.3,1.0,20,207,0.001,0.007896970909167689,23.44,4.2,1.18,0,3.5,0,290169.0,0.0,25
2721955,1.1050685525647589e-06,[],20,1.1,0.5,1,8,0.01,0.01,0.07,3.65,0.13,0,2.0,0,619038327.0,1.1050685525647589e-06,7
9959801,2.4118859077053057e-09,[],20,1.1,0.5,1,10,0.01,0.01,0.06,3.65,0.06,0,2.0,0,10585273714.0,2.4118859077053057e-09,7
4904159,0.2676426897179797,[],20,1.1,0.5,1,1,0.01,0.01,0.01,3.65,0.08,0,0.0,0,401886.0,0.2676426897179797,7
7049893,0.28073250766480157,[],20,1.1,0.5,1,1,0.01,0.01,0.02,3.65,0.07,0,0.0,0,108475411.0,0.28073250766480157,7
2144575,0.07087792752530488,[],20,1.1,0.5,1,1,0.01,0.01,0.01,3.65,0.08,0,0.0,0,443842833.0,0.07087792752530488,7
444988,0.07699252846739288,[],20,1.1,0.5,1,1,0.01,0.01,0.03,3.65,0.05,0,0.0,0,33327165.0,0.07699252846739288,7
4177329,2.0524061234733886e-05,[],20,1.1,0.5,1,8,0.01,0.01,0.07,3.65,0.05,0,2.0,0,53575933.0,2.0524061234733886e-05,7
5380074,3.4660520567299045e-15,[],20,1.1,0.5,1,7,0.01,0.01,0.11,3.65,0.1,0,2.0,0,2.7510199165895096e+16,3.4660520567299045e-15,7
2271116,0.00012005476860387588,[],20,1.1,0.5,1,10,0.01,0.01,0.06,3.65,0.05,0,2.0,0,3361141.0,0.00012005476860387588,7
8486652,0.19556074285714284,[],20,1.7,0.5,1,11,0.01,0.01,0.06,3.65,0.06,0,2.0,0,56.0,0.19556074285714284,7
2215681,9.534344061692691e-13,[],20,1.1,0.5,1,10,0.01,0.01,0.07,3.65,0.05,0,2.0,0,158992841058735.0,9.534344061692691e-13,7
7256224,8.476600498312122e-11,[],20,1.1,0.5,1,1,0.01,0.01,0.01,3.65,0.17,0,0.0,0,8.436476346176718e+17,8.476600498312122e-11,7
862498,0.01123737355271176,[],20,1.1,0.5,1,10,0.01,0.01,0.07,3.65,0.09,0,2.5,0,1641.0,0.01123737355271176,7
4309346,1.5857520358890393,[],20,1.7,0.5,1,1,0.01,0.01,0.01,3.65,0.01,0,0.5,0,56962461.0,1.5857520358890393,7
590921,8.044086940750468e-05,[],20,1.1,0.5,1,10,0.01,0.01,0.08,3.65,0.04,0,2.0,0,1097207.0,8.044086940750468e-05,7
161787,0.15410730860033725,[],20,1.1,0.5,1,8,0.01,0.01,0.05,3.65,0.04,0,2.0,0,2372.0,0.15410730860033725,7
583965,0.08450569846153845,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.1,0,2.5,0,260.0,0.08450569846153845,7
3635635,0.05431870518518518,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.08,0,2.0,0,405.0,0.05431870518518518,7
515444,0.0944390301724138,[],20,1.7,0.5,1,11,0.01,0.01,0.08,3.65,0.06,0,2.0,0,116.0,0.0944390301724138,7
3114987,0.05745511912225705,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.06,0,2.0,0,319.0,0.05745511912225705,7
7563815,0.10636851262135921,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.06,0,2.0,0,103.0,0.10636851262135921,7
7716743,3.703804801585296e-06,[],20,1.1,0.5,1,11,0.01,0.01,0.08,3.65,0.05,0,2.0,0,7934921.0,3.703804801585296e-06,7
5471554,0.04804272774049531,[],20,1.1,0.5,1,1,0.01,0.01,0.01,3.65,0.07,0,0.0,0,14538559057390.0,0.04804272774049531,7
2959349,0.12508531282051283,[],20,1.7,0.5,1,11,0.01,0.01,0.08,3.65,0.09,0,2.0,0,234.0,0.12508531282051283,7
690666,0.03838710383480826,[],20,1.7,0.5,1,11,0.01,0.01,0.12,3.65,0.1,0,2.0,0,678.0,0.03838710383480826,7
5608529,0.12817621754385966,[],20,1.1,0.5,1,11,0.01,0.01,0.07,3.65,0.06,0,2.0,0,171.0,0.12817621754385966,7
3696474,0.171186825,[],20,1.7,0.5,1,11,0.01,0.01,0.06,3.65,0.12,0,2.0,0,128.0,0.171186825,7
6011815,0.0024360090305444886,[],20,1.7,0.5,1,11,0.01,0.01,0.1,3.65,0.07,0,2.5,0,1506.0,0.0024360090305444886,7
6480091,0.250045,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.04,0,2.0,0,73.0,0.250045,7
8450547,0.04057194,[],20,1.7,0.5,1,11,0.01,0.01,0.08,3.65,0.08,0,2.5,0,90.0,0.04057194,7
3437645,0.021185319420289853,[],20,1.7,0.5,1,11,0.01,0.01,0.08,3.65,0.11,0,2.0,0,345.0,0.021185319420289853,7
9883778,0.004166026229508196,[],20,1.7,0.5,1,11,0.01,0.01,0.08,3.65,0.07,0,2.0,0,2684.0,0.004166026229508196,7
710239,0.009363931043256998,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.08,0,2.0,0,786.0,0.009363931043256998,7
4832370,0.12074224132231405,[],20,1.7,0.5,1,11,0.01,0.01,0.1,3.65,0.07,0,2.0,0,121.0,0.12074224132231405,7
8004768,0.11275976543209876,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.05,0,2.0,0,162.0,0.11275976543209876,7
1624281,0.014246063178294573,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.17,0,2.0,0,1290.0,0.014246063178294573,7
5538524,0.05424613737623762,[],20,1.7,0.5,1,11,0.01,0.01,0.07,3.65,0.07,0,2.0,0,202.0,0.05424613737623762,7
8992526,0.026897992298288504,[],20,1.7,0.5,1,11,0.01,0.01,0.1,3.65,0.07,0,2.0,0,409.0,0.026897992298288504,7
