ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9478291,0.8718446601941747,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,103.0,0.3951456310679612,7
98733,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,158.0,0.30443037974683546,7
5352778,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,158.0,0.7025316455696202,7
3720653,0.9878260869565217,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,138.0,0.21449275362318843,7
7749263,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,126.0,0.5285714285714287,7
4332480,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.03,0,1.0,0,155.0,1.4561290322580647,7
3811119,0.9888888888888888,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,54.0,0.3014814814814815,7
2376697,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.03,0,1.0,0,300.0,0.042426666666666675,7
6701209,0.9861333333333334,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,150.0,0.49333333333333335,7
1654506,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,41.0,0.33570731707317075,7
2767026,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,126.0,0.557936507936508,7
8808668,0.9962113659022932,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,2006.0,0.02582253240279163,7
6509642,0.986530612244898,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,196.0,0.16989795918367348,7
556426,0.999778909090909,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,6875.0,0.005381818181818182,7
2401561,1.0,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.03,0,1.0,0,50.0,0.29304,7
2050628,1.006530612244898,[],20,1.9,0.5,1,4,0.01,0.01,0.02,3.7,0.02,0,1.0,0,49.0,0.38661224489795926,7
