ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
2930349,0.008728807002072929,"[(<tree.SEQ object at 0x7f863dd6c850>, 'V'), (<tree.AND object at 0x7f863dd6d990>, 'C'), (<tree.AND object at 0x7f863dd6d810>, 'C'), (<tree.AND object at 0x7f863dd5c970>, 'B')]",20,1.3,0.4,20,204,0.01,0.01,29.15,3.5999999999999996,0.95,0,4.5,0,6927529.0,0.0,25
6421227,0.008421275584398041,"[(<tree.SEQ object at 0x7f51a6f4fc10>, 'U')]",20,1.3,0.4,20,183,0.01,0.01,15.58,4.3,0.68,0,4.5,0,1595216.0,0.0,25
71042,6.066391067552837e-06,"[(<tree.AND object at 0x7f7b2474b550>, 'E'), (<tree.AND object at 0x7f7b24760130>, 'O')]",20,1.3,0.4,20,207,0.01,0.01,17.33,4.1,0.84,0,3.5,0,515287476.0,0.0,25
9471868,0.04493779130518765,"[(<tree.AND object at 0x7fc2e654e050>, 'U'), (<tree.AND object at 0x7fc2e6539c90>, 'B'), (<tree.SEQ object at 0x7fc2e654d6f0>, 'I')]",20,1.3,0.5,20,189,0.01,0.01,19.07,3.85,1.02,0,3.5,0,1508561.0,0.0,25
3049441,1.0007715903503258,"[(<tree.AND object at 0x7f2fa9b47610>, 'E'), (<tree.SEQ object at 0x7f2fa9b47df0>, 'P'), (<tree.SEQ object at 0x7f2fa9b5b5b0>, 'I'), (<tree.AND object at 0x7f2fa9b5bd30>, 'U'), (<tree.SEQ object at 0x7f2fa9b6c130>, 'P'), (<tree.AND object at 0x7f2fa9b47970>, 'B'), (<tree.AND object at 0x7f2fa9b462c0>, 'N'), (<tree.AND object at 0x7f2fa9b47490>, 'E'), (<tree.AND object at 0x7f2fa9b5a290>, 'C'), (<tree.SEQ object at 0x7f2fa9b5b3d0>, 'I')]",20,1.3,0.5,20,189,0.01,0.01,20.67,4.3,1.42,0,3.5,0,49192864.0,0.0,25
6976991,0.05802683853034239,"[(<tree.SEQ object at 0x7f580913b370>, 'P'), (<tree.AND object at 0x7f580914cc70>, 'R'), (<tree.SEQ object at 0x7f580914dbd0>, 'T'), (<tree.AND object at 0x7f580913af50>, 'O'), (<tree.AND object at 0x7f580913b070>, 'B'), (<tree.SEQ object at 0x7f580914e050>, 'B'), (<tree.SEQ object at 0x7f580914e170>, 'S'), (<tree.AND object at 0x7f580914ec50>, 'S'), (<tree.AND object at 0x7f580914d390>, 'Y')]",20,1.3,0.5,20,175,0.01,0.01,18.84,4.25,0.62,0,4.0,0,2070985.0,0.0,25
2345772,0.010278191579070515,"[(<tree.AND object at 0x7f5dc8b5c7c0>, 'O'), (<tree.AND object at 0x7f5dc8b47b20>, 'E')]",20,1.3,0.5,20,205,0.01,0.01,20.64,3.8499999999999996,0.88,0,4.5,0,1201354.0,0.0,25
4294795,0.3319570487773997,[],20,1.3,0.5,20,193,0.01,0.01,16.66,4.1,1.03,0,3.5,0,101096.0,0.0,25
5224921,0.019883355580468044,"[(<tree.AND object at 0x7f1dfc77e920>, 'E')]",20,1.3,0.5,20,240,0.01,0.01,30.35,3.8,1.0,0,3.5,0,598326.0,0.0,25
5034195,0.0202875088708271,"[(<tree.SEQ object at 0x7fa5ae155840>, 'N'), (<tree.AND object at 0x7fa5ae169330>, 'E')]",20,1.3,0.5,20,221,0.01,0.01,21.5,3.65,1.01,0,3.0,0,2588818.0,0.0,25
7262162,0.00033076648226637443,"[(<tree.SEQ object at 0x7f6ede74a110>, 'L')]",20,1.3,0.5,20,212,0.01,0.01,21.55,4.2,0.98,0,3.5,0,6965974.0,0.0,25
1532066,0.1882841846176985,"[(<tree.AND object at 0x7ff395959270>, 'H'), (<tree.AND object at 0x7ff3959475b0>, 'O'), (<tree.AND object at 0x7ff395946bf0>, 'M'), (<tree.AND object at 0x7ff395946f50>, 'T')]",20,1.3,0.5,20,198,0.01,0.01,26.88,4.050000000000001,0.89,0,3.5,0,227802.0,0.0,25
1278024,0.004207157638926723,[],20,1.3,0.5,20,190,0.01,0.01,23.14,3.5999999999999996,0.89,0,3.5,0,15818147.0,0.0,25
5332032,0.991591977752252,"[(<tree.SEQ object at 0x7f5447954ee0>, 'F'), (<tree.AND object at 0x7f5447943e20>, 'T'), (<tree.AND object at 0x7f5447954c40>, 'I'), (<tree.AND object at 0x7f5447954280>, 'V')]",20,1.3,0.5,20,159,0.01,0.01,14.93,3.65,0.96,0,3.5,0,3578801.0,0.0,25
2909317,0.1430080966438375,"[(<tree.SEQ object at 0x7f1752747520>, 'F')]",20,1.3,0.5,20,206,0.01,0.01,23.86,4.15,1.22,0,4.0,0,65152.0,0.0,25
1999377,0.00017662103999987748,"[(<tree.SEQ object at 0x7f116c347a60>, 'V')]",20,1.3,0.5,20,224,0.01,0.01,25.14,3.75,0.91,0,4.0,0,8805557564.0,0.0,25
4800619,0.044236538193486566,"[(<tree.AND object at 0x7f565d165180>, 'U'), (<tree.AND object at 0x7f565d1652a0>, 'U')]",20,1.3,0.5,20,212,0.01,0.01,21.77,4.2,1.23,0,4.5,0,181448.0,0.0,25
7328474,0.2745803803369582,[],20,1.3,0.5,20,209,0.01,0.01,27.55,4.0,0.97,0,4.0,0,24295.0,0.0,25
7762947,0.008721336894412292,"[(<tree.AND object at 0x7ffb6b5564d0>, 'C'), (<tree.SEQ object at 0x7ffb6b555570>, 'V'), (<tree.AND object at 0x7ffb6b543490>, 'H'), (<tree.AND object at 0x7ffb6b543610>, 'F')]",20,1.3,0.5,20,190,0.01,0.01,18.99,3.5999999999999996,0.8,0,3.0,0,23500144.0,0.0,25
8526187,0.05183134029773586,"[(<tree.AND object at 0x7f5274146d10>, 'W'), (<tree.AND object at 0x7f5274146e30>, 'W'), (<tree.AND object at 0x7f5274146170>, 'M')]",20,1.3,0.5,20,197,0.01,0.01,20.93,3.95,1.07,0,3.5,0,309786097.0,0.0,25
6867703,3.811220232652429e-06,"[(<tree.AND object at 0x7f35fef49f90>, 'M')]",20,1.3,0.5,20,200,0.01,0.01,25.8,3.65,0.64,0,3.0,0,2616243036.0,0.0,25
818921,0.0035346252704996756,[],20,1.3,0.5,20,214,0.01,0.01,19.96,4.1,0.57,0,3.5,0,124890453.0,0.0,25
584688,6.444195127907259e-06,"[(<tree.AND object at 0x7fdf1b15cc10>, 'Y'), (<tree.AND object at 0x7fdf1b14cc10>, 'L'), (<tree.AND object at 0x7fdf1b14cd30>, 'L'), (<tree.AND object at 0x7fdf1b15cfd0>, 'S'), (<tree.AND object at 0x7fdf1b13b6a0>, 'N'), (<tree.AND object at 0x7fdf1b15c3d0>, 'S')]",20,1.3,0.5,20,187,0.01,0.01,14.46,3.95,1.19,0,3.0,0,688446752.0,0.0,25
8953331,0.046741544437621865,"[(<tree.SEQ object at 0x7f5dadb46da0>, 'W'), (<tree.AND object at 0x7f5dadb5b1c0>, 'I')]",20,1.3,0.5,20,220,0.01,0.01,25.07,4.199999999999999,1.06,0,4.5,0,571424.0,0.0,25
33287,0.17952657616071185,"[(<tree.AND object at 0x7f7080b76f50>, 'H')]",20,1.3,0.6,20,236,0.01,0.01,20.94,4.1,1.02,0,4.5,0,7985.0,0.0,25
4087616,0.020197553527270654,"[(<tree.SEQ object at 0x7fd085d42f50>, 'V'), (<tree.AND object at 0x7fd085d41570>, 'R'), (<tree.AND object at 0x7fd085d41690>, 'R')]",20,1.3,0.6,20,178,0.01,0.01,12.8,3.95,1.62,0,4.0,0,1712876.0,0.0,25
5252166,0.027077954127404498,"[(<tree.AND object at 0x7f42bed1a770>, 'E'), (<tree.SEQ object at 0x7f42bed2cf10>, 'F'), (<tree.SEQ object at 0x7f42bed1a020>, 'N'), (<tree.AND object at 0x7f42bed1b190>, 'L'), (<tree.SEQ object at 0x7f42bed1ba30>, 'N'), (<tree.AND object at 0x7f42bed1bb50>, 'N'), (<tree.SEQ object at 0x7f42bed2cd90>, 'F'), (<tree.AND object at 0x7f42bed1a5f0>, 'E'), (<tree.AND object at 0x7f42bed2c550>, 'C'), (<tree.SEQ object at 0x7f42bed2efb0>, 'P'), (<tree.AND object at 0x7f42bed2c1f0>, 'C')]",20,1.3,0.6,20,127,0.01,0.01,5.57,3.85,1.06,0,3.0,0,1808168.0,0.0,25
1055960,0.006839689889660212,"[(<tree.AND object at 0x7f116c753dc0>, 'W')]",20,1.3,0.6,20,208,0.01,0.01,20.36,3.85,0.93,0,3.5,0,2007311.0,0.0,25
5614005,0.0017843184324629452,[],20,1.3,0.6,20,202,0.01,0.01,19.87,4.05,1.2,0,3.5,0,4559882.0,0.0,25
980394,9.974160454877572e-05,"[(<tree.AND object at 0x7fb88cf6ce80>, 'I'), (<tree.SEQ object at 0x7fb88cf6d120>, 'F')]",20,1.3,0.6,20,203,0.01,0.01,32.07,3.75,1.73,0,3.5,0,41117337867.0,0.0,25
770823,0.003457074701611989,"[(<tree.AND object at 0x7fc4df949b10>, 'A')]",20,1.3,0.6,20,194,0.01,0.01,16.27,3.9000000000000004,0.9,0,4.0,0,1520511.0,0.0,25
6107990,0.04320245537817974,"[(<tree.AND object at 0x7fa52bb55420>, 'L'), (<tree.SEQ object at 0x7fa52bb60760>, 'J')]",20,1.3,0.6,20,185,0.01,0.01,19.84,4.050000000000001,1.24,0,3.5,0,6212056.0,0.0,25
450113,0.10247071555050091,"[(<tree.AND object at 0x7f657bf5a110>, 'N')]",20,1.3,0.6,20,212,0.01,0.01,24.31,4.0,1.0,0,4.0,0,54245.0,0.0,25
9621072,0.11582836559356668,"[(<tree.AND object at 0x7fa7cd564b80>, 'S'), (<tree.AND object at 0x7fa7cd564b80>, 'S'), (<tree.AND object at 0x7fa7cd5655a0>, 'S'), (<tree.AND object at 0x7fa7cd559480>, 'W'), (<tree.SEQ object at 0x7fa7cd564820>, 'S')]",20,1.3,0.6,20,187,0.01,0.01,16.22,3.65,1.19,0,3.5,0,515439.0,0.0,25
3626320,0.00620416412907001,"[(<tree.AND object at 0x7fb4d2170670>, 'I')]",20,1.3,0.6,20,204,0.01,0.01,13.14,4.1,1.18,0,3.5,0,586266.0,0.0,25
7931903,0.45004642737901496,"[(<tree.SEQ object at 0x7f76bc137dc0>, 'Q'), (<tree.AND object at 0x7f76bc137820>, 'W'), (<tree.SEQ object at 0x7f76bc14abc0>, 'B')]",20,1.3,0.6,20,201,0.01,0.01,24.68,3.8499999999999996,0.8,0,4.0,0,31835.0,0.0,25
4534451,0.01669866394145392,"[(<tree.AND object at 0x7fe48033a8c0>, 'M')]",20,1.3,0.6,20,205,0.01,0.01,22.84,3.35,0.95,0,4.0,0,226903.0,0.0,25
1328057,0.012126751569029282,"[(<tree.AND object at 0x7fb88854ba90>, 'F'), (<tree.AND object at 0x7fb88855c310>, 'R'), (<tree.AND object at 0x7fb88855d1b0>, 'V')]",20,1.3,0.6,20,192,0.01,0.01,16.17,3.75,0.8,0,3.5,0,2069162.0,0.0,25
9941487,0.02189413144461788,"[(<tree.AND object at 0x7ff3f7b2dd80>, 'E'), (<tree.AND object at 0x7ff3f7b402e0>, 'R'), (<tree.AND object at 0x7ff3f7b427a0>, 'E'), (<tree.SEQ object at 0x7ff3f7b41780>, 'J'), (<tree.AND object at 0x7ff3f7b418a0>, 'V'), (<tree.AND object at 0x7ff3f7b42320>, 'G'), (<tree.AND object at 0x7ff3f7b42440>, 'G'), (<tree.SEQ object at 0x7ff3f7b405e0>, 'A')]",20,1.3,0.6,20,142,0.01,0.01,6.85,3.8,0.97,0,4.0,0,2193563.0,0.0,25
4512270,0.19221723219685566,"[(<tree.AND object at 0x7f3860f610c0>, 'Y'), (<tree.AND object at 0x7f3860f52f80>, 'F'), (<tree.AND object at 0x7f3860f51120>, 'B')]",20,1.3,0.6,20,183,0.01,0.01,18.3,4.2,0.77,0,4.0,0,390624.0,0.0,25
7711757,0.0452580495062319,"[(<tree.SEQ object at 0x7fd4d4965cc0>, 'J'), (<tree.SEQ object at 0x7fd4d4964ee0>, 'E'), (<tree.SEQ object at 0x7fd4d4964a00>, 'F')]",20,1.3,0.6,20,193,0.01,0.01,21.08,3.95,1.32,0,3.5,0,3101634.0,0.0,25
1956200,0.00012928299140303954,"[(<tree.SEQ object at 0x7f263db4fee0>, 'W'), (<tree.AND object at 0x7f263db4f8e0>, 'B'), (<tree.AND object at 0x7f263db5fdc0>, 'S')]",20,1.3,0.6,20,199,0.01,0.01,27.61,4.45,0.97,0,3.5,0,736983300.0,0.0,25
3319169,0.019533033458422097,"[(<tree.AND object at 0x7f591df53010>, 'Y'), (<tree.AND object at 0x7f591df3b310>, 'B')]",20,1.3,0.6,20,200,0.01,0.01,20.35,4.1,1.06,0,3.5,0,332364.0,0.0,25
98910,0.15699089023401575,"[(<tree.AND object at 0x7fc09514c280>, 'M')]",20,1.3,0.6,20,185,0.01,0.01,22.34,3.65,0.51,0,4.0,0,532465.0,0.0,25
5641380,0.001437724128930359,"[(<tree.SEQ object at 0x7f30e0b3afb0>, 'N'), (<tree.AND object at 0x7f30e0b60520>, 'I'), (<tree.SEQ object at 0x7f30e0b60220>, 'I')]",20,1.3,0.6,20,206,0.01,0.01,18.22,4.15,1.21,0,3.0,0,3964610.0,0.0,25
1389991,0.12872823551002222,"[(<tree.AND object at 0x7f34a1d53880>, 'V'), (<tree.AND object at 0x7f34a1d3fb80>, 'W')]",20,1.3,0.6,20,185,0.01,0.01,13.27,3.95,0.99,0,3.5,0,93217.0,0.0,25
