ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9451229,2.0214133003925237e-06,"[(<tree.SEQ object at 0x7f12a98da470>, 'B')]",100,1.1,0.5,1,2,0.001,0.008960469254166475,0.12,6.98,4.51,0,1.0,0,1.371071873687097e+18,8.808962320372388e-13,10
7465912,2.417648269864454e-07,[],100,1.1,0.5,1,16,0.001,0.008960469254166475,0.67,6.98,1.49,0,2.0,0,223574913559.0,8.140241989802975e-09,10
8225175,0.012606644696554984,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,5.33,0,0.0,0,3887289297.0,0.0015025904052234475,10
7511155,7.122940647655402e-13,[],100,1.1,0.5,1,19,0.001,0.008960469254166475,0.62,6.98,0.66,0,3.0,0,2380176880513355.0,6.03834287286371e-13,10
7604654,5.394596534223089e-05,"[(<tree.SEQ object at 0x7f191c5458d0>, 'C'), (<tree.AND object at 0x7f191c545c00>, 'C')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.28,6.98,3.82,0,1.0,0,25218617543903.0,0.00022993465196214112,10
9957554,0.0379859177892781,"[(<tree.AND object at 0x7f3533dea380>, 'C')]",100,1.1,0.5,1,8,0.001,0.008960469254166475,0.38,6.98,5.91,0,2.5,0,3007713.0,0.009464699561003802,10
2394879,0.6289980564634285,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,5.47,0,0.0,0,1015694291.0,0.06998997423723828,10
382619,0.3829265638248039,[],100,1.1,0.5,1,15,0.001,0.008960469254166475,0.47,6.98,1.62,0,2.0,0,15963.0,0.38399323450105244,10
9249349,0.048105270980747884,"[(<tree.AND object at 0x7f3eb83c0d90>, 'E')]",100,1.1,0.5,1,2,0.001,0.008960469254166475,0.13,6.98,2.09,0,1.0,0,61139687.0,0.011851333488180927,10
5553496,1.159717917780615e-05,"[(<tree.AND object at 0x7ff018b39000>, 'A'), (<tree.SEQ object at 0x7ff018b398d0>, 'A')]",100,1.1,0.5,1,3,0.001,0.008960469254166475,0.22,6.98,4.76,0,1.0,0,1.5950568274873e+17,1.1056545432181708e-05,10
3943083,0.00934429776620616,"[(<tree.AND object at 0x7fbba5fee7d0>, 'D'), (<tree.AND object at 0x7fbba5feea70>, 'D')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.23,6.98,5.23,0,2.0,0,88050608.0,0.02154030610974173,10
831288,0.0006326375573918905,[],100,1.1,0.5,1,15,0.001,0.008960469254166475,0.54,6.98,3.43,0,3.5,0,1343057.0,0.0006611271212596442,10
8719602,3.5721273953577406e-05,"[(<tree.AND object at 0x7f0c980d6a70>, 'E'), (<tree.AND object at 0x7f0c980d6950>, 'E')]",100,1.1,0.5,1,5,0.001,0.008960469254166475,0.3,6.98,5.14,0,3.0,0,7635208020.0,8.491798578962766e-05,10
2108032,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,0.2,0,0.5,0,33063066.0,1.440724393194509,10
9240748,0.0007174483519234885,"[(<tree.AND object at 0x7ffa6e4bef80>, 'C')]",100,1.1,0.5,1,14,0.001,0.008960469254166475,0.51,6.98,4.37,0,2.0,0,27948209.0,0.00010497111634837131,10
9323815,0.026543401102234982,"[(<tree.AND object at 0x7fe55dfbf8b0>, 'C'), (<tree.AND object at 0x7fe55dfbe0e0>, 'C')]",100,1.1,0.5,1,10,0.001,0.008960469254166475,0.43,6.98,5.82,0,3.5,0,5814040.0,0.0012787051987268347,10
703139,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,0.2,0,0.5,0,574741578.0,1.4252200306969962,10
3203430,3.609360489528e-06,"[(<tree.AND object at 0x7f04adc918d0>, 'E')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.21,6.98,4.16,0,1.0,0,1.8623850459143176e+16,1.0982902408171382,10
1003527,1.390137392803865e-06,"[(<tree.AND object at 0x7fa0b674a830>, 'C')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.3,6.98,5.1,0,1.0,0,198514926034.0,4.020122986921279e-06,10
3544346,1.0,[],100,1.1,0.5,1,5,0.001,0.008960469254166475,0.29,6.98,0.26,0,0.5,0,7567079988.0,0.13895738148950626,10
5949921,1.6249413179103456e-05,"[(<tree.AND object at 0x7f6c9568e410>, 'C')]",100,1.1,0.5,1,10,0.001,0.008960469254166475,0.38,6.98,3.89,0,2.0,0,23776307726.0,1.7997995091340986e-06,10
7361349,3.182173932163617e-13,[],100,1.1,0.5,1,14,0.001,0.008960469254166475,0.64,6.98,2.24,0,3.0,0,1.7532624158133322e+16,5.998242816220327e-14,10
7629129,0.08143516047285065,[],100,1.1,0.5,1,8,0.001,0.008960469254166475,0.39,6.98,4.49,0,2.0,0,257270.0,0.013757173786512587,10
4750665,9.654006247324767e-07,"[(<tree.AND object at 0x7fcdf6e7b3a0>, 'D'), (<tree.AND object at 0x7fcdf6e7bf10>, 'D')]",100,1.1,0.5,1,13,0.001,0.008960469254166475,0.65,6.98,3.98,0,2.0,0,17692444428.0,2.237923792197586e-07,10
6398320,0.0019588624378981123,[],100,1.1,0.5,1,12,0.001,0.008960469254166475,0.43,6.98,0.67,0,3.0,0,17491199.0,0.0004047053608542828,10
4040546,0.0007736974302456334,"[(<tree.AND object at 0x7f648e48bbe0>, 'E')]",100,1.1,0.5,1,12,0.001,0.008960469254166475,0.45,6.98,3.17,0,1.0,0,44350789.0,0.00028098987118997524,10
5811365,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.06,6.98,0.18,0,0.5,0,2025222884397.0,1.4936033497501995,10
7127735,3.4206759530407336e-05,[],100,1.1,0.5,1,18,0.001,0.008960469254166475,0.71,6.98,3.66,0,3.5,0,18886256.0,1.7796541306853928e-05,10
2955355,2.336482328829087e-08,[],100,1.1,0.5,1,18,0.001,0.008960469254166475,0.68,6.98,3.69,0,3.0,0,45474966474.0,2.5633900332765355e-08,10
8977180,3.971956684209783e-06,[],100,1.1,0.5,1,21,0.001,0.008960469254166475,0.73,6.98,2.77,0,3.0,0,151366548.0,2.4109460220331155e-06,10
3881347,0.007394792421308969,[],100,1.1,0.5,1,15,0.001,0.008960469254166475,0.63,6.98,2.83,0,3.0,0,548087.0,0.003106049229369528,10
1374042,7.1080075735466e-05,"[(<tree.SEQ object at 0x7f5133ea69e0>, 'A'), (<tree.AND object at 0x7f5133ea62f0>, 'A')]",100,1.1,0.5,1,5,0.001,0.008960469254166475,0.32,6.98,5.16,0,2.0,0,34477476492392.0,4.676701574745323e-09,10
1162342,8.93643289826854e-07,"[(<tree.AND object at 0x7ff835191420>, 'B'), (<tree.SEQ object at 0x7ff835191a80>, 'B'), (<tree.SEQ object at 0x7ff835192290>, 'B')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.3,6.98,5.17,0,1.0,0,4376942083157765.0,1.2159236395779673e-07,10
