ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5899206,0.0028770163125348457,[],100,1.3,0.8,1,19,0.001,0.007473586158310573,0.99,13.81,0.86,0,1.0,0,13662240.0,0.0,25
2208643,0.4806825043110025,"[(<tree.AND object at 0x7f9fb45fe0b0>, 'B')]",100,1.3,0.8,1,21,0.001,0.007473586158310573,1.43,11.97,37.43,0,1.5,0,1061357.0,0.0,25
604559,1.0,[],100,1.3,0.8,1,2,0.001,0.007473586158310573,0.42,17.9,0.63,0,0.5,0,332900.0,0.0,25
7751539,0.002609088590686711,[],100,1.3,0.5,1,13,0.001,0.007473586158310573,1.06,17.119999999999997,3.44,0,2.0,0,3995191.0,0.0,7
7951792,0.1057192573646859,[],100,1.3,0.5,1,11,0.001,0.007473586158310573,0.9,14.51,13.96,0,0.0,0,15826880.0,0.0,7
1608992,0.9655032331093508,[],100,1.3,0.8,1,21,0.001,0.007473586158310573,0.88,11.52,2.77,0,2.0,0,6371.0,0.0,25
8152006,0.05012890623889877,[],100,1.4,0.5,1,16,0.001,0.007473586158310573,1.16,11.350000000000001,6.43,0,2.0,0,103292.0,0.0,7
1689398,1.6460743605171713e-05,[],100,1.4,0.5,1,10,0.001,0.007473586158310573,0.85,10.7,3.2,0,2.0,0,925831727.0,0.0,7
6994312,0.012232339513373552,[],100,1.3,0.8,1,18,0.001,0.007473586158310573,1.46,15.495000000000001,4.4,0,2.0,0,655397.0,0.0,25
7973513,0.004329488205456818,"[(<tree.SEQ object at 0x7f63b3c69b10>, 'C')]",100,1.4,0.5,1,13,0.001,0.007473586158310573,0.89,14.86,30.35,0,1.0,0,52912996.0,0.0,7
6156758,1.0,[],100,1.4,0.5,1,5,0.001,0.007473586158310573,0.94,16.24,0.46,0,0.5,0,8651.0,0.0,7
591337,0.6120539374180732,[],100,1.4,0.5,1,18,0.001,0.007473586158310573,1.08,15.41,11.41,0,2.0,0,22767.0,0.0,7
3946208,0.07868430360566872,"[(<tree.AND object at 0x7f92c658a2f0>, 'A'), (<tree.AND object at 0x7f92c658a8f0>, 'A')]",100,1.3,0.8,1,21,0.001,0.007473586158310573,1.07,15.21,19.06,0,2.5,0,493274.0,0.0,25
886701,0.8827134602279815,[],100,1.5,0.5,1,21,0.001,0.007473586158310573,1.11,17.425,3.75,0,2.0,0,5019.0,0.0,7
8839160,0.07199689508661415,[],100,1.5,0.5,1,21,0.001,0.007473586158310573,0.91,11.94,55.79,0,0.0,0,20377727.0,0.0,7
7506024,0.20222396302523124,[],100,1.3,0.9,1,4,0.001,0.007473586158310573,0.69,16.28,0.9,0,1.0,0,105432.0,0.0,25
4803757,0.055316447032113844,[],100,1.5,0.5,1,17,0.001,0.007473586158310573,1.37,11.855,3.89,0,2.0,0,35092.0,0.0,7
1499667,1.010619795029333,[],100,1.3,0.9,1,7,0.001,0.007473586158310573,1.14,22.12,0.94,0,1.5,0,11808.0,0.0,25
1187869,0.801642276557659,[],100,1.6,0.5,1,21,0.001,0.007473586158310573,1.09,15.61,3.97,0,2.0,0,4970.0,0.0,7
4549487,0.22879317155279896,[],100,1.6,0.5,1,21,0.001,0.007473586158310573,1.05,15.45,4.24,0,2.0,0,10297.0,0.0,7
8978231,0.2297901601655262,[],100,1.6,0.5,1,20,0.001,0.007473586158310573,1.26,17.975,4.08,0,2.0,0,9717.0,0.0,7
6936757,0.6450428070251375,[],100,1.6,0.5,1,21,0.001,0.007473586158310573,0.95,16.285,7.15,0,2.0,0,4653.0,0.0,7
8463367,0.011847919453559843,[],100,1.6,0.5,1,16,0.001,0.007473586158310573,1.11,13.899999999999999,5.9,0,2.0,0,446738.0,0.0,7
8891819,0.02322785627684444,[],100,1.6,0.5,1,18,0.001,0.007473586158310573,1.23,13.899999999999999,6.31,0,2.0,0,124123.0,0.0,7
2395496,0.09781733991668652,[],100,1.7,0.5,1,19,0.001,0.007473586158310573,1.03,12.96,33.27,0,1.5,0,27963617.0,0.0,7
437958,0.06828928503581007,[],100,1.7,0.5,1,20,0.001,0.007473586158310573,1.16,12.940000000000001,4.44,0,2.0,0,23071.0,0.0,7
671150,0.8946475978969765,[],100,1.3,0.9,1,11,0.001,0.007473586158310573,0.89,12.355,4.53,0,1.0,0,21021.0,0.0,25
5582581,0.16115275370980742,[],100,1.8,0.5,1,21,0.001,0.007473586158310573,1.06,14.29,3.84,0,2.0,0,14151.0,0.0,7
2812935,0.05922609838585027,[],100,1.3,1.0,1,21,0.001,0.007473586158310573,1.37,16.39,4.68,0,2.0,0,39664.0,0.0,25
9652788,0.12278993399196605,[],100,1.3,1.0,1,21,0.001,0.007473586158310573,1.0,15.855,48.6,0,0.0,0,27977049.0,0.0,25
3747391,0.7867448260952308,[],100,1.9,0.5,1,21,0.001,0.007473586158310573,0.94,11.565000000000001,3.66,0,2.0,0,4675.0,0.0,7
5998710,0.7155196610244847,[],100,1.3,1.0,1,4,0.001,0.007473586158310573,1.01,15.675,7.87,0,2.0,0,5380.0,0.0,25
7176617,0.8750547006438208,[],100,1.9,0.5,1,18,0.001,0.007473586158310573,1.08,17.17,13.14,0,2.0,0,18763.0,0.0,7
8235325,0.1874103299856528,[],100,1.9,0.5,1,21,0.001,0.007473586158310573,0.98,13.6,43.28,0,0.0,0,3011040.0,0.0,7
4906599,0.07914472776733317,[],100,1.9,0.5,1,17,0.001,0.007473586158310573,1.14,13.43,6.06,0,2.0,0,45876.0,0.0,7
4269935,0.036933440647422634,"[(<tree.AND object at 0x7f8b2447a800>, 'E'), (<tree.AND object at 0x7f8b2447a020>, 'B')]",100,1.9,0.5,1,21,0.001,0.007473586158310573,1.29,14.98,48.13,0,2.5,0,21075552.0,0.0,7
488310,0.560518190292555,[],100,1.3,1.0,1,21,0.01,0.01,1.28,17.14,4.27,0,2.0,0,4464.0,0.0,25
5508794,0.00014840065883577088,"[(<tree.AND object at 0x7fb5b759a3b0>, 'E')]",100,1.1,0.5,1,14,0.01,0.01,0.88,17.560000000000002,8.42,0,2.0,0,925052926.0,0.0,7
3713648,1.157032504024958e-05,[],100,1.1,0.5,1,11,0.01,0.01,1.15,19.16,9.48,0,2.0,0,14766732496.0,0.0,7
1936597,1.0,[],100,1.1,0.5,1,1,0.01,0.01,0.16,15.945,0.76,0,0.5,0,89439.0,0.0,7
7155454,0.05794472016498168,[],100,1.1,0.5,1,1,0.01,0.01,0.27,15.945,14.07,0,0.0,0,1246947173.0,0.0,7
5836148,8.936341557105945e-09,[],100,1.1,0.5,1,2,0.01,0.01,0.37,15.945,11.49,0,0.0,0,8507458283031547.0,0.0,7
4141481,0.1340125828675081,[],100,1.1,0.5,1,3,0.01,0.01,0.45,15.945,12.42,0,0.0,0,113170652717963.0,0.0,7
5822826,0.001521223246780789,[],100,1.1,0.5,1,2,0.01,0.01,0.28,15.945,14.34,0,0.0,0,1198436836183.0,0.0,7
4186472,1.0,[],100,1.2,0.5,1,2,0.01,0.01,0.39,15.945,0.44,0,0.5,0,15352315.0,0.0,7
2360952,0.003277680907929913,"[(<tree.AND object at 0x7f58a1ed9900>, 'D')]",100,1.2,0.5,1,6,0.01,0.01,0.93,15.945,15.68,0,1.5,0,4676284728.0,0.0,7
3110798,0.011256889724065881,[],100,1.1,0.5,1,1,0.01,0.01,0.19,15.945,17.3,0,0.0,0,173997220530428.0,0.0,7
4856946,0.010821668062817409,[],100,1.2,0.5,1,1,0.01,0.01,0.16,15.945,13.31,0,0.0,0,105068645.0,0.0,7
1193083,0.002165578854267842,"[(<tree.SEQ object at 0x7f0f70af5870>, 'C')]",100,1.2,0.5,1,2,0.01,0.01,0.42,15.945,15.31,0,1.0,0,50315424.0,0.0,7
8132171,0.10030785287739405,[],100,1.2,0.5,1,1,0.01,0.01,0.14,15.945,13.34,0,0.0,0,871332119.0,0.0,7
