ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6457120,0.04558607491301422,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.06,6.98,3.55,0,0.0,0,6.606287292971292e+20,0.006506335793784442,10
367470,1.8167166664414675e-09,[],100,1.1,0.5,1,14,0.001,0.008960469254166475,0.55,6.98,2.19,0,3.0,0,1191463124959.0,8.951509341206176e-10,10
2098544,7.574603264636375e-08,"[(<tree.AND object at 0x7f57a9656680>, 'A')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.31,6.98,1.36,0,1.0,0,20992498984975.0,8.353035009958575e-08,10
523013,9.348824049258617e-08,"[(<tree.AND object at 0x7fabbe89b910>, 'C')]",100,1.1,0.5,1,9,0.001,0.008960469254166475,0.41,6.98,5.78,0,3.0,0,29387553008689.0,1.1237861265946998e-10,10
2890783,0.002039902509882315,"[(<tree.AND object at 0x7ff0d0a76860>, 'E'), (<tree.SEQ object at 0x7ff0d0a765c0>, 'A')]",100,1.1,0.5,1,5,0.001,0.008960469254166475,0.29,6.98,4.7,0,1.0,0,911764457074.0,0.002904959641616231,10
5232569,1.3642024529348151e-13,"[(<tree.AND object at 0x7f05a903b0a0>, 'C'), (<tree.AND object at 0x7f05a903ab60>, 'C')]",100,1.1,0.5,1,7,0.001,0.008960469254166475,0.34,6.98,5.36,0,2.0,0,4.454924443227857e+18,1.6397562972494474e-13,10
3654028,1.298573359805114e-09,"[(<tree.AND object at 0x7fe6fb00b5b0>, 'B'), (<tree.AND object at 0x7fe6fb00b190>, 'B')]",100,1.1,0.5,1,10,0.001,0.008960469254166475,0.49,6.98,3.78,0,3.0,0,4.303386472275403e+17,2.016094421001896e-14,10
9899822,3.950616271182098e-08,[],100,1.1,0.5,1,18,0.001,0.008960469254166475,0.62,6.98,1.57,0,2.0,0,31402361757.0,4.204952489087638e-08,10
2829263,9.907999164369717e-05,"[(<tree.AND object at 0x7f0ff2ce3c10>, 'D'), (<tree.AND object at 0x7f0ff2ce32e0>, 'D')]",100,1.1,0.5,1,12,0.001,0.008960469254166475,0.55,6.98,4.53,0,3.0,0,1013741486.0,9.867747891233696e-05,10
5060053,1.7547974361984892e-06,"[(<tree.AND object at 0x7fcf5596a890>, 'B'), (<tree.SEQ object at 0x7fcf5596a050>, 'B')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.33,6.98,4.87,0,1.0,0,10628630743660.0,3.915541402540452e-06,10
