ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5751800,0.6989475981571013,[],100,1.3,0.8,1,4,0.001,0.007473586158310573,0.62,12.100000000000001,0.88,0,1.0,0,33279.0,0.0,25
9907677,0.05031473324246229,[],100,1.3,0.8,1,4,0.001,0.007473586158310573,0.53,17.119999999999997,16.53,0,2.0,0,487989.0,0.0,25
4943720,0.048526755577356806,"[(<tree.AND object at 0x7fbb5a782230>, 'E')]",100,1.3,0.8,1,5,0.001,0.007473586158310573,0.41,13.969999999999999,27.45,0,1.0,0,1188413.0,0.0,25
3209088,0.16850469004088003,[],100,1.3,0.8,1,3,0.001,0.007473586158310573,0.5,11.469999999999999,0.53,0,1.0,0,95640.0,0.0,25
2857162,0.6859915553599076,[],100,1.4,0.5,1,9,0.001,0.007473586158310573,1.03,13.415,2.19,0,2.5,0,10118.0,0.0,7
6940949,0.06754707116738262,[],100,1.4,0.5,1,9,0.001,0.007473586158310573,0.82,17.619999999999997,30.48,0,1.0,0,1071816.0,0.0,7
4548983,0.6352921072064076,[],100,1.3,0.8,1,4,0.001,0.007473586158310573,0.61,14.899999999999999,14.9,0,1.0,0,142357.0,0.0,25
2114793,0.8617096360400077,[],100,1.5,0.5,1,6,0.001,0.007473586158310573,0.91,11.39,0.9,0,1.0,0,337895.0,0.0,7
54400,0.7950720229447811,[],100,1.3,0.8,1,7,0.001,0.007473586158310573,0.91,17.425,4.45,0,2.0,0,5019.0,0.0,25
6514588,0.0699060395550043,[],100,1.5,0.5,1,8,0.001,0.007473586158310573,0.75,13.615,8.89,0,1.0,0,2437205.0,0.0,7
3508143,0.9490805133629344,[],100,1.5,0.5,1,3,0.001,0.007473586158310573,0.45,13.66,7.63,0,2.5,0,478695.0,0.0,7
2301133,1.2754615844625874,[],100,1.6,0.5,1,8,0.001,0.007473586158310573,0.72,13.530000000000001,11.44,0,1.0,0,14853.0,0.0,7
3912725,0.0052223257101212,[],100,1.6,0.5,1,9,0.001,0.007473586158310573,0.96,12.67,0.64,0,1.0,0,479022.0,0.0,7
1002395,0.3438090344856218,[],100,1.3,0.9,1,4,0.001,0.007473586158310573,0.64,15.45,9.51,0,2.0,0,80027.0,0.0,25
7398155,0.2780326925251706,[],100,1.6,0.5,1,7,0.001,0.007473586158310573,0.53,17.975,12.07,0,2.0,0,65150.0,0.0,7
7868216,1.0,[],100,1.6,0.5,1,2,0.001,0.007473586158310573,0.34,16.285,0.49,0,0.5,0,681819.0,0.0,7
9321748,0.5797802107903051,[],100,1.6,0.5,1,7,0.001,0.007473586158310573,0.66,13.899999999999999,0.54,0,1.0,0,8646.0,0.0,7
5478022,0.14938667487871055,[],100,1.7,0.5,1,8,0.001,0.007473586158310573,0.78,12.94,0.59,0,1.0,0,20181.0,0.0,7
8308342,0.0003936990253294508,[],100,1.3,0.9,1,6,0.001,0.007473586158310573,0.5,12.940000000000001,1.45,0,1.0,0,13496133.0,0.0,25
9876962,0.009590130422677395,[],100,1.3,0.9,1,9,0.001,0.007473586158310573,1.15,16.68,19.81,0,2.0,0,2417885.0,0.0,25
1970053,0.1496878811714188,[],100,1.3,0.9,1,2,0.001,0.007473586158310573,0.42,18.455,38.3,0,1.0,0,1106135.0,0.0,25
8738942,0.9650886693356747,[],100,1.8,0.5,1,9,0.001,0.007473586158310573,1.18,16.69,0.9,0,1.0,0,11824.0,0.0,7
8229234,0.01031552447566163,"[(<tree.AND object at 0x7fd84514d720>, 'D')]",100,1.8,0.5,1,9,0.001,0.007473586158310573,0.77,17.555,34.6,0,2.0,0,58149333.0,0.0,7
6970544,0.06907419662558764,[],100,1.8,0.5,1,4,0.001,0.007473586158310573,0.82,12.129999999999999,1.07,0,1.0,0,99562.0,0.0,7
9028787,0.008416160862358375,[],100,1.8,0.5,1,9,0.001,0.007473586158310573,0.97,15.190000000000001,8.12,0,2.0,0,1596832.0,0.0,7
1837065,0.9256704362361038,[],100,1.3,1.0,1,6,0.001,0.007473586158310573,0.9,11.565000000000001,3.71,0,1.0,0,7806.0,0.0,25
5678908,0.483282003400343,[],100,1.9,0.5,1,9,0.001,0.007473586158310573,1.03,17.17,0.78,0,1.0,0,11607.0,0.0,7
3422549,0.7707981108073675,[],100,1.3,1.0,1,4,0.001,0.007473586158310573,0.67,13.6,24.04,0,2.5,0,280908.0,0.0,25
9856672,0.26327283711358596,[],100,1.3,1.0,1,7,0.001,0.007473586158310573,0.97,13.43,4.46,0,2.0,0,15596.0,0.0,25
1757491,2.7719038034717592e-09,[],100,1.3,1.0,1,4,0.01,0.01,0.5,13.79,11.49,0,1.0,0,387390505649970.0,0.0,25
661622,2.0402584995679162e-07,[],100,1.1,0.5,1,10,0.01,0.01,0.84,17.560000000000002,4.21,0,1.0,0,265580620012.0,0.0,7
5573537,1.0029746088427494,[],100,1.1,0.5,1,5,0.01,0.01,0.57,19.16,0.97,0,1.0,0,1035468.0,0.0,7
112179,0.030492894422060674,[],100,1.1,0.5,1,1,0.01,0.01,0.23,15.945,12.61,0,0.0,0,5.9894446971153816e+16,0.0,7
1124145,1.0,[],100,1.1,0.5,1,1,0.01,0.01,0.2,15.945,0.53,0,0.5,0,1509014138.0,0.0,7
6132511,0.05794472016498168,[],100,1.1,0.5,1,1,0.01,0.01,0.13,15.945,14.07,0,0.0,0,1246947173.0,0.0,7
568744,7.514500338360972e-10,[],100,1.1,0.5,1,2,0.01,0.01,0.38,15.945,13.77,0,0.0,0,6.460774204607913e+20,0.0,7
4963557,2.8796376989379745e-08,[],100,1.1,0.5,1,1,0.01,0.01,0.2,15.945,13.3,0,0.0,0,15617485497077.0,0.0,7
9520001,3.708572319094736e-08,[],100,1.1,0.5,1,1,0.01,0.01,0.2,15.945,11.66,0,0.0,0,26308587673387.0,0.0,7
4086358,1.4216523633269305e-08,[],100,1.2,0.5,1,2,0.01,0.01,0.47,15.945,13.68,0,0.0,0,8761424607948.0,0.0,7
5678133,2.5853293737343936e-11,[],100,1.1,0.5,1,1,0.01,0.01,0.16,15.945,13.91,0,0.0,0,6.20513198936335e+17,0.0,7
7687900,0.3362051264501557,[],100,1.2,0.5,1,1,0.01,0.01,0.2,15.945,12.6,0,0.0,0,350652.0,0.0,7
5293565,6.274696903507687e-08,[],100,1.2,0.5,1,1,0.01,0.01,0.15,15.945,12.5,0,0.0,0,28248487970935.0,0.0,7
177206,1.0,[],100,1.2,0.5,1,1,0.01,0.01,0.19,15.945,0.44,0,0.5,0,293095290.0,0.0,7
9941657,0.0001225429527518366,[],100,1.2,0.5,1,1,0.01,0.01,0.16,15.945,14.44,0,0.0,0,101326487743.0,0.0,7
1403906,1.0,[],100,1.2,0.5,1,2,0.01,0.01,0.35,15.945,0.42,0,0.5,0,453069.0,0.0,7
8405415,1.0,[],100,1.2,0.5,1,1,0.01,0.01,0.17,15.945,0.52,0,0.5,0,3774440.0,0.0,7
1242896,0.08613798728885566,[],100,1.2,0.5,1,2,0.01,0.01,0.37,15.945,0.62,0,1.0,0,235384.0,0.0,7
3322218,0.011724340575384786,[],100,1.3,0.5,1,2,0.01,0.01,0.41,15.945,8.54,0,2.0,0,2405764.0,0.0,7
7742256,0.015457501237071071,[],100,1.3,0.5,1,1,0.01,0.01,0.26,15.945,13.27,0,0.0,0,51892734.0,0.0,7
1504991,0.7340425010777129,[],100,1.3,0.5,1,1,0.01,0.01,0.19,15.945,14.68,0,0.0,0,408272.0,0.0,7
1971895,1.0,[],100,1.3,0.5,1,1,0.01,0.01,0.22,15.945,0.49,0,0.5,0,68996.0,0.0,7
1755074,0.08833550071079257,[],100,1.3,0.5,1,2,0.01,0.01,0.32,15.945,13.94,0,0.0,0,6652433.0,0.0,7
3744807,1.0,[],100,1.4,0.5,1,2,0.01,0.01,0.47,15.945,0.41,0,0.5,0,27412.0,0.0,7
617576,1.0,[],100,1.4,0.5,1,1,0.01,0.01,0.16,15.945,0.55,0,0.5,0,40441.0,0.0,7
213194,1.0,[],100,1.4,0.5,1,1,0.01,0.01,0.23,15.945,0.52,0,0.5,0,46589.0,0.0,7
1968332,1.0,[],100,1.5,0.5,1,2,0.01,0.01,0.43,15.945,0.6,0,0.5,0,11323.0,0.0,7
3549381,0.10073098240822556,[],100,1.4,0.5,1,1,0.01,0.01,0.14,15.945,14.38,0,0.0,0,211633.0,0.0,7
6347064,0.862309031135177,[],100,1.5,0.5,1,3,0.01,0.01,0.52,15.945,12.57,0,0.0,0,31026.0,0.0,7
1785548,0.12309519831727227,"[(<tree.AND object at 0x7f419cca1ae0>, 'D')]",100,1.5,0.5,1,4,0.01,0.01,0.68,15.945,21.03,0,1.5,0,295612.0,0.0,7
9823407,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.6,15.945,0.4,0,0.5,0,15608.0,0.0,7
4689556,1.0,[],100,1.5,0.5,1,2,0.01,0.01,0.3,15.945,0.54,0,0.5,0,69297.0,0.0,7
769443,0.05645665547935454,[],100,1.5,0.5,1,1,0.01,0.01,0.16,15.945,12.85,0,0.0,0,1201063.0,0.0,7
9818996,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.5,15.945,0.46,0,0.5,0,3118.0,0.0,7
3006264,0.3330955467522215,[],100,1.5,0.5,1,3,0.01,0.01,0.61,15.945,15.05,0,0.0,0,828474.0,0.0,7
9080897,0.14480829091995956,[],100,1.6,0.5,1,1,0.01,0.01,0.17,15.945,15.21,0,0.0,0,1057253.0,0.0,7
7908830,1.0,[],100,1.6,0.5,1,3,0.01,0.01,0.5,15.945,0.49,0,0.5,0,4996.0,0.0,7
4515508,1.0,[],100,1.6,0.5,1,1,0.01,0.01,0.22,15.945,0.58,0,0.5,0,24910.0,0.0,7
959262,1.0,[],100,1.7,0.5,1,1,0.01,0.01,0.18,15.945,0.46,0,0.5,0,39705.0,0.0,7
3561244,1.0,[],100,1.6,0.5,1,3,0.01,0.01,0.49,15.945,0.51,0,0.5,0,8396.0,0.0,7
8293879,1.0,[],100,1.6,0.5,1,3,0.01,0.01,0.54,15.945,0.49,0,0.5,0,23375.0,0.0,7
1097384,1.0,[],100,1.7,0.5,1,1,0.01,0.01,0.17,15.945,0.4,0,0.5,0,69277.0,0.0,7
8282032,1.0,[],100,1.7,0.5,1,1,0.01,0.01,0.2,15.945,0.7,0,0.5,0,47703.0,0.0,7
7818798,1.0,[],100,1.7,0.5,1,3,0.01,0.01,0.68,15.945,0.44,0,0.5,0,10812.0,0.0,7
4286347,1.0,[],100,1.7,0.5,1,1,0.01,0.01,0.17,15.945,0.61,0,0.5,0,66855.0,0.0,7
5331196,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.61,15.945,0.43,0,0.5,0,8384.0,0.0,7
4302475,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.48,15.945,0.49,0,0.5,0,42465.0,0.0,7
7698426,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.6,15.945,0.43,0,0.5,0,3872.0,0.0,7
1818257,1.0,[],100,1.7,0.5,1,3,0.01,0.01,0.43,15.945,0.56,0,0.5,0,8509.0,0.0,7
9149230,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.52,15.945,0.39,0,0.5,0,4179.0,0.0,7
4450795,1.0,[],100,1.8,0.5,1,2,0.01,0.01,0.44,15.945,0.54,0,0.5,0,10395.0,0.0,7
8348751,1.0,[],100,1.8,0.5,1,1,0.01,0.01,0.19,15.945,0.42,0,0.5,0,15258.0,0.0,7
31913,1.0,[],100,1.9,0.5,1,3,0.01,0.01,0.55,15.945,0.58,0,0.5,0,26583.0,0.0,7
7823020,1.0,[],100,1.9,0.5,1,3,0.01,0.01,0.58,15.945,0.7,0,0.5,0,5319.0,0.0,7
4802657,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.42,15.945,0.39,0,0.5,0,3202.0,0.0,7
2760362,1.0376058041112455,[],100,1.9,0.5,1,2,0.01,0.01,0.39,15.945,12.18,0,0.0,0,33080.0,0.0,7
6354504,1.0,[],100,1.9,0.5,1,2,0.01,0.01,0.26,15.945,0.39,0,0.5,0,7892.0,0.0,7
8873535,1.0,[],100,1.9,0.5,1,3,0.01,0.01,0.54,15.945,0.88,0,1.5,0,6240.0,0.0,7
6145520,0.39669286221310834,[],100,1.9,0.5,1,3,0.01,0.01,0.64,15.945,0.58,0,1.0,0,12679.0,0.0,7
8464826,2.236515233416455e-06,[],100,1.9,0.5,1,6,0.001,0.0061214703952456795,0.61,15.945,14.09,0,2.0,0,41573672100.0,0.0,7
9653741,4.900484407219314e-06,[],100,1.1,0.5,1,7,0.001,0.0061214703952456795,0.69,15.945,12.03,0,2.5,0,808322411279.0,0.0,7
8894863,3.645286790545066e-08,"[(<tree.AND object at 0x7fa504b39f60>, 'D'), (<tree.AND object at 0x7fa504b3a350>, 'D')]",100,1.1,0.5,1,7,0.001,0.0061214703952456795,0.94,15.945,16.53,0,2.0,0,4690958161090.0,0.0,7
4761125,6.56045826440974e-07,"[(<tree.AND object at 0x7fbbb39b6470>, 'D'), (<tree.AND object at 0x7fbbb39b6590>, 'D')]",100,1.1,0.5,1,7,0.001,0.0061214703952456795,0.99,15.945,14.0,0,2.0,0,14204722016566.0,0.0,7
778512,0.4656494707789581,[],100,1.1,0.5,1,11,0.001,0.0061214703952456795,0.97,15.945,3.71,0,2.0,0,3748.0,0.0,7
8933786,0.34309762908029134,[],100,1.1,0.5,1,1,0.001,0.009125364822530298,0.16,15.945,14.2,0,0.0,0,5961180345673802.0,0.0,7
