ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
7971641,2.0091466238877903e-06,[],100,1.1,0.5,1,2,0.001,0.008960469254166475,0.13,6.98,4.47,0,1.0,0,1.371071873687097e+18,0.0,10
6173314,7.441040374499425e-08,[],100,1.1,0.5,1,9,0.001,0.008960469254166475,0.45,6.98,4.75,0,2.0,0,223574913559.0,0.0,10
9707845,0.012606644696554984,[],100,1.1,0.5,1,3,0.001,0.008960469254166475,0.21,6.98,5.22,0,0.0,0,3887289297.0,0.0,10
1758554,2.4246322669005314e-12,[],100,1.1,0.5,1,9,0.001,0.008960469254166475,0.36,6.98,0.27,0,1.0,0,2380176880513355.0,0.0,10
3617866,0.00011907564002499267,[],100,1.1,0.5,1,5,0.001,0.008960469254166475,0.23,6.98,3.55,0,1.0,0,25218617543903.0,0.0,10
2473740,0.03458221722057732,[],100,1.1,0.5,1,6,0.001,0.008960469254166475,0.26,6.98,5.31,0,2.0,0,3007713.0,0.0,10
9867468,0.010339059093780554,"[(<tree.NSEQ object at 0x7f3d49982800>, 'C')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.23,6.98,5.67,0,1.0,0,1015694291.0,0.0,10
1100774,0.645687406139721,[],100,1.1,0.5,1,7,0.001,0.008960469254166475,0.24,6.98,1.35,0,2.0,0,15963.0,0.0,10
1552693,0.048105270980747884,"[(<tree.AND object at 0x7ff581f41b70>, 'E')]",100,1.1,0.5,1,3,0.001,0.008960469254166475,0.2,6.98,2.07,0,1.0,0,61139687.0,0.0,10
4342837,0.0018814969553553008,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,4.5,0,0.0,0,1.5950568274873e+17,0.0,10
5351664,0.03958122667924093,[],100,1.1,0.5,1,3,0.001,0.008960469254166475,0.22,6.98,0.29,0,1.0,0,88050608.0,0.0,10
6454357,0.010335132869453261,[],100,1.1,0.5,1,6,0.001,0.008960469254166475,0.35,6.98,2.46,0,2.0,0,1343057.0,0.0,10
9083794,0.5159883225337757,"[(<tree.AND object at 0x7fe549c2a830>, 'E')]",100,1.1,0.5,1,7,0.001,0.008960469254166475,0.32,6.98,4.94,0,2.0,0,7635208020.0,0.0,10
5727274,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,0.19,0,0.5,0,33063066.0,0.0,10
297233,0.0008704115842203861,"[(<tree.AND object at 0x7f4311526830>, 'C')]",100,1.1,0.5,1,7,0.001,0.008960469254166475,0.25,6.98,4.25,0,2.0,0,27948209.0,0.0,10
2717032,0.06779756388921623,"[(<tree.AND object at 0x7f26aea429e0>, 'C')]",100,1.1,0.5,1,8,0.001,0.008960469254166475,0.32,6.98,4.11,0,2.0,0,5814040.0,0.0,10
557779,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,0.2,0,0.5,0,574741578.0,0.0,10
6099660,2.868013416857934e-07,"[(<tree.AND object at 0x7f69a736ae00>, 'E')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.3,6.98,4.21,0,2.0,0,1.8623850459143176e+16,0.0,10
9518531,1.390137392803865e-06,"[(<tree.AND object at 0x7f8fb3e768f0>, 'C')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.21,6.98,5.12,0,1.0,0,198514926034.0,0.0,10
4493943,0.00016938487012404426,[],100,1.1,0.5,1,4,0.001,0.008960469254166475,0.22,6.98,4.83,0,1.0,0,7567079988.0,0.0,10
