ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
1377569,0.14052317689759347,[],100,1.3,0.5,1,4,0.001,0.007473586158310573,0.74,15.32,15.38,0,2.0,0,400720.0,0.0,7
198049,0.12269192403855698,[],100,1.3,0.5,1,9,0.001,0.007473586158310573,1.12,12.57,3.71,0,1.0,0,53348.0,0.0,7
9220546,0.06632489399227683,[],100,1.3,0.8,1,11,0.001,0.007473586158310573,1.03,14.559999999999999,6.76,0,2.0,0,34063.0,0.0,25
9199829,0.08783622335521409,"[(<tree.AND object at 0x7fbee5045ba0>, 'A')]",100,1.3,0.8,1,3,0.001,0.007473586158310573,0.64,19.060000000000002,13.31,0,1.0,0,17213068.0,0.0,25
298161,0.0983287911914895,[],100,1.4,0.5,1,9,0.001,0.007473586158310573,0.82,17.65,4.71,0,1.0,0,143576.0,0.0,7
8963284,0.41146064536129373,[],100,1.5,0.5,1,9,0.001,0.007473586158310573,0.74,14.31,4.22,0,2.0,0,19316.0,0.0,7
4538000,0.02334215449419818,[],100,1.5,0.5,1,9,0.001,0.007473586158310573,0.94,16.57,36.25,0,2.0,0,1978566.0,0.0,7
7021045,0.4524470099719205,[],100,1.5,0.5,1,9,0.001,0.007473586158310573,1.12,15.8,0.68,0,1.0,0,14911.0,0.0,7
2410827,0.2259436789462513,[],100,1.3,0.9,1,4,0.001,0.007473586158310573,0.73,14.78,19.02,0,2.0,0,215383.0,0.0,25
8897512,0.06880182833219585,[],100,1.6,0.5,1,5,0.001,0.007473586158310573,0.48,16.7,10.85,0,2.0,0,362168.0,0.0,7
9464694,0.5308531931080263,[],100,1.6,0.5,1,6,0.001,0.007473586158310573,0.63,17.36,0.75,0,1.0,0,18634.0,0.0,7
204461,0.47920634553282954,[],100,1.6,0.5,1,9,0.001,0.007473586158310573,0.88,16.285,0.72,0,1.0,0,11231.0,0.0,7
4378317,0.6258355030027808,[],100,1.6,0.5,1,7,0.001,0.007473586158310573,0.62,13.899999999999999,0.72,0,1.0,0,14651.0,0.0,7
3689281,0.262416452567872,[],100,1.3,0.9,1,4,0.001,0.007473586158310573,0.85,14.265,17.87,0,2.0,0,547911.0,0.0,25
7283207,0.9501234534566,[],100,1.7,0.5,1,9,0.001,0.007473586158310573,1.01,15.35,0.88,0,1.0,0,11881.0,0.0,7
5697284,1.0,[],100,1.3,0.9,1,8,0.001,0.007473586158310573,1.06,15.01,1.14,0,1.5,0,309940.0,0.0,25
423839,0.571274443885046,[],100,1.7,0.5,1,9,0.001,0.007473586158310573,1.11,21.59,4.08,0,2.0,0,13783.0,0.0,7
517858,0.8430751952318978,[],100,1.7,0.5,1,9,0.001,0.007473586158310573,0.82,14.29,0.66,0,1.0,0,3019.0,0.0,7
2737246,0.8584378609996155,[],100,1.8,0.5,1,9,0.001,0.007473586158310573,0.95,16.39,0.58,0,1.0,0,3943.0,0.0,7
3779049,0.0011617637458950813,[],100,1.8,0.5,1,9,0.001,0.007473586158310573,0.66,16.310000000000002,44.57,0,2.0,0,38599348.0,0.0,7
6845128,0.846646136320063,[],100,1.9,0.5,1,9,0.001,0.007473586158310573,0.86,17.17,1.47,0,2.5,0,6140.0,0.0,7
364321,0.9624245971752998,[],100,1.9,0.5,1,9,0.001,0.007473586158310573,1.0,14.8,0.75,0,1.0,0,4862.0,0.0,7
1452276,0.2613060680869233,[],100,1.3,1.0,1,4,0.001,0.007473586158310573,0.68,17.549999999999997,43.74,0,1.0,0,161462.0,0.0,25
2193578,0.10175419522313484,[],100,1.9,0.5,1,5,0.001,0.007473586158310573,0.52,13.98,3.92,0,2.0,0,231531.0,0.0,7
7738305,1.0,[],100,1.9,0.5,1,4,0.001,0.007473586158310573,0.6,11.030000000000001,0.76,0,0.5,0,437342.0,0.0,7
8361506,5.995358253948596e-11,[],100,1.3,1.0,1,3,0.01,0.01,0.67,16.05,15.41,0,2.0,0,845542889869457.0,0.0,25
6169027,1.5467653025716282e-05,[],100,1.3,1.0,1,5,0.01,0.01,0.73,12.78,12.76,0,0.0,0,1492140337104.0,0.0,25
5431427,0.4169279493269992,[],100,1.1,0.5,1,5,0.01,0.01,0.87,18.15,1.17,0,1.0,0,15156.0,0.0,7
6628085,1.0287725252990585,[],100,1.1,0.5,1,1,0.01,0.01,0.24,15.945,13.06,0,0.0,0,9064863.0,0.0,7
5158861,0.20658844550518835,[],100,1.1,0.5,1,1,0.01,0.01,0.17,15.945,13.15,0,0.0,0,7328049714.0,0.0,7
1767771,0.03853445405495939,[],100,1.3,0.5,1,3,0.01,0.01,0.48,15.945,0.67,0,1.0,0,83589.0,0.0,10
8053909,0.009063002314235616,[],100,1.2,0.5,1,3,0.01,0.01,0.46,15.945,13.15,0,0.0,0,5135605.0,0.0,7
8679395,1.0730332335919106,[],100,1.1,0.5,1,1,0.01,0.01,0.17,15.945,13.73,0,0.0,0,106609.0,0.0,7
808793,0.14320611251911658,[],100,1.2,0.5,1,1,0.01,0.01,0.18,15.945,14.95,0,0.0,0,458016544505.0,0.0,7
5707856,0.01738730761690767,[],100,1.2,0.5,1,1,0.01,0.01,0.18,15.945,14.23,0,0.0,0,587706402.0,0.0,7
8373707,1.3346115691368519e-08,[],100,1.2,0.5,1,1,0.01,0.01,0.16,15.945,14.13,0,0.0,0,1.939819502444709e+16,0.0,7
1667520,1.0,[],100,1.2,0.5,1,1,0.01,0.01,0.23,15.945,0.41,0,0.5,0,84151530.0,0.0,7
836390,1.0,[],100,1.3,0.5,1,2,0.01,0.01,0.36,15.945,0.44,0,0.5,0,18181.0,0.0,10
7904293,0.05132221741132255,[],100,1.2,0.5,1,2,0.01,0.01,0.33,15.945,13.26,0,0.0,0,307607052.0,0.0,7
214337,0.1364878509798146,"[(<tree.AND object at 0x7fcc478d97b0>, 'D')]",100,1.2,0.5,1,1,0.01,0.01,0.17,15.945,12.94,0,1.0,0,15116749.0,0.0,7
4318152,0.2598788646091318,"[(<tree.AND object at 0x7fdd04cf97b0>, 'B')]",100,1.3,0.5,1,1,0.01,0.01,0.17,15.945,14.08,0,1.0,0,483776.0,0.0,7
1355043,1.0,[],100,1.3,0.5,1,1,0.01,0.01,0.17,15.945,0.42,0,0.5,0,95094.0,0.0,7
8603977,0.8451913997239776,[],100,1.3,0.5,1,1,0.01,0.01,0.24,15.945,14.05,0,0.0,0,550680.0,0.0,7
7677441,0.0017026126353740308,[],100,1.3,0.5,1,2,0.01,0.01,0.38,15.945,13.1,0,0.0,0,161396077.0,0.0,7
8247883,0.6556839691602161,[],100,1.3,0.5,1,1,0.01,0.01,0.18,15.945,13.14,0,0.0,0,64981.0,0.0,7
2635855,1.0,[],100,1.4,0.5,1,3,0.01,0.01,0.62,15.945,0.55,0,0.5,0,6133.0,0.0,7
9035386,0.1594009599409267,[],100,1.4,0.5,1,2,0.01,0.01,0.34,15.945,16.44,0,0.0,0,216680.0,0.0,7
5822773,1.0,[],100,1.4,0.5,1,3,0.01,0.01,0.53,15.945,0.58,0,0.5,0,12260.0,0.0,7
9907403,1.0147418686030043,[],100,1.4,0.5,1,4,0.01,0.01,0.73,15.945,13.74,0,1.5,0,319779.0,0.0,7
6886303,0.055865397619422115,"[(<tree.AND object at 0x7f1e46301b10>, 'B')]",100,1.4,0.5,1,1,0.01,0.01,0.16,15.945,14.13,0,2.5,0,646108.0,0.0,7
6046795,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.83,15.945,0.62,0,0.5,0,77177.0,0.0,7
9954292,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.53,15.945,0.45,0,0.5,0,9543.0,0.0,7
5488866,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.65,15.945,0.42,0,0.5,0,7039.0,0.0,7
1586292,1.0,[],100,1.5,0.5,1,2,0.01,0.01,0.3,15.945,0.38,0,0.5,0,12087.0,0.0,7
7258989,1.0,[],100,1.5,0.5,1,1,0.01,0.01,0.16,15.945,0.64,0,0.5,0,19220.0,0.0,7
9100519,1.0,[],100,1.5,0.5,1,3,0.01,0.01,0.68,15.945,0.8,0,0.5,0,55542.0,0.0,7
1081624,1.0,[],100,1.6,0.5,1,3,0.01,0.01,0.64,15.945,0.48,0,0.5,0,4629.0,0.0,7
1098797,1.0,[],100,1.6,0.5,1,2,0.01,0.01,0.28,15.945,0.46,0,0.5,0,6939.0,0.0,7
6601899,1.0,[],100,1.6,0.5,1,2,0.01,0.01,0.38,15.945,0.55,0,0.5,0,11655.0,0.0,7
4728921,1.0,[],100,1.6,0.5,1,2,0.01,0.01,0.33,15.945,0.44,0,0.5,0,29324.0,0.0,7
4072180,1.0,[],100,1.6,0.5,1,3,0.01,0.01,0.61,15.945,0.39,0,0.5,0,3828.0,0.0,7
5281068,1.0,[],100,1.7,0.5,1,2,0.01,0.01,0.33,15.945,0.4,0,0.5,0,15279.0,0.0,7
9920178,0.5056012200288063,[],100,1.6,0.5,1,3,0.01,0.01,0.43,15.945,0.74,0,1.0,0,11803.0,0.0,7
7280042,1.0,[],100,1.7,0.5,1,1,0.01,0.01,0.22,15.945,0.4,0,0.5,0,92822.0,0.0,7
1894828,1.0,[],100,1.7,0.5,1,3,0.01,0.01,0.62,15.945,0.38,0,0.5,0,9921.0,0.0,7
4660159,1.0025346400811084,[],100,1.7,0.5,1,3,0.01,0.01,0.55,15.945,0.87,0,1.5,0,5918.0,0.0,7
1494717,1.0,[],100,1.7,0.5,1,3,0.01,0.01,0.45,15.945,0.41,0,0.5,0,22792.0,0.0,7
4082143,0.71845376,[],100,1.7,0.5,1,3,0.01,0.01,0.47,15.945,0.61,0,1.0,0,8750.0,0.0,7
8725476,1.0,[],100,1.7,0.5,1,3,0.01,0.01,0.57,15.945,0.52,0,0.5,0,7597.0,0.0,7
3482109,0.10598607553533577,[],100,1.8,0.5,1,3,0.01,0.01,0.48,15.945,12.84,0,0.0,0,470826.0,0.0,7
5254790,0.24483044970068624,[],100,1.8,0.5,1,2,0.01,0.01,0.29,15.945,12.8,0,0.0,0,219168.0,0.0,7
2536498,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.49,15.945,0.41,0,0.5,0,8300.0,0.0,7
7960781,1.0,[],100,1.7,0.5,1,2,0.01,0.01,0.41,15.945,0.42,0,0.5,0,21843.0,0.0,7
2167265,1.0,[],100,1.8,0.5,1,3,0.01,0.01,0.57,15.945,0.74,0,1.5,0,5461.0,0.0,7
4310040,0.7526133768352367,[],100,1.8,0.5,1,3,0.01,0.01,0.62,15.945,0.71,0,1.0,0,12260.0,0.0,7
5183699,1.0,[],100,1.8,0.5,1,2,0.01,0.01,0.37,15.945,0.58,0,0.5,0,23541.0,0.0,7
