ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3947138,0.04558607491301422,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.06,6.98,3.53,0,0.0,0,6.606287292971292e+20,0.0,10
8570733,1.042592820024356e-08,[],100,1.1,0.5,1,9,0.001,0.008960469254166475,0.39,6.98,2.15,0,2.0,0,1191463124959.0,0.0,10
4395942,9.66407049228406e-07,[],100,1.1,0.5,1,2,0.001,0.008960469254166475,0.13,6.98,4.6,0,0.0,0,20992498984975.0,0.0,10
538724,0.00047246786983699655,"[(<tree.AND object at 0x7f3f4df571c0>, 'C')]",100,1.1,0.5,1,7,0.001,0.008960469254166475,0.26,6.98,5.62,0,2.0,0,29387553008689.0,0.0,10
3476949,0.014233700131086095,"[(<tree.AND object at 0x7f63742e4ee0>, 'E')]",100,1.1,0.5,1,3,0.001,0.008960469254166475,0.22,6.98,4.53,0,1.0,0,911764457074.0,0.0,10
6873160,1.3116024913520622e-12,[],100,1.1,0.5,1,5,0.001,0.008960469254166475,0.24,6.98,5.14,0,1.0,0,4.454924443227857e+18,0.0,10
5549736,3.011543183423522e-14,[],100,1.1,0.5,1,7,0.001,0.008960469254166475,0.27,6.98,4.6,0,2.0,0,4.303386472275403e+17,0.0,10
3932481,3.891620469654922e-07,[],100,1.1,0.5,1,8,0.001,0.008960469254166475,0.37,6.98,2.71,0,2.0,0,31402361757.0,0.0,10
1022031,9.858985589247116e-05,"[(<tree.AND object at 0x7f970285e980>, 'D'), (<tree.AND object at 0x7f970285e410>, 'D')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.35,6.98,4.65,0,2.0,0,1013741486.0,0.0,10
7429394,0.00021722378209391774,"[(<tree.AND object at 0x7f01928aa860>, 'B')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.22,6.98,4.65,0,1.0,0,10628630743660.0,0.0,10
6541033,3.5765673271161525e-14,[],100,1.1,0.5,1,6,0.001,0.008960469254166475,0.3,6.98,5.17,0,1.0,0,7.685482678571477e+19,0.0,10
9422878,2.725907350831622e-10,[],100,1.1,0.5,1,3,0.001,0.008960469254166475,0.22,6.98,4.67,0,1.0,0,5.346030542476563e+18,0.0,10
3907793,0.00622061325386254,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,4.95,0,0.0,0,74481043121.0,0.0,10
4597539,0.0011527968987978684,[],100,1.1,0.5,1,3,0.001,0.008960469254166475,0.21,6.98,1.2,0,1.0,0,14717115040.0,0.0,10
3449250,1.013204165266315,[],100,1.1,0.5,1,2,0.001,0.008960469254166475,0.13,6.98,4.8,0,0.0,0,16144754.0,0.0,10
3127353,0.007571112056981299,[],100,1.1,0.5,1,7,0.001,0.008960469254166475,0.27,6.98,4.45,0,2.0,0,18003092.0,0.0,10
4106518,0.001414622911860811,"[(<tree.AND object at 0x7f17ed1d65f0>, 'E')]",100,1.1,0.5,1,6,0.001,0.008960469254166475,0.3,6.98,5.0,0,2.0,0,108304427645.0,0.0,10
5649677,8.441762515606693e-10,[],100,1.1,0.5,1,6,0.001,0.008960469254166475,0.29,6.98,0.28,0,1.0,0,66964401306364.0,0.0,10
9956968,0.993464950220567,[],100,1.1,0.5,1,4,0.001,0.008960469254166475,0.22,6.98,0.3,0,1.0,0,13368302753.0,0.0,10
123056,3.3211950376786353e-05,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,5.32,0,0.0,0,5774984179612.0,0.0,10
2760874,0.00012494913040100026,[],100,1.1,0.5,1,9,0.001,0.008960469254166475,0.4,6.98,2.77,0,2.0,0,145793063.0,0.0,10
3396907,0.0011517360210593938,"[(<tree.AND object at 0x7fd266b1d990>, 'A')]",100,1.1,0.5,1,3,0.001,0.008960469254166475,0.21,6.98,2.6,0,2.0,0,199778023.0,0.0,10
422015,3.2424142251791785e-08,"[(<tree.AND object at 0x7fd4436c6800>, 'D'), (<tree.AND object at 0x7fd4436c6860>, 'D')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.26,6.98,5.07,0,2.0,0,9770682765905270.0,0.0,10
6805798,0.41250596357702424,"[(<tree.NSEQ object at 0x7f95474d6800>, 'B')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.21,6.98,1.98,0,1.0,0,23763245.0,0.0,10
6595954,4.913267675597291e-09,"[(<tree.AND object at 0x7f348dc4e9b0>, 'E'), (<tree.AND object at 0x7f348dc4ea70>, 'E')]",100,1.1,0.5,1,5,0.001,0.008960469254166475,0.28,6.98,5.32,0,2.0,0,15022698888060.0,0.0,10
9644725,2.751146134946668e-08,"[(<tree.AND object at 0x7fdf1775a620>, 'B')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.23,6.98,4.41,0,2.0,0,5.616176800139769e+17,0.0,10
9558036,1.0,[],100,1.1,0.5,1,1,0.001,0.008960469254166475,0.07,6.98,0.18,0,0.5,0,5113696813.0,0.0,10
4087451,0.0037585168834826615,"[(<tree.NSEQ object at 0x7fda92902590>, 'A')]",100,1.1,0.5,1,4,0.001,0.008960469254166475,0.22,6.98,5.01,0,1.0,0,6360752852851420.0,0.0,10
