ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
3141189,1.0,[],100,1.3,0.5,10,15,0.1,0.050728083672821875,0.46,6.79,1.08,0,0.5,0,5034.0,0.0,6
7410104,1.0,[],100,1.3,0.5,10,15,0.1,0.07631958571020342,0.41,6.79,1.08,0,0.5,0,5034.0,0.0,6
49397,1.0,[],100,1.3,0.5,10,14,0.1,0.0953135184752217,0.39,6.79,1.31,0,0.5,0,5034.0,0.0,6
1439186,1.0,[],100,1.3,0.5,10,25,0.1,0.06743742916620044,0.59,6.79,1.11,0,1.5,0,5034.0,0.0,6
2137414,1.0,[],100,1.3,0.5,10,40,0.1,0.08483550562662762,1.49,6.79,1.61,0,1.5,0,5034.0,0.0,6
2318499,1.0,[],100,1.3,0.5,10,10,0.1,1.0,0.51,6.79,1.15,0,0.5,0,5034.0,0.0,6
8096180,1.0,[],100,1.3,0.5,10,9,0.1,0.09423885620534256,0.52,6.79,0.7,0,0.5,0,5034.0,0.0,6
6554314,1.0,[],100,1.3,0.5,10,21,0.1,0.07910607759988644,0.61,6.79,1.36,0,1.5,0,5034.0,0.0,6
974769,1.0,[],100,1.3,0.5,10,19,0.1,0.08813286359565976,0.71,6.79,1.34,0,1.5,0,5034.0,0.0,6
4849183,1.0,[],100,1.3,0.5,10,27,0.1,0.08573479839540818,0.54,6.79,1.36,0,1.5,0,5034.0,0.0,6
756396,1.0,[],100,1.3,0.5,10,22,0.1,0.04831518515970278,0.57,6.79,1.28,0,1.5,0,5034.0,0.0,6
6195120,1.0,[],100,1.3,0.5,10,9,0.1,0.09817145480310424,0.14,6.79,1.02,0,0.5,0,5034.0,0.0,6
4502517,1.0,[],100,1.3,0.5,10,47,0.1,0.07763349415968451,1.31,6.79,1.13,0,2.5,0,5034.0,0.0,6
7635907,1.0,[],100,1.3,0.5,10,10,0.1,0.09735976374227802,0.17,6.79,1.1,0,0.5,0,5034.0,0.0,6
5220877,1.0,[],100,1.3,0.5,10,14,0.1,0.07838759248165059,0.34,6.79,1.15,0,0.5,0,5034.0,0.0,6
3994752,1.0,[],100,1.3,0.5,10,10,0.1,1.0,0.39,6.79,0.85,0,0.5,0,5034.0,0.0,6
8768625,1.0,[],100,1.3,0.5,10,13,0.1,0.05779481388950822,0.24,6.79,1.11,0,0.5,0,5034.0,0.0,6
88673,1.0,[],100,1.3,0.5,10,31,0.1,0.058926236198244136,0.87,6.79,1.35,0,1.5,0,5034.0,0.0,6
