ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
376817,0.2515903744010161,[],100,1.3,0.5,5,5,0.1,0.09501344807302452,0.3,13.435,17.8,0,0.5,0,1108544.0,0.0,6
5829067,0.23204130823855434,[],100,1.3,0.8,5,8,0.1,0.04585958237911673,0.98,13.435,15.29,0,0.5,0,1108544.0,0.0,25
6117245,0.000563289729752293,"[(<tree.SEQ object at 0x7fe46a435510>, 'I'), (<tree.SEQ object at 0x7fe46a4357b0>, 'I')]",100,1.3,0.8,5,9,0.1,0.07675693502083668,1.32,16.03,72.26,0,2.0,0,26221482855.0,0.0,25
2350728,3.314374851471291e-07,[],100,1.3,0.8,5,7,0.1,0.07798381664688439,1.2,14.45,40.52,0,0.5,0,5322641762192.0,0.0,25
2237161,1.0,[],100,1.3,0.8,5,6,0.1,0.07388562095680136,0.7,14.03,2.36,0,0.5,0,48030252.0,0.0,25
8809150,1.0,[],100,1.3,0.8,5,5,0.1,0.07470437575193313,0.92,14.03,1.83,0,0.5,0,25808544.0,0.0,25
2933894,0.9829811108671355,[],100,1.3,0.8,5,5,0.1,0.08066831257136339,0.69,14.03,53.5,0,0.5,0,25849572.0,0.0,25
9396450,1.1616647591595666,[],100,1.5,0.5,5,8,0.1,0.07700885977700411,1.0,18.75,13.87,0,0.5,0,141546.0,0.0,25
1458089,0.7451489951489951,[],100,1.5,0.5,5,13,0.1,0.0759950513953425,1.49,17.34,13.96,0,0.5,0,63492.0,0.0,25
5188785,0.3283110125569179,[],100,1.5,0.5,5,7,0.1,0.08037965696954433,1.27,14.135000000000002,14.77,0,2.0,0,85689.0,0.0,25
7525646,0.8761844847245704,[],100,1.5,0.5,5,9,0.1,0.07982615579543524,1.2,12.405000000000001,7.73,0,0.5,0,152598.0,0.0,25
8960622,0.07451272228783445,[],100,1.5,0.5,5,32,0.1,0.07622330987490325,2.82,16.759999999999998,14.91,0,3.0,0,1181657.0,0.0,25
6497607,0.09508528890140588,[],100,1.5,0.5,5,16,0.1,0.0784081347764724,1.55,15.129999999999999,32.58,0,0.5,0,6568850.0,0.0,25
4721584,0.20845820123370437,[],100,1.5,0.5,5,5,0.1,0.07336569270490177,0.43,12.835,62.69,0,0.5,0,4541514459.0,0.0,25
3670196,0.5024280159887449,[],100,1.3,0.8,5,23,0.1,0.07598516811323958,1.89,17.29,63.65,0,0.5,0,3996061.0,0.0,25
6492145,0.9263645609227512,[],100,1.5,0.5,5,6,0.1,0.07995413063205352,0.69,15.875,70.04,0,0.0,0,1013751.0,0.0,25
1568036,0.0015779618676988604,"[(<tree.SEQ object at 0x7ffad2783400>, 'K')]",100,1.6,0.5,5,22,0.1,0.08334780646732554,1.48,12.030000000000001,58.78,0,1.0,0,6980193651.0,0.0,25
4880869,4.7210792960775435e-05,[],100,1.3,0.8,5,9,0.1,0.07572055001316336,1.16,15.280000000000001,16.94,0,1.0,0,1088245788414.0,0.0,25
4495328,0.8728360892712337,[],100,1.6,0.5,5,24,0.1,0.07754172243255202,1.76,13.96,18.47,0,1.5,0,340356.0,0.0,25
4669923,0.02180642972759999,[],100,1.3,0.8,5,43,0.1,0.07736350738930234,3.69,14.61,33.46,0,2.5,0,5728363.0,0.0,25
843177,1.0,[],100,1.6,0.5,5,14,0.1,0.08271965971140821,1.29,13.129999999999999,1.79,0,1.5,0,31283.0,0.0,25
4546108,0.03675384916979675,[],100,1.6,0.5,5,18,0.1,0.0790316967089637,1.56,13.125,63.53,0,0.5,0,25092229.0,0.0,25
8757515,0.4090592262151933,[],100,1.6,0.5,5,9,0.1,0.07444783232167365,0.84,13.219999999999999,13.62,0,0.5,0,674296.0,0.0,25
2632844,1.1389655099124207,[],100,1.3,0.8,5,5,0.1,0.0855168345918349,0.56,13.219999999999999,83.72,0,0.5,0,195257550.0,0.0,25
1993515,0.015389913379933706,[],100,1.6,0.5,5,73,0.1,0.07490468030333451,5.28,14.43,84.37,0,0.5,0,772739307.0,0.0,25
350126,0.9882921872109521,[],100,1.3,0.8,5,10,0.1,0.07606172339231734,1.6,17.2,11.79,0,1.0,0,104999.0,0.0,25
2292852,0.5050390894029554,[],100,1.6,0.5,5,19,0.1,0.07652057832486475,2.73,17.275,67.7,0,1.0,0,20285716.0,0.0,25
5839681,0.7982611045170753,[],100,1.3,0.8,5,5,0.1,0.0790707330562952,0.91,14.235,50.54,0,0.5,0,932661.0,0.0,25
6377122,1.0,[],100,1.3,0.8,5,15,0.1,0.07590502049855752,1.51,13.059999999999999,1.73,0,1.5,0,81468.0,0.0,25
2422485,0.0016543608351583916,[],100,1.3,0.8,5,9,0.1,0.07539003194938448,1.41,13.095,36.2,0,0.5,0,1591684803.0,0.0,25
3212122,1.0,[],100,1.6,0.5,5,7,0.1,0.07857624421613935,0.74,16.71,2.03,0,1.5,0,6448788.0,0.0,25
6696386,1.000326872160298,[],100,1.6,0.5,5,14,0.1,0.07721487558451604,2.16,16.04,2.44,0,0.5,0,1713208.0,0.0,25
1486910,0.36369093742142966,[],100,1.6,0.5,5,7,0.1,0.07713729633697891,0.93,12.08,18.72,0,3.5,0,239429.0,0.0,25
7236927,0.5585536227913984,[],100,1.6,0.5,5,25,0.1,0.07717786404285173,1.76,15.08,11.82,0,2.5,0,94913.0,0.0,25
4465697,0.4786733645249793,[],100,1.6,0.5,5,48,0.1,0.0754355541335461,4.6,13.165,2.66,0,2.0,0,56228.0,0.0,25
2575762,1.0,[],100,1.6,0.5,5,12,0.1,0.07995687745248867,1.25,14.065000000000001,1.84,0,1.5,0,15237.0,0.0,25
2827830,1.3613406593406594,[],100,1.6,0.5,5,12,0.1,0.08237743434319467,0.79,14.870000000000001,15.27,0,1.5,0,136500.0,0.0,25
6179325,2.1620887721402834e-11,[],100,1.7,0.5,5,12,0.1,0.0796702360008518,1.13,18.34,49.78,0,0.5,0,5.493645845189807e+16,0.0,25
1771380,0.3743085726481961,[],100,1.3,0.8,5,17,0.1,0.07454868897597254,2.11,13.85,10.44,0,2.5,0,128411.0,0.0,25
1371387,0.6240687104179944,[],100,1.7,0.5,5,18,0.1,0.08353286978390675,2.45,14.415,2.64,0,1.0,0,42574.0,0.0,25
8014839,0.41913261092609466,[],100,1.7,0.5,5,29,0.1,0.08112482797581588,2.6,13.655,4.24,0,2.5,0,68942.0,0.0,25
7397130,1.0,[],100,1.7,0.5,5,34,0.1,0.0772573578071073,2.43,12.0,2.24,0,0.5,0,18303.0,0.0,25
143336,0.00023635881397481785,[],100,1.7,0.5,5,19,0.1,0.0825939772053276,2.82,15.219999999999999,56.98,0,3.0,0,22785743217.0,0.0,25
2541885,0.15580229330030862,[],100,1.7,0.5,5,39,0.1,0.07870493925361657,2.9,16.130000000000003,11.65,0,1.5,0,171611.0,0.0,25
818608,0.7615073623146644,[],100,1.7,0.5,5,25,0.1,0.07457395760382092,1.82,16.130000000000003,1.78,0,2.0,0,17366.0,0.0,25
