ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6907440,0.1794293629255015,[],100,1.4,0.5,1,1,0.1,0.05288083296684165,0.07,6.65,2.67,0,0.0,0,248354.0,0.018743406588981857,4
820349,0.036657303033865,[],100,1.4,0.5,1,1,0.1,0.5288805539223747,0.07,6.949999999999999,3.35,0,0.0,0,833722.0,0.003992997665888629,4
3874526,1.0,[],100,1.4,0.5,1,1,0.1,0.5434402099153572,0.07,7.0600000000000005,0.15,0,0.5,0,3137.0,1.5371310168951229,4
7220922,1.0,[],100,1.4,0.5,1,1,0.1,0.5407621622924306,0.07,6.97,0.13,0,0.5,0,8676.0,1.4074965421853387,4
3648968,1.0,[],100,1.4,0.5,1,1,0.1,0.08196674066575285,0.07,6.73,0.15,0,0.5,0,57712.0,1.5629711325201,4
3816809,0.16529243239466146,[],100,1.4,0.5,1,1,0.1,0.055979610014702044,0.07,7.23,2.16,0,0.0,0,28622.0,0.018187408287331425,4
9803935,1.0,[],100,1.4,0.5,1,1,0.1,0.08990502810049439,0.06,6.77,0.14,0,0.5,0,169190.0,1.4153417459660735,4
5384149,1.0,[],100,1.4,0.5,1,3,0.1,0.07798572407386505,0.24,7.0,0.19,0,0.5,0,1314.0,1.230593607305936,4
2058756,1.0,[],100,1.4,0.5,1,2,0.1,0.07396876164589097,0.16,7.08,0.19,0,0.5,0,4025.0,0.8073838509316771,4
4067850,1.0,[],100,1.4,0.5,1,1,0.1,1.0,0.07,7.0,0.14,0,0.5,0,1177.0,1.5879354290569243,4
8134192,1.0,[],100,1.4,0.5,1,1,0.1,1.0,0.09,7.1,0.17,0,0.5,0,28630.0,1.4428152287809988,4
9022884,1.0,[],100,1.4,0.5,1,1,0.1,0.5495931774734353,0.06,6.71,0.12,0,0.5,0,1377.0,1.3839070442992012,4
9146745,1.0,[],100,1.4,0.5,1,1,0.1,1.0,0.06,6.75,0.19,0,0.5,0,1239.0,1.536319612590799,4
9832666,1.0,[],100,1.4,0.5,1,2,0.1,1.0,0.13,6.869999999999999,0.15,0,0.5,0,520.0,1.466480769230769,4
2491257,0.016895741302604347,"[(<tree.AND object at 0x7f9739564850>, 'B')]",100,1.4,0.5,1,2,0.1,0.537722785237428,0.15,6.869999999999999,2.54,0,1.0,0,302012.0,0.006232798696740527,4
245633,0.5599598034836981,[],100,1.4,0.5,1,1,0.1,0.5493279581640471,0.06,7.1899999999999995,2.44,0,0.0,0,8956.0,0.07064761054041982,4
3357096,1.0,[],100,1.4,0.5,1,3,0.1,0.07141014155736164,0.22,7.1,0.21,0,0.5,0,2203.0,1.2988197911938264,4
7930814,1.0,[],100,1.4,0.5,1,2,0.1,0.058442942015500474,0.14,7.13,0.17,0,0.5,0,333.0,1.563033033033033,4
1121278,0.4227493569591312,[],100,1.4,0.5,1,2,0.1,0.05179507641197559,0.13,7.0,2.03,0,0.0,0,17495.0,0.04241211774792798,4
9742280,0.5316294944043178,[],100,1.4,0.5,1,1,0.1,0.07108724145805485,0.08,7.09,2.31,0,0.0,0,12599.0,0.05120961981109611,4
2235691,1.0,[],100,1.4,0.5,1,1,0.1,0.06158680772274838,0.07,6.8,0.16,0,0.5,0,9174.0,1.3586657946370175,4
9629772,1.0,[],100,1.4,0.5,1,1,0.1,0.08912514170398592,0.07,7.16,0.15,0,0.5,0,74353.0,1.4779723750218554,4
7567026,1.0,[],100,1.4,0.5,1,2,0.1,0.5328294851285399,0.13,6.949999999999999,0.18,0,0.5,0,936.0,1.254861111111111,4
4884874,1.0,[],100,1.4,0.5,1,1,0.1,0.07089228304334037,0.06,6.92,0.14,0,0.5,0,1719.0,1.4290866783013378,4
123094,1.182767551047783,[],100,1.4,0.5,1,2,0.1,0.05186390748096278,0.12,7.07,0.22,0,1.0,0,5111.0,1.621216982977891,4
158711,1.0,[],100,1.4,0.5,1,2,0.1,0.09678981438004079,0.13,7.0600000000000005,0.18,0,0.5,0,492.0,1.1766666666666667,4
6836687,1.0,[],100,1.4,0.5,1,1,0.1,0.05592615937026103,0.07,7.1,0.15,0,0.5,0,1575.0,1.4876190476190476,4
3290302,1.0317935812921166,[],100,1.4,0.5,1,1,0.1,0.04872765194060192,0.06,6.93,3.39,0,0.0,0,1010141.0,0.1346221864076401,4
2879862,1.0,[],100,1.4,0.5,1,2,0.1,0.06506142941108373,0.13,6.85,0.18,0,0.5,0,1344.0,1.4678571428571427,4
8551784,0.033681998334430634,[],100,1.4,0.5,1,1,0.1,0.06755768530524867,0.07,7.11,2.31,0,0.0,0,229351.0,0.003999066932343875,4
1515467,0.9339427500659739,[],100,1.4,0.5,1,2,0.1,0.5464028406164485,0.13,7.17,1.13,0,1.0,0,4330.0,0.14240646651270208,4
4300520,1.0,[],100,1.4,0.5,1,1,0.1,0.07525317379552743,0.07,6.71,0.16,0,0.5,0,2012.0,1.497410536779324,4
