ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
4280497,7.371201242211524e-07,[],100,1.4,0.5,10,9,0.1,0.04585958237911673,0.47,17.34,91.53,0,0.5,0,5596736358757.0,0.0,25
6274530,0.02604419665415936,[],100,1.5,0.5,5,24,0.1,0.07675693502083668,1.81,16.03,26.5,0,1.0,0,1564883.0,0.0,25
8244775,0.03981383134329671,[],100,1.5,0.5,5,22,0.1,0.07675693502083668,1.99,15.24,40.14,0,2.0,0,986236675.0,0.0,25
3537214,1.8481918298422294e-07,[],100,1.5,0.5,5,24,0.1,0.07798381664688439,2.43,14.45,38.71,0,1.5,0,5322641654864.0,0.0,25
3572854,0.19751924261527445,[],100,1.5,0.5,5,6,0.1,0.08066831257136339,0.89,14.03,53.57,0,1.0,0,29065405.0,0.0,25
9079678,0.4475982664943978,[],100,1.5,0.5,5,5,0.1,0.08066831257136339,0.69,14.760000000000002,15.55,0,0.5,0,1651682.0,0.0,25
17161,1.1616647591595666,[],100,1.5,0.5,5,8,0.1,0.0759950513953425,1.0,18.75,13.83,0,0.5,0,141546.0,0.0,25
2653943,0.6629791800150195,[],100,1.5,0.5,5,15,0.1,0.0759950513953425,1.11,17.34,1.94,0,1.5,0,63492.0,0.0,25
7825246,0.4865565101343582,"[(<tree.AND object at 0x7f7312ba6c50>, 'C')]",100,1.5,0.5,5,29,0.1,0.08037965696954433,2.9,15.219999999999999,23.65,0,1.5,0,145531.0,0.0,25
9347915,0.00645141950782462,[],100,1.5,0.5,5,9,0.1,0.07953635137959361,1.31,15.17,85.9,0,0.5,0,110620771.0,0.0,25
6728836,0.20845820123370437,[],100,1.5,0.5,5,5,0.1,0.07361932875790289,0.43,12.835,62.78,0,0.5,0,4541514459.0,0.0,25
3498849,0.5024280159887449,[],100,1.5,0.5,5,23,0.1,0.07598516811323958,1.89,17.29,63.66,0,0.5,0,3996061.0,0.0,25
2555825,0.9263645609227512,[],100,1.5,0.5,5,6,0.1,0.07995413063205352,0.69,15.875,69.83,0,0.0,0,1013751.0,0.0,25
8333779,0.0015779618676988604,"[(<tree.SEQ object at 0x7fb880847370>, 'K')]",100,1.6,0.5,5,22,0.1,0.07572055001316336,1.48,12.030000000000001,58.46,0,1.0,0,6980193651.0,0.0,25
5379819,4.7210792960775435e-05,[],100,1.3,0.8,5,9,0.1,0.07754172243255202,1.16,15.280000000000001,16.05,0,1.0,0,1088245788414.0,0.0,25
2989226,0.8728360892712337,[],100,1.6,0.5,5,24,0.1,0.07736350738930234,1.76,13.96,17.94,0,1.5,0,340356.0,0.0,25
2278193,0.02180642972759999,[],100,1.6,0.5,5,36,0.1,0.07736350738930234,4.46,14.61,32.97,0,2.5,0,5728363.0,0.0,25
1951545,1.0,[],100,1.6,0.5,5,14,0.1,0.08271965971140821,1.29,13.129999999999999,1.75,0,1.5,0,31283.0,0.0,25
8563252,0.17456581897880039,[],100,1.6,0.5,5,5,0.1,0.0790316967089637,0.77,13.57,34.21,0,0.5,0,3215767.0,0.0,25
6655547,0.3792679520570404,[],100,1.6,0.5,5,21,0.1,0.0790316967089637,1.33,12.36,11.39,0,1.5,0,234732.0,0.0,25
7669970,0.12383426665178156,[],100,1.6,0.5,5,9,0.1,0.0855168345918349,0.84,13.219999999999999,21.18,0,2.0,0,748373.0,0.0,25
2425462,1.0116103708294597,[],100,1.6,0.5,5,6,0.1,0.0855168345918349,1.05,16.84,2.03,0,0.5,0,48405.0,0.0,25
9369581,0.43192650857008685,[],100,1.6,0.5,5,5,0.1,0.0855168345918349,0.43,13.96,11.44,0,0.5,0,170360.0,0.0,25
396264,0.1833444828734938,[],100,1.6,0.5,5,6,0.1,0.0855168345918349,0.71,12.12,11.89,0,0.5,0,369223.0,0.0,25
2531084,0.3785242073050201,[],100,1.6,0.5,5,5,0.1,0.0855168345918349,0.91,14.29,12.06,0,0.5,0,136591.0,0.0,25
1201682,0.04814543990690605,[],100,1.3,0.8,5,10,0.1,0.07490468030333451,0.95,14.43,79.28,0,0.5,0,776033225.0,0.0,25
7687684,0.8737998070711482,[],100,1.6,0.5,5,56,0.1,0.07490468030333451,3.85,13.985,4.04,0,3.0,0,31433.0,0.0,25
8607862,0.59523531985681,[],100,1.6,0.5,5,73,0.1,0.07490468030333451,5.28,12.32,6.95,0,3.0,0,17963.0,0.0,25
8082807,0.9882921872109521,[],100,1.6,0.5,5,10,0.1,0.07606172339231734,1.6,17.2,12.3,0,1.0,0,104999.0,0.0,25
4140411,0.5050390894029554,[],100,1.6,0.5,5,19,0.1,0.0790707330562952,2.73,17.275,69.55,0,1.0,0,20285716.0,0.0,25
1719417,0.8384652022544539,[],100,1.6,0.5,5,5,0.1,0.07590502049855752,0.91,13.05,51.12,0,0.5,0,881810.0,0.0,25
723823,0.14613610614488623,[],100,1.6,0.5,5,37,0.1,0.07713729633697891,2.91,16.71,57.37,0,1.5,0,259086245.0,0.0,25
5039093,1.0000000250348033,[],100,1.3,0.8,5,7,0.1,0.07713729633697891,0.65,11.77,2.81,0,0.5,0,33713066982.0,0.0,25
1944102,0.05733143014388276,[],100,1.6,0.5,5,28,0.1,0.0796702360008518,1.74,15.29,63.78,0,0.5,0,64666885.0,0.0,25
9781038,0.027796161897503155,[],100,1.6,0.5,5,11,0.1,0.0796702360008518,1.0,10.559999999999999,16.17,0,2.5,0,4783718.0,0.0,25
5706921,0.2756472910325307,[],100,1.6,0.5,5,17,0.1,0.0796702360008518,1.86,17.85,8.05,0,2.0,0,77283.0,0.0,25
3387340,1.1115253317335847,[],100,1.6,0.5,5,12,0.1,0.0796702360008518,1.13,13.095,11.12,0,0.5,0,70011.0,0.0,25
8754844,0.3743085726481961,[],100,1.7,0.5,5,17,0.1,0.07454868897597254,2.11,13.85,10.23,0,2.5,0,128411.0,0.0,25
6020311,0.6240687104179944,[],100,1.7,0.5,5,18,0.1,0.08353286978390675,2.45,14.415,2.55,0,1.0,0,42574.0,0.0,25
7858710,0.41913261092609466,[],100,1.7,0.5,5,29,0.1,0.07525137690729633,2.6,13.655,4.22,0,2.5,0,68942.0,0.0,25
3089209,0.9737108152448195,[],100,1.7,0.5,5,34,0.1,0.07219475345930444,2.5,12.0,2.42,0,1.0,0,18303.0,0.0,25
3201766,0.00023635881397481785,[],100,1.7,0.5,5,19,0.1,0.07603204203633665,2.82,15.219999999999999,56.92,0,3.0,0,22785743217.0,0.0,25
6805413,0.14224223441663428,[],100,1.7,0.5,5,25,0.1,0.07726218322824095,1.82,16.130000000000003,19.6,0,3.5,0,171611.0,0.0,25
6769669,0.014388266563573586,[],100,1.7,0.5,5,5,0.1,0.08075555437890503,0.54,11.71,43.15,0,0.5,0,14185239.0,0.0,25
8195415,0.1488468190746457,[],100,1.7,0.5,5,5,0.1,0.08366349079233562,0.87,16.94,48.56,0,0.5,0,32852217.0,0.0,25
6579032,0.15139011639781463,"[(<tree.AND object at 0x7f62d76755d0>, 'A')]",100,1.7,0.5,5,38,0.1,0.07828967611928675,4.08,14.275,110.92,0,2.5,0,3134906.0,0.0,25
3264062,0.09599029020169951,[],100,1.7,0.5,5,7,0.1,0.07102301812053363,1.04,13.969999999999999,71.22,0,2.0,0,4284493.0,0.0,25
