ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9129318,7.371201242211524e-07,[],100,1.3,0.5,10,7,0.1,0.04585958237911673,0.56,17.34,90.64,0,0.5,0,5596736358757.0,0.0,6
9053495,0.8056364359720923,[],100,1.3,0.8,5,11,0.1,0.07675693502083668,1.56,13.55,19.81,0,1.0,0,99007.0,0.0,25
70218,0.28011942733071127,[],100,1.3,0.8,5,21,0.1,0.07675693502083668,2.49,11.965,16.47,0,3.0,0,3591529.0,0.0,25
43649,0.8094540787528567,[],100,1.5,0.5,5,32,0.1,0.07675693502083668,2.27,12.7,18.72,0,2.5,0,104650.0,0.0,25
6724385,0.2290198119807029,[],100,1.3,0.8,5,5,0.1,0.07798381664688439,0.61,16.92,20.61,0,2.0,0,2843666.0,0.0,25
3634804,0.9810716336278211,[],100,1.5,0.5,5,12,0.1,0.07798381664688439,1.43,12.879999999999999,6.54,0,1.0,0,99498.0,0.0,25
3604474,0.08110076774446913,[],100,1.5,0.5,5,24,0.1,0.07798381664688439,2.43,16.59,10.39,0,2.5,0,510069.0,0.0,25
5404019,0.19751924261527445,[],100,1.3,0.8,5,6,0.1,0.08066831257136339,0.89,14.03,53.71,0,1.0,0,29065405.0,0.0,25
3455093,0.4475982664943978,[],100,1.3,0.8,5,5,0.1,0.08066831257136339,0.69,14.760000000000002,15.87,0,0.5,0,1651682.0,0.0,25
5083236,1.1616647591595666,[],100,1.3,0.8,5,8,0.1,0.0759950513953425,1.0,18.75,12.77,0,0.5,0,141546.0,0.0,25
8635479,0.6629791800150195,[],100,1.3,0.8,5,15,0.1,0.0759950513953425,1.11,17.34,1.85,0,1.5,0,63492.0,0.0,25
3114739,0.23835915068513244,[],100,1.5,0.5,5,13,0.1,0.0759950513953425,1.49,15.219999999999999,2.85,0,2.5,0,145531.0,0.0,25
