ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
6880095,3.2298150385342306e-06,"[(<tree.SEQ object at 0x7fab32569840>, 'W'), (<tree.SEQ object at 0x7fab32569ea0>, 'W')]",100,1.1,0.5,20,40,0.1,0.07664453917417087,2.29,6.9,35.04,0,3.5,0,2.950738201560419e+16,0.0,25
7331092,0.0001399538181814494,"[(<tree.SEQ object at 0x7fe5802fee00>, 'S'), (<tree.SEQ object at 0x7fe5802fef20>, 'S'), (<tree.AND object at 0x7fe5802ff3a0>, 'E'), (<tree.SEQ object at 0x7fe5802fef20>, 'S')]",100,1.1,0.5,20,34,0.1,0.07664453917417087,2.01,7.12,45.66,0,1.5,0,1.3871873956859776e+18,0.0,25
2612230,4.936602637437279e-10,"[(<tree.SEQ object at 0x7fa6edac96c0>, 'B'), (<tree.SEQ object at 0x7fa6edac98a0>, 'B')]",100,1.1,0.5,20,40,0.1,0.07664453917417087,1.59,6.84,41.24,0,2.5,0,1.1327104668288272e+19,0.0,25
724214,0.0076394241168976085,"[(<tree.SEQ object at 0x7ffac70036d0>, 'T'), (<tree.SEQ object at 0x7ffac7003a90>, 'A'), (<tree.SEQ object at 0x7ffac70012d0>, 'A'), (<tree.AND object at 0x7ffac7003eb0>, 'A'), (<tree.AND object at 0x7ffac7014b50>, 'A'), (<tree.AND object at 0x7ffac7001c30>, 'A'), (<tree.SEQ object at 0x7ffac70010f0>, 'A')]",100,1.1,0.5,20,49,0.1,0.07664453917417087,2.92,6.95,42.62,0,2.5,0,72725144950659.0,0.0,25
8997640,0.00969717515655872,"[(<tree.AND object at 0x7ffb401ebdf0>, 'A'), (<tree.AND object at 0x7ffb3e804190>, 'T'), (<tree.SEQ object at 0x7ffb3e805b10>, 'A'), (<tree.SEQ object at 0x7ffb401eb4f0>, 'A'), (<tree.AND object at 0x7ffb3e806170>, 'T'), (<tree.AND object at 0x7ffb401ebc70>, 'A')]",100,1.1,0.5,20,59,0.1,0.07664453917417087,3.94,6.859999999999999,44.35,0,3.5,0,1851923503334805.0,0.0,25
2955445,2.9201033551634056e-06,"[(<tree.SEQ object at 0x7f38ec515720>, 'U'), (<tree.SEQ object at 0x7f38ec4fbdc0>, 'S')]",100,1.1,0.5,20,35,0.1,0.07664453917417087,1.7,7.11,39.57,0,2.5,0,1.0190465104334986e+17,0.0,25
1307906,0.0015045504769017237,"[(<tree.SEQ object at 0x7f4bef262920>, 'T'), (<tree.SEQ object at 0x7f4bed878160>, 'C')]",100,1.1,0.5,20,27,0.1,0.07664453917417087,1.44,6.73,41.57,0,1.5,0,9.486720033116991e+17,0.0,25
9050965,1.4197794959854004e-05,"[(<tree.SEQ object at 0x7ff658894970>, 'S'), (<tree.SEQ object at 0x7ff6588960b0>, 'O'), (<tree.AND object at 0x7ff658897bb0>, 'S')]",100,1.1,0.5,20,66,0.1,0.07664453917417087,5.36,7.130000000000001,19.19,0,4.0,0,9.8716217334923e+19,0.0,25
3727874,0.4048572486858096,"[(<tree.SEQ object at 0x7fe25bd5f460>, 'U'), (<tree.AND object at 0x7fe25a375300>, 'N'), (<tree.SEQ object at 0x7fe25bd5d4e0>, 'K'), (<tree.SEQ object at 0x7fe25bd5fd00>, 'U'), (<tree.SEQ object at 0x7fe25bd5ee00>, 'K'), (<tree.AND object at 0x7fe25a374d60>, 'N'), (<tree.AND object at 0x7fe25a374f40>, 'N')]",100,1.1,0.5,20,48,0.1,0.07664453917417087,2.77,6.91,15.33,0,2.5,0,21700735425066.0,0.0,25
1201477,1.2036246771563566,"[(<tree.SEQ object at 0x7f934b853c40>, 'Y'), (<tree.AND object at 0x7f9349e6ece0>, 'R'), (<tree.SEQ object at 0x7f9349e6d300>, 'R')]",100,1.1,0.5,20,79,0.1,0.07664453917417087,4.73,7.05,33.35,0,3.5,0,1.5434334693503932e+19,0.0,25
