ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
1005043,0.0866399734535395,[],100,1.1,0.5,1,3,0.001,0.006895785398502664,0.14,7.3,2.94,0,1.0,0,205220.0,0.010850215254187352,7
3919746,3.306655290760493e-05,[],100,1.1,0.5,1,4,0.001,0.006895785398502664,0.2,7.3,0.24,0,1.0,0,244138662.0,9.717838135772203e-06,7
6135046,0.012238777532547684,"[(<tree.SEQ object at 0x7f9367fafcd0>, 'E')]",100,1.1,0.5,1,3,0.001,0.006895785398502664,0.15,7.3,3.26,0,1.0,0,11469042.0,0.025766392910366934,7
9614392,1.02256560616853e-10,[],100,1.1,0.5,1,3,0.001,0.006895785398502664,0.19,7.3,2.82,0,1.0,0,350205878966958.0,1.3281905197248585e-11,7
7856945,1.0,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.07,7.3,0.14,0,0.5,0,506367277.0,1.5682691618716114,7
9177409,1.7426515941825435e-05,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.07,7.3,2.58,0,0.0,0,8191623668927520.0,2.2145495104971126e-06,7
2061294,3.436041494650778e-05,[],100,1.1,0.5,1,4,0.001,0.006895785398502664,0.21,7.3,0.24,0,1.0,0,82194867.0,1.6519279725825215e-05,7
8723573,0.5507880347346918,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.07,7.3,2.39,0,0.0,0,4368598995.0,0.06350059676283014,7
4670460,0.0014173923517689438,[],100,1.1,0.5,1,3,0.001,0.006895785398502664,0.14,7.3,0.25,0,1.0,0,33066291.0,0.00030598533110350956,7
2460063,0.00026251709951813417,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.07,7.3,2.53,0,0.0,0,1384770747.0,3.5667853402452034e-05,7
6696261,0.14116065048649473,[],100,1.1,0.5,1,2,0.001,0.006895785398502664,0.14,7.3,2.23,0,0.0,0,143695211074.0,0.015966007748988344,7
8001912,0.00010603750804221579,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.06,7.3,2.12,0,0.0,0,62823572158522.0,1.7288701324709147e-05,7
1035031,0.003998933865651531,[],100,1.1,0.5,1,4,0.001,0.006895785398502664,0.21,7.3,0.25,0,1.0,0,993526.0,0.0017487212211859577,7
4252647,0.131659103508308,[],100,1.1,0.5,1,1,0.001,0.006895785398502664,0.07,7.3,2.18,0,0.0,0,174020553.0,0.017307765939578414,7
6644589,1.0,[],100,1.1,0.5,1,3,0.001,0.006895785398502664,0.16,7.3,0.18,0,0.5,0,290091.0,0.3125951177538376,7
