ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
765773,2.8052564048605178e-05,"[(<tree.AND object at 0x7fa602a80580>, 'A')]",20,1.3,0.5,20,199,0.1,0.06865313445757788,19.63,4.35,0.77,0,3.5,0,5988025840.0,0.0,25
4578179,0.001041571702693381,"[(<tree.AND object at 0x7f646e4369e0>, 'Y'), (<tree.SEQ object at 0x7f646e437f40>, 'Q'), (<tree.AND object at 0x7f646e40e740>, 'N'), (<tree.AND object at 0x7f646e4341c0>, 'U'), (<tree.AND object at 0x7f646e40dff0>, 'N')]",20,1.3,0.5,20,204,0.1,0.06865313445757788,32.87,4.05,0.67,0,4.0,0,28154378.0,0.0,25
9841279,0.0002867289609395923,"[(<tree.AND object at 0x7f5292f018a0>, 'A'), (<tree.SEQ object at 0x7f5292f02b60>, 'Q'), (<tree.SEQ object at 0x7f5292f03580>, 'N'), (<tree.SEQ object at 0x7f5292f0cca0>, 'S')]",20,1.3,0.5,20,185,0.1,0.06865313445757788,13.74,3.95,0.71,0,4.5,0,59510938.0,0.0,25
6840552,0.0001884053317778639,"[(<tree.SEQ object at 0x7f24b90e58a0>, 'O'), (<tree.SEQ object at 0x7f24b90e4d60>, 'N')]",20,1.3,0.5,20,206,0.1,0.06865313445757788,21.34,4.05,0.81,0,3.5,0,40324415.0,0.0,25
4666707,0.0016936534488434139,"[(<tree.AND object at 0x7fa8644bc970>, 'I')]",20,1.3,0.5,20,193,0.1,0.06865313445757788,13.43,4.2,0.89,0,3.5,0,4953526.0,0.0,25
5946786,0.025530597343615583,"[(<tree.AND object at 0x7f6663166740>, 'D'), (<tree.SEQ object at 0x7f6663152b60>, 'V'), (<tree.SEQ object at 0x7f6663152c80>, 'V'), (<tree.AND object at 0x7f6663166440>, 'R'), (<tree.AND object at 0x7f6663153ca0>, 'A'), (<tree.SEQ object at 0x7f6663166aa0>, 'C')]",20,1.3,0.5,20,194,0.1,0.06865313445757788,25.91,4.25,1.09,0,3.5,0,424893.0,0.0,25
6523756,0.06680715168165331,"[(<tree.AND object at 0x7f5f74008fd0>, 'D'), (<tree.AND object at 0x7f5f740087f0>, 'N'), (<tree.AND object at 0x7f5f7400a470>, 'W')]",20,1.3,0.5,20,175,0.1,0.06865313445757788,9.79,3.9000000000000004,1.16,0,3.0,0,212430.0,0.0,25
174336,0.0010541104664768027,"[(<tree.AND object at 0x7f03307b3820>, 'M'), (<tree.AND object at 0x7f03307cd4e0>, 'R'), (<tree.SEQ object at 0x7f03307cdf00>, 'I'), (<tree.AND object at 0x7f03307cebc0>, 'I'), (<tree.AND object at 0x7f03307b3640>, 'M'), (<tree.SEQ object at 0x7f03307cc820>, 'R'), (<tree.SEQ object at 0x7f03307cc640>, 'R'), (<tree.SEQ object at 0x7f03307cc400>, 'R')]",20,1.3,0.5,20,175,0.1,0.06865313445757788,22.59,3.95,0.63,0,4.5,0,11794304.0,0.0,25
1463591,4.588705641617773e-05,"[(<tree.SEQ object at 0x7f2f3796c3a0>, 'A')]",20,1.3,0.5,20,194,0.1,0.06865313445757788,21.33,3.55,0.76,0,3.5,0,184314997.0,0.0,25
827088,0.6566543999501033,[],20,1.3,0.5,20,205,0.1,0.06865313445757788,29.09,4.3,0.53,0,3.5,0,19588.0,0.0,25
