ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
219355,0.9432521493768774,[],20,1.3,0.5,10,165,0.1,0.0788536422082591,18.98,3.9000000000000004,0.35,0,4.0,0,288641.0,0.0,25
2849671,1.000011677444767,"[(<tree.SEQ object at 0x7f999d07e980>, 'T'), (<tree.SEQ object at 0x7f999d094820>, 'F'), (<tree.SEQ object at 0x7f999d0945e0>, 'F')]",20,1.3,0.5,10,174,0.1,0.0788536422082591,25.91,4.05,0.31,0,4.5,0,2817535.0,0.0,25
8871852,0.9999623746401837,"[(<tree.AND object at 0x7f2fec817a90>, 'E')]",20,1.3,0.5,10,188,0.1,0.0788536422082591,21.66,4.1,0.28,0,3.5,0,489257.0,0.0,25
7734412,0.9999883846743884,[],20,1.3,0.5,10,183,0.1,0.0788536422082591,22.48,3.85,0.29,0,3.0,0,336594987.0,0.0,25
1992523,0.9862593658336688,"[(<tree.AND object at 0x7f6ee31a7550>, 'E')]",20,1.3,0.5,10,183,0.1,0.0788536422082591,25.64,3.8,0.3,0,4.0,0,272096028.0,0.0,25
7363630,0.9420294721864674,"[(<tree.SEQ object at 0x7f8212e64310>, 'W')]",20,1.3,0.5,10,188,0.1,0.0788536422082591,26.48,3.95,0.29,0,3.5,0,164235.0,0.0,25
1765703,0.9407550896961953,"[(<tree.AND object at 0x7f4e67ffa140>, 'E'), (<tree.AND object at 0x7f4e67ffa320>, 'E')]",20,1.3,0.5,10,175,0.1,0.0788536422082591,21.26,4.199999999999999,0.32,0,4.5,0,10200.0,0.0,25
5364754,0.9999993168522135,"[(<tree.SEQ object at 0x7efdc9a05450>, 'A'), (<tree.AND object at 0x7efdc99faa10>, 'K')]",20,1.3,0.5,10,147,0.1,0.0788536422082591,16.01,4.0,0.23,0,4.0,0,4049011.0,0.0,25
905740,0.9997586026847133,"[(<tree.SEQ object at 0x7f6ebc28dd80>, 'P')]",20,1.3,0.5,10,204,0.1,0.0788536422082591,39.63,4.25,0.32,0,4.0,0,158767950.0,0.0,25
4751275,0.9931503742780545,[],20,1.3,0.5,10,208,0.1,0.0788536422082591,29.57,4.15,0.27,0,3.0,0,37355.0,0.0,25
648437,0.9933719722784782,"[(<tree.SEQ object at 0x7f9f03d66410>, 'F'), (<tree.SEQ object at 0x7f9f03d66170>, 'F')]",20,1.3,0.5,10,97,0.1,0.0788536422082591,8.16,3.5999999999999996,0.25,0,3.0,0,15308200.0,0.0,25
623467,0.99995244408023,"[(<tree.AND object at 0x7f88f33d66b0>, 'O'), (<tree.AND object at 0x7f88f33d7af0>, 'F'), (<tree.AND object at 0x7f88f33d6f50>, 'A')]",20,1.3,0.5,10,122,0.1,0.0788536422082591,20.94,4.25,0.27,0,4.0,0,77543076.0,0.0,25
1213191,0.9337921477326986,"[(<tree.AND object at 0x7fc2ed673b80>, 'D')]",20,1.3,0.5,10,141,0.1,0.0788536422082591,22.96,4.25,0.3,0,4.0,0,27603.0,0.0,25
274188,0.9998302640658412,"[(<tree.SEQ object at 0x7fe2e0ec5000>, 'A'), (<tree.AND object at 0x7fe2e0ec4520>, 'C')]",20,1.3,0.5,10,164,0.1,0.0788536422082591,23.78,3.85,0.34,0,4.5,0,338723485.0,0.0,25
1685390,0.9993674929123584,"[(<tree.SEQ object at 0x7ffa2ae91cc0>, 'T')]",20,1.3,0.5,10,196,0.1,0.0788536422082591,33.38,4.1,0.38,0,4.0,0,1636594.0,0.0,25
126222,1.0,"[(<tree.AND object at 0x7fa1f13822c0>, 'K')]",20,1.3,0.5,10,170,0.1,0.0788536422082591,19.27,4.25,0.27,0,3.5,0,2560358.0,0.0,25
2540481,1.0,[],20,1.3,0.5,10,203,0.1,0.0788536422082591,24.97,3.45,0.31,0,3.5,0,1438701.0,0.0,25
4373095,0.997536045610145,"[(<tree.SEQ object at 0x7fc3495d3d00>, 'T'), (<tree.AND object at 0x7fc3495d3e20>, 'T')]",20,1.3,0.5,10,154,0.1,0.0788536422082591,19.01,3.8,0.35,0,4.0,0,120498.0,0.0,25
321385,0.9999945342030016,"[(<tree.AND object at 0x7f8f76175930>, 'F')]",20,1.3,0.5,10,131,0.1,0.0788536422082591,12.61,3.5999999999999996,0.23,0,4.5,0,50265048251.0,0.0,25
3078465,0.8042918182509851,"[(<tree.AND object at 0x7fc5a8952530>, 'K')]",20,1.3,0.5,10,149,0.1,0.0788536422082591,19.57,3.95,0.27,0,4.0,0,273043.0,0.0,25
1917319,0.9839989592203049,"[(<tree.AND object at 0x7fce0bbbfb20>, 'T'), (<tree.AND object at 0x7fce0bbbfc40>, 'T')]",20,1.3,0.5,10,159,0.1,0.0788536422082591,28.47,4.0,0.31,0,4.0,0,1317814.0,0.0,25
9330658,0.9990188118425151,"[(<tree.SEQ object at 0x7f395e426380>, 'N')]",20,1.3,0.5,10,131,0.1,0.0788536422082591,13.7,4.15,0.27,0,4.5,0,3101899.0,0.0,25
5281163,1.000036106581791,"[(<tree.AND object at 0x7fd59bde93f0>, 'E'), (<tree.AND object at 0x7fd59bde9510>, 'E'), (<tree.AND object at 0x7fd59bddadd0>, 'Y'), (<tree.AND object at 0x7fd59bddab30>, 'Y')]",20,1.3,0.5,10,151,0.1,0.0788536422082591,20.5,3.75,0.34,0,4.0,0,500284.0,0.0,25
2263375,0.9556842794717207,"[(<tree.AND object at 0x7f9346c6c3d0>, 'E')]",20,1.3,0.5,10,194,0.1,0.0788536422082591,35.12,4.1,0.3,0,3.5,0,6953446.0,0.0,25
1983017,0.9822577505703498,"[(<tree.AND object at 0x7f920995e410>, 'F')]",20,1.3,0.5,10,178,0.1,0.0788536422082591,35.34,4.1,0.26,0,4.5,0,517840.0,0.0,25
1392597,0.9999295796012367,"[(<tree.AND object at 0x7fbd383467d0>, 'D')]",20,1.3,0.5,10,157,0.1,0.0788536422082591,19.36,3.5999999999999996,0.32,0,3.5,0,552596.0,0.0,25
3261762,0.9999993323726871,"[(<tree.SEQ object at 0x7fa5ddea1870>, 'H'), (<tree.AND object at 0x7fa5ddea1e70>, 'Q'), (<tree.AND object at 0x7fa5ddea1ff0>, 'Q'), (<tree.AND object at 0x7fa5ddea2170>, 'Q')]",20,1.3,0.5,10,136,0.1,0.0788536422082591,16.93,4.35,0.28,0,3.0,0,59033944011.0,0.0,25
1754566,1.0,"[(<tree.AND object at 0x7f5064225240>, 'C'), (<tree.AND object at 0x7f5064225660>, 'Q')]",20,1.3,0.5,10,131,0.1,0.0788536422082591,10.64,3.45,0.32,0,4.5,0,852692.0,0.0,25
5741803,1.0000010449159393,"[(<tree.AND object at 0x7f3e753f6f20>, 'E'), (<tree.AND object at 0x7f3e753f7040>, 'E')]",20,1.3,0.5,10,160,0.1,0.0788536422082591,23.75,4.1,0.27,0,3.0,0,41059684.0,0.0,25
4007940,0.9944374703474365,"[(<tree.AND object at 0x7fbf569392a0>, 'N'), (<tree.AND object at 0x7fbf569392a0>, 'N'), (<tree.AND object at 0x7fbf569394e0>, 'N'), (<tree.SEQ object at 0x7fbf5692b700>, 'S')]",20,1.3,0.5,10,101,0.1,0.0788536422082591,10.68,4.05,0.27,0,4.0,0,10436418.0,0.0,25
4551343,0.9855989033110036,"[(<tree.AND object at 0x7f74a105e290>, 'I'), (<tree.AND object at 0x7f74a105ded0>, 'I'), (<tree.AND object at 0x7f74a10746d0>, 'B'), (<tree.AND object at 0x7f74a1074070>, 'P'), (<tree.AND object at 0x7f74a1074190>, 'P')]",20,1.3,0.5,10,145,0.1,0.0788536422082591,12.25,3.8499999999999996,0.26,0,3.0,0,43192.0,0.0,25
287500,1.0,[],20,1.3,0.5,10,174,0.1,0.0788536422082591,24.98,3.65,0.25,0,3.5,0,1226068.0,0.0,25
8595972,0.9997212691994183,"[(<tree.SEQ object at 0x7f665f321660>, 'O'), (<tree.SEQ object at 0x7f665f3340a0>, 'A'), (<tree.AND object at 0x7f665f320d60>, 'W'), (<tree.SEQ object at 0x7f665f323700>, 'V'), (<tree.SEQ object at 0x7f665f3234c0>, 'V'), (<tree.AND object at 0x7f665f3344c0>, 'N')]",20,1.3,0.5,10,98,0.1,0.0788536422082591,8.73,4.0,0.28,0,4.5,0,2915286.0,0.0,25
638756,0.9997315842333059,"[(<tree.AND object at 0x7f4af4d93c70>, 'P'), (<tree.AND object at 0x7f4af4d91a50>, 'I'), (<tree.AND object at 0x7f4af4d91c30>, 'I')]",20,1.3,0.5,10,143,0.1,0.0788536422082591,21.24,4.25,0.34,0,3.0,0,21356610.0,0.0,25
6817018,0.9187971161564152,"[(<tree.AND object at 0x7f3151888a60>, 'C'), (<tree.AND object at 0x7f3151888b80>, 'C'), (<tree.SEQ object at 0x7f3151888ca0>, 'T')]",20,1.3,0.5,10,187,0.1,0.0788536422082591,26.57,4.15,0.31,0,4.0,0,73150.0,0.0,25
7729714,0.9972504010006357,[],20,1.3,0.5,10,150,0.1,0.0788536422082591,16.7,4.05,0.22,0,3.5,0,56179.0,0.0,25
8378120,1.0,"[(<tree.SEQ object at 0x7f7e08705540>, 'H'), (<tree.AND object at 0x7f7e08704fa0>, 'B'), (<tree.AND object at 0x7f7e086ed900>, 'O'), (<tree.AND object at 0x7f7e086ee7a0>, 'K')]",20,1.3,0.5,10,125,0.1,0.0788536422082591,10.03,3.8499999999999996,0.37,0,4.0,0,184849.0,0.0,25
4844014,0.9998976310009297,"[(<tree.AND object at 0x7fb31cc42020>, 'K'), (<tree.AND object at 0x7fb31cc42140>, 'I'), (<tree.AND object at 0x7fb31cc42260>, 'I')]",20,1.3,0.5,10,122,0.1,0.0788536422082591,10.42,3.8,0.28,0,3.5,0,10448411.0,0.0,25
1581739,0.9978641398253489,[],20,1.3,0.5,10,181,0.1,0.0788536422082591,30.64,3.95,0.28,0,4.0,0,389287.0,0.0,25
5370226,0.9988177510029418,"[(<tree.AND object at 0x7fc924345480>, 'F')]",20,1.3,0.5,10,132,0.1,0.0788536422082591,14.1,3.85,0.29,0,4.0,0,7514928.0,0.0,25
1156243,0.9999949088033575,"[(<tree.AND object at 0x7f9b37d4ece0>, 'P'), (<tree.SEQ object at 0x7f9b37d3ff40>, 'T'), (<tree.AND object at 0x7f9b37d4eb60>, 'P')]",20,1.3,0.5,10,207,0.1,0.0788536422082591,34.78,4.1,0.3,0,4.5,0,131985679.0,0.0,25
295624,0.9788922589694661,"[(<tree.SEQ object at 0x7fb11f16f9a0>, 'T'), (<tree.AND object at 0x7fb11f16e8c0>, 'F'), (<tree.AND object at 0x7fb11f16e9e0>, 'F'), (<tree.AND object at 0x7fb11f16f4c0>, 'D')]",20,1.3,0.5,10,100,0.1,0.0788536422082591,10.26,4.25,0.31,0,4.0,0,2089864.0,0.0,25
1762528,0.999541813441466,"[(<tree.AND object at 0x7f9f91ea9c60>, 'D')]",20,1.3,0.5,10,175,0.1,0.0788536422082591,27.38,3.5999999999999996,0.3,0,3.5,0,35079.0,0.0,25
5954757,0.9997147038144915,"[(<tree.AND object at 0x7f1ab65d13f0>, 'R'), (<tree.AND object at 0x7f1ab65d1570>, 'R')]",20,1.3,0.5,10,194,0.1,0.0788536422082591,26.21,4.050000000000001,0.32,0,3.5,0,32279052.0,0.0,25
3075142,0.9930235098548861,"[(<tree.SEQ object at 0x7fb35706add0>, 'J'), (<tree.SEQ object at 0x7fb35706aef0>, 'J')]",20,1.3,0.5,10,179,0.1,0.0788536422082591,26.5,3.95,0.3,0,4.5,0,1828848.0,0.0,25
1492145,0.99880339274871,"[(<tree.SEQ object at 0x7f44b638a9e0>, 'T'), (<tree.AND object at 0x7f44b638a020>, 'C'), (<tree.AND object at 0x7f44b6389c60>, 'C'), (<tree.AND object at 0x7f44b638bc40>, 'C'), (<tree.SEQ object at 0x7f44b639ca60>, 'J')]",20,1.3,0.5,10,117,0.1,0.0788536422082591,9.39,3.85,0.29,0,3.5,0,755945.0,0.0,25
